zip,city,state,county,payout
03602,Alstead,NH,Cheshire County,36.0
03809,Alton,NH,Belknap County,36.0
03810,Alton Bay,NH,Belknap County,36.0
03031,Amherst,NH,Hillsborough County,60.0
03216,Andover,NH,Merrimack County,43.0
03440,Antrim,NH,Hillsborough County,60.0
03441,Ashuelot,NH,Cheshire County,36.0
03811,Atkinson,NH,Rockingham County,41.04
03032,Auburn,NH,Rockingham County,39.5
03218,Barnstead,NH,Belknap County,36.0
03110,Bedford,NH,Hillsborough County,60.0
03220,Belmont,NH,Belknap County,36.0
03442,Bennington,NH,Hillsborough County,60.0
03304,Bow,NH,Merrimack County,43.0
03221,Bradford,NH,Merrimack County,43.0
03575,Bretton Woods,NH,Coos County,33.25
03033,Brookline,NH,Hillsborough County,60.0
03034,Candia,NH,Rockingham County,39.5
03224,Canterbury,NH,Merrimack County,43.0
03225,Center Barnstead,NH,Belknap County,36.0
03226,Center Harbor,NH,Belknap County,36.0
03036,Chester,NH,Rockingham County,39.5
03443,Chesterfield,NH,Cheshire County,36.0
03258,Chichester,NH,Merrimack County,43.0
03301,Concord,NH,Merrimack County,43.0
03302,Concord,NH,Merrimack County,43.0
03303,Concord,NH,Merrimack County,43.0
03305,Concord,NH,Merrimack County,43.0
03229,Contoocook,NH,Merrimack County,43.0
03230,Danbury,NH,Merrimack County,43.0
03819,Danville,NH,Rockingham County,49.5
03037,Deerfield,NH,Rockingham County,39.5
03038,Derry,NH,Rockingham County,42.52
03820,Dover,NH,Strafford County,36.0
03821,Dover,NH,Strafford County,36.0
03822,Dover,NH,Strafford County,36.0
03604,Drewsville,NH,Cheshire County,36.0
03444,Dublin,NH,Cheshire County,36.0
03046,Dunbarton,NH,Merrimack County,43.0
03824,Durham,NH,Strafford County,36.0
03231,East Andover,NH,Merrimack County,43.0
03040,East Candia,NH,Rockingham County,39.5
03041,East Derry,NH,Rockingham County,39.5
03826,East Hampstead,NH,Rockingham County,39.5
03827,East Kingston,NH,Rockingham County,41.04
03233,Elkins,NH,Merrimack County,43.0
03042,Epping,NH,Rockingham County,41.04
03234,Epsom,NH,Merrimack County,43.0
03833,Exeter,NH,Rockingham County,41.04
03447,Fitzwilliam,NH,Cheshire County,36.0
03043,Francestown,NH,Hillsborough County,60.0
03235,Franklin,NH,Merrimack County,43.0
03044,Fremont,NH,Rockingham County,39.5
03249,Gilford,NH,Belknap County,36.0
03237,Gilmanton,NH,Belknap County,36.0
03837,Gilmanton Iron Works,NH,Belknap County,36.0
03448,Gilsum,NH,Cheshire County,36.0
03045,Goffstown,NH,Hillsborough County,60.0
03047,Greenfield,NH,Hillsborough County,60.0
03840,Greenland,NH,Rockingham County,39.5
03048,Greenville,NH,Hillsborough County,60.0
03841,Hampstead,NH,Rockingham County,41.04
03842,Hampton,NH,Rockingham County,41.04
03843,Hampton,NH,Rockingham County,39.5
03844,Hampton Falls,NH,Rockingham County,39.5
03449,Hancock,NH,Hillsborough County,60.0
03450,Harrisville,NH,Cheshire County,36.0
03242,Henniker,NH,Merrimack County,43.0
03243,Hill,NH,Merrimack County,43.0
03244,Hillsborough,NH,Hillsborough County,60.0
03451,Hinsdale,NH,Cheshire County,36.0
03049,Hollis,NH,Hillsborough County,60.0
03106,Hooksett,NH,Merrimack County,43.0
03051,Hudson,NH,Hillsborough County,60.0
03452,Jaffrey,NH,Cheshire County,36.0
03431,Keene,NH,Cheshire County,36.0
03435,Keene,NH,Cheshire County,36.0
03848,Kingston,NH,Rockingham County,39.5
03246,Laconia,NH,Belknap County,36.0
03247,Laconia,NH,Belknap County,36.0
03861,Lee,NH,Strafford County,36.0
03052,Litchfield,NH,Hillsborough County,60.0
03252,Lochmere,NH,Belknap County,36.0
03053,Londonderry,NH,Rockingham County,39.5
03307,Loudon,NH,Merrimack County,43.0
03082,Lyndeborough,NH,Hillsborough County,60.0
03823,Madbury,NH,Strafford County,36.0
03101,Manchester,NH,Hillsborough County,60.0
03102,Manchester,NH,Hillsborough County,60.0
03103,Manchester,NH,Hillsborough County,60.0
03104,Manchester,NH,Hillsborough County,60.0
03105,Manchester,NH,Hillsborough County,60.0
03108,Manchester,NH,Hillsborough County,60.0
03109,Manchester,NH,Hillsborough County,60.0
03111,Manchester,NH,Hillsborough County,60.0
03455,Marlborough,NH,Cheshire County,36.0
03456,Marlow,NH,Cheshire County,36.0
03253,Meredith,NH,Belknap County,36.0
03054,Merrimack,NH,Hillsborough County,60.0
03055,Milford,NH,Hillsborough County,60.0
03853,Mirror Lake,NH,Carroll County,38.23
03057,Mont Vernon,NH,Hillsborough County,60.0
03060,Nashua,NH,Hillsborough County,60.0
03061,Nashua,NH,Hillsborough County,60.0
03062,Nashua,NH,Hillsborough County,60.0
03063,Nashua,NH,Hillsborough County,60.0
03064,Nashua,NH,Hillsborough County,60.0
03457,Nelson,NH,Cheshire County,36.0
03070,New Boston,NH,Hillsborough County,60.0
03854,New Castle,NH,Rockingham County,39.5
03256,New Hampton,NH,Belknap County,36.0
03071,New Ipswich,NH,Hillsborough County,60.0
03257,New London,NH,Merrimack County,43.0
03255,Newbury,NH,Merrimack County,43.0
03856,Newfields,NH,Rockingham County,39.5
03857,Newmarket,NH,Rockingham County,39.5
03858,Newton,NH,Rockingham County,39.5
03859,Newton Junction,NH,Rockingham County,39.5
03862,North Hampton,NH,Rockingham County,41.04
03073,North Salem,NH,Rockingham County,41.04
03260,North Sutton,NH,Merrimack County,43.0
03609,North Walpole,NH,Cheshire County,36.0
03261,Northwood,NH,Rockingham County,39.5
03290,Nottingham,NH,Rockingham County,39.5
03076,Pelham,NH,Hillsborough County,60.0
03458,Peterborough,NH,Hillsborough County,60.0
03263,Pittsfield,NH,Merrimack County,43.0
03865,Plaistow,NH,Rockingham County,41.04
03801,Portsmouth,NH,Rockingham County,39.5
03802,Portsmouth,NH,Rockingham County,41.04
03803,Portsmouth,NH,Rockingham County,41.04
03804,Portsmouth,NH,Rockingham County,41.04
03077,Raymond,NH,Rockingham County,41.58
03461,Rindge,NH,Cheshire County,36.0
03870,Rye,NH,Rockingham County,39.5
03871,Rye Beach,NH,Rockingham County,41.04
03079,Salem,NH,Rockingham County,41.58
03268,Salisbury,NH,Merrimack County,43.0
03269,Sanbornton,NH,Belknap County,36.0
03873,Sandown,NH,Rockingham County,39.5
03874,Seabrook,NH,Rockingham County,41.04
03878,Somersworth,NH,Strafford County,33.25
03272,South Newbury,NH,Merrimack County,43.0
03273,South Sutton,NH,Merrimack County,43.0
03462,Spofford,NH,Cheshire County,36.0
03464,Stoddard,NH,Cheshire County,36.0
03885,Stratham,NH,Rockingham County,41.04
03445,Sullivan,NH,Cheshire County,36.0
03275,Suncook,NH,Merrimack County,43.0
03446,Swanzey,NH,Cheshire County,36.0
03084,Temple,NH,Hillsborough County,60.0
03276,Tilton,NH,Merrimack County,36.0
03298,Tilton,NH,Belknap County,36.0
03299,Tilton,NH,Belknap County,36.0
03465,Troy,NH,Cheshire County,36.0
03608,Walpole,NH,Cheshire County,36.0
03278,Warner,NH,Merrimack County,43.0
03281,Weare,NH,Hillsborough County,60.0
03466,West Chesterfield,NH,Cheshire County,36.0
03291,West Nottingham,NH,Rockingham County,39.5
03468,West Peterborough,NH,Hillsborough County,60.0
03469,West Swanzey,NH,Cheshire County,36.0
03467,Westmoreland,NH,Cheshire County,36.0
03287,Wilmot,NH,Merrimack County,43.0
03086,Wilton,NH,Hillsborough County,60.0
03470,Winchester,NH,Cheshire County,36.0
03087,Windham,NH,Rockingham County,39.5
03289,Winnisquam,NH,Belknap County,36.0
