zip,city,state,county,payout
87101,Albuquerque,NM,Bernalillo County,34.38
87102,Albuquerque,NM,Bernalillo County,55.13
87103,Albuquerque,NM,Bernalillo County,34.38
87104,Albuquerque,NM,Bernalillo County,53.9
87105,Albuquerque,NM,Bernalillo County,55.13
87106,Albuquerque,NM,Bernalillo County,39.38
87107,Albuquerque,NM,Bernalillo County,55.13
87108,Albuquerque,NM,Bernalillo County,55.13
87109,Albuquerque,NM,Bernalillo County,55.13
87110,Albuquerque,NM,Bernalillo County,48.13
87111,Albuquerque,NM,Bernalillo County,55.13
87112,Albuquerque,NM,Bernalillo County,52.67
87113,Albuquerque,NM,Bernalillo County,55.13
87114,Albuquerque,NM,Bernalillo County,48.13
87115,Albuquerque,NM,Bernalillo County,34.38
87116,Albuquerque,NM,Bernalillo County,36.0
87119,Albuquerque,NM,Bernalillo County,38.06
87120,Albuquerque,NM,Bernalillo County,55.13
87121,Albuquerque,NM,Bernalillo County,55.13
87122,Albuquerque,NM,Bernalillo County,48.13
87123,Albuquerque,NM,Bernalillo County,55.13
87125,Albuquerque,NM,Bernalillo County,39.38
87131,Albuquerque,NM,Bernalillo County,38.5
87151,Albuquerque,NM,Bernalillo County,34.38
87153,Albuquerque,NM,Bernalillo County,38.5
87154,Albuquerque,NM,Bernalillo County,38.5
87158,Albuquerque,NM,Bernalillo County,38.5
87176,Albuquerque,NM,Bernalillo County,34.38
87181,Albuquerque,NM,Bernalillo County,39.38
87184,Albuquerque,NM,Bernalillo County,38.5
87185,Albuquerque,NM,Bernalillo County,36.0
87187,Albuquerque,NM,Bernalillo County,38.5
87190,Albuquerque,NM,Bernalillo County,38.5
87191,Albuquerque,NM,Bernalillo County,36.0
87192,Albuquerque,NM,Bernalillo County,34.38
87193,Albuquerque,NM,Bernalillo County,36.0
87194,Albuquerque,NM,Bernalillo County,34.38
87195,Albuquerque,NM,Bernalillo County,34.38
87196,Albuquerque,NM,Bernalillo County,36.0
87197,Albuquerque,NM,Bernalillo County,36.0
87198,Albuquerque,NM,Bernalillo County,38.5
87199,Albuquerque,NM,Bernalillo County,36.0
87002,Belen,NM,Valencia County,52.67
87004,Bernalillo,NM,Sandoval County,48.13
87068,Bosque Farms,NM,Valencia County,34.38
87008,Cedar Crest,NM,Bernalillo County,36.0
87048,Corrales,NM,Sandoval County,48.13
87015,Edgewood,NM,Santa Fe County,38.5
87117,Kirtland AFB,NM,Bernalillo County,34.38
87540,Lamy,NM,Santa Fe County,48.13
87031,Los Lunas,NM,Valencia County,55.13
87042,Peralta,NM,Valencia County,34.38
87043,Placitas,NM,Sandoval County,36.0
87124,Rio Rancho,NM,Sandoval County,55.13
87144,Rio Rancho,NM,Sandoval County,44.15
87174,Rio Rancho,NM,Sandoval County,48.13
87047,Sandia Park,NM,Bernalillo County,36.0
87501,Santa Fe,NM,Santa Fe County,48.13
87502,Santa Fe,NM,Santa Fe County,55.13
87503,Santa Fe,NM,Santa Fe County,53.9
87504,Santa Fe,NM,Santa Fe County,48.13
87505,Santa Fe,NM,Santa Fe County,55.13
87506,Santa Fe,NM,Santa Fe County,48.13
87507,Santa Fe,NM,Santa Fe County,55.13
87508,Santa Fe,NM,Santa Fe County,55.13
87509,Santa Fe,NM,Santa Fe County,53.29
87592,Santa Fe,NM,Santa Fe County,48.13
87594,Santa Fe,NM,Santa Fe County,48.13
87059,Tijeras,NM,Bernalillo County,38.06
