zip,city,state,county,payout
89001,Alamo,NV,Lincoln County,38.33
89020,Amargosa Valley,NV,Nye County,38.29
89310,Austin,NV,Lander County,38.35
89311,Baker,NV,White Pine County,38.26
89820,Battle Mountain,NV,Lander County,38.31
89003,Beatty,NV,Nye County,38.31
89004,Blue Diamond,NV,Clark County,43.75
89005,Boulder City,NV,Clark County,87.5
89006,Boulder City,NV,Clark County,43.75
89701,Carson City,NV,Carson city,39.9
89702,Carson City,NV,Carson city,38.35
89703,Carson City,NV,Carson city,40.25
89705,Carson City,NV,Douglas County,40.25
89821,Crescent Valley,NV,Eureka County,38.32
89402,Crystal Bay,NV,Washoe County,35.0
89403,Dayton,NV,Lyon County,40.25
89823,Deeth,NV,Elko County,38.35
89010,Dyer,NV,Esmeralda County,38.24
89801,Elko,NV,Elko County,38.33
89301,Ely,NV,White Pine County,38.35
89315,Ely,NV,White Pine County,38.32
89316,Eureka,NV,Eureka County,38.32
89408,Fernley,NV,Lyon County,38.43
89409,Gabbs,NV,Nye County,38.29
89410,Gardnerville,NV,Douglas County,40.25
89460,Gardnerville,NV,Douglas County,38.34
89412,Gerlach,NV,Washoe County,40.25
89413,Glenbrook,NV,Douglas County,40.25
89414,Golconda,NV,Humboldt County,38.3
89013,Goldfield,NV,Esmeralda County,38.25
89002,Henderson,NV,Clark County,87.5
89009,Henderson,NV,Clark County,43.75
89011,Henderson,NV,Clark County,87.5
89012,Henderson,NV,Clark County,87.5
89014,Henderson,NV,Clark County,87.5
89015,Henderson,NV,Clark County,87.5
89016,Henderson,NV,Clark County,43.75
89044,Henderson,NV,Clark County,87.5
89052,Henderson,NV,Clark County,87.5
89053,Henderson,NV,Clark County,43.75
89074,Henderson,NV,Clark County,87.5
89077,Henderson,NV,Clark County,43.75
89418,Imlay,NV,Pershing County,38.28
89450,Incline Village,NV,Washoe County,35.0
89451,Incline Village,NV,Washoe County,38.34
89018,Indian Springs,NV,Clark County,43.75
89825,Jackpot,NV,Elko County,38.22
89019,Jean,NV,Clark County,46.66
89101,Las Vegas,NV,Clark County,87.5
89102,Las Vegas,NV,Clark County,87.5
89103,Las Vegas,NV,Clark County,87.5
89104,Las Vegas,NV,Clark County,87.5
89105,Las Vegas,NV,Clark County,43.75
89106,Las Vegas,NV,Clark County,87.5
89107,Las Vegas,NV,Clark County,87.5
89108,Las Vegas,NV,Clark County,87.5
89109,Las Vegas,NV,Clark County,87.5
89110,Las Vegas,NV,Clark County,87.5
89111,Las Vegas,NV,Clark County,43.75
89112,Las Vegas,NV,Clark County,43.75
89113,Las Vegas,NV,Clark County,87.5
89114,Las Vegas,NV,Clark County,43.75
89115,Las Vegas,NV,Clark County,87.5
89116,Las Vegas,NV,Clark County,43.75
89117,Las Vegas,NV,Clark County,87.5
89118,Las Vegas,NV,Clark County,87.5
89119,Las Vegas,NV,Clark County,87.5
89120,Las Vegas,NV,Clark County,87.5
89121,Las Vegas,NV,Clark County,87.5
89122,Las Vegas,NV,Clark County,87.5
89123,Las Vegas,NV,Clark County,87.5
89124,Las Vegas,NV,Clark County,44.66
89125,Las Vegas,NV,Clark County,46.66
89126,Las Vegas,NV,Clark County,43.75
89127,Las Vegas,NV,Clark County,43.75
89128,Las Vegas,NV,Clark County,87.5
89129,Las Vegas,NV,Clark County,87.5
89130,Las Vegas,NV,Clark County,87.5
89131,Las Vegas,NV,Clark County,87.5
89132,Las Vegas,NV,Clark County,43.75
89133,Las Vegas,NV,Clark County,43.75
89134,Las Vegas,NV,Clark County,87.5
89135,Las Vegas,NV,Clark County,87.5
89136,Las Vegas,NV,Clark County,43.75
89137,Las Vegas,NV,Clark County,43.75
89138,Las Vegas,NV,Clark County,87.5
89139,Las Vegas,NV,Clark County,87.5
89140,Las Vegas,NV,Clark County,43.75
89141,Las Vegas,NV,Clark County,87.5
89142,Las Vegas,NV,Clark County,87.5
89143,Las Vegas,NV,Clark County,87.5
89144,Las Vegas,NV,Clark County,87.5
89145,Las Vegas,NV,Clark County,87.5
89146,Las Vegas,NV,Clark County,87.5
89147,Las Vegas,NV,Clark County,87.5
89148,Las Vegas,NV,Clark County,87.5
89149,Las Vegas,NV,Clark County,87.5
89150,Las Vegas,NV,Clark County,43.75
89151,Las Vegas,NV,Clark County,43.75
89152,Las Vegas,NV,Clark County,43.75
89153,Las Vegas,NV,Clark County,43.75
89154,Las Vegas,NV,Clark County,43.75
89155,Las Vegas,NV,Clark County,43.75
89156,Las Vegas,NV,Clark County,87.5
89157,Las Vegas,NV,Clark County,43.75
89158,Las Vegas,NV,Clark County,43.75
89159,Las Vegas,NV,Clark County,43.75
89160,Las Vegas,NV,Clark County,43.75
89161,Las Vegas,NV,Clark County,43.75
89162,Las Vegas,NV,Clark County,43.75
89164,Las Vegas,NV,Clark County,43.75
89165,Las Vegas,NV,Clark County,43.75
89166,Las Vegas,NV,Clark County,87.5
89169,Las Vegas,NV,Clark County,87.5
89170,Las Vegas,NV,Clark County,43.75
89173,Las Vegas,NV,Clark County,43.75
89177,Las Vegas,NV,Clark County,43.75
89178,Las Vegas,NV,Clark County,87.5
89179,Las Vegas,NV,Clark County,87.5
89180,Las Vegas,NV,Clark County,43.75
89183,Las Vegas,NV,Clark County,87.5
89185,Las Vegas,NV,Clark County,43.75
89193,Las Vegas,NV,Clark County,43.75
89195,Las Vegas,NV,Clark County,43.75
89199,Las Vegas,NV,Clark County,43.75
89028,Laughlin,NV,Clark County,38.31
89029,Laughlin,NV,Clark County,39.38
89419,Lovelock,NV,Pershing County,38.34
89317,Lund,NV,White Pine County,38.26
89420,Luning,NV,Mineral County,38.33
89318,Mc Gill,NV,White Pine County,38.35
89027,Mesquite,NV,Clark County,48.83
89423,Minden,NV,Douglas County,38.2
89191,Nellis Afb,NV,Clark County,43.75
89424,Nixon,NV,Washoe County,35.0
89030,North Las Vegas,NV,Clark County,87.5
89031,North Las Vegas,NV,Clark County,87.5
89032,North Las Vegas,NV,Clark County,87.5
89033,North Las Vegas,NV,Clark County,43.75
89036,North Las Vegas,NV,Clark County,43.75
89081,North Las Vegas,NV,Clark County,87.5
