zip,city,state,county,payout
43802,Adamsville,OH,Muskingum County,42.0
45001,Addyston,OH,Hamilton County,43.12
43101,Adelphi,OH,Ross County,37.13
44301,Akron,OH,Summit County,44.0
44302,Akron,OH,Summit County,44.0
44303,Akron,OH,Summit County,44.0
44304,Akron,OH,Summit County,44.0
44305,Akron,OH,Summit County,44.0
44306,Akron,OH,Summit County,44.0
44307,Akron,OH,Summit County,44.0
44308,Akron,OH,Summit County,44.0
44309,Akron,OH,Summit County,44.0
44310,Akron,OH,Summit County,44.0
44311,Akron,OH,Summit County,44.0
44312,Akron,OH,Summit County,44.0
44313,Akron,OH,Summit County,44.0
44314,Akron,OH,Summit County,44.0
44315,Akron,OH,Summit County,44.0
44316,Akron,OH,Summit County,44.0
44317,Akron,OH,Summit County,44.0
44319,Akron,OH,Summit County,44.0
44320,Akron,OH,Summit County,44.0
44321,Akron,OH,Summit County,44.0
44325,Akron,OH,Summit County,44.0
44326,Akron,OH,Summit County,44.0
44328,Akron,OH,Summit County,44.0
44333,Akron,OH,Summit County,44.0
44372,Akron,OH,Summit County,44.0
44396,Akron,OH,Summit County,44.0
44398,Akron,OH,Summit County,44.0
43001,Alexandria,OH,Licking County,45.81
44601,Alliance,OH,Stark County,43.0
45301,Alpha,OH,Greene County,48.0
43102,Amanda,OH,Fairfield County,43.0
45102,Amelia,OH,Clermont County,43.12
44001,Amherst,OH,Lorain County,36.0
43002,Amlin,OH,Franklin County,45.85
45302,Anna,OH,Shelby County,37.13
45303,Ansonia,OH,Darke County,37.13
44606,Apple Creek,OH,Wayne County,37.13
45304,Arcanum,OH,Darke County,48.0
44805,Ashland,OH,Ashland County,42.52
43003,Ashley,OH,Delaware County,49.0
44004,Ashtabula,OH,Ashtabula County,38.81
43103,Ashville,OH,Pickaway County,42.0
45701,Athens,OH,Athens County,35.36
44202,Aurora,OH,Portage County,35.36
43711,Ava,OH,Noble County,37.13
44011,Avon,OH,Lorain County,38.06
44012,Avon Lake,OH,Lorain County,37.67
45612,Bainbridge,OH,Ross County,36.0
43804,Baltic,OH,Holmes County,37.13
43105,Baltimore,OH,Fairfield County,45.81
44203,Barberton,OH,Summit County,44.0
45103,Batavia,OH,Clermont County,43.12
44210,Bath,OH,Summit County,44.0
44140,Bay Village,OH,Cuyahoga County,44.0
44608,Beach City,OH,Stark County,43.0
44122,Beachwood,OH,Cuyahoga County,44.0
44146,Bedford,OH,Cuyahoga County,44.0
45305,Bellbrook,OH,Greene County,48.0
43310,Belle Center,OH,Logan County,36.0
43717,Belle Valley,OH,Noble County,37.13
43311,Bellefontaine,OH,Logan County,36.0
44813,Bellville,OH,Richland County,37.13
44017,Berea,OH,Cuyahoga County,44.0
44401,Berlin Center,OH,Mahoning County,43.0
45106,Bethel,OH,Clermont County,54.18
44611,Big Prairie,OH,Holmes County,37.13
43004,Blacklick,OH,Franklin County,45.85
43005,Bladensburg,OH,Knox County,37.13
45107,Blanchester,OH,Clinton County,48.0
43805,Blissfield,OH,Coshocton County,37.13
43106,Bloomingburg,OH,Fayette County,35.0
43720,Blue Rock,OH,Muskingum County,42.0
45306,Botkins,OH,Shelby County,37.13
45617,Bourneville,OH,Ross County,40.95
45307,Bowersville,OH,Greene County,48.0
45308,Bradford,OH,Darke County,37.63
44141,Brecksville,OH,Cuyahoga County,44.0
43107,Bremen,OH,Fairfield County,43.0
44613,Brewster,OH,Stark County,43.0
43109,Brice,OH,Franklin County,45.85
43006,Brinkhaven,OH,Holmes County,37.13
44147,Broadview Heights,OH,Cuyahoga County,44.0
43007,Broadway,OH,Union County,42.0
44403,Brookfield,OH,Trumbull County,43.0
44142,Brookpark,OH,Cuyahoga County,44.0
45309,Brookville,OH,Montgomery County,48.0
43721,Brownsville,OH,Licking County,43.0
44212,Brunswick,OH,Medina County,43.0
43008,Buckeye Lake,OH,Licking County,45.81
44820,Bucyrus,OH,Crawford County,50.12
43722,Buffalo,OH,Guernsey County,37.13
44021,Burton,OH,Geauga County,37.65
44822,Butler,OH,Richland County,37.13
43723,Byesville,OH,Guernsey County,37.13
43009,Cable,OH,Champaign County,44.03
43724,Caldwell,OH,Noble County,41.11
43314,Caledonia,OH,Marion County,37.13
43725,Cambridge,OH,Guernsey County,40.63
45311,Camden,OH,Preble County,48.0
45111,Camp Dennison,OH,Hamilton County,54.18
44405,Campbell,OH,Mahoning County,43.0
44614,Canal Fulton,OH,Stark County,43.0
43110,Canal Winchester,OH,Franklin County,45.85
44406,Canfield,OH,Mahoning County,43.0
44701,Canton,OH,Stark County,43.0
44702,Canton,OH,Stark County,43.0
44703,Canton,OH,Stark County,43.0
44704,Canton,OH,Stark County,43.0
44705,Canton,OH,Stark County,43.0
44706,Canton,OH,Stark County,43.0
44707,Canton,OH,Stark County,43.0
44708,Canton,OH,Stark County,43.0
44709,Canton,OH,Stark County,43.0
44710,Canton,OH,Stark County,43.0
44711,Canton,OH,Stark County,43.0
44714,Canton,OH,Stark County,43.0
44718,Canton,OH,Stark County,43.0
44721,Canton,OH,Stark County,43.0
44735,Canton,OH,Stark County,43.0
44750,Canton,OH,Stark County,43.0
44767,Canton,OH,Stark County,43.0
44799,Canton,OH,Stark County,43.0
43111,Carbon Hill,OH,Hocking County,35.0
43315,Cardington,OH,Morrow County,42.0
43112,Carroll,OH,Fairfield County,43.0
45312,Casstown,OH,Miami County,44.03
43010,Catawba,OH,Clark County,42.0
45314,Cedarville,OH,Greene County,48.0
43011,Centerburg,OH,Knox County,52.45
44022,Chagrin Falls,OH,Cuyahoga County,44.0
44023,Chagrin Falls,OH,Geauga County,37.71
43727,Chandlersville,OH,Muskingum County,42.0
44024,Chardon,OH,Geauga County,38.81
44825,Chatfield,OH,Crawford County,37.13
43728,Chesterhill,OH,Morgan County,38.27
44026,Chesterland,OH,Geauga County,37.67
43317,Chesterville,OH,Morrow County,42.0
45601,Chillicothe,OH,Ross County,40.04
44215,Chippewa Lake,OH,Medina County,43.0
45389,Christiansburg,OH,Champaign County,36.0
45202,Cincinnati,OH,Hamilton County,54.18
45204,Cincinnati,OH,Hamilton County,56.7
45206,Cincinnati,OH,Hamilton County,40.04
45208,Cincinnati,OH,Hamilton County,40.04
45209,Cincinnati,OH,Hamilton County,43.12
45211,Cincinnati,OH,Hamilton County,56.7
45212,Cincinnati,OH,Hamilton County,56.7
45213,Cincinnati,OH,Hamilton County,40.04
45214,Cincinnati,OH,Hamilton County,56.7
45215,Cincinnati,OH,Hamilton County,48.0
45216,Cincinnati,OH,Hamilton County,40.04
45219,Cincinnati,OH,Hamilton County,43.12
45223,Cincinnati,OH,Hamilton County,56.7
45224,Cincinnati,OH,Hamilton County,54.18
45226,Cincinnati,OH,Hamilton County,56.7
45227,Cincinnati,OH,Hamilton County,56.7
45230,Cincinnati,OH,Hamilton County,43.12
45231,Cincinnati,OH,Hamilton County,54.18
45232,Cincinnati,OH,Hamilton County,43.12
45233,Cincinnati,OH,Hamilton County,55.44
45236,Cincinnati,OH,Hamilton County,43.12
