zip,city,state,county,payout
73007,Arcadia,OK,Oklahoma County,49.5
74421,Beggs,OK,Okmulgee County,33.6
73008,Bethany,OK,Oklahoma County,56.7
74008,Bixby,OK,Tulsa County,77.0
73010,Blanchard,OK,Mcclain County,43.12
74011,Broken Arrow,OK,Tulsa County,77.0
74012,Broken Arrow,OK,Tulsa County,77.0
74013,Broken Arrow,OK,Wagoner County,77.0
74014,Broken Arrow,OK,Wagoner County,77.0
74831,Byars,OK,Mcclain County,44.1
74015,Catoosa,OK,Rogers County,77.0
73020,Choctaw,OK,Oklahoma County,56.7
74017,Claremore,OK,Rogers County,37.13
74018,Claremore,OK,Rogers County,37.13
74019,Claremore,OK,Rogers County,37.59
74021,Collinsville,OK,Tulsa County,39.5
74429,Coweta,OK,Wagoner County,77.0
73003,Edmond,OK,Oklahoma County,49.5
73012,Edmond,OK,Oklahoma County,49.5
73013,Edmond,OK,Oklahoma County,49.5
73025,Edmond,OK,Oklahoma County,55.44
73034,Edmond,OK,Oklahoma County,49.5
73083,Edmond,OK,Oklahoma County,48.0
74033,Glenpool,OK,Tulsa County,77.0
73044,Guthrie,OK,Logan County,34.65
73045,Harrah,OK,Oklahoma County,48.0
74036,Inola,OK,Rogers County,44.68
74037,Jenks,OK,Tulsa County,77.0
73049,Jones,OK,Oklahoma County,49.5
74039,Kellyville,OK,Creek County,37.13
74041,Kiefer,OK,Creek County,37.69
73505,Lawton,OK,Comanche County,38.32
73051,Lexington,OK,Cleveland County,43.0
73054,Luther,OK,Oklahoma County,48.0
74044,Mannford,OK,Creek County,44.68
74047,Mounds,OK,Okmulgee County,37.13
73064,Mustang,OK,Canadian County,44.1
74857,Newalla,OK,Cleveland County,43.0
73066,Nicoma Park,OK,Oklahoma County,48.0
73068,Noble,OK,Cleveland County,43.0
73019,Norman,OK,Cleveland County,43.0
73026,Norman,OK,Cleveland County,43.0
73069,Norman,OK,Cleveland County,43.0
73070,Norman,OK,Cleveland County,43.0
73071,Norman,OK,Cleveland County,43.0
73072,Norman,OK,Cleveland County,43.0
74050,Oakhurst,OK,Creek County,39.5
73101,Oklahoma City,OK,Oklahoma County,48.0
73102,Oklahoma City,OK,Oklahoma County,49.5
73103,Oklahoma City,OK,Oklahoma County,49.5
73104,Oklahoma City,OK,Oklahoma County,48.0
73105,Oklahoma City,OK,Oklahoma County,49.5
73106,Oklahoma City,OK,Oklahoma County,49.5
73107,Oklahoma City,OK,Oklahoma County,49.5
73108,Oklahoma City,OK,Oklahoma County,49.5
73109,Oklahoma City,OK,Oklahoma County,56.7
73110,Oklahoma City,OK,Oklahoma County,55.44
73111,Oklahoma City,OK,Oklahoma County,49.5
73112,Oklahoma City,OK,Oklahoma County,49.5
73113,Oklahoma City,OK,Oklahoma County,48.0
73114,Oklahoma City,OK,Oklahoma County,49.5
73115,Oklahoma City,OK,Oklahoma County,49.5
73116,Oklahoma City,OK,Oklahoma County,55.44
73117,Oklahoma City,OK,Oklahoma County,49.5
73118,Oklahoma City,OK,Oklahoma County,49.5
73119,Oklahoma City,OK,Oklahoma County,49.5
73120,Oklahoma City,OK,Oklahoma County,54.81
73121,Oklahoma City,OK,Oklahoma County,49.5
73122,Oklahoma City,OK,Oklahoma County,49.5
73123,Oklahoma City,OK,Oklahoma County,48.0
73124,Oklahoma City,OK,Oklahoma County,48.0
73125,Oklahoma City,OK,Oklahoma County,48.0
73126,Oklahoma City,OK,Oklahoma County,48.0
73127,Oklahoma City,OK,Oklahoma County,49.5
73128,Oklahoma City,OK,Canadian County,49.5
73129,Oklahoma City,OK,Oklahoma County,49.5
73130,Oklahoma City,OK,Oklahoma County,49.5
73131,Oklahoma City,OK,Oklahoma County,49.5
73132,Oklahoma City,OK,Oklahoma County,49.5
73134,Oklahoma City,OK,Oklahoma County,49.5
73135,Oklahoma City,OK,Oklahoma County,49.5
73136,Oklahoma City,OK,Oklahoma County,48.0
73137,Oklahoma City,OK,Oklahoma County,48.0
73139,Oklahoma City,OK,Oklahoma County,49.5
73140,Oklahoma City,OK,Oklahoma County,48.0
73141,Oklahoma City,OK,Oklahoma County,49.5
73142,Oklahoma City,OK,Oklahoma County,49.5
73143,Oklahoma City,OK,Oklahoma County,48.0
73144,Oklahoma City,OK,Oklahoma County,48.0
73145,Oklahoma City,OK,Oklahoma County,49.5
73146,Oklahoma City,OK,Oklahoma County,48.0
73147,Oklahoma City,OK,Oklahoma County,48.0
73148,Oklahoma City,OK,Oklahoma County,48.0
73149,Oklahoma City,OK,Oklahoma County,49.5
73150,Oklahoma City,OK,Oklahoma County,49.5
73151,Oklahoma City,OK,Oklahoma County,49.5
73152,Oklahoma City,OK,Oklahoma County,48.0
73153,Oklahoma City,OK,Oklahoma County,48.0
73154,Oklahoma City,OK,Oklahoma County,48.0
73155,Oklahoma City,OK,Oklahoma County,49.5
73156,Oklahoma City,OK,Oklahoma County,48.0
73157,Oklahoma City,OK,Oklahoma County,48.0
73159,Oklahoma City,OK,Oklahoma County,49.5
73160,Oklahoma City,OK,Cleveland County,43.0
73162,Oklahoma City,OK,Oklahoma County,49.5
73163,Oklahoma City,OK,Oklahoma County,48.0
73164,Oklahoma City,OK,Oklahoma County,48.0
73165,Oklahoma City,OK,Cleveland County,43.0
73167,Oklahoma City,OK,Oklahoma County,48.0
73169,Oklahoma City,OK,Oklahoma County,49.5
73170,Oklahoma City,OK,Cleveland County,43.0
73172,Oklahoma City,OK,Oklahoma County,48.0
73173,Oklahoma City,OK,Cleveland County,49.5
73178,Oklahoma City,OK,Oklahoma County,48.0
73179,Oklahoma City,OK,Oklahoma County,49.5
73184,Oklahoma City,OK,Oklahoma County,48.0
73185,Oklahoma City,OK,Oklahoma County,48.0
73189,Oklahoma City,OK,Oklahoma County,43.0
73190,Oklahoma City,OK,Oklahoma County,48.0
73194,Oklahoma City,OK,Oklahoma County,48.0
73195,Oklahoma City,OK,Oklahoma County,48.0
73196,Oklahoma City,OK,Oklahoma County,48.0
74053,Oologah,OK,Rogers County,44.68
74055,Owasso,OK,Tulsa County,77.0
73078,Piedmont,OK,Canadian County,49.5
74361,Pryor,OK,Mayes County,40.63
74061,Ramona,OK,Washington County,37.13
74063,Sand Springs,OK,Tulsa County,77.0
