zip,city,state,county,payout
16820,Aaronsburg,PA,Centre County,43.0
17301,Abbottstown,PA,Adams County,36.0
19001,Abington,PA,Montgomery County,64.75
15520,Acosta,PA,Somerset County,43.0
15611,Adamsburg,PA,Westmoreland County,34.65
19501,Adamstown,PA,Lancaster County,108.5
15411,Addison,PA,Somerset County,43.0
17302,Airville,PA,York County,108.5
17501,Akron,PA,Lancaster County,108.5
18011,Alburtis,PA,Lehigh County,50.5
16601,Altoona,PA,Blair County,43.0
16602,Altoona,PA,Blair County,43.0
16603,Altoona,PA,Blair County,43.0
15521,Alum Bank,PA,Bedford County,39.5
15710,Alverda,PA,Indiana County,43.0
19002,Ambler,PA,Montgomery County,64.75
18211,Andreas,PA,Schuylkill County,36.0
17003,Annville,PA,Lebanon County,108.5
15712,Arcadia,PA,Indiana County,43.0
19003,Ardmore,PA,Montgomery County,60.2
17303,Arendtsville,PA,Adams County,36.0
15920,Armagh,PA,Indiana County,43.0
17211,Artemas,PA,Bedford County,39.5
17921,Ashland,PA,Schuylkill County,36.0
16613,Ashville,PA,Cambria County,43.0
17304,Aspers,PA,Adams County,36.0
19014,Aston,PA,Delaware County,67.5
19310,Atglen,PA,Chester County,59.5
17922,Auburn,PA,Schuylkill County,36.0
19407,Audubon,PA,Montgomery County,55.0
15713,Aultman,PA,Indiana County,43.0
19311,Avondale,PA,Chester County,61.6
17502,Bainbridge,PA,Lancaster County,108.5
19004,Bala Cynwyd,PA,Montgomery County,64.75
19503,Bally,PA,Berks County,50.5
18013,Bangor,PA,Northampton County,36.0
18214,Barnesville,PA,Schuylkill County,36.0
17503,Bart,PA,Lancaster County,108.5
19504,Barto,PA,Berks County,50.5
18014,Bath,PA,Northampton County,36.0
17504,Bausman,PA,Lancaster County,108.5
15921,Beaverdale,PA,Cambria County,43.0
19505,Bechtelsville,PA,Berks County,50.5
15522,Bedford,PA,Bedford County,39.5
18910,Bedminster,PA,Bucks County,49.5
16823,Bellefonte,PA,Centre County,43.0
16617,Bellwood,PA,Blair County,43.0
15922,Belsano,PA,Cambria County,43.0
17306,Bendersville,PA,Adams County,36.0
19020,Bensalem,PA,Bucks County,64.75
15530,Berlin,PA,Somerset County,43.0
19506,Bernville,PA,Berks County,50.5
19312,Berwyn,PA,Chester County,67.72
16112,Bessemer,PA,Lawrence County,43.0
19507,Bethel,PA,Berks County,50.5
15102,Bethel Park,PA,Allegheny County,34.65
18015,Bethlehem,PA,Northampton County,36.0
18016,Bethlehem,PA,Lehigh County,36.0
18017,Bethlehem,PA,Northampton County,36.0
18020,Bethlehem,PA,Northampton County,36.0
16211,Beyer,PA,Indiana County,43.0
17212,Big Cove Tannery,PA,Fulton County,37.13
17307,Biglerville,PA,Adams County,36.0
19421,Birchrunville,PA,Chester County,59.5
17505,Bird In Hand,PA,Lancaster County,108.5
19508,Birdsboro,PA,Berks County,50.5
15716,Black Lick,PA,Indiana County,43.0
15717,Blairsville,PA,Indiana County,43.0
16826,Blanchard,PA,Centre County,43.0
16619,Blandburg,PA,Cambria County,43.0
19510,Blandon,PA,Berks County,50.5
18911,Blooming Glen,PA,Bucks County,49.5
17506,Blue Ball,PA,Lancaster County,108.5
19422,Blue Bell,PA,Montgomery County,64.75
19424,Blue Bell,PA,Montgomery County,55.0
17214,Blue Ridge Summit,PA,Franklin County,37.13
16827,Boalsburg,PA,Centre County,43.0
17007,Boiling Springs,PA,Cumberland County,53.0
15531,Boswell,PA,Somerset County,43.0
19511,Bowers,PA,Berks County,50.5
17507,Bowmansville,PA,Lancaster County,108.5
19512,Boyertown,PA,Berks County,50.5
15532,Boynton,PA,Somerset County,43.0
17923,Branchdale,PA,Schuylkill County,36.0
19316,Brandamore,PA,Chester County,59.5
15533,Breezewood,PA,Bedford County,39.5
18031,Breinigsville,PA,Lehigh County,33.32
19405,Bridgeport,PA,Montgomery County,64.75
15017,Bridgeville,PA,Allegheny County,33.0
19007,Bristol,PA,Bucks County,64.75
17925,Brockton,PA,Schuylkill County,36.0
17309,Brogue,PA,York County,108.5
19015,Brookhaven,PA,Delaware County,67.5
19008,Broomall,PA,Delaware County,67.72
17508,Brownstown,PA,Lancaster County,108.5
15720,Brush Valley,PA,Indiana County,43.0
19009,Bryn Athyn,PA,Montgomery County,64.75
19010,Bryn Mawr,PA,Delaware County,67.5
18912,Buckingham,PA,Bucks County,64.75
15534,Buffalo Mills,PA,Bedford County,39.5
15924,Cairnbrook,PA,Somerset County,43.0
17011,Camp Hill,PA,Cumberland County,108.5
17010,Campbelltown,PA,Lebanon County,108.5
15317,Canonsburg,PA,Washington County,33.0
17013,Carlisle,PA,Cumberland County,53.0
17015,Carlisle,PA,Cumberland County,53.0
15106,Carnegie,PA,Allegheny County,34.65
15722,Carrolltown,PA,Cambria County,43.0
18913,Carversville,PA,Bucks County,64.75
15925,Cassandra,PA,Cambria County,43.0
19423,Cedars,PA,Montgomery County,55.0
19516,Centerport,PA,Berks County,50.5
15926,Central City,PA,Somerset County,43.0
16828,Centre Hall,PA,Centre County,43.0
19317,Chadds Ford,PA,Delaware County,67.5
18914,Chalfont,PA,Bucks County,64.75
17201,Chambersburg,PA,Franklin County,38.5
17202,Chambersburg,PA,Franklin County,38.5
15723,Chambersville,PA,Indiana County,43.0
19318,Chatham,PA,Chester County,59.5
19012,Cheltenham,PA,Montgomery County,64.75
15724,Cherry Tree,PA,Indiana County,43.0
18035,Cherryville,PA,Northampton County,36.0
16624,Chest Springs,PA,Cambria County,43.0
19013,Chester,PA,Delaware County,67.72
19016,Chester,PA,Delaware County,67.5
19017,Chester Heights,PA,Delaware County,67.5
19425,Chester Springs,PA,Chester County,61.6
15024,Cheswick,PA,Allegheny County,33.88
19319,Cheyney,PA,Delaware County,67.5
17509,Christiana,PA,Lancaster County,108.5
15025,Clairton,PA,Allegheny County,34.65
16829,Clarence,PA,Centre County,43.0
15725,Clarksburg,PA,Indiana County,43.0
16625,Claysburg,PA,Blair County,43.0
15535,Clearville,PA,Bedford County,39.5
19018,Clifton Heights,PA,Delaware County,67.5
15727,Clune,PA,Indiana County,43.0
15728,Clymer,PA,Indiana County,43.0
18218,Coaldale,PA,Schuylkill County,36.0
19320,Coatesville,PA,Chester County,67.72
