zip,city,state,county,payout
75001,Addison,TX,Dallas County,50.82
78101,Adkins,TX,Wilson County,39.38
76008,Aledo,TX,Parker County,47.25
77411,Alief,TX,Harris County,45.0
75002,Allen,TX,Collin County,51.98
75013,Allen,TX,Collin County,49.5
76009,Alvarado,TX,Johnson County,39.5
77511,Alvin,TX,Brazoria County,37.13
77512,Alvin,TX,Brazoria County,37.13
76225,Alvord,TX,Wise County,39.5
77830,Anderson,TX,Grimes County,35.0
75409,Anna,TX,Collin County,49.5
76226,Argyle,TX,Denton County,49.5
76001,Arlington,TX,Tarrant County,52.5
76002,Arlington,TX,Tarrant County,67.38
76003,Arlington,TX,Tarrant County,49.5
76004,Arlington,TX,Tarrant County,49.5
76005,Arlington,TX,Tarrant County,49.5
76006,Arlington,TX,Tarrant County,52.5
76007,Arlington,TX,Tarrant County,49.5
76010,Arlington,TX,Tarrant County,67.38
76011,Arlington,TX,Tarrant County,52.5
76012,Arlington,TX,Tarrant County,52.5
76013,Arlington,TX,Tarrant County,67.38
76014,Arlington,TX,Tarrant County,52.5
76015,Arlington,TX,Tarrant County,52.5
76016,Arlington,TX,Tarrant County,52.5
76017,Arlington,TX,Tarrant County,67.38
76018,Arlington,TX,Tarrant County,52.5
76019,Arlington,TX,Tarrant County,52.5
76094,Arlington,TX,Tarrant County,49.5
76096,Arlington,TX,Tarrant County,49.5
76820,Art,TX,Mason County,39.88
78002,Atascosa,TX,Bexar County,49.0
75751,Athens,TX,Henderson County,42.14
75752,Athens,TX,Henderson County,39.5
76227,Aubrey,TX,Denton County,49.5
73301,Austin,TX,Travis County,50.4
73344,Austin,TX,Travis County,44.0
78701,Austin,TX,Travis County,49.5
78702,Austin,TX,Travis County,51.17
78703,Austin,TX,Travis County,49.5
78704,Austin,TX,Travis County,53.55
78705,Austin,TX,Travis County,53.55
78708,Austin,TX,Travis County,44.0
78709,Austin,TX,Travis County,44.0
78710,Austin,TX,Travis County,44.0
78711,Austin,TX,Travis County,44.0
78712,Austin,TX,Travis County,49.5
78713,Austin,TX,Travis County,44.0
78714,Austin,TX,Travis County,44.0
78715,Austin,TX,Travis County,44.0
78716,Austin,TX,Travis County,44.0
78717,Austin,TX,Williamson County,52.5
78718,Austin,TX,Travis County,44.0
78719,Austin,TX,Travis County,44.0
78720,Austin,TX,Travis County,44.0
78721,Austin,TX,Travis County,49.66
78722,Austin,TX,Travis County,49.5
78723,Austin,TX,Travis County,51.17
78724,Austin,TX,Travis County,53.55
78725,Austin,TX,Travis County,46.75
78726,Austin,TX,Travis County,49.5
78727,Austin,TX,Travis County,49.5
78728,Austin,TX,Travis County,53.55
78729,Austin,TX,Williamson County,53.55
78730,Austin,TX,Travis County,50.4
78731,Austin,TX,Travis County,49.5
78732,Austin,TX,Travis County,52.5
78733,Austin,TX,Travis County,49.5
78734,Austin,TX,Travis County,53.55
78735,Austin,TX,Travis County,51.98
78736,Austin,TX,Travis County,49.5
78737,Austin,TX,Hays County,51.98
78738,Austin,TX,Travis County,52.36
78739,Austin,TX,Travis County,51.98
78741,Austin,TX,Travis County,53.55
78742,Austin,TX,Travis County,44.0
78744,Austin,TX,Travis County,47.25
78745,Austin,TX,Travis County,51.98
78746,Austin,TX,Travis County,52.36
78747,Austin,TX,Travis County,47.25
78748,Austin,TX,Travis County,51.98
78749,Austin,TX,Travis County,51.17
78750,Austin,TX,Travis County,49.66
78751,Austin,TX,Travis County,49.5
78752,Austin,TX,Travis County,53.55
