zip,city,state,county,payout
84004,Alpine,UT,Utah County,52.25
84003,American Fork,UT,Utah County,59.85
84006,Bingham Canyon,UT,Salt Lake County,59.85
84010,Bountiful,UT,Davis County,68.5
84011,Bountiful,UT,Davis County,68.5
84013,Cedar Valley,UT,Utah County,52.25
84014,Centerville,UT,Davis County,68.5
84015,Clearfield,UT,Davis County,68.5
84016,Clearfield,UT,Davis County,68.5
84089,Clearfield,UT,Davis County,68.5
84017,Coalville,UT,Summit County,52.25
84018,Croydon,UT,Morgan County,35.15
84020,Draper,UT,Salt Lake County,58.52
84022,Dugway,UT,Tooele County,52.25
84005,Eagle Mountain,UT,Utah County,59.85
84024,Echo,UT,Summit County,52.25
84310,Eden,UT,Weber County,52.25
84626,Elberta,UT,Utah County,52.25
84628,Eureka,UT,Juab County,35.75
84025,Farmington,UT,Davis County,68.5
84633,Goshen,UT,Utah County,52.25
84029,Grantsville,UT,Tooele County,52.25
84525,Green River,UT,Emery County,35.75
84032,Heber City,UT,Wasatch County,44.1
84033,Henefer,UT,Summit County,52.25
84096,Herriman,UT,Salt Lake County,52.25
84056,Hill Afb,UT,Davis County,68.5
84315,Hooper,UT,Weber County,52.25
84317,Huntsville,UT,Weber County,52.25
84036,Kamas,UT,Summit County,52.25
84037,Kaysville,UT,Davis County,68.5
84040,Layton,UT,Davis County,68.5
84041,Layton,UT,Davis County,68.5
84043,Lehi,UT,Utah County,52.25
84042,Lindon,UT,Utah County,52.25
84044,Magna,UT,Salt Lake County,59.85
84664,Mapleton,UT,Utah County,52.25
84047,Midvale,UT,Salt Lake County,52.25
84049,Midway,UT,Wasatch County,43.49
84645,Mona,UT,Juab County,44.1
84050,Morgan,UT,Morgan County,42.09
84648,Nephi,UT,Juab County,44.1
84054,North Salt Lake,UT,Davis County,68.5
84055,Oakley,UT,Summit County,52.25
84201,Ogden,UT,Weber County,52.25
84244,Ogden,UT,Weber County,52.25
84401,Ogden,UT,Weber County,59.85
84402,Ogden,UT,Weber County,52.25
84403,Ogden,UT,Weber County,57.19
84404,Ogden,UT,Weber County,52.25
84405,Ogden,UT,Weber County,52.25
84407,Ogden,UT,Weber County,52.25
84408,Ogden,UT,Weber County,52.25
84409,Ogden,UT,Weber County,52.25
84412,Ogden,UT,Weber County,52.25
84414,Ogden,UT,Weber County,52.25
84415,Ogden,UT,Weber County,52.25
84057,Orem,UT,Utah County,59.85
84058,Orem,UT,Utah County,59.85
84059,Orem,UT,Utah County,58.52
84097,Orem,UT,Utah County,59.85
84060,Park City,UT,Summit County,59.85
84068,Park City,UT,Summit County,52.25
84098,Park City,UT,Summit County,57.85
84651,Payson,UT,Utah County,52.25
84061,Peoa,UT,Summit County,52.25
84062,Pleasant Grove,UT,Utah County,52.25
84601,Provo,UT,Utah County,52.25
84602,Provo,UT,Utah County,52.25
84603,Provo,UT,Utah County,52.25
84604,Provo,UT,Utah County,52.25
84605,Provo,UT,Utah County,52.25
84606,Provo,UT,Utah County,59.85
84065,Riverton,UT,Salt Lake County,52.25
84067,Roy,UT,Weber County,52.25
84069,Rush Valley,UT,Tooele County,52.25
84653,Salem,UT,Utah County,52.25
84101,Salt Lake City,UT,Salt Lake County,59.85
84102,Salt Lake City,UT,Salt Lake County,52.25
