zip,city,state,county,payout
20105,Aldie,VA,Loudoun County,61.25
22301,Alexandria,VA,Alexandria city,61.42
22302,Alexandria,VA,Alexandria city,61.25
22303,Alexandria,VA,Fairfax County,61.25
22304,Alexandria,VA,Alexandria city,61.42
22305,Alexandria,VA,Alexandria city,61.25
22306,Alexandria,VA,Fairfax County,61.25
22307,Alexandria,VA,Fairfax County,61.25
22308,Alexandria,VA,Fairfax County,61.25
22309,Alexandria,VA,Fairfax County,61.25
22310,Alexandria,VA,Fairfax County,61.25
22311,Alexandria,VA,Alexandria city,61.25
22312,Alexandria,VA,Fairfax County,61.42
22313,Alexandria,VA,Alexandria city,59.0
22314,Alexandria,VA,Alexandria city,61.42
22315,Alexandria,VA,Fairfax County,61.25
22320,Alexandria,VA,Alexandria city,61.25
22331,Alexandria,VA,Alexandria city,61.25
22332,Alexandria,VA,Alexandria city,61.25
22333,Alexandria,VA,Alexandria city,61.25
22334,Alexandria,VA,Alexandria city,61.25
22350,Alexandria,VA,Virginia Statewide,61.25
20106,Amissville,VA,Culpeper County,46.5
22003,Annandale,VA,Fairfax County,61.25
22201,Arlington,VA,Arlington County,61.42
22202,Arlington,VA,Arlington County,61.25
22203,Arlington,VA,Arlington County,61.25
22204,Arlington,VA,Arlington County,61.25
22205,Arlington,VA,Arlington County,61.25
22206,Arlington,VA,Arlington County,61.25
22207,Arlington,VA,Arlington County,61.25
22209,Arlington,VA,Arlington County,61.25
22210,Arlington,VA,Arlington County,61.25
22212,Arlington,VA,Arlington County,61.25
22213,Arlington,VA,Arlington County,61.25
22214,Arlington,VA,Arlington County,61.25
22215,Arlington,VA,Arlington County,61.25
22216,Arlington,VA,Arlington County,61.25
22217,Arlington,VA,Arlington County,61.25
22219,Arlington,VA,Arlington County,61.25
22225,Arlington,VA,Arlington County,61.25
22226,Arlington,VA,Arlington County,61.25
22227,Arlington,VA,Arlington County,61.25
22230,Arlington,VA,Arlington County,61.25
22240,Arlington,VA,Arlington County,61.25
22241,Arlington,VA,Arlington County,61.25
22242,Arlington,VA,Arlington County,61.25
22243,Arlington,VA,Arlington County,61.25
22244,Arlington,VA,Arlington County,61.25
22245,Arlington,VA,Arlington County,61.25
22246,Arlington,VA,Arlington County,61.25
20146,Ashburn,VA,Loudoun County,49.0
20147,Ashburn,VA,Loudoun County,61.25
20148,Ashburn,VA,Loudoun County,61.42
20149,Ashburn,VA,Loudoun County,49.0
23005,Ashland,VA,Hanover County,70.0
24054,Axton,VA,Henry County,36.0
24055,Bassett,VA,Henry County,36.0
22712,Bealeton,VA,Fauquier County,50.4
23014,Beaumont,VA,Powhatan County,53.2
23015,Beaverdam,VA,Hanover County,70.0
24523,Bedford,VA,Bedford County,36.0
24059,Bent Mountain,VA,Roanoke County,39.5
22611,Berryville,VA,Clarke County,36.96
24526,Big Island,VA,Bedford County,36.0
24060,Blacksburg,VA,Montgomery County,43.0
24061,Blacksburg,VA,Montgomery County,43.0
24062,Blacksburg,VA,Montgomery County,43.0
24063,Blacksburg,VA,Montgomery County,43.0
24064,Blue Ridge,VA,Botetourt County,43.0
20135,Bluemont,VA,Clarke County,61.25
24065,Boones Mill,VA,Franklin County,36.0
22620,Boyce,VA,Clarke County,36.75
22714,Brandy Station,VA,Culpeper County,46.5
24203,Bristol,VA,Bristol City County,39.68
20136,Bristow,VA,Prince William County,61.25
20137,Broad Run,VA,Fauquier County,61.25
22430,Brooke,VA,Stafford County,70.0
22622,Brucetown,VA,Frederick County,38.5
24066,Buchanan,VA,Botetourt County,43.0
22009,Burke,VA,Fairfax County,45.0
