zip,city,state,county,payout
98522,Adna,WA,Lewis County,35.0
99001,Airway Heights,WA,Spokane County,43.0
98601,Amboy,WA,Clark County,42.0
98603,Ariel,WA,Cowlitz County,36.0
98223,Arlington,WA,Snohomish County,63.5
98001,Auburn,WA,King County,67.72
98002,Auburn,WA,King County,67.72
98071,Auburn,WA,King County,37.73
98092,Auburn,WA,King County,63.5
98604,Battle Ground,WA,Clark County,49.0
98004,Bellevue,WA,King County,63.5
98005,Bellevue,WA,King County,63.5
98006,Bellevue,WA,King County,63.5
98007,Bellevue,WA,King County,63.5
98008,Bellevue,WA,King County,63.5
98009,Bellevue,WA,King County,35.42
99320,Benton City,WA,Benton County,54.81
98010,Black Diamond,WA,King County,63.5
98391,Bonney Lake,WA,Pierce County,63.5
98011,Bothell,WA,King County,63.5
98012,Bothell,WA,Snohomish County,63.5
98021,Bothell,WA,Snohomish County,66.22
98920,Brownstown,WA,Yakima County,36.0
98606,Brush Prairie,WA,Clark County,49.0
98321,Buckley,WA,Pierce County,63.5
98530,Bucoda,WA,Thurston County,36.0
98921,Buena,WA,Yakima County,36.0
99323,Burbank,WA,Walla Walla County,36.0
98013,Burton,WA,King County,37.73
98607,Camas,WA,Clark County,75.6
98430,Camp Murray,WA,Pierce County,63.5
98014,Carnation,WA,King County,63.5
98609,Carrolls,WA,Cowlitz County,36.0
98611,Castle Rock,WA,Cowlitz County,36.0
98531,Centralia,WA,Lewis County,38.64
99003,Chattaroy,WA,Spokane County,55.0
98532,Chehalis,WA,Lewis County,42.52
99004,Cheney,WA,Spokane County,55.0
98533,Cinebar,WA,Lewis County,35.0
99110,Clayton,WA,Stevens County,55.0
98922,Cle Elum,WA,Kittitas County,36.0
99005,Colbert,WA,Spokane County,55.0
99324,College Place,WA,Walla Walla County,36.0
99326,Connell,WA,Franklin County,36.0
98616,Cougar,WA,Cowlitz County,36.0
98923,Cowiche,WA,Yakima County,36.0
98538,Curtis,WA,Lewis County,35.0
99006,Deer Park,WA,Spokane County,55.0
99329,Dixie,WA,Walla Walla County,36.0
98539,Doty,WA,Lewis County,35.0
98327,Dupont,WA,Pierce County,63.5
98019,Duvall,WA,King County,63.5
98540,East Olympia,WA,Thurston County,36.0
98925,Easton,WA,Kittitas County,36.0
98328,Eatonville,WA,Pierce County,37.73
98020,Edmonds,WA,Snohomish County,63.5
98026,Edmonds,WA,Snohomish County,63.5
99009,Elk,WA,Spokane County,55.0
98926,Ellensburg,WA,Kittitas County,50.4
99330,Eltopia,WA,Franklin County,36.0
98022,Enumclaw,WA,King County,63.5
98542,Ethel,WA,Lewis County,35.0
98201,Everett,WA,Snohomish County,63.5
98203,Everett,WA,Snohomish County,63.5
98204,Everett,WA,Snohomish County,63.5
98207,Everett,WA,Snohomish County,63.5
98208,Everett,WA,Snohomish County,63.5
99011,Fairchild Air Force Base,WA,Spokane County,43.0
99012,Fairfield,WA,Spokane County,43.0
98024,Fall City,WA,King County,63.5
98003,Federal Way,WA,King County,63.5
98023,Federal Way,WA,King County,67.72
98063,Federal Way,WA,King County,58.27
98093,Federal Way,WA,King County,56.98
98424,Fife,WA,Pierce County,63.5
99014,Four Lakes,WA,Spokane County,55.0
98333,Fox Island,WA,Pierce County,63.5
98544,Galvin,WA,Lewis County,35.0
98329,Gig Harbor,WA,Pierce County,63.5
98332,Gig Harbor,WA,Pierce County,63.5
98335,Gig Harbor,WA,Pierce County,63.5
98336,Glenoma,WA,Lewis County,35.0
98251,Gold Bar,WA,Snohomish County,63.5
98338,Graham,WA,Pierce County,63.5
98930,Grandview,WA,Yakima County,36.0
98932,Granger,WA,Yakima County,36.0
99016,Greenacres,WA,Spokane County,43.0
98933,Harrah,WA,Yakima County,36.0
98622,Heisson,WA,Clark County,42.0
98027,Issaquah,WA,King County,63.5
98029,Issaquah,WA,King County,63.5
99335,Kahlotus,WA,Franklin County,36.0
98625,Kalama,WA,Cowlitz County,36.0
98626,Kelso,WA,Cowlitz County,36.0
98028,Kenmore,WA,King County,63.5
99336,Kennewick,WA,Benton County,36.0
99337,Kennewick,WA,Benton County,36.0
99338,Kennewick,WA,Benton County,48.16
98030,Kent,WA,King County,67.72
98031,Kent,WA,King County,65.47
98032,Kent,WA,King County,63.5
98042,Kent,WA,King County,63.5
98064,Kent,WA,King County,53.55
98089,Kent,WA,King County,37.73
98033,Kirkland,WA,King County,67.72
98034,Kirkland,WA,King County,63.5
98934,Kittitas,WA,Kittitas County,36.0
98629,La Center,WA,Clark County,47.0
98503,Lacey,WA,Thurston County,63.0
98509,Lacey,WA,Thurston County,36.0
98258,Lake Stevens,WA,Snohomish County,63.5
98439,Lakewood,WA,Pierce County,63.5
98497,Lakewood,WA,Pierce County,37.73
98498,Lakewood,WA,Pierce County,63.5
98499,Lakewood,WA,Pierce County,63.5
99018,Latah,WA,Spokane County,43.0
