zip,city,state,county,payout
25502,Apple Grove,WV,Mason County,42.14
25411,Berkeley Springs,WV,Morgan County,37.13
25413,Bunker Hill,WV,Berkeley County,36.96
25414,Charles Town,WV,Jefferson County,35.44
25301,Charleston,WV,Kanawha County,44.1
25302,Charleston,WV,Kanawha County,44.1
25312,Charleston,WV,Kanawha County,33.11
25315,Charleston,WV,Kanawha County,44.1
25333,Charleston,WV,Kanawha County,44.1
25387,Charleston,WV,Kanawha County,34.65
25064,Dunbar,WV,Kanawha County,42.14
25419,Falling Waters,WV,Berkeley County,42.52
25515,Gallipolis Ferry,WV,Mason County,33.88
25420,Gerrardstown,WV,Berkeley County,37.13
25421,Glengary,WV,Berkeley County,37.13
25521,Griffithsville,WV,Lincoln County,44.1
25425,Harpers Ferry,WV,Jefferson County,33.86
25427,Hedgesville,WV,Berkeley County,37.13
25701,Huntington,WV,Cabell County,44.1
25705,Huntington,WV,Cabell County,33.88
25526,Hurricane,WV,Putnam County,44.1
25428,Inwood,WV,Berkeley County,42.52
25430,Kearneysville,WV,Jefferson County,37.13
25401,Martinsburg,WV,Berkeley County,37.13
25403,Martinsburg,WV,Berkeley County,41.58
25404,Martinsburg,WV,Berkeley County,37.13
25405,Martinsburg,WV,Berkeley County,37.13
25541,Milton,WV,Cabell County,42.14
25159,Poca,WV,Putnam County,44.1
25438,Ranson,WV,Jefferson County,36.96
25177,Saint Albans,WV,Kanawha County,33.11
25442,Shenandoah Junction,WV,Jefferson County,37.13
25443,Shepherdstown,WV,Jefferson County,37.13
25309,South Charleston,WV,Kanawha County,44.1
