zip,city,state,county,payout
80002,Arvada,CO,Jefferson County,63.0
80003,Arvada,CO,Jefferson County,63.0
80004,Arvada,CO,Jefferson County,63.0
80005,Arvada,CO,Jefferson County,63.0
80007,Arvada,CO,Jefferson County,63.0
80610,Ault,CO,Weld County,63.0
80010,Aurora,CO,Arapahoe County,63.0
80011,Aurora,CO,Arapahoe County,63.0
80012,Aurora,CO,Arapahoe County,63.0
80013,Aurora,CO,Arapahoe County,63.0
80014,Aurora,CO,Arapahoe County,63.0
80015,Aurora,CO,Arapahoe County,63.0
80016,Aurora,CO,Arapahoe County,63.0
80017,Aurora,CO,Arapahoe County,63.0
80018,Aurora,CO,Arapahoe County,63.0
80019,Aurora,CO,Adams County,63.0
80040,Aurora,CO,Arapahoe County,34.78
80045,Aurora,CO,Adams County,63.0
80102,Bennett,CO,Adams County,63.0
80513,Berthoud,CO,Larimer County,63.0
80301,Boulder,CO,Boulder County,63.0
80302,Boulder,CO,Boulder County,63.0
80303,Boulder,CO,Boulder County,63.0
80304,Boulder,CO,Boulder County,63.0
80305,Boulder,CO,Boulder County,63.0
80310,Boulder,CO,Boulder County,63.0
80611,Briggsdale,CO,Weld County,63.0
80601,Brighton,CO,Adams County,63.0
80602,Brighton,CO,Adams County,63.0
80603,Brighton,CO,Weld County,63.0
80020,Broomfield,CO,Broomfield County,63.0
80021,Broomfield,CO,Jefferson County,63.0
80023,Broomfield,CO,Broomfield County,63.0
80103,Byers,CO,Arapahoe County,63.0
80809,Cascade,CO,El Paso County,63.0
80104,Castle Rock,CO,Douglas County,63.0
80108,Castle Rock,CO,Douglas County,63.0
80109,Castle Rock,CO,Douglas County,63.0
81221,Coal Creek,CO,Fremont County,63.0
81019,Colorado City,CO,Pueblo County,63.0
80902,Colorado Springs,CO,El Paso County,63.0
80903,Colorado Springs,CO,El Paso County,63.0
80904,Colorado Springs,CO,El Paso County,63.0
80905,Colorado Springs,CO,El Paso County,63.0
80906,Colorado Springs,CO,El Paso County,63.0
80907,Colorado Springs,CO,El Paso County,63.0
80908,Colorado Springs,CO,El Paso County,63.0
80909,Colorado Springs,CO,El Paso County,63.0
80910,Colorado Springs,CO,El Paso County,63.0
80911,Colorado Springs,CO,El Paso County,63.0
80913,Colorado Springs,CO,El Paso County,63.0
80914,Colorado Springs,CO,El Paso County,63.0
80915,Colorado Springs,CO,El Paso County,63.0
80916,Colorado Springs,CO,El Paso County,63.0
80917,Colorado Springs,CO,El Paso County,63.0
80918,Colorado Springs,CO,El Paso County,63.0
80919,Colorado Springs,CO,El Paso County,63.0
80920,Colorado Springs,CO,El Paso County,63.0
80921,Colorado Springs,CO,El Paso County,63.0
80922,Colorado Springs,CO,El Paso County,63.0
80923,Colorado Springs,CO,El Paso County,63.0
80924,Colorado Springs,CO,El Paso County,63.0
80925,Colorado Springs,CO,El Paso County,63.0
80926,Colorado Springs,CO,El Paso County,63.0
80927,Colorado Springs,CO,El Paso County,63.0
80929,Colorado Springs,CO,El Paso County,63.0
80930,Colorado Springs,CO,El Paso County,63.0
80938,Colorado Springs,CO,El Paso County,63.0
80939,Colorado Springs,CO,El Paso County,63.0
80951,Colorado Springs,CO,El Paso County,63.0
80022,Commerce City,CO,Adams County,63.0
80514,Dacono,CO,Weld County,63.0
80201,Denver,CO,Denver County,35.7
80202,Denver,CO,Denver County,63.0
80203,Denver,CO,Denver County,63.0
80204,Denver,CO,Denver County,63.0
80205,Denver,CO,Denver County,63.0
80206,Denver,CO,Denver County,63.0
80207,Denver,CO,Denver County,63.0
80209,Denver,CO,Denver County,63.0
80210,Denver,CO,Denver County,63.0
80211,Denver,CO,Denver County,63.0
80212,Denver,CO,Denver County,63.0
80214,Denver,CO,Jefferson County,63.0
80215,Denver,CO,Jefferson County,63.0
80216,Denver,CO,Denver County,63.0
80218,Denver,CO,Denver County,63.0
80219,Denver,CO,Denver County,63.0
80220,Denver,CO,Denver County,63.0
80221,Denver,CO,Adams County,63.0
80222,Denver,CO,Denver County,63.0
80223,Denver,CO,Denver County,63.0
80224,Denver,CO,Denver County,63.0
