zip,city,state,county,payout
83313,Bellevue,ID,Blaine County,50.51
83701,Boise,ID,Ada County,50.51
83702,Boise,ID,Ada County,50.51
83703,Boise,ID,Ada County,45.73
83704,Boise,ID,Ada County,50.51
83705,Boise,ID,Ada County,50.51
83706,Boise,ID,Ada County,50.51
83707,Boise,ID,Ada County,45.73
83709,Boise,ID,Ada County,50.51
83713,Boise,ID,Ada County,50.51
83716,Boise,ID,Ada County,45.73
83799,Boise,ID,Ada County,45.73
83316,Buhl,ID,Twin Falls County,50.51
83605,Caldwell,ID,Canyon County,45.73
83607,Caldwell,ID,Canyon County,54.43
83815,Coeur d'Alene,ID,Kootenai County,60.9
83616,Eagle,ID,Ada County,50.51
83617,Emmett,ID,Gem County,50.51
83328,Filer,ID,Twin Falls County,50.51
83619,Fruitland,ID,Payette County,50.51
83714,Garden City,ID,Ada County,50.51
83832,Genesee,ID,Latah County,36.96
83623,Glenns Ferry,ID,Elmore County,50.51
83330,Gooding,ID,Gooding County,50.51
83624,Grand View,ID,Owyhee County,50.51
83332,Hagerman,ID,Gooding County,50.51
83333,Hailey,ID,Blaine County,50.51
83334,Hansen,ID,Twin Falls County,50.51
83835,Hayden,ID,Kootenai County,63.0
83628,Homedale,ID,Owyhee County,43.06
83338,Jerome,ID,Jerome County,50.51
83340,Ketchum,ID,Blaine County,50.51
83341,Kimberly,ID,Twin Falls County,50.51
83634,Kuna,ID,Ada County,50.51
83501,Lewiston,ID,Nez Perce County,39.74
83642,Meridian,ID,Ada County,50.51
83646,Meridian,ID,Ada County,50.51
83644,Middleton,ID,Canyon County,50.51
83843,Moscow,ID,Latah County,36.96
83344,Murtaugh,ID,Twin Falls County,50.51
83651,Nampa,ID,Canyon County,50.51
83686,Nampa,ID,Canyon County,50.51
83687,Nampa,ID,Canyon County,50.51
83661,Payette,ID,Payette County,50.51
83666,Placerville,ID,Boise County,45.73
83669,Star,ID,Ada County,50.51
83301,Twin Falls,ID,Twin Falls County,50.51
83355,Wendell,ID,Gooding County,39.59
