zip,city,state,county,payout
61410,Abingdon,IL,Knox County,35.0
61230,Albany,IL,Whiteside County,35.0
61231,Aledo,IL,Mercer County,35.0
61412,Alexis,IL,Warren County,35.0
60102,Algonquin,IL,Mchenry County,40.16
61413,Alpha,IL,Henry County,35.0
60803,Alsip,IL,Cook County,35.0
61414,Altona,IL,Knox County,35.0
61310,Amboy,IL,Lee County,35.0
61232,Andalusia,IL,Rock Island County,35.0
61233,Andover,IL,Henry County,35.0
61234,Annawan,IL,Henry County,35.0
61001,Apple River,IL,Jo Daviess County,35.0
60910,Aroma Park,IL,Kankakee County,35.0
61235,Atkinson,IL,Henry County,35.0
62615,Auburn,IL,Sangamon County,52.5
60502,Aurora,IL,Dupage County,35.75
60503,Aurora,IL,Will County,35.75
60504,Aurora,IL,Dupage County,40.95
60505,Aurora,IL,Kane County,35.75
60506,Aurora,IL,Kane County,35.75
61236,Barstow,IL,Rock Island County,35.0
60510,Batavia,IL,Kane County,35.75
60401,Beecher,IL,Will County,35.0
61008,Belvidere,IL,Boone County,38.5
61516,Benson,IL,Woodford County,35.0
60511,Big Rock,IL,Kane County,35.75
61419,Bishop Hill,IL,Henry County,35.0
61701,Bloomington,IL,Mclean County,39.38
61702,Bloomington,IL,Mclean County,34.38
61704,Bloomington,IL,Mclean County,37.19
61705,Bloomington,IL,Mclean County,34.38
61709,Bloomington,IL,Mclean County,34.38
61710,Bloomington,IL,Mclean County,34.38
61791,Bloomington,IL,Mclean County,34.38
61799,Bloomington,IL,Mclean County,34.38
60406,Blue Island,IL,Cook County,35.0
60440,Bolingbrook,IL,Will County,40.16
60490,Bolingbrook,IL,Will County,39.38
60914,Bourbonnais,IL,Kankakee County,46.75
60915,Bradley,IL,Kankakee County,46.75
60455,Bridgeview,IL,Cook County,35.0
61517,Brimfield,IL,Peoria County,35.0
60513,Brookfield,IL,Cook County,42.52
60917,Buckingham,IL,Kankakee County,46.75
62515,Buffalo,IL,Sangamon County,52.5
61237,Buffalo Prairie,IL,Rock Island County,35.0
60459,Burbank,IL,Cook County,39.38
61010,Byron,IL,Ogle County,35.0
60409,Calumet City,IL,Cook County,35.0
61238,Cambridge,IL,Henry County,35.0
61423,Cameron,IL,Warren County,35.0
61424,Camp Grove,IL,Marshall County,35.0
60920,Campus,IL,Livingston County,46.75
62625,Cantrall,IL,Sangamon County,52.5
61239,Carbon Cliff,IL,Rock Island County,35.0
60110,Carpentersville,IL,Kane County,37.13
60013,Cary,IL,Mchenry County,37.13
61013,Cedarville,IL,Stephenson County,38.5
61014,Chadwick,IL,Carroll County,35.0
61820,Champaign,IL,Champaign County,39.38
61821,Champaign,IL,Champaign County,39.38
61822,Champaign,IL,Champaign County,34.38
61824,Champaign,IL,Champaign County,34.38
61825,Champaign,IL,Champaign County,34.38
61826,Champaign,IL,Champaign County,34.38
62629,Chatham,IL,Sangamon County,52.5
60601,Chicago,IL,Cook County,38.06
60605,Chicago,IL,Cook County,38.06
60611,Chicago,IL,Cook County,38.06
60615,Chicago,IL,Cook County,39.38
60616,Chicago,IL,Cook County,39.38
60619,Chicago,IL,Cook County,32.73
60620,Chicago,IL,Cook County,34.65
60628,Chicago,IL,Cook County,33.49
60630,Chicago,IL,Cook County,39.38
60638,Chicago,IL,Cook County,39.38
60641,Chicago,IL,Cook County,38.06
60643,Chicago,IL,Cook County,34.65
60649,Chicago,IL,Cook County,34.65
60654,Chicago,IL,Cook County,55.13
60659,Chicago,IL,Cook County,39.38
60660,Chicago,IL,Cook County,55.13
60661,Chicago,IL,Cook County,38.06
60411,Chicago Heights,IL,Cook County,35.0
60415,Chicago Ridge,IL,Cook County,35.0
61523,Chillicothe,IL,Peoria County,35.0
60514,Clarendon Hills,IL,Dupage County,37.13
61240,Coal Valley,IL,Rock Island County,35.0
61241,Colona,IL,Henry County,35.0
61242,Cordova,IL,Rock Island County,35.0
60478,Country Club Hills,IL,Cook County,35.0
60403,Crest Hill,IL,Will County,35.0
60418,Crestwood,IL,Cook County,35.0
60417,Crete,IL,Will County,35.0
60014,Crystal Lake,IL,Mchenry County,42.52
61428,Dahinda,IL,Knox County,35.0
60561,Darien,IL,Dupage County,37.13
61019,Davis,IL,Stephenson County,38.5
61020,Davis Junction,IL,Ogle County,35.0
62520,Dawson,IL,Sangamon County,52.5
62521,Decatur,IL,Macon County,39.38
62522,Decatur,IL,Macon County,39.38
62523,Decatur,IL,Macon County,34.38
62524,Decatur,IL,Macon County,34.38
62525,Decatur,IL,Macon County,34.38
62526,Decatur,IL,Macon County,34.38
61243,Deer Grove,IL,Whiteside County,35.0
62530,Divernon,IL,Sangamon County,52.5
61021,Dixon,IL,Lee County,35.0
60419,Dolton,IL,Cook County,35.0
60515,Downers Grove,IL,Dupage County,41.11
60516,Downers Grove,IL,Dupage County,37.13
60118,Dundee,IL,Kane County,41.11
61525,Dunlap,IL,Peoria County,35.0
61024,Durand,IL,Winnebago County,38.5
61025,East Dubuque,IL,Jo Daviess County,35.0
61430,East Galesburg,IL,Knox County,35.0
61244,East Moline,IL,Rock Island County,35.0
62201,East Saint Louis,IL,St. Clair County,39.38
62202,East Saint Louis,IL,St. Clair County,37.19
61526,Edelstein,IL,Peoria County,35.0
61528,Edwards,IL,Peoria County,35.0
60119,Elburn,IL,Kane County,35.75
61324,Eldena,IL,Lee County,35.0
61028,Elizabeth,IL,Jo Daviess County,35.0
60007,Elk Grove Village,IL,Cook County,52.06
60707,Elmwood Park,IL,Cook County,39.38
60934,Emington,IL,Livingston County,46.75
60519,Eola,IL,Dupage County,35.75
61250,Erie,IL,Whiteside County,35.0
60203,Evanston,IL,Cook County,39.38
61251,Fenton,IL,Whiteside County,35.0
61740,Flanagan,IL,Livingston County,34.38
60422,Flossmoor,IL,Cook County,38.06
60021,Fox River Grove,IL,Mchenry County,40.16
60423,Frankfort,IL,Will County,35.0
61032,Freeport,IL,Stephenson County,38.5
61252,Fulton,IL,Whiteside County,35.0
61036,Galena,IL,Jo Daviess County,35.0
61401,Galesburg,IL,Knox County,35.0
61402,Galesburg,IL,Knox County,35.0
61037,Galt,IL,Whiteside County,35.0
61434,Galva,IL,Henry County,35.0
61254,Geneseo,IL,Henry County,35.0
60134,Geneva,IL,Kane County,35.75
61435,Gerlaw,IL,Warren County,35.0
61436,Gilson,IL,Knox County,35.0
62640,Girard,IL,Macoupin County,52.5
60137,Glen Ellyn,IL,Dupage County,35.75
62536,Glenarm,IL,Sangamon County,52.5
60425,Glenwood,IL,Cook County,35.0
61256,Hampton,IL,Rock Island County,35.0
61041,Hanover,IL,Jo Daviess County,35.0
61042,Harmon,IL,Lee County,35.0
60426,Harvey,IL,Cook County,35.0
60429,Hazel Crest,IL,Cook County,35.0
61439,Henderson,IL,Knox County,35.0
60457,Hickory Hills,IL,Cook County,38.06
61257,Hillsdale,IL,Rock Island County,35.0
60521,Hinsdale,IL,Dupage County,58.27
60522,Hinsdale,IL,Dupage County,37.13
61043,Holcomb,IL,Ogle County,35.0
60491,Homer Glen,IL,Will County,35.0
60456,Hometown,IL,Cook County,38.06
60430,Homewood,IL,Cook County,35.0
61258,Hooppole,IL,Henry County,35.0
60142,Huntley,IL,Mchenry County,41.11
61259,Illinois City,IL,Rock Island County,35.0
62539,Illiopolis,IL,Sangamon County,52.5
62650,Jacksonville,IL,Morgan County,52.5
60431,Joliet,IL,Will County,35.0
60432,Joliet,IL,Will County,35.0
60433,Joliet,IL,Will County,38.5
60435,Joliet,IL,Will County,35.0
60436,Joliet,IL,Will County,35.0
61260,Joy,IL,Mercer County,35.0
60458,Justice,IL,Cook County,35.0
60144,Kaneville,IL,Kane County,35.75
60901,Kankakee,IL,Kankakee County,53.55
61442,Keithsburg,IL,Mercer County,35.0
61443,Kewanee,IL,Henry County,33.25
62540,Kincaid,IL,Christian County,52.5
61447,Kirkwood,IL,Warren County,35.0
61448,Knoxville,IL,Knox County,35.0
61449,La Fayette,IL,Stark County,35.0
60525,La Grange,IL,Cook County,42.52
60526,La Grange Park,IL,Cook County,39.38
61541,La Rose,IL,Marshall County,35.0
61540,Lacon,IL,Marshall County,35.0
60156,Lake In The Hills,IL,Mchenry County,41.11
61046,Lanark,IL,Carroll County,35.0
60438,Lansing,IL,Cook County,35.0
61451,Laura,IL,Peoria County,35.0
61331,Lee Center,IL,Lee County,35.0
60439,Lemont,IL,Cook County,35.75
61048,Lena,IL,Stephenson County,38.5
60532,Lisle,IL,Dupage County,35.75
61453,Little York,IL,Warren County,35.0
62661,Loami,IL,Sangamon County,52.5
60441,Lockport,IL,Will County,35.0
60148,Lombard,IL,Dupage County,39.59
62662,Lowder,IL,Sangamon County,52.5
61545,Lowpoint,IL,Woodford County,35.0
61261,Lyndon,IL,Whiteside County,35.0
61262,Lynn Center,IL,Henry County,35.0
61336,Magnolia,IL,Putnam County,35.0
60442,Manhattan,IL,Will County,35.0
60950,Manteno,IL,Kankakee County,35.0
61458,Maquon,IL,Knox County,35.0
60428,Markham,IL,Cook County,35.0
61263,Matherville,IL,Mercer County,35.0
60443,Matteson,IL,Cook County,35.0
62545,Mechanicsburg,IL,Sangamon County,52.5
61548,Metamora,IL,Woodford County,35.0
60445,Midlothian,IL,Cook County,35.0
61264,Milan,IL,Rock Island County,35.0
61051,Milledgeville,IL,Carroll County,35.0
60448,Mokena,IL,Will County,38.5
61265,Moline,IL,Rock Island County,35.0
60954,Momence,IL,Kankakee County,46.75
60449,Monee,IL,Will County,35.0
61462,Monmouth,IL,Warren County,35.0
60538,Montgomery,IL,Kendall County,35.75
60539,Mooseheart,IL,Kane County,35.75
61270,Morrison,IL,Whiteside County,35.0
60053,Morton Grove,IL,Cook County,38.06
61552,Mossville,IL,Peoria County,35.0
61053,Mount Carroll,IL,Carroll County,35.0
61054,Mount Morris,IL,Ogle County,35.0
60056,Mount Prospect,IL,Cook County,39.38
62548,Mount Pulaski,IL,Logan County,52.5
61057,Nachusa,IL,Lee County,35.0
60540,Naperville,IL,Dupage County,42.52
60563,Naperville,IL,Dupage County,40.16
60564,Naperville,IL,Will County,37.13
60565,Naperville,IL,Dupage County,41.11
60566,Naperville,IL,Dupage County,37.13
60567,Naperville,IL,Dupage County,37.13
61346,New Bedford,IL,Bureau County,35.0
62670,New Berlin,IL,Sangamon County,52.5
61272,New Boston,IL,Mercer County,35.0
60451,New Lenox,IL,Will County,38.5
61465,New Windsor,IL,Mercer County,35.0
61761,Normal,IL,Mclean County,38.06
61790,Normal,IL,Mclean County,34.38
60542,North Aurora,IL,Kane County,35.75
61466,North Henderson,IL,Mercer County,35.0
60062,Northbrook,IL,Cook County,53.29
60523,Oak Brook,IL,Dupage County,42.52
60452,Oak Forest,IL,Cook County,38.06
60453,Oak Lawn,IL,Cook County,35.0
60301,Oak Park,IL,Cook County,37.13
60302,Oak Park,IL,Cook County,38.06
60303,Oak Park,IL,Cook County,37.13
60304,Oak Park,IL,Cook County,41.11
60461,Olympia Fields,IL,Cook County,35.0
61467,Oneida,IL,Knox County,35.0
61468,Ophiem,IL,Henry County,35.0
61469,Oquawka,IL,Henderson County,35.0
61061,Oregon,IL,Ogle County,35.0
61273,Orion,IL,Henry County,35.0
60462,Orland Park,IL,Cook County,35.0
60467,Orland Park,IL,Cook County,35.0
61274,Osco,IL,Henry County,35.0
60543,Oswego,IL,Kendall County,39.59
60463,Palos Heights,IL,Cook County,35.0
60465,Palos Hills,IL,Cook County,35.0
60464,Palos Park,IL,Cook County,35.0
60466,Park Forest,IL,Cook County,38.06
62558,Pawnee,IL,Sangamon County,52.5
61614,Peoria,IL,Peoria County,35.0
61615,Peoria,IL,Peoria County,35.0
61616,Peoria Heights,IL,Peoria County,35.0
62675,Petersburg,IL,Menard County,52.5
60544,Plainfield,IL,Will County,38.67
60585,Plainfield,IL,Will County,39.59
62677,Pleasant Plains,IL,Sangamon County,52.5
61064,Polo,IL,Ogle County,35.0
61764,Pontiac,IL,Livingston County,50.58
61065,Poplar Grove,IL,Boone County,38.5
61275,Port Byron,IL,Rock Island County,35.0
60469,Posen,IL,Cook County,35.0
61276,Preemption,IL,Mercer County,35.0
61559,Princeville,IL,Peoria County,35.0
61277,Prophetstown,IL,Whiteside County,35.0
61278,Rapids City,IL,Rock Island County,35.0
61279,Reynolds,IL,Rock Island County,35.0
60471,Richton Park,IL,Cook County,35.0
61472,Rio,IL,Knox County,35.0
62561,Riverton,IL,Sangamon County,52.5
61561,Roanoke,IL,Woodford County,35.0
60472,Robbins,IL,Cook County,35.0
