zip,city,state,county,payout
67002,Andover,KS,Butler County,54.25
66002,Atchison,KS,Atchison County,54.25
66402,Auburn,KS,Shawnee County,54.25
66006,Baldwin City,KS,Douglas County,54.25
66007,Basehor,KS,Leavenworth County,57.75
66409,Berryton,KS,Shawnee County,54.25
66411,Blue Rapids,KS,Marshall County,54.25
66012,Bonner Springs,KS,Wyandotte County,57.75
66013,Bucyrus,KS,Johnson County,57.75
66415,Centralia,KS,Nemaha County,54.25
66416,Circleville,KS,Jackson County,57.75
66019,Clearview City,KS,Johnson County,57.75
66016,Cummings,KS,Atchison County,54.25
66018,De Soto,KS,Johnson County,57.75
66418,Delia,KS,Jackson County,57.75
66419,Denison,KS,Jackson County,57.75
67037,Derby,KS,Sedgwick County,35.0
66020,Easton,KS,Leavenworth County,57.75
66021,Edgerton,KS,Johnson County,57.75
66113,Edwardsville,KS,Wyandotte County,57.75
66023,Effingham,KS,Atchison County,54.25
66024,Elwood,KS,Doniphan County,54.25
66801,Emporia,KS,Lyon County,54.25
66423,Eskridge,KS,Wabaunsee County,54.25
66025,Eudora,KS,Douglas County,57.75
66026,Fontana,KS,Miami County,54.25
66027,Fort Leavenworth,KS,Leavenworth County,57.75
66701,Fort Scott,KS,Bourbon County,54.25
66739,Galena,KS,Cherokee County,54.25
66030,Gardner,KS,Johnson County,57.75
66743,Girard,KS,Crawford County,54.25
67052,Goddard,KS,Sedgwick County,35.0
66434,Hiawatha,KS,Brown County,54.25
66036,Hillsdale,KS,Miami County,57.75
66436,Holton,KS,Jackson County,57.75
66439,Horton,KS,Brown County,54.25
66440,Hoyt,KS,Jackson County,57.75
67502,Hutchinson,KS,Reno County,54.25
67301,Independence,KS,Montgomery County,54.25
66749,Iola,KS,Allen County,54.25
66441,Junction City,KS,Geary County,54.25
66101,Kansas City,KS,Wyandotte County,57.75
66102,Kansas City,KS,Wyandotte County,57.75
66103,Kansas City,KS,Wyandotte County,57.75
66104,Kansas City,KS,Wyandotte County,57.75
66105,Kansas City,KS,Wyandotte County,57.75
66106,Kansas City,KS,Wyandotte County,57.75
66109,Kansas City,KS,Wyandotte County,57.75
66110,Kansas City,KS,Wyandotte County,57.75
66111,Kansas City,KS,Wyandotte County,57.75
66112,Kansas City,KS,Wyandotte County,57.75
66115,Kansas City,KS,Wyandotte County,57.75
66117,Kansas City,KS,Wyandotte County,57.75
66118,Kansas City,KS,Wyandotte County,57.75
66119,Kansas City,KS,Wyandotte County,57.75
66160,Kansas City,KS,Wyandotte County,57.75
67067,Kechi,KS,Sedgwick County,54.25
66040,Lacygne,KS,Linn County,54.25
66042,Lane,KS,Franklin County,54.25
66043,Lansing,KS,Leavenworth County,57.75
66044,Lawrence,KS,Douglas County,54.25
66045,Lawrence,KS,Douglas County,54.25
66046,Lawrence,KS,Douglas County,54.25
66047,Lawrence,KS,Douglas County,54.25
66049,Lawrence,KS,Douglas County,54.25
66048,Leavenworth,KS,Leavenworth County,57.75
66206,Leawood,KS,Johnson County,57.75
66209,Leawood,KS,Johnson County,57.75
66211,Leawood,KS,Johnson County,57.75
66856,Lebo,KS,Coffey County,54.25
66050,Lecompton,KS,Douglas County,54.25
66215,Lenexa,KS,Johnson County,57.75
66219,Lenexa,KS,Johnson County,57.75
66220,Lenexa,KS,Johnson County,57.75
66227,Lenexa,KS,Johnson County,57.75
66250,Lenexa,KS,Johnson County,57.75
66285,Lenexa,KS,Johnson County,57.75
66052,Linwood,KS,Leavenworth County,57.75
66053,Louisburg,KS,Miami County,57.75
66502,Manhattan,KS,Riley County,54.25
66503,Manhattan,KS,Riley County,54.25
67464,Marquette,KS,Mcpherson County,54.25
66509,Mayetta,KS,Jackson County,57.75
66054,Mc Louth,KS,Jefferson County,54.25
67105,Milan,KS,Sumner County,54.25
66201,Mission,KS,Johnson County,57.75
66202,Mission,KS,Johnson County,57.75
66205,Mission,KS,Johnson County,57.75
66222,Mission,KS,Johnson County,57.75
66516,Netawaka,KS,Jackson County,57.75
66031,New Century,KS,Johnson County,57.75
66051,Olathe,KS,Johnson County,57.75
66061,Olathe,KS,Johnson County,57.75
66062,Olathe,KS,Johnson County,57.75
66063,Olathe,KS,Johnson County,57.75
66523,Osage City,KS,Osage County,54.25
66064,Osawatomie,KS,Miami County,54.25
66066,Oskaloosa,KS,Jefferson County,54.25
66067,Ottawa,KS,Franklin County,54.25
66524,Overbrook,KS,Osage County,54.25
66204,Overland Park,KS,Johnson County,57.75
66207,Overland Park,KS,Johnson County,57.75
66210,Overland Park,KS,Johnson County,57.75
66212,Overland Park,KS,Johnson County,57.75
66213,Overland Park,KS,Johnson County,57.75
66214,Overland Park,KS,Johnson County,57.75
66221,Overland Park,KS,Johnson County,57.75
66223,Overland Park,KS,Johnson County,57.75
66224,Overland Park,KS,Johnson County,57.75
66225,Overland Park,KS,Johnson County,57.75
66251,Overland Park,KS,Johnson County,57.75
66282,Overland Park,KS,Johnson County,57.75
66283,Overland Park,KS,Johnson County,57.75
66071,Paola,KS,Miami County,54.25
66072,Parker,KS,Linn County,54.25
66073,Perry,KS,Jefferson County,54.25
66208,Prairie Village,KS,Johnson County,57.75
66769,Redfield,KS,Bourbon County,54.25
66080,Richmond,KS,Franklin County,54.25
67401,Salina,KS,Saline County,54.25
66203,Shawnee,KS,Johnson County,57.75
66216,Shawnee,KS,Johnson County,57.75
66217,Shawnee,KS,Johnson County,57.75
66218,Shawnee,KS,Johnson County,57.75
66226,Shawnee,KS,Johnson County,57.75
66286,Shawnee,KS,Johnson County,57.75
66276,Shawnee Mission,KS,Johnson County,57.75
66539,Silver Lake,KS,Shawnee County,54.25
66540,Soldier,KS,Jackson County,57.75
66083,Spring Hill,KS,Johnson County,57.75
66085,Stilwell,KS,Johnson County,57.75
66542,Tecumseh,KS,Shawnee County,54.25
66086,Tonganoxie,KS,Leavenworth County,57.75
66601,Topeka,KS,Shawnee County,54.25
66604,Topeka,KS,Shawnee County,54.25
66605,Topeka,KS,Shawnee County,54.25
66607,Topeka,KS,Shawnee County,54.25
66608,Topeka,KS,Shawnee County,54.25
66610,Topeka,KS,Shawnee County,54.25
66611,Topeka,KS,Shawnee County,54.25
66614,Topeka,KS,Shawnee County,54.25
66087,Troy,KS,Doniphan County,54.25
66779,Uniontown,KS,Bourbon County,54.25
66088,Valley Falls,KS,Jefferson County,54.25
66091,Welda,KS,Anderson County,54.25
66092,Wellsville,KS,Franklin County,54.25
66552,Whiting,KS,Jackson County,57.75
67212,Wichita,KS,Sedgwick County,35.0
67213,Wichita,KS,Sedgwick County,54.25
67218,Wichita,KS,Sedgwick County,54.25
66097,Winchester,KS,Jefferson County,54.25
