zip,city,state,county,payout
02351,Abington,MA,Plymouth County,56.0
02018,Accord,MA,Plymouth County,56.0
01718,Acton,MA,Middlesex County,57.75
01720,Acton,MA,Middlesex County,57.75
02743,Acushnet,MA,Bristol County,33.25
01220,Adams,MA,Berkshire County,33.04
01001,Agawam,MA,Hampden County,52.29
02134,Allston,MA,Suffolk County,57.75
01913,Amesbury,MA,Essex County,56.0
01002,Amherst,MA,Hampshire County,59.85
01004,Amherst,MA,Hampshire County,33.04
01810,Andover,MA,Essex County,57.75
02474,Arlington,MA,Middlesex County,57.75
02476,Arlington,MA,Middlesex County,57.75
02475,Arlington Heights,MA,Middlesex County,57.75
01430,Ashburnham,MA,Worcester County,56.0
01431,Ashby,MA,Middlesex County,56.0
01330,Ashfield,MA,Franklin County,33.04
01721,Ashland,MA,Middlesex County,56.0
01222,Ashley Falls,MA,Berkshire County,33.04
02702,Assonet,MA,Bristol County,33.25
01331,Athol,MA,Worcester County,33.25
02703,Attleboro,MA,Bristol County,39.88
02763,Attleboro Falls,MA,Bristol County,33.25
01501,Auburn,MA,Worcester County,56.0
02466,Auburndale,MA,Middlesex County,57.75
02322,Avon,MA,Norfolk County,56.0
01432,Ayer,MA,Middlesex County,56.0
02457,Babson Park,MA,Norfolk County,56.0
01436,Baldwinville,MA,Worcester County,33.25
02630,Barnstable,MA,Barnstable County,33.25
01005,Barre,MA,Worcester County,52.67
01223,Becket,MA,Berkshire County,33.04
01730,Bedford,MA,Middlesex County,57.75
01007,Belchertown,MA,Hampshire County,33.04
02019,Bellingham,MA,Norfolk County,56.0
02478,Belmont,MA,Middlesex County,57.75
02779,Berkley,MA,Bristol County,33.25
01503,Berlin,MA,Worcester County,56.0
01337,Bernardston,MA,Franklin County,53.55
01915,Beverly,MA,Essex County,57.75
01821,Billerica,MA,Middlesex County,57.75
01504,Blackstone,MA,Worcester County,56.0
01008,Blandford,MA,Hampden County,33.04
01740,Bolton,MA,Worcester County,56.0
01009,Bondsville,MA,Hampden County,33.04
02108,Boston,MA,Suffolk County,66.15
02109,Boston,MA,Suffolk County,57.75
02110,Boston,MA,Suffolk County,57.75
02111,Boston,MA,Suffolk County,57.75
02113,Boston,MA,Suffolk County,57.75
02114,Boston,MA,Suffolk County,57.75
02115,Boston,MA,Suffolk County,57.75
02116,Boston,MA,Suffolk County,57.75
02118,Boston,MA,Suffolk County,57.75
02133,Boston,MA,Suffolk County,57.75
02163,Boston,MA,Suffolk County,57.75
02199,Boston,MA,Suffolk County,57.75
02203,Boston,MA,Suffolk County,33.25
02205,Boston,MA,Suffolk County,33.25
02210,Boston,MA,Suffolk County,57.75
02215,Boston,MA,Suffolk County,57.75
02293,Boston,MA,Suffolk County,33.04
01719,Boxborough,MA,Middlesex County,56.0
01921,Boxford,MA,Essex County,57.75
01505,Boylston,MA,Worcester County,56.0
02184,Braintree,MA,Norfolk County,56.0
02631,Brewster,MA,Barnstable County,52.29
02324,Bridgewater,MA,Plymouth County,40.82
02325,Bridgewater,MA,Plymouth County,33.25
02135,Brighton,MA,Suffolk County,57.75
01010,Brimfield,MA,Hampden County,33.25
02301,Brockton,MA,Plymouth County,56.0
02302,Brockton,MA,Plymouth County,56.0
