zip,city,state,county,payout
20606,Abell,MD,St. Mary'S County,48.13
21001,Aberdeen,MD,Harford County,52.5
21005,Aberdeen Proving Ground,MD,Harford County,52.5
21009,Abingdon,MD,Harford County,52.5
20607,Accokeek,MD,Prince George'S County,52.5
21710,Adamstown,MD,Frederick County,52.5
20762,Andrews Air Force Base,MD,Prince George'S County,52.67
21401,Annapolis,MD,Anne Arundel County,84.0
21402,Annapolis,MD,Anne Arundel County,52.5
21403,Annapolis,MD,Anne Arundel County,52.67
21404,Annapolis,MD,Anne Arundel County,52.5
21405,Annapolis,MD,Anne Arundel County,52.5
21409,Annapolis,MD,Anne Arundel County,52.67
21411,Annapolis,MD,Anne Arundel County,52.5
21412,Annapolis,MD,Anne Arundel County,52.5
20701,Annapolis Junction,MD,Anne Arundel County,52.67
20608,Aquasco,MD,Prince George'S County,52.5
21012,Arnold,MD,Anne Arundel County,52.5
20861,Ashton,MD,Montgomery County,52.67
20609,Avenue,MD,St. Mary'S County,48.13
21013,Baldwin,MD,Baltimore County,52.5
21201,Baltimore,MD,Baltimore city,44.28
21202,Baltimore,MD,Baltimore city,44.28
21205,Baltimore,MD,Baltimore city,44.28
21206,Baltimore,MD,Baltimore city,58.45
21209,Baltimore,MD,Baltimore County,49.0
21210,Baltimore,MD,Baltimore city,49.0
21211,Baltimore,MD,Baltimore city,44.28
21212,Baltimore,MD,Baltimore city,49.0
21213,Baltimore,MD,Baltimore city,44.28
21214,Baltimore,MD,Baltimore city,44.28
21215,Baltimore,MD,Baltimore city,49.7
21216,Baltimore,MD,Baltimore city,44.28
21217,Baltimore,MD,Baltimore city,44.28
21218,Baltimore,MD,Baltimore city,55.13
21223,Baltimore,MD,Baltimore city,44.28
21224,Baltimore,MD,Baltimore city,52.5
21229,Baltimore,MD,Baltimore city,58.45
21230,Baltimore,MD,Baltimore city,44.28
21231,Baltimore,MD,Baltimore city,44.28
21233,Baltimore,MD,Baltimore city,73.5
21235,Baltimore,MD,Baltimore city,52.5
21239,Baltimore,MD,Baltimore city,44.28
21240,Baltimore,MD,Anne Arundel County,52.67
21250,Baltimore,MD,Baltimore County,52.5
21251,Baltimore,MD,Baltimore city,44.28
21273,Baltimore,MD,Baltimore city,42.0
21607,Barclay,MD,Queen Anne'S County,48.13
20838,Barnesville,MD,Montgomery County,52.5
20839,Beallsville,MD,Montgomery County,52.5
21014,Bel Air,MD,Harford County,120.4
21015,Bel Air,MD,Harford County,120.4
20611,Bel Alton,MD,Charles County,52.5
21017,Belcamp,MD,Harford County,52.5
20704,Beltsville,MD,Prince George'S County,52.67
20705,Beltsville,MD,Prince George'S County,58.45
20612,Benedict,MD,Charles County,52.5
21018,Benson,MD,Harford County,52.5
20810,Bethesda,MD,Montgomery County,120.4
20811,Bethesda,MD,Montgomery County,52.5
20813,Bethesda,MD,Montgomery County,52.5
20814,Bethesda,MD,Montgomery County,84.0
20816,Bethesda,MD,Montgomery County,120.4
20817,Bethesda,MD,Montgomery County,120.4
20824,Bethesda,MD,Montgomery County,120.4
20827,Bethesda,MD,Montgomery County,52.5
20889,Bethesda,MD,Montgomery County,52.5
20892,Bethesda,MD,Montgomery County,52.5
20894,Bethesda,MD,Montgomery County,52.5
21610,Betterton,MD,Kent County,48.13
21711,Big Pool,MD,Washington County,48.13
20710,Bladensburg,MD,Prince George'S County,84.0
21713,Boonsboro,MD,Washington County,48.13
21020,Boring,MD,Baltimore County,52.5
20715,Bowie,MD,Prince George'S County,84.0
20716,Bowie,MD,Prince George'S County,84.0
20717,Bowie,MD,Prince George'S County,52.67
20718,Bowie,MD,Prince George'S County,52.5
20719,Bowie,MD,Prince George'S County,52.5
20720,Bowie,MD,Prince George'S County,84.0
20721,Bowie,MD,Prince George'S County,84.0
20841,Boyds,MD,Montgomery County,52.5
21612,Bozman,MD,Talbot County,48.13
21714,Braddock Heights,MD,Frederick County,52.5
20613,Brandywine,MD,Prince George'S County,55.13
20722,Brentwood,MD,Prince George'S County,84.0
20862,Brinklow,MD,Montgomery County,58.45
20833,Brookeville,MD,Montgomery County,52.5
21022,Brooklandville,MD,Baltimore County,52.5
21225,Brooklyn,MD,Baltimore city,53.29
20615,Broomes Island,MD,Calvert County,48.13
21715,Brownsville,MD,Washington County,42.0
21716,Brunswick,MD,Frederick County,55.13
20616,Bryans Road,MD,Charles County,52.5
20617,Bryantown,MD,Charles County,52.5
21717,Buckeystown,MD,Frederick County,58.45
21718,Burkittsville,MD,Frederick County,52.5
20866,Burtonsville,MD,Montgomery County,52.67
20618,Bushwood,MD,St. Mary'S County,48.13
21023,Butler,MD,Baltimore County,52.5
20818,Cabin John,MD,Montgomery County,120.4
20619,California,MD,St. Mary'S County,48.13
20620,Callaway,MD,St. Mary'S County,48.13
21613,Cambridge,MD,Dorchester County,52.06
20731,Capitol Heights,MD,Prince George'S County,52.67
20743,Capitol Heights,MD,Prince George'S County,84.0
20790,Capitol Heights,MD,Prince George'S County,52.5
20791,Capitol Heights,MD,Prince George'S County,52.5
20799,Capitol Heights,MD,Prince George'S County,52.5
21719,Cascade,MD,Washington County,120.4
21228,Catonsville,MD,Baltimore County,55.13
21617,Centreville,MD,Queen Anne'S County,52.5
20621,Chaptico,MD,St. Mary'S County,48.13
21914,Charlestown,MD,Cecil County,42.0
20622,Charlotte Hall,MD,Charles County,52.5
21027,Chase,MD,Baltimore County,52.5
20623,Cheltenham,MD,Prince George'S County,52.5
20732,Chesapeake Beach,MD,Calvert County,52.5
21915,Chesapeake City,MD,Cecil County,48.13
21619,Chester,MD,Queen Anne'S County,52.5
21620,Chestertown,MD,Kent County,48.13
20815,Chevy Chase,MD,Montgomery County,120.4
20825,Chevy Chase,MD,Montgomery County,52.5
21721,Chewsville,MD,Washington County,120.4
21622,Church Creek,MD,Dorchester County,48.13
21623,Church Hill,MD,Queen Anne'S County,53.29
20733,Churchton,MD,Anne Arundel County,84.0
21028,Churchville,MD,Harford County,52.5
21624,Claiborne,MD,Talbot County,73.5
20871,Clarksburg,MD,Montgomery County,120.4
21029,Clarksville,MD,Howard County,120.4
21722,Clear Spring,MD,Washington County,55.13
