zip,city,state,county,payout
55001,Afton,MN,Washington County,50.72
55304,Andover,MN,Anoka County,56.35
55303,Anoka,MN,Anoka County,49.5
55003,Bayport,MN,Washington County,56.35
55308,Becker,MN,Sherburne County,49.0
55005,Bethel,MN,Anoka County,56.7
55309,Big Lake,MN,Sherburne County,44.1
56013,Blue Earth,MN,Faribault County,33.67
55313,Buffalo,MN,Wright County,49.0
55306,Burnsville,MN,Dakota County,50.72
55337,Burnsville,MN,Dakota County,50.72
55008,Cambridge,MN,Isanti County,49.0
55009,Cannon Falls,MN,Goodhue County,50.72
55315,Carver,MN,Carver County,39.22
55010,Castle Rock,MN,Dakota County,39.22
55011,Cedar,MN,Anoka County,49.5
55012,Center City,MN,Chisago County,49.0
55316,Champlin,MN,Hennepin County,50.72
55317,Chanhassen,MN,Carver County,63.0
55318,Chaska,MN,Carver County,63.0
55013,Chisago City,MN,Chisago County,49.0
55014,Circle Pines,MN,Anoka County,56.35
55320,Clearwater,MN,Wright County,44.1
55016,Cottage Grove,MN,Washington County,56.35
55323,Crystal Bay,MN,Hennepin County,39.22
55327,Dayton,MN,Hennepin County,50.72
55328,Delano,MN,Wright County,44.1
55019,Dundas,MN,Rice County,50.72
55344,Eden Prairie,MN,Hennepin County,63.0
55346,Eden Prairie,MN,Hennepin County,63.0
55347,Eden Prairie,MN,Hennepin County,63.0
55330,Elk River,MN,Sherburne County,49.0
55020,Elko New Market,MN,Scott County,39.22
55054,Elko New Market,MN,Scott County,50.72
55331,Excelsior,MN,Hennepin County,63.0
55021,Faribault,MN,Rice County,50.72
55024,Farmington,MN,Dakota County,56.35
55025,Forest Lake,MN,Washington County,56.35
55027,Goodhue,MN,Goodhue County,34.32
55340,Hamel,MN,Hennepin County,50.72
55031,Hampton,MN,Dakota County,56.35
55032,Harris,MN,Chisago County,44.1
55033,Hastings,MN,Dakota County,56.7
55305,Hopkins,MN,Hennepin County,63.0
55343,Hopkins,MN,Hennepin County,63.0
55038,Hugo,MN,Washington County,56.7
55076,Inver Grove Heights,MN,Dakota County,50.72
55077,Inver Grove Heights,MN,Dakota County,50.72
55352,Jordan,MN,Scott County,39.22
55042,Lake Elmo,MN,Washington County,63.0
55043,Lakeland,MN,Washington County,56.7
55044,Lakeville,MN,Dakota County,56.35
55045,Lindstrom,MN,Chisago County,49.0
55356,Long Lake,MN,Hennepin County,39.22
55599,Loretto,MN,Hennepin County,39.22
55311,Maple Grove,MN,Hennepin County,50.72
55358,Maple Lake,MN,Wright County,49.0
55359,Maple Plain,MN,Hennepin County,44.1
55592,Maple Plain,MN,Hennepin County,39.22
55593,Maple Plain,MN,Hennepin County,39.22
55047,Marine On Saint Croix,MN,Washington County,50.72
55360,Mayer,MN,Carver County,63.0
55150,Mendota,MN,Dakota County,63.0
55401,Minneapolis,MN,Hennepin County,63.0
55402,Minneapolis,MN,Hennepin County,63.0
55403,Minneapolis,MN,Hennepin County,63.0
55404,Minneapolis,MN,Hennepin County,63.0
55405,Minneapolis,MN,Hennepin County,56.35
55406,Minneapolis,MN,Hennepin County,63.0
55407,Minneapolis,MN,Hennepin County,63.0
55408,Minneapolis,MN,Hennepin County,63.0
55409,Minneapolis,MN,Hennepin County,63.0
55410,Minneapolis,MN,Hennepin County,63.0
55411,Minneapolis,MN,Hennepin County,56.7
55412,Minneapolis,MN,Hennepin County,50.72
55413,Minneapolis,MN,Hennepin County,63.0
55414,Minneapolis,MN,Hennepin County,63.0
55415,Minneapolis,MN,Hennepin County,63.0
55416,Minneapolis,MN,Hennepin County,63.0
55417,Minneapolis,MN,Hennepin County,63.0
55418,Minneapolis,MN,Hennepin County,63.0
55419,Minneapolis,MN,Hennepin County,63.0
55420,Minneapolis,MN,Hennepin County,50.72
55421,Minneapolis,MN,Anoka County,63.0
55422,Minneapolis,MN,Hennepin County,50.72
55423,Minneapolis,MN,Hennepin County,63.0
55424,Minneapolis,MN,Hennepin County,63.0
55425,Minneapolis,MN,Hennepin County,49.5
55426,Minneapolis,MN,Hennepin County,63.0
55427,Minneapolis,MN,Hennepin County,50.72
55428,Minneapolis,MN,Hennepin County,50.72
55429,Minneapolis,MN,Hennepin County,56.7
55430,Minneapolis,MN,Hennepin County,50.72
55431,Minneapolis,MN,Hennepin County,50.72
55432,Minneapolis,MN,Anoka County,63.0
55433,Minneapolis,MN,Anoka County,49.5
55434,Minneapolis,MN,Anoka County,50.72
55435,Minneapolis,MN,Hennepin County,63.0
55436,Minneapolis,MN,Hennepin County,63.0
55437,Minneapolis,MN,Hennepin County,50.72
55438,Minneapolis,MN,Hennepin County,63.0
55439,Minneapolis,MN,Hennepin County,63.0
55440,Minneapolis,MN,Hennepin County,45.5
55441,Minneapolis,MN,Hennepin County,50.72
55442,Minneapolis,MN,Hennepin County,50.72
55443,Minneapolis,MN,Hennepin County,54.81
55444,Minneapolis,MN,Hennepin County,56.35
55445,Minneapolis,MN,Hennepin County,50.72
55446,Minneapolis,MN,Hennepin County,50.72
55447,Minneapolis,MN,Hennepin County,56.35
55448,Minneapolis,MN,Anoka County,56.7
55449,Minneapolis,MN,Anoka County,50.72
55450,Minneapolis,MN,Hennepin County,63.0
55454,Minneapolis,MN,Hennepin County,63.0
55455,Minneapolis,MN,Hennepin County,63.0
55458,Minneapolis,MN,Hennepin County,45.5
55459,Minneapolis,MN,Hennepin County,45.5
55460,Minneapolis,MN,Hennepin County,45.5
55467,Minneapolis,MN,Hennepin County,50.72
55470,Minneapolis,MN,Hennepin County,45.5
55472,Minneapolis,MN,Hennepin County,45.5
55474,Minneapolis,MN,Hennepin County,45.5
55478,Minneapolis,MN,Hennepin County,50.72
55479,Minneapolis,MN,Hennepin County,45.5
55480,Minneapolis,MN,Hennepin County,45.5
55483,Minneapolis,MN,Hennepin County,45.5
55484,Minneapolis,MN,Hennepin County,45.5
55485,Minneapolis,MN,Hennepin County,45.5
55486,Minneapolis,MN,Hennepin County,45.5
55487,Minneapolis,MN,Hennepin County,45.5
55488,Minneapolis,MN,Hennepin County,45.5
55345,Minnetonka,MN,Hennepin County,63.0
