zip,city,state,county,payout
64720,Adrian,MO,Bates County,54.25
64401,Agency,MO,Buchanan County,57.75
64001,Alma,MO,Lafayette County,54.25
64421,Amazonia,MO,Andrew County,54.25
64725,Archie,MO,Cass County,54.25
63010,Arnold,MO,Jefferson County,52.67
63332,Augusta,MO,St. Charles County,43.75
63011,Ballwin,MO,St. Louis County,52.67
63021,Ballwin,MO,St. Louis County,52.67
63022,Ballwin,MO,St. Louis County,36.75
63024,Ballwin,MO,St. Louis County,36.75
65011,Barnett,MO,Morgan County,54.25
63012,Barnhart,MO,Jefferson County,42.88
64011,Bates City,MO,Lafayette County,57.75
64012,Belton,MO,Cass County,57.75
64424,Bethany,MO,Harrison County,54.25
64013,Blue Springs,MO,Jackson County,57.75
64014,Blue Springs,MO,Jackson County,57.75
64015,Blue Springs,MO,Jackson County,57.75
64427,Bolckow,MO,Andrew County,54.25
63044,Bridgeton,MO,St. Louis County,42.88
64628,Brookfield,MO,Linn County,54.25
64630,Browning,MO,Linn County,54.25
64016,Buckner,MO,Jackson County,57.75
64730,Butler,MO,Bates County,54.25
65323,Calhoun,MO,Henry County,54.25
64017,Camden,MO,Ray County,57.75
64018,Camden Point,MO,Platte County,57.75
65020,Camdenton,MO,Camden County,54.25
64429,Cameron,MO,Clinton County,54.25
63015,Catawissa,MO,Franklin County,52.67
63016,Cedar Hill,MO,Jefferson County,52.67
64019,Centerview,MO,Johnson County,57.75
63005,Chesterfield,MO,St. Louis County,52.67
63006,Chesterfield,MO,St. Louis County,36.75
63017,Chesterfield,MO,St. Louis County,52.67
64733,Chilhowee,MO,Johnson County,57.75
64430,Clarksdale,MO,Dekalb County,54.25
64734,Cleveland,MO,Cass County,57.75
64735,Clinton,MO,Henry County,54.25
64738,Collins,MO,St. Clair County,54.25
65203,Columbia,MO,Boone County,54.25
63338,Cottleville,MO,St. Charles County,43.75
64437,Craig,MO,Holt County,54.25
63019,Crystal City,MO,Jefferson County,36.75
63020,De Soto,MO,Jefferson County,42.88
64439,Dearborn,MO,Platte County,57.75
64740,Deepwater,MO,Henry County,54.25
63341,Defiance,MO,St. Charles County,43.75
63023,Dittmer,MO,Jefferson County,42.88
64742,Drexel,MO,Cass County,54.25
63342,Dutzow,MO,Warren County,36.75
63045,Earth City,MO,St. Louis County,42.88
64743,East Lynne,MO,Cass County,57.75
64444,Edgerton,MO,Platte County,57.75
64744,El Dorado Springs,MO,Cedar County,54.25
63025,Eureka,MO,St. Louis County,52.67
64024,Excelsior Springs,MO,Clay County,57.75
64446,Fairfax,MO,Atchison County,46.75
64028,Farley,MO,Platte County,57.75
64448,Faucett,MO,Buchanan County,57.75
63026,Fenton,MO,St. Louis County,52.67
63099,Fenton,MO,St. Louis County,36.75
63028,Festus,MO,Jefferson County,42.88
63346,Flinthill,MO,St. Charles County,43.75
63031,Florissant,MO,St. Louis County,42.88
63032,Florissant,MO,St. Louis County,36.75
63033,Florissant,MO,St. Louis County,42.88
