zip,city,state,county,payout
68001,Abie,NE,Butler County,49.0
68301,Adams,NE,Gage County,49.0
68810,Alda,NE,Hall County,34.65
68304,Alvo,NE,Cass County,63.0
68621,Ames,NE,Dodge County,63.0
68002,Arlington,NE,Washington County,63.0
68003,Ashland,NE,Saunders County,63.0
68305,Auburn,NE,Nemaha County,46.75
68818,Aurora,NE,Hamilton County,49.0
68307,Avoca,NE,Cass County,63.0
68004,Bancroft,NE,Cuming County,42.0
68310,Beatrice,NE,Gage County,49.0
68313,Beaver Crossing,NE,Seward County,49.0
68314,Bee,NE,Seward County,49.0
68716,Beemer,NE,Cuming County,42.0
68005,Bellevue,NE,Sarpy County,63.0
68123,Bellevue,NE,Sarpy County,63.0
68147,Bellevue,NE,Sarpy County,63.0
68624,Bellwood,NE,Butler County,49.0
68316,Benedict,NE,York County,49.0
68317,Bennet,NE,Lancaster County,49.0
68007,Bennington,NE,Douglas County,63.0
68008,Blair,NE,Washington County,63.0
68009,Blair,NE,Washington County,63.0
68318,Blue Springs,NE,Gage County,34.65
68010,Boys Town,NE,Douglas County,63.0
68319,Bradshaw,NE,York County,49.0
68626,Brainard,NE,Butler County,49.0
68320,Brock,NE,Nemaha County,46.75
68321,Brownville,NE,Nemaha County,46.75
68014,Bruno,NE,Butler County,49.0
68324,Burr,NE,Otoe County,49.0
68015,Cedar Bluffs,NE,Saunders County,63.0
68016,Cedar Creek,NE,Cass County,63.0
68826,Central City,NE,Merrick County,34.65
68017,Ceresco,NE,Saunders County,63.0
68827,Chapman,NE,Merrick County,34.65
68628,Clarks,NE,Merrick County,34.65
68629,Clarkson,NE,Colfax County,51.77
68328,Clatonia,NE,Gage County,49.0
68018,Colon,NE,Saunders County,63.0
68329,Cook,NE,Johnson County,49.0
68330,Cordova,NE,Seward County,49.0
68331,Cortland,NE,Gage County,49.0
68332,Crab Orchard,NE,Johnson County,49.0
68019,Craig,NE,Burt County,49.0
68631,Creston,NE,Platte County,42.0
68333,Crete,NE,Saline County,49.0
68731,Dakota City,NE,Dakota County,49.0
68336,Davey,NE,Lancaster County,63.0
68632,David City,NE,Butler County,49.0
68341,De Witt,NE,Saline County,49.0
68020,Decatur,NE,Burt County,49.0
68339,Denton,NE,Lancaster County,49.0
68633,Dodge,NE,Dodge County,46.75
68832,Doniphan,NE,Hall County,49.0
68343,Dorchester,NE,Saline County,49.0
68344,Douglas,NE,Otoe County,49.0
68346,Dunbar,NE,Otoe County,63.0
68635,Dwight,NE,Butler County,49.0
68347,Eagle,NE,Cass County,63.0
68348,Elk Creek,NE,Johnson County,49.0
68022,Elkhorn,NE,Douglas County,63.0
68349,Elmwood,NE,Cass County,63.0
68351,Exeter,NE,Fillmore County,49.0
68357,Filley,NE,Gage County,49.0
68358,Firth,NE,Lancaster County,49.0
68023,Fort Calhoun,NE,Washington County,63.0
68025,Fremont,NE,Dodge County,63.0
68026,Fremont,NE,Dodge County,63.0
68359,Friend,NE,Saline County,49.0
68360,Garland,NE,Seward County,49.0
68840,Gibbon,NE,Buffalo County,34.65
68841,Giltner,NE,Hamilton County,49.0
68364,Goehner,NE,Seward County,46.75
68801,Grand Island,NE,Hall County,49.0
68803,Grand Island,NE,Hall County,49.0
68366,Greenwood,NE,Cass County,63.0
68367,Gresham,NE,York County,49.0
68028,Gretna,NE,Sarpy County,63.0
68368,Hallam,NE,Lancaster County,49.0
68843,Hampton,NE,Hamilton County,49.0
68944,Harvard,NE,Clay County,49.0
68901,Hastings,NE,Adams County,49.0
68945,Heartwell,NE,Kearney County,34.65
68371,Henderson,NE,York County,49.0
68029,Herman,NE,Washington County,63.0
68372,Hickman,NE,Lancaster County,49.0
68031,Hooper,NE,Dodge County,63.0
68846,Hordville,NE,Hamilton County,49.0
68641,Howells,NE,Colfax County,53.55
68954,Inland,NE,Clay County,34.65
68033,Ithaca,NE,Saunders County,63.0
68377,Jansen,NE,Jefferson County,49.0
68378,Johnson,NE,Nemaha County,49.0
68379,Julian,NE,Nemaha County,49.0
