zip,city,state,county,payout
03601,Acworth,NH,Sullivan County,45.85
03602,Alstead,NH,Cheshire County,45.85
03809,Alton,NH,Belknap County,45.85
03810,Alton Bay,NH,Belknap County,45.85
03031,Amherst,NH,Hillsborough County,56.0
03216,Andover,NH,Merrimack County,52.67
03440,Antrim,NH,Hillsborough County,45.85
03217,Ashland,NH,Grafton County,33.25
03441,Ashuelot,NH,Cheshire County,45.85
03811,Atkinson,NH,Rockingham County,56.0
03032,Auburn,NH,Rockingham County,56.0
03218,Barnstead,NH,Belknap County,45.85
03825,Barrington,NH,Strafford County,53.9
03812,Bartlett,NH,Carroll County,33.25
03740,Bath,NH,Grafton County,33.25
03110,Bedford,NH,Hillsborough County,56.0
03220,Belmont,NH,Belknap County,45.85
03442,Bennington,NH,Hillsborough County,45.85
03574,Bethlehem,NH,Grafton County,33.25
03304,Bow,NH,Merrimack County,45.85
03221,Bradford,NH,Merrimack County,45.85
03575,Bretton Woods,NH,Coos County,33.25
03222,Bristol,NH,Grafton County,45.85
03033,Brookline,NH,Hillsborough County,56.0
03223,Campton,NH,Grafton County,33.25
03741,Canaan,NH,Grafton County,33.25
03034,Candia,NH,Rockingham County,56.0
03224,Canterbury,NH,Merrimack County,45.85
03225,Center Barnstead,NH,Belknap County,45.85
03813,Center Conway,NH,Carroll County,33.25
03226,Center Harbor,NH,Belknap County,45.85
03814,Center Ossipee,NH,Carroll County,33.25
03227,Center Sandwich,NH,Carroll County,33.25
03815,Center Strafford,NH,Strafford County,45.85
03816,Center Tuftonboro,NH,Carroll County,33.25
03603,Charlestown,NH,Sullivan County,45.85
03036,Chester,NH,Rockingham County,56.0
03443,Chesterfield,NH,Cheshire County,45.85
03258,Chichester,NH,Merrimack County,45.85
03817,Chocorua,NH,Carroll County,33.25
03743,Claremont,NH,Sullivan County,45.85
03301,Concord,NH,Merrimack County,53.9
03302,Concord,NH,Merrimack County,45.85
03303,Concord,NH,Merrimack County,45.85
03305,Concord,NH,Merrimack County,45.85
03229,Contoocook,NH,Merrimack County,45.85
03818,Conway,NH,Carroll County,33.25
03745,Cornish,NH,Sullivan County,45.85
03746,Cornish Flat,NH,Sullivan County,45.85
03230,Danbury,NH,Merrimack County,45.85
03819,Danville,NH,Rockingham County,56.0
