zip,city,state,county,payout
87101,Albuquerque,NM,Bernalillo County,34.38
87102,Albuquerque,NM,Bernalillo County,34.38
87104,Albuquerque,NM,Bernalillo County,34.38
87105,Albuquerque,NM,Bernalillo County,34.38
87106,Albuquerque,NM,Bernalillo County,34.38
87107,Albuquerque,NM,Bernalillo County,34.38
87108,Albuquerque,NM,Bernalillo County,34.38
87109,Albuquerque,NM,Bernalillo County,34.38
87110,Albuquerque,NM,Bernalillo County,34.38
87111,Albuquerque,NM,Bernalillo County,34.38
87112,Albuquerque,NM,Bernalillo County,34.38
87113,Albuquerque,NM,Bernalillo County,34.38
87114,Albuquerque,NM,Bernalillo County,34.38
87115,Albuquerque,NM,Bernalillo County,34.38
87116,Albuquerque,NM,Bernalillo County,34.38
87119,Albuquerque,NM,Bernalillo County,34.38
87120,Albuquerque,NM,Bernalillo County,34.38
87121,Albuquerque,NM,Bernalillo County,34.38
87122,Albuquerque,NM,Bernalillo County,34.38
87123,Albuquerque,NM,Bernalillo County,34.38
87001,Algodones,NM,Sandoval County,34.38
87002,Belen,NM,Valencia County,34.38
87004,Bernalillo,NM,Sandoval County,34.38
87006,Bosque,NM,Socorro County,34.38
87068,Bosque Farms,NM,Valencia County,34.38
87008,Cedar Crest,NM,Bernalillo County,34.38
87010,Cerrillos,NM,Santa Fe County,34.38
87083,Cochiti Lake,NM,Sandoval County,34.38
87048,Corrales,NM,Sandoval County,34.38
87013,Cuba,NM,Sandoval County,34.38
87015,Edgewood,NM,Santa Fe County,34.38
87535,Glorieta,NM,Santa Fe County,34.38
87023,Jarales,NM,Valencia County,34.38
87024,Jemez Pueblo,NM,Sandoval County,34.38
87025,Jemez Springs,NM,Sandoval County,34.38
87027,La Jara,NM,Sandoval County,34.38
87540,Lamy,NM,Santa Fe County,34.38
87031,Los Lunas,NM,Valencia County,34.38
87041,Pena Blanca,NM,Sandoval County,34.38
87042,Peralta,NM,Valencia County,34.38
87043,Placitas,NM,Sandoval County,34.38
87044,Ponderosa,NM,Sandoval County,34.38
87046,Regina,NM,Sandoval County,34.38
87124,Rio Rancho,NM,Sandoval County,34.38
87144,Rio Rancho,NM,Sandoval County,34.38
87053,San Ysidro,NM,Sandoval County,34.38
87047,Sandia Park,NM,Bernalillo County,34.38
87567,Santa Cruz,NM,Santa Fe County,34.38
87501,Santa Fe,NM,Santa Fe County,34.38
87505,Santa Fe,NM,Santa Fe County,34.38
87506,Santa Fe,NM,Santa Fe County,34.38
87507,Santa Fe,NM,Santa Fe County,34.38
87508,Santa Fe,NM,Santa Fe County,34.38
87052,Santo Domingo Pueblo,NM,Sandoval County,34.38
87056,Stanley,NM,Santa Fe County,34.38
87059,Tijeras,NM,Bernalillo County,34.38
