zip,city,state,county,payout
74824,Agra,OK,Lincoln County,39.9
73001,Albert,OK,Caddo County,35.0
73002,Alex,OK,Grady County,49.0
73004,Amber,OK,Grady County,49.0
73005,Anadarko,OK,Caddo County,35.0
73006,Apache,OK,Caddo County,35.0
73007,Arcadia,OK,Oklahoma County,49.0
74826,Asher,OK,Pottawatomie County,39.9
74001,Avant,OK,Osage County,35.89
74002,Barnsdall,OK,Osage County,35.89
74421,Beggs,OK,Okmulgee County,35.89
73008,Bethany,OK,Oklahoma County,49.0
73009,Binger,OK,Caddo County,35.0
74008,Bixby,OK,Tulsa County,36.96
73010,Blanchard,OK,Mcclain County,49.0
73011,Bradley,OK,Grady County,52.5
74010,Bristow,OK,Creek County,35.89
74011,Broken Arrow,OK,Tulsa County,35.89
74012,Broken Arrow,OK,Tulsa County,36.96
74014,Broken Arrow,OK,Wagoner County,35.89
74831,Byars,OK,Mcclain County,52.5
73014,Calumet,OK,Canadian County,35.0
74832,Carney,OK,Lincoln County,39.9
73016,Cashion,OK,Kingfisher County,39.9
74015,Catoosa,OK,Rogers County,35.89
73017,Cement,OK,Caddo County,35.0
74834,Chandler,OK,Lincoln County,39.9
73018,Chickasha,OK,Grady County,49.0
73023,Chickasha,OK,Grady County,49.0
73020,Choctaw,OK,Oklahoma County,49.0
74017,Claremore,OK,Rogers County,41.11
74019,Claremore,OK,Rogers County,41.11
74020,Cleveland,OK,Pawnee County,35.89
74021,Collinsville,OK,Tulsa County,35.89
73022,Concho,OK,Canadian County,49.0
73425,Countyline,OK,Stephens County,35.0
74429,Coweta,OK,Wagoner County,35.89
73027,Coyle,OK,Logan County,39.9
73028,Crescent,OK,Logan County,39.9
73029,Cyril,OK,Caddo County,35.0
74026,Davenport,OK,Lincoln County,39.9
73031,Dibble,OK,Mcclain County,49.0
73533,Duncan,OK,Stephens County,35.0
73534,Duncan,OK,Stephens County,35.0
73536,Duncan,OK,Stephens County,35.0
74840,Earlsboro,OK,Pottawatomie County,39.9
73003,Edmond,OK,Oklahoma County,49.0
73012,Edmond,OK,Oklahoma County,49.0
73013,Edmond,OK,Oklahoma County,57.02
73025,Edmond,OK,Oklahoma County,49.0
73034,Edmond,OK,Oklahoma County,49.0
73083,Edmond,OK,Oklahoma County,49.0
73036,El Reno,OK,Canadian County,49.0
73433,Elmore City,OK,Garvin County,35.0
73541,Fletcher,OK,Comanche County,35.0
73038,Fort Cobb,OK,Caddo County,35.0
73434,Foster,OK,Stephens County,35.0
74033,Glenpool,OK,Tulsa County,35.89
73042,Gracemont,OK,Caddo County,35.0
73044,Guthrie,OK,Logan County,39.9
73045,Harrah,OK,Oklahoma County,49.0
74436,Haskell,OK,Muskogee County,35.89
73444,Hennepin,OK,Carter County,35.0
73047,Hinton,OK,Caddo County,35.0
74035,Hominy,OK,Osage County,35.89
74036,Inola,OK,Rogers County,35.89
74037,Jenks,OK,Tulsa County,36.96
73049,Jones,OK,Oklahoma County,49.0
74039,Kellyville,OK,Creek County,35.89
74041,Kiefer,OK,Creek County,35.89
73050,Langston,OK,Logan County,39.9
73051,Lexington,OK,Cleveland County,49.0
73052,Lindsay,OK,Garvin County,52.5
73053,Lookeba,OK,Caddo County,35.0
73054,Luther,OK,Oklahoma County,49.0
74852,Macomb,OK,Pottawatomie County,49.0
74044,Mannford,OK,Creek County,35.89
73055,Marlow,OK,Stephens County,35.0
73057,Maysville,OK,Garvin County,52.5
74851,Mcloud,OK,Pottawatomie County,49.0
74855,Meeker,OK,Lincoln County,49.0
73058,Meridian,OK,Logan County,49.0
73059,Minco,OK,Grady County,49.0
74047,Mounds,OK,Okmulgee County,35.89
73064,Mustang,OK,Canadian County,49.0
74857,Newalla,OK,Cleveland County,49.0
73065,Newcastle,OK,Mcclain County,53.85
73066,Nicoma Park,OK,Oklahoma County,49.0
73067,Ninnekah,OK,Grady County,52.5
73068,Noble,OK,Cleveland County,49.0
73019,Norman,OK,Cleveland County,49.0
73026,Norman,OK,Cleveland County,49.0
73069,Norman,OK,Cleveland County,49.0
73070,Norman,OK,Cleveland County,49.0
73071,Norman,OK,Cleveland County,57.02
73072,Norman,OK,Cleveland County,55.11
73762,Okarche,OK,Kingfisher County,39.9
74859,Okemah,OK,Okfuskee County,35.89
73101,Oklahoma City,OK,Oklahoma County,53.85
73102,Oklahoma City,OK,Oklahoma County,57.02
73103,Oklahoma City,OK,Oklahoma County,49.0
73104,Oklahoma City,OK,Oklahoma County,49.0
73105,Oklahoma City,OK,Oklahoma County,49.0
73106,Oklahoma City,OK,Oklahoma County,49.0
73107,Oklahoma City,OK,Oklahoma County,55.11
73108,Oklahoma City,OK,Oklahoma County,49.0
73109,Oklahoma City,OK,Oklahoma County,49.0
73110,Oklahoma City,OK,Oklahoma County,49.0
73111,Oklahoma City,OK,Oklahoma County,49.0
73112,Oklahoma City,OK,Oklahoma County,49.0
73113,Oklahoma City,OK,Oklahoma County,49.0
73114,Oklahoma City,OK,Oklahoma County,57.02
73115,Oklahoma City,OK,Oklahoma County,49.0
73116,Oklahoma City,OK,Oklahoma County,49.0
73117,Oklahoma City,OK,Oklahoma County,57.02
73118,Oklahoma City,OK,Oklahoma County,57.02
73119,Oklahoma City,OK,Oklahoma County,49.0
73120,Oklahoma City,OK,Oklahoma County,57.02
73121,Oklahoma City,OK,Oklahoma County,49.0
73122,Oklahoma City,OK,Oklahoma County,49.0
73123,Oklahoma City,OK,Oklahoma County,49.0
73124,Oklahoma City,OK,Oklahoma County,49.0
73125,Oklahoma City,OK,Oklahoma County,49.0
73126,Oklahoma City,OK,Oklahoma County,49.0
73127,Oklahoma City,OK,Oklahoma County,49.0
73128,Oklahoma City,OK,Canadian County,49.0
73129,Oklahoma City,OK,Oklahoma County,49.0
73130,Oklahoma City,OK,Oklahoma County,49.0
73131,Oklahoma City,OK,Oklahoma County,49.0
73132,Oklahoma City,OK,Oklahoma County,49.0
73134,Oklahoma City,OK,Oklahoma County,49.0
73135,Oklahoma City,OK,Oklahoma County,49.0
73136,Oklahoma City,OK,Oklahoma County,49.0
73137,Oklahoma City,OK,Oklahoma County,49.0
73139,Oklahoma City,OK,Oklahoma County,49.0
73140,Oklahoma City,OK,Oklahoma County,49.0
73141,Oklahoma City,OK,Oklahoma County,49.0
73142,Oklahoma City,OK,Oklahoma County,49.0
73143,Oklahoma City,OK,Oklahoma County,49.0
73144,Oklahoma City,OK,Oklahoma County,49.0
73145,Oklahoma City,OK,Oklahoma County,49.0
73146,Oklahoma City,OK,Oklahoma County,49.0
73147,Oklahoma City,OK,Oklahoma County,49.0
73148,Oklahoma City,OK,Oklahoma County,49.0
73149,Oklahoma City,OK,Oklahoma County,49.0
73150,Oklahoma City,OK,Oklahoma County,49.0
73151,Oklahoma City,OK,Oklahoma County,49.0
73152,Oklahoma City,OK,Oklahoma County,49.0
73153,Oklahoma City,OK,Oklahoma County,49.0
73154,Oklahoma City,OK,Oklahoma County,49.0
73155,Oklahoma City,OK,Oklahoma County,49.0
73156,Oklahoma City,OK,Oklahoma County,49.0
73157,Oklahoma City,OK,Oklahoma County,49.0
73159,Oklahoma City,OK,Oklahoma County,49.0
73160,Oklahoma City,OK,Cleveland County,55.11
73162,Oklahoma City,OK,Oklahoma County,53.85
73163,Oklahoma City,OK,Oklahoma County,49.0
73164,Oklahoma City,OK,Oklahoma County,49.0
73165,Oklahoma City,OK,Cleveland County,49.0
73167,Oklahoma City,OK,Oklahoma County,49.0
73169,Oklahoma City,OK,Oklahoma County,49.0
