zip,city,state,county,payout
02801,Adamsville,RI,Newport County,39.88
02802,Albion,RI,Providence County,39.88
02804,Ashaway,RI,Washington County,39.88
02806,Barrington,RI,Bristol County,39.88
02807,Block Island,RI,Washington County,39.88
02808,Bradford,RI,Washington County,39.88
02809,Bristol,RI,Bristol County,39.88
02812,Carolina,RI,Washington County,39.88
02863,Central Falls,RI,Providence County,39.88
02813,Charlestown,RI,Washington County,39.88
02814,Chepachet,RI,Providence County,39.88
02815,Clayville,RI,Providence County,39.88
02816,Coventry,RI,Kent County,45.67
02910,Cranston,RI,Providence County,39.88
02920,Cranston,RI,Providence County,39.88
02921,Cranston,RI,Providence County,39.88
02864,Cumberland,RI,Providence County,44.15
02818,East Greenwich,RI,Kent County,39.88
02914,East Providence,RI,Providence County,39.88
02822,Exeter,RI,Washington County,39.88
02823,Fiskeville,RI,Providence County,39.88
02824,Forestdale,RI,Providence County,39.88
02825,Foster,RI,Providence County,39.88
02826,Glendale,RI,Providence County,39.88
02827,Greene,RI,Kent County,39.88
02828,Greenville,RI,Providence County,39.88
02829,Harmony,RI,Providence County,39.88
02830,Harrisville,RI,Providence County,39.88
02831,Hope,RI,Providence County,39.88
02832,Hope Valley,RI,Washington County,39.88
02833,Hopkinton,RI,Washington County,39.88
02835,Jamestown,RI,Newport County,45.67
02919,Johnston,RI,Providence County,39.88
02836,Kenyon,RI,Washington County,39.88
02881,Kingston,RI,Washington County,39.88
02865,Lincoln,RI,Providence County,39.88
02837,Little Compton,RI,Newport County,39.88
02838,Manville,RI,Providence County,39.88
02839,Mapleville,RI,Providence County,39.88
02842,Middletown,RI,Newport County,39.88
02882,Narragansett,RI,Washington County,39.88
02840,Newport,RI,Newport County,39.88
02841,Newport,RI,Newport County,39.88
02852,North Kingstown,RI,Washington County,39.88
02911,North Providence,RI,Providence County,39.88
02857,North Scituate,RI,Providence County,39.88
02896,North Smithfield,RI,Providence County,39.88
02858,Oakland,RI,Providence County,39.88
02859,Pascoag,RI,Providence County,39.88
02860,Pawtucket,RI,Providence County,39.88
02861,Pawtucket,RI,Providence County,39.88
02862,Pawtucket,RI,Providence County,39.88
02883,Peace Dale,RI,Washington County,39.88
02871,Portsmouth,RI,Newport County,39.88
02901,Providence,RI,Providence County,39.88
02902,Providence,RI,Providence County,39.88
02903,Providence,RI,Providence County,39.88
02904,Providence,RI,Providence County,39.88
02905,Providence,RI,Providence County,39.88
02906,Providence,RI,Providence County,45.67
02907,Providence,RI,Providence County,39.88
02908,Providence,RI,Providence County,39.88
02909,Providence,RI,Providence County,39.88
02912,Providence,RI,Providence County,39.88
02918,Providence,RI,Providence County,39.88
02940,Providence,RI,Providence County,39.88
02872,Prudence Island,RI,Newport County,39.88
02915,Riverside,RI,Providence County,39.88
02873,Rockville,RI,Washington County,39.88
02916,Rumford,RI,Providence County,39.88
02874,Saunderstown,RI,Washington County,39.88
02875,Shannock,RI,Washington County,39.88
02876,Slatersville,RI,Providence County,39.88
02877,Slocum,RI,Washington County,39.88
02917,Smithfield,RI,Providence County,39.88
02878,Tiverton,RI,Newport County,45.67
02879,Wakefield,RI,Washington County,39.88
02885,Warren,RI,Bristol County,39.88
02886,Warwick,RI,Kent County,39.88
02887,Warwick,RI,Kent County,39.88
02888,Warwick,RI,Kent County,39.88
02889,Warwick,RI,Kent County,39.88
02817,West Greenwich,RI,Kent County,39.88
02892,West Kingston,RI,Washington County,43.14
02893,West Warwick,RI,Kent County,39.88
02891,Westerly,RI,Washington County,39.88
02894,Wood River Junction,RI,Washington County,39.88
02895,Woonsocket,RI,Providence County,39.88
02898,Wyoming,RI,Washington County,39.88
