zip,city,state,county,payout
29620,Abbeville,SC,Abbeville County,49.7
29426,Adams Run,SC,Charleston County,42.0
29801,Aiken,SC,Aiken County,58.45
29802,Aiken,SC,Aiken County,49.7
29803,Aiken,SC,Aiken County,58.45
29804,Aiken,SC,Aiken County,42.0
29805,Aiken,SC,Aiken County,42.0
29808,Aiken,SC,Aiken County,45.67
29001,Alcolu,SC,Clarendon County,49.7
29810,Allendale,SC,Allendale County,36.62
29621,Anderson,SC,Anderson County,61.25
29622,Anderson,SC,Anderson County,42.0
29623,Anderson,SC,Anderson County,42.0
29624,Anderson,SC,Anderson County,61.25
29625,Anderson,SC,Anderson County,41.25
29626,Anderson,SC,Anderson County,49.7
29510,Andrews,SC,Georgetown County,53.55
29320,Arcadia,SC,Spartanburg County,42.0
29002,Ballentine,SC,Richland County,58.45
29003,Bamberg,SC,Bamberg County,49.7
29812,Barnwell,SC,Barnwell County,49.7
29006,Batesburg,SC,Lexington County,58.45
29816,Bath,SC,Aiken County,49.7
29901,Beaufort,SC,Beaufort County,58.45
29902,Beaufort,SC,Beaufort County,49.7
29903,Beaufort,SC,Beaufort County,42.0
29904,Beaufort,SC,Beaufort County,42.0
29906,Beaufort,SC,Beaufort County,49.7
29907,Beaufort,SC,Beaufort County,42.0
29842,Beech Island,SC,Aiken County,49.7
29627,Belton,SC,Anderson County,42.0
29512,Bennettsville,SC,Marlboro County,49.7
29009,Bethune,SC,Kershaw County,42.0
29010,Bishopville,SC,Lee County,58.45
29702,Blacksburg,SC,Cherokee County,58.45
29014,Blackstock,SC,Chester County,46.11
29817,Blackville,SC,Barnwell County,49.7
29015,Blair,SC,Fairfield County,42.0
29516,Blenheim,SC,Marlboro County,42.0
29910,Bluffton,SC,Beaufort County,42.0
29016,Blythewood,SC,Richland County,44.15
29316,Boiling Springs,SC,Spartanburg County,42.0
29431,Bonneau,SC,Berkeley County,42.0
29703,Bowling Green,SC,York County,42.0
29018,Bowman,SC,Orangeburg County,45.67
29819,Bradley,SC,Greenwood County,42.0
29432,Branchville,SC,Orangeburg County,45.67
29321,Buffalo,SC,Union County,49.7
29518,Cades,SC,Williamsburg County,42.0
29628,Calhoun Falls,SC,Abbeville County,35.0
29020,Camden,SC,Kershaw County,49.7
