zip,city,state,county,payout
37010,Adams,TN,Montgomery County,52.5
38310,Adamsville,TN,Mcnairy County,35.75
37616,Afton,TN,Greene County,49.5
38001,Alamo,TN,Crockett County,35.75
37701,Alcoa,TN,Blount County,49.5
37012,Alexandria,TN,Dekalb County,42.0
38504,Allardt,TN,Fentress County,34.38
38541,Allons,TN,Overton County,47.25
38542,Allred,TN,Overton County,47.25
38543,Alpine,TN,Overton County,49.5
37301,Altamont,TN,Grundy County,49.5
37705,Andersonville,TN,Anderson County,49.5
37011,Antioch,TN,Davidson County,61.25
37013,Antioch,TN,Davidson County,61.25
37302,Apison,TN,Hamilton County,49.5
38449,Ardmore,TN,Giles County,45.38
37389,Arnold AFB,TN,Coffee County,45.38
37014,Arrington,TN,Williamson County,45.38
37015,Ashland City,TN,Cheatham County,55.44
37303,Athens,TN,Mcminn County,54.81
37371,Athens,TN,Mcminn County,49.5
38220,Atwood,TN,Carroll County,35.75
37016,Auburntown,TN,Cannon County,47.25
37304,Bakewell,TN,Hamilton County,49.5
38311,Bath Springs,TN,Decatur County,35.75
38544,Baxter,TN,Putnam County,49.5
37708,Bean Station,TN,Grainger County,49.5
38313,Beech Bluff,TN,Madison County,35.75
37018,Beechgrove,TN,Coffee County,45.38
37305,Beersheba Springs,TN,Grundy County,49.5
37019,Belfast,TN,Marshall County,45.38
37020,Bell Buckle,TN,Bedford County,49.5
38006,Bells,TN,Crockett County,35.75
37306,Belvidere,TN,Franklin County,49.5
37307,Benton,TN,Polk County,49.5
38315,Bethel Springs,TN,Mcnairy County,35.75
37022,Bethpage,TN,Sumner County,39.19
37023,Big Rock,TN,Stewart County,52.5
38221,Big Sandy,TN,Benton County,46.75
37308,Birchwood,TN,Hamilton County,49.5
37709,Blaine,TN,Grainger County,43.75
38545,Bloomington Springs,TN,Jackson County,47.25
37617,Blountville,TN,Sullivan County,56.7
37618,Bluff City,TN,Sullivan County,49.5
38008,Bolivar,TN,Hardeman County,35.75
37025,Bon Aqua,TN,Hickman County,45.38
38316,Bradford,TN,Gibson County,35.75
37026,Bradyville,TN,Cannon County,45.38
37024,Brentwood,TN,Williamson County,61.25
37027,Brentwood,TN,Williamson County,61.25
37620,Bristol,TN,Sullivan County,49.5
37621,Bristol,TN,Sullivan County,49.5
37625,Bristol,TN,Sullivan County,49.5
38012,Brownsville,TN,Haywood County,35.75
38317,Bruceton,TN,Carroll County,35.75
38547,Brush Creek,TN,Smith County,47.25
38222,Buchanan,TN,Henry County,46.75
38318,Buena Vista,TN,Carroll County,35.75
38548,Buffalo Valley,TN,Putnam County,49.5
37711,Bulls Gap,TN,Hawkins County,49.5
37028,Bumpus Mills,TN,Stewart County,52.5
37029,Burns,TN,Dickson County,46.75
37640,Butler,TN,Johnson County,49.5
38549,Byrdstown,TN,Pickett County,47.25
37309,Calhoun,TN,Mcminn County,49.5
38320,Camden,TN,Benton County,46.75
38550,Campaign,TN,Warren County,49.5
37030,Carthage,TN,Smith County,47.25
37714,Caryville,TN,Campbell County,49.5
37031,Castalian Springs,TN,Sumner County,44.0
38321,Cedar Grove,TN,Carroll County,35.75
37032,Cedar Hill,TN,Robertson County,52.5
38551,Celina,TN,Clay County,49.5
37033,Centerville,TN,Hickman County,45.38
37034,Chapel Hill,TN,Marshall County,45.38
37035,Chapmansboro,TN,Cheatham County,52.5
37310,Charleston,TN,Bradley County,49.5
37036,Charlotte,TN,Dickson County,52.5
37402,Chattanooga,TN,Hamilton County,36.96
37403,Chattanooga,TN,Hamilton County,36.96
37406,Chattanooga,TN,Hamilton County,36.96
37407,Chattanooga,TN,Hamilton County,36.96
37410,Chattanooga,TN,Hamilton County,36.96
37411,Chattanooga,TN,Hamilton County,36.96
37412,Chattanooga,TN,Hamilton County,36.96
37419,Chattanooga,TN,Hamilton County,49.5
37421,Chattanooga,TN,Hamilton County,49.5
37422,Chattanooga,TN,Hamilton County,49.5
37424,Chattanooga,TN,Hamilton County,49.5
37450,Chattanooga,TN,Hamilton County,49.5
38552,Chestnut Mound,TN,Smith County,47.25
37037,Christiana,TN,Rutherford County,61.25
37641,Chuckey,TN,Greene County,56.7
37642,Church Hill,TN,Hawkins County,49.5
37715,Clairfield,TN,Claiborne County,49.5
38553,Clarkrange,TN,Fentress County,49.5
37040,Clarksville,TN,Montgomery County,53.59
37041,Clarksville,TN,Montgomery County,39.19
37042,Clarksville,TN,Montgomery County,52.5
37043,Clarksville,TN,Montgomery County,55.44
37044,Clarksville,TN,Montgomery County,46.75
37311,Cleveland,TN,Bradley County,49.5
37312,Cleveland,TN,Bradley County,49.5
37320,Cleveland,TN,Bradley County,49.5
37323,Cleveland,TN,Bradley County,49.5
37364,Cleveland,TN,Bradley County,49.5
38425,Clifton,TN,Wayne County,35.75
37716,Clinton,TN,Anderson County,49.5
37717,Clinton,TN,Anderson County,43.75
37313,Coalmont,TN,Grundy County,49.5
37046,College Grove,TN,Williamson County,45.38
37315,Collegedale,TN,Hamilton County,49.5
38017,Collierville,TN,Shelby County,39.38
38450,Collinwood,TN,Wayne County,35.75
38401,Columbia,TN,Maury County,55.44
38402,Columbia,TN,Maury County,39.19
38501,Cookeville,TN,Putnam County,56.7
38503,Cookeville,TN,Putnam County,49.5
38505,Cookeville,TN,Putnam County,49.5
38506,Cookeville,TN,Putnam County,49.5
37317,Copperhill,TN,Polk County,49.5
37047,Cornersville,TN,Marshall County,45.38
37721,Corryton,TN,Knox County,49.5
37722,Cosby,TN,Cocke County,49.5
38224,Cottage Grove,TN,Henry County,35.75
37048,Cottontown,TN,Sumner County,44.0
38326,Counce,TN,Hardin County,35.75
37318,Cowan,TN,Franklin County,49.5
37723,Crab Orchard,TN,Cumberland County,49.5
38554,Crawford,TN,Overton County,49.5
37049,Cross Plains,TN,Robertson County,52.5
38555,Crossville,TN,Cumberland County,56.7
38557,Crossville,TN,Cumberland County,49.5
38558,Crossville,TN,Cumberland County,49.5
38571,Crossville,TN,Cumberland County,49.5
38572,Crossville,TN,Cumberland County,49.5
38327,Crump,TN,Hardin County,35.75
38451,Culleoka,TN,Maury County,45.38
37050,Cumberland City,TN,Stewart County,52.5
37051,Cumberland Furnace,TN,Dickson County,52.5
37724,Cumberland Gap,TN,Claiborne County,49.5
37052,Cunningham,TN,Montgomery County,53.59
38452,Cypress Inn,TN,Wayne County,35.75
37725,Dandridge,TN,Jefferson County,49.5
38328,Darden,TN,Henderson County,35.75
37321,Dayton,TN,Rhea County,49.5
37322,Decatur,TN,Meigs County,49.5
38329,Decaturville,TN,Decatur County,35.75
37324,Decherd,TN,Franklin County,49.5
37726,Deer Lodge,TN,Morgan County,49.5
38453,Dellrose,TN,Lincoln County,45.38
38391,Denmark,TN,Madison County,35.75
37055,Dickson,TN,Dickson County,55.44
37056,Dickson,TN,Dickson County,39.19
37057,Dixon Springs,TN,Macon County,47.25
37058,Dover,TN,Stewart County,52.5
37059,Dowelltown,TN,Dekalb County,49.5
38559,Doyle,TN,White County,47.25
38225,Dresden,TN,Weakley County,35.75
38454,Duck River,TN,Hickman County,45.38
37326,Ducktown,TN,Polk County,49.5
37729,Duff,TN,Campbell County,49.5
38226,Dukedom,TN,Weakley County,35.75
38330,Dyer,TN,Gibson County,35.75
38024,Dyersburg,TN,Dyer County,35.75
37730,Eagan,TN,Claiborne County,49.5
37060,Eagleville,TN,Rutherford County,45.38
37731,Eidson,TN,Hawkins County,49.5
37732,Elgin,TN,Scott County,49.5
37643,Elizabethton,TN,Carter County,54.81
37644,Elizabethton,TN,Carter County,49.5
38560,Elmwood,TN,Smith County,47.25
37328,Elora,TN,Lincoln County,45.38
37329,Englewood,TN,Mcminn County,49.5
38332,Enville,TN,Chester County,35.75
37061,Erin,TN,Houston County,52.5
37650,Erwin,TN,Unicoi County,49.5
37330,Estill Springs,TN,Franklin County,49.5
38456,Ethridge,TN,Lawrence County,45.38
37331,Etowah,TN,Mcminn County,49.5
38333,Eva,TN,Benton County,46.75
37332,Evensville,TN,Rhea County,49.5
37062,Fairview,TN,Williamson County,46.75
37656,Fall Branch,TN,Washington County,49.5
37333,Farner,TN,Polk County,49.5
37334,Fayetteville,TN,Lincoln County,45.38
38334,Finger,TN,Mcnairy County,35.75
38030,Finley,TN,Dyer County,35.75
38457,Five Points,TN,Lawrence County,45.38
37657,Flag Pond,TN,Unicoi County,49.5
37335,Flintville,TN,Lincoln County,45.38
37063,Fosterville,TN,Rutherford County,39.19
38459,Frankewing,TN,Lincoln County,45.38
37064,Franklin,TN,Williamson County,45.38
37065,Franklin,TN,Williamson County,61.25
37067,Franklin,TN,Williamson County,45.38
37068,Franklin,TN,Williamson County,43.75
37069,Franklin,TN,Williamson County,43.75
38034,Friendship,TN,Crockett County,35.75
37737,Friendsville,TN,Blount County,49.5
38337,Gadsden,TN,Crockett County,35.75
38562,Gainesboro,TN,Jackson County,49.5
37066,Gallatin,TN,Sumner County,61.25
37738,Gatlinburg,TN,Sevier County,49.5
37071,Gladeville,TN,Wilson County,61.25
38229,Gleason,TN,Weakley County,35.75
37070,Goodlettsville,TN,Davidson County,61.25
37072,Goodlettsville,TN,Davidson County,55.44
38460,Goodspring,TN,Giles County,45.38
38563,Gordonsville,TN,Smith County,47.25
38039,Grand Junction,TN,Hardeman County,35.75
38564,Granville,TN,Jackson County,49.5
37338,Graysville,TN,Rhea County,49.5
37742,Greenback,TN,Loudon County,49.5
37073,Greenbrier,TN,Robertson County,52.5
37743,Greeneville,TN,Greene County,49.5
37744,Greeneville,TN,Greene County,49.5
37745,Greeneville,TN,Greene County,49.5
38230,Greenfield,TN,Weakley County,35.75
38565,Grimsley,TN,Fentress County,49.5
37339,Gruetli Laager,TN,Grundy County,49.5
37340,Guild,TN,Marion County,49.5
38339,Guys,TN,Mcnairy County,35.75
38040,Halls,TN,Lauderdale County,35.75
38461,Hampshire,TN,Maury County,45.38
37658,Hampton,TN,Carter County,49.5
37748,Harriman,TN,Roane County,49.5
37341,Harrison,TN,Hamilton County,49.5
37752,Harrogate,TN,Claiborne County,49.5
37753,Hartford,TN,Cocke County,49.5
37074,Hartsville,TN,Trousdale County,47.25
37754,Heiskell,TN,Anderson County,49.5
37755,Helenwood,TN,Scott County,49.5
38340,Henderson,TN,Chester County,35.75
37075,Hendersonville,TN,Sumner County,61.25
37077,Hendersonville,TN,Sumner County,61.25
38231,Henry,TN,Henry County,35.75
37076,Hermitage,TN,Davidson County,61.25
38567,Hickman,TN,Smith County,47.25
38042,Hickory Valley,TN,Hardeman County,35.75
38568,Hilham,TN,Overton County,49.5
37342,Hillsboro,TN,Coffee County,49.5
37343,Hixson,TN,Hamilton County,49.5
38462,Hohenwald,TN,Lewis County,45.38
38341,Holladay,TN,Benton County,35.75
38342,Hollow Rock,TN,Carroll County,35.75
