zip,city,state,county,payout
77326,Ace,TX,Polk County,148.75
75001,Addison,TX,Dallas County,54.25
78101,Adkins,TX,Wilson County,54.25
77411,Alief,TX,Harris County,166.25
75002,Allen,TX,Collin County,54.25
75013,Allen,TX,Collin County,54.25
78935,Alleyton,TX,Colorado County,148.75
77412,Altair,TX,Colorado County,148.75
76009,Alvarado,TX,Johnson County,54.25
77511,Alvin,TX,Brazoria County,166.25
77512,Alvin,TX,Brazoria County,166.25
77514,Anahuac,TX,Chambers County,148.75
77830,Anderson,TX,Grimes County,148.75
77515,Angleton,TX,Brazoria County,166.25
77516,Angleton,TX,Brazoria County,166.25
75409,Anna,TX,Collin County,54.25
76001,Arlington,TX,Tarrant County,54.25
76002,Arlington,TX,Tarrant County,54.25
76003,Arlington,TX,Tarrant County,54.25
76004,Arlington,TX,Tarrant County,54.25
76005,Arlington,TX,Tarrant County,54.25
76006,Arlington,TX,Tarrant County,54.25
76007,Arlington,TX,Tarrant County,54.25
76010,Arlington,TX,Tarrant County,55.13
76011,Arlington,TX,Tarrant County,54.25
76012,Arlington,TX,Tarrant County,54.25
76013,Arlington,TX,Tarrant County,54.25
76014,Arlington,TX,Tarrant County,54.25
76015,Arlington,TX,Tarrant County,54.25
76016,Arlington,TX,Tarrant County,54.25
76017,Arlington,TX,Tarrant County,54.25
76018,Arlington,TX,Tarrant County,54.25
76019,Arlington,TX,Tarrant County,54.25
76094,Arlington,TX,Tarrant County,54.25
76096,Arlington,TX,Tarrant County,54.25
76227,Aubrey,TX,Denton County,54.25
73301,Austin,TX,Travis County,54.25
73344,Austin,TX,Travis County,54.25
78701,Austin,TX,Travis County,54.25
78702,Austin,TX,Travis County,54.25
78703,Austin,TX,Travis County,54.25
78704,Austin,TX,Travis County,54.25
78705,Austin,TX,Travis County,67.41
78708,Austin,TX,Travis County,54.25
78709,Austin,TX,Travis County,54.25
78710,Austin,TX,Travis County,54.25
78711,Austin,TX,Travis County,54.25
78712,Austin,TX,Travis County,54.25
78713,Austin,TX,Travis County,54.25
78714,Austin,TX,Travis County,54.25
78715,Austin,TX,Travis County,54.25
78716,Austin,TX,Travis County,54.25
78717,Austin,TX,Williamson County,54.25
78718,Austin,TX,Travis County,54.25
78719,Austin,TX,Travis County,54.25
78720,Austin,TX,Travis County,54.25
78721,Austin,TX,Travis County,54.25
78722,Austin,TX,Travis County,54.25
78723,Austin,TX,Travis County,54.25
78724,Austin,TX,Travis County,54.25
78725,Austin,TX,Travis County,54.25
78726,Austin,TX,Travis County,54.25
78727,Austin,TX,Travis County,54.25
78728,Austin,TX,Travis County,54.25
78729,Austin,TX,Williamson County,54.25
78730,Austin,TX,Travis County,54.25
78731,Austin,TX,Travis County,54.25
78732,Austin,TX,Travis County,54.25
78733,Austin,TX,Travis County,54.25
78734,Austin,TX,Travis County,54.25
78735,Austin,TX,Travis County,54.25
78736,Austin,TX,Travis County,54.25
78737,Austin,TX,Hays County,54.25
78738,Austin,TX,Travis County,54.25
78739,Austin,TX,Travis County,54.25
78741,Austin,TX,Travis County,54.25
78742,Austin,TX,Travis County,54.25
78744,Austin,TX,Travis County,54.25
78745,Austin,TX,Travis County,54.25
78746,Austin,TX,Travis County,54.25
78747,Austin,TX,Travis County,54.25
78748,Austin,TX,Travis County,54.25
78749,Austin,TX,Travis County,61.66
78750,Austin,TX,Travis County,54.25
78751,Austin,TX,Travis County,54.25
78752,Austin,TX,Travis County,54.25
78753,Austin,TX,Travis County,56.23
78754,Austin,TX,Travis County,54.25
78755,Austin,TX,Travis County,54.25
78756,Austin,TX,Travis County,54.25
78757,Austin,TX,Travis County,59.53
78758,Austin,TX,Travis County,67.41
78759,Austin,TX,Travis County,54.25
78760,Austin,TX,Travis County,54.25
78761,Austin,TX,Travis County,54.25
78762,Austin,TX,Travis County,54.25
78763,Austin,TX,Travis County,54.25
78764,Austin,TX,Travis County,54.25
78765,Austin,TX,Travis County,54.25
78766,Austin,TX,Travis County,54.25
78767,Austin,TX,Travis County,54.25
78768,Austin,TX,Travis County,54.25
78769,Austin,TX,Travis County,54.25
78772,Austin,TX,Travis County,54.25
78773,Austin,TX,Travis County,54.25
78774,Austin,TX,Travis County,54.25
78778,Austin,TX,Travis County,54.25
78779,Austin,TX,Travis County,54.25
78783,Austin,TX,Travis County,54.25
78799,Austin,TX,Travis County,57.55
76623,Avalon,TX,Ellis County,52.25
76020,Azle,TX,Tarrant County,54.25
77518,Bacliff,TX,Galveston County,166.25
75180,Balch Springs,TX,Dallas County,54.25
77413,Barker,TX,Harris County,166.25
76511,Bartlett,TX,Williamson County,54.25
78602,Bastrop,TX,Bastrop County,54.25
77519,Batson,TX,Hardin County,148.75
77404,Bay City,TX,Matagorda County,148.75
77414,Bay City,TX,Matagorda County,148.75
77520,Baytown,TX,Harris County,166.25
77521,Baytown,TX,Harris County,166.25
77522,Baytown,TX,Harris County,166.25
77523,Baytown,TX,Chambers County,166.25
77417,Beasley,TX,Fort Bend County,166.25
77701,Beaumont,TX,Jefferson County,148.75
77702,Beaumont,TX,Jefferson County,148.75
77703,Beaumont,TX,Jefferson County,148.75
77704,Beaumont,TX,Jefferson County,148.75
77705,Beaumont,TX,Jefferson County,148.75
77706,Beaumont,TX,Jefferson County,148.75
77707,Beaumont,TX,Jefferson County,148.75
77708,Beaumont,TX,Jefferson County,148.75
77710,Beaumont,TX,Jefferson County,148.75
77713,Beaumont,TX,Jefferson County,148.75
77720,Beaumont,TX,Jefferson County,148.75
77725,Beaumont,TX,Jefferson County,148.75
77726,Beaumont,TX,Jefferson County,148.75
76021,Bedford,TX,Tarrant County,54.25
76022,Bedford,TX,Tarrant County,54.25
76095,Bedford,TX,Tarrant County,54.25
