zip,city,state,county,payout
98520,Aberdeen,WA,Grays Harbor County,41.3
98220,Acme,WA,Whatcom County,35.0
98522,Adna,WA,Lewis County,44.1
99001,Airway Heights,WA,Spokane County,41.11
98524,Allyn,WA,Mason County,42.0
98601,Amboy,WA,Clark County,56.38
98221,Anacortes,WA,Skagit County,35.0
98303,Anderson Island,WA,Pierce County,72.45
98603,Ariel,WA,Cowlitz County,56.38
98223,Arlington,WA,Snohomish County,61.25
98304,Ashford,WA,Pierce County,42.0
98001,Auburn,WA,King County,69.3
98002,Auburn,WA,King County,69.3
98071,Auburn,WA,King County,66.0
98092,Auburn,WA,King County,69.3
98110,Bainbridge Island,WA,Kitsap County,54.88
98224,Baring,WA,King County,66.0
98604,Battle Ground,WA,Clark County,63.64
98527,Bay Center,WA,Pacific County,67.38
98528,Belfair,WA,Mason County,42.0
98004,Bellevue,WA,King County,85.05
98005,Bellevue,WA,King County,66.0
98006,Bellevue,WA,King County,66.0
98007,Bellevue,WA,King County,66.0
98008,Bellevue,WA,King County,66.0
98009,Bellevue,WA,King County,66.0
98015,Bellevue,WA,King County,66.0
98225,Bellingham,WA,Whatcom County,35.0
98226,Bellingham,WA,Whatcom County,35.0
98227,Bellingham,WA,Whatcom County,35.0
98228,Bellingham,WA,Whatcom County,35.0
98229,Bellingham,WA,Whatcom County,35.0
98010,Black Diamond,WA,King County,66.0
98230,Blaine,WA,Whatcom County,35.0
98231,Blaine,WA,Whatcom County,35.0
98222,Blakely Island,WA,San Juan County,35.0
98391,Bonney Lake,WA,Pierce County,69.3
98011,Bothell,WA,King County,66.0
98012,Bothell,WA,Snohomish County,66.99
98021,Bothell,WA,Snohomish County,61.25
98041,Bothell,WA,King County,66.0
98232,Bow,WA,Skagit County,35.0
98310,Bremerton,WA,Kitsap County,42.0
98311,Bremerton,WA,Kitsap County,42.0
98312,Bremerton,WA,Kitsap County,42.0
98314,Bremerton,WA,Kitsap County,42.0
98337,Bremerton,WA,Kitsap County,42.0
98606,Brush Prairie,WA,Clark County,67.38
98321,Buckley,WA,Pierce County,42.0
98530,Bucoda,WA,Thurston County,54.88
98322,Burley,WA,Kitsap County,42.0
98233,Burlington,WA,Skagit County,35.0
98013,Burton,WA,King County,66.0
98282,Camano Island,WA,Island County,35.0
98607,Camas,WA,Clark County,67.38
98430,Camp Murray,WA,Pierce County,42.0
98323,Carbonado,WA,Pierce County,42.0
98014,Carnation,WA,King County,66.0
98609,Carrolls,WA,Cowlitz County,56.38
98610,Carson,WA,Skamania County,60.64
98611,Castle Rock,WA,Cowlitz County,67.38
98612,Cathlamet,WA,Wahkiakum County,41.3
98531,Centralia,WA,Lewis County,67.38
99003,Chattaroy,WA,Spokane County,38.56
98532,Chehalis,WA,Lewis County,67.38
98235,Clearlake,WA,Skagit County,35.0
98237,Concrete,WA,Skagit County,35.0
98238,Conway,WA,Skagit County,35.0
98616,Cougar,WA,Cowlitz County,56.38
98239,Coupeville,WA,Island County,35.0
98538,Curtis,WA,Lewis County,60.64
98240,Custer,WA,Whatcom County,35.0
99006,Deer Park,WA,Spokane County,41.11
98244,Deming,WA,Whatcom County,35.0
98327,Dupont,WA,Pierce County,69.3
98019,Duvall,WA,King County,66.0
98540,East Olympia,WA,Thurston County,54.88
98328,Eatonville,WA,Pierce County,54.88
98020,Edmonds,WA,Snohomish County,69.3
98026,Edmonds,WA,Snohomish County,85.05
98330,Elbe,WA,Pierce County,42.0
98541,Elma,WA,Grays Harbor County,44.1
98022,Enumclaw,WA,King County,66.0
98201,Everett,WA,Snohomish County,61.25
98203,Everett,WA,Snohomish County,61.25
98204,Everett,WA,Snohomish County,69.3
98205,Everett,WA,Snohomish County,35.0
98206,Everett,WA,Snohomish County,61.25
98207,Everett,WA,Snohomish County,35.0
98208,Everett,WA,Snohomish County,85.05
98213,Everett,WA,Snohomish County,35.0
98247,Everson,WA,Whatcom County,35.0
98024,Fall City,WA,King County,66.0
98003,Federal Way,WA,King County,69.3
98023,Federal Way,WA,King County,69.3
98063,Federal Way,WA,King County,66.0
98093,Federal Way,WA,King County,66.0
98248,Ferndale,WA,Whatcom County,35.0
98333,Fox Island,WA,Pierce County,42.0
98329,Gig Harbor,WA,Pierce County,54.88
98332,Gig Harbor,WA,Pierce County,63.31
98335,Gig Harbor,WA,Pierce County,70.03
98336,Glenoma,WA,Lewis County,67.38
98338,Graham,WA,Pierce County,72.45
98546,Grapeview,WA,Mason County,42.0
98255,Hamilton,WA,Skagit County,35.0
98622,Heisson,WA,Clark County,56.38
98025,Hobart,WA,King County,66.0
98027,Issaquah,WA,King County,69.3
98029,Issaquah,WA,King County,82.22
98625,Kalama,WA,Cowlitz County,67.38
98344,Kapowsin,WA,Pierce County,42.0
98626,Kelso,WA,Cowlitz County,67.38
98028,Kenmore,WA,King County,67.03
98030,Kent,WA,King County,85.05
98031,Kent,WA,King County,85.05
98032,Kent,WA,King County,66.0
98035,Kent,WA,King County,66.0
98042,Kent,WA,King County,69.3
98064,Kent,WA,King County,66.0
98089,Kent,WA,King County,66.0
98033,Kirkland,WA,King County,78.75
98034,Kirkland,WA,King County,80.33
98083,Kirkland,WA,King County,66.0
98629,La Center,WA,Clark County,67.38
98257,La Conner,WA,Skagit County,35.0
98348,La Grande,WA,Thurston County,42.0
98503,Lacey,WA,Thurston County,42.0
98258,Lake Stevens,WA,Snohomish County,61.25
98349,Lakebay,WA,Pierce County,68.42
98439,Lakewood,WA,Pierce County,69.3
98498,Lakewood,WA,Pierce County,72.45
98499,Lakewood,WA,Pierce County,72.45
98631,Long Beach,WA,Pacific County,67.38
98351,Longbranch,WA,Pierce County,42.0
98632,Longview,WA,Cowlitz County,67.38
98261,Lopez Island,WA,San Juan County,35.0
98262,Lummi Island,WA,Whatcom County,35.0
98263,Lyman,WA,Skagit County,35.0
98264,Lynden,WA,Whatcom County,35.0
98036,Lynnwood,WA,Snohomish County,85.05
98037,Lynnwood,WA,Snohomish County,61.25
98087,Lynnwood,WA,Snohomish County,78.75
98353,Manchester,WA,Kitsap County,42.0
98266,Maple Falls,WA,Whatcom County,35.0
98038,Maple Valley,WA,King County,67.03
98267,Marblemount,WA,Skagit County,35.0
98270,Marysville,WA,Snohomish County,61.25
98271,Marysville,WA,Snohomish County,61.25
98438,Mcchord Afb,WA,Pierce County,42.0
98558,Mckenna,WA,Pierce County,42.0
98039,Medina,WA,King County,66.0
98040,Mercer Island,WA,King County,78.75
98082,Mill Creek,WA,Washington Statewide,65.45
98354,Milton,WA,Pierce County,42.0
98272,Monroe,WA,Snohomish County,61.25
98356,Morton,WA,Lewis County,67.38
98564,Mossyrock,WA,Lewis County,67.38
98273,Mount Vernon,WA,Skagit County,35.0
98274,Mount Vernon,WA,Skagit County,35.0
98043,Mountlake Terrace,WA,Snohomish County,61.25
98275,Mukilteo,WA,Snohomish County,61.25
98565,Napavine,WA,Lewis County,67.03
98276,Nooksack,WA,Whatcom County,35.0
98045,North Bend,WA,King County,66.0
98639,North Bonneville,WA,Skamania County,47.6
98259,North Lakewood,WA,Snohomish County,35.0
98277,Oak Harbor,WA,Island County,35.0
98278,Oak Harbor,WA,Island County,35.0
98359,Olalla,WA,Kitsap County,54.88
98279,Olga,WA,San Juan County,35.0
98501,Olympia,WA,Thurston County,64.8
98502,Olympia,WA,Thurston County,42.0
98506,Olympia,WA,Thurston County,42.0
98512,Olympia,WA,Thurston County,42.0
98513,Olympia,WA,Thurston County,54.88
98516,Olympia,WA,Thurston County,54.88
98570,Onalaska,WA,Lewis County,67.38
98280,Orcas,WA,San Juan County,35.0
98360,Orting,WA,Pierce County,42.0
98047,Pacific,WA,King County,66.0
98361,Packwood,WA,Lewis County,67.38
98398,Paradise Inn,WA,Lewis County,42.0
99301,Pasco,WA,Franklin County,33.58
98572,Pe Ell,WA,Lewis County,67.38
98281,Point Roberts,WA,Whatcom County,35.0
98362,Port Angeles,WA,Clallam County,60.9
98339,Port Hadlock,WA,Jefferson County,35.0
98365,Port Ludlow,WA,Jefferson County,41.3
98366,Port Orchard,WA,Kitsap County,54.88
98367,Port Orchard,WA,Kitsap County,72.45
98368,Port Townsend,WA,Jefferson County,41.3
98370,Poulsbo,WA,Kitsap County,54.88
98050,Preston,WA,King County,66.0
