zip,city,state,county,payout
06231,Amston,CT,Tolland County,54.5
06232,Andover,CT,Tolland County,54.5
06001,Avon,CT,Hartford County,54.5
06063,Barkhamsted,CT,Litchfield County,54.5
06403,Beacon Falls,CT,New Haven County,54.5
06037,Berlin,CT,Hartford County,54.5
06524,Bethany,CT,New Haven County,54.5
06002,Bloomfield,CT,Hartford County,54.5
06043,Bolton,CT,Tolland County,54.5
06010,Bristol,CT,Hartford County,54.5
06011,Bristol,CT,Hartford County,54.5
06016,Broad Brook,CT,Hartford County,54.5
06013,Burlington,CT,Hartford County,54.5
06019,Canton,CT,Hartford County,54.5
06020,Canton Center,CT,Hartford County,54.5
06408,Cheshire,CT,New Haven County,54.5
06410,Cheshire,CT,New Haven County,54.5
06411,Cheshire,CT,New Haven County,54.5
06412,Chester,CT,Middlesex County,54.5
06414,Cobalt,CT,Middlesex County,54.5
06415,Colchester,CT,New London County,54.5
06022,Collinsville,CT,Hartford County,54.5
06237,Columbia,CT,Tolland County,54.5
06238,Coventry,CT,Tolland County,54.5
06416,Cromwell,CT,Middlesex County,54.5
06417,Deep River,CT,Middlesex County,54.5
06422,Durham,CT,Middlesex County,54.5
06023,East Berlin,CT,Hartford County,54.5
06025,East Glastonbury,CT,Hartford County,54.5
06026,East Granby,CT,Hartford County,54.5
06423,East Haddam,CT,Middlesex County,54.5
06424,East Hampton,CT,Middlesex County,54.5
06108,East Hartford,CT,Hartford County,54.5
06118,East Hartford,CT,Hartford County,54.5
06128,East Hartford,CT,Hartford County,54.5
06138,East Hartford,CT,Hartford County,54.5
06088,East Windsor,CT,Hartford County,54.5
06028,East Windsor Hill,CT,Hartford County,54.5
06029,Ellington,CT,Tolland County,54.5
06082,Enfield,CT,Hartford County,54.5
06083,Enfield,CT,Hartford County,54.5
06030,Farmington,CT,Hartford County,54.5
06032,Farmington,CT,Hartford County,54.5
06034,Farmington,CT,Hartford County,54.5
06033,Glastonbury,CT,Hartford County,54.5
06035,Granby,CT,Hartford County,54.5
06437,Guilford,CT,New Haven County,54.5
06438,Haddam,CT,Middlesex County,54.5
06439,Hadlyme,CT,New London County,54.5
06514,Hamden,CT,New Haven County,54.5
06517,Hamden,CT,New Haven County,54.5
06518,Hamden,CT,New Haven County,54.5
06101,Hartford,CT,Hartford County,54.5
06102,Hartford,CT,Hartford County,54.5
06103,Hartford,CT,Hartford County,54.5
06104,Hartford,CT,Hartford County,54.5
06105,Hartford,CT,Hartford County,54.5
06106,Hartford,CT,Hartford County,54.5
06112,Hartford,CT,Hartford County,54.5
06114,Hartford,CT,Hartford County,54.5
06115,Hartford,CT,Hartford County,54.5
06120,Hartford,CT,Hartford County,54.5
06123,Hartford,CT,Hartford County,54.5
06126,Hartford,CT,Hartford County,54.5
06132,Hartford,CT,Hartford County,54.5
06134,Hartford,CT,Hartford County,54.5
06140,Hartford,CT,Hartford County,54.5
06141,Hartford,CT,Hartford County,54.5
06142,Hartford,CT,Hartford County,54.5
