zip,city,state,county,payout
30101,Acworth,GA,Cobb County,62.5
30102,Acworth,GA,Cherokee County,62.5
30004,Alpharetta,GA,Fulton County,121.0
30005,Alpharetta,GA,Fulton County,121.0
30009,Alpharetta,GA,Fulton County,121.0
30022,Alpharetta,GA,Fulton County,121.0
30603,Athens,GA,Clarke County,115.5
30604,Athens,GA,Clarke County,115.5
30606,Athens,GA,Clarke County,115.5
30609,Athens,GA,Clarke County,115.5
30303,Atlanta,GA,Fulton County,40.5
30305,Atlanta,GA,Fulton County,62.5
30306,Atlanta,GA,Fulton County,62.5
30307,Atlanta,GA,Dekalb County,62.5
30308,Atlanta,GA,Fulton County,62.5
30309,Atlanta,GA,Fulton County,62.5
30310,Atlanta,GA,Fulton County,40.5
30311,Atlanta,GA,Fulton County,40.5
30312,Atlanta,GA,Fulton County,62.5
30313,Atlanta,GA,Fulton County,40.5
30314,Atlanta,GA,Fulton County,40.5
30315,Atlanta,GA,Fulton County,40.5
30316,Atlanta,GA,Dekalb County,40.5
30317,Atlanta,GA,Dekalb County,62.5
30318,Atlanta,GA,Fulton County,62.5
30319,Atlanta,GA,Dekalb County,62.5
30322,Atlanta,GA,Dekalb County,62.5
30324,Atlanta,GA,Fulton County,62.5
30326,Atlanta,GA,Fulton County,62.5
30327,Atlanta,GA,Fulton County,62.5
30328,Atlanta,GA,Fulton County,121.0
30329,Atlanta,GA,Dekalb County,62.5
30331,Atlanta,GA,Fulton County,40.5
30332,Atlanta,GA,Fulton County,40.5
30333,Atlanta,GA,Fulton County,62.5
30334,Atlanta,GA,Fulton County,40.5
30336,Atlanta,GA,Fulton County,40.5
30337,Atlanta,GA,Fulton County,40.5
30338,Atlanta,GA,Dekalb County,121.0
30339,Atlanta,GA,Cobb County,62.5
30340,Atlanta,GA,Dekalb County,62.5
30341,Atlanta,GA,Dekalb County,62.5
30342,Atlanta,GA,Fulton County,62.5
30344,Atlanta,GA,Fulton County,40.5
30345,Atlanta,GA,Dekalb County,62.5
30346,Atlanta,GA,Dekalb County,62.5
30349,Atlanta,GA,Fulton County,54.0
30350,Atlanta,GA,Fulton County,121.0
30354,Atlanta,GA,Fulton County,40.5
30360,Atlanta,GA,Dekalb County,62.5
30361,Atlanta,GA,Fulton County,62.5
30363,Atlanta,GA,Fulton County,62.5
30368,Atlanta,GA,Fulton County,40.5
30375,Atlanta,GA,Fulton County,62.5
30901,Augusta,GA,Richmond County,115.5
30903,Augusta,GA,Columbia County,115.5
30904,Augusta,GA,Richmond County,115.5
30905,Augusta,GA,Richmond County,115.5
30906,Augusta,GA,Richmond County,115.5
30907,Augusta,GA,Columbia County,115.5
30909,Augusta,GA,Richmond County,115.5
30912,Augusta,GA,Richmond County,115.5
30914,Augusta,GA,Richmond County,115.5
30916,Augusta,GA,Richmond County,115.5
30919,Augusta,GA,Richmond County,115.5
30999,Augusta,GA,Richmond County,115.5
30106,Austell,GA,Cobb County,62.5
30168,Austell,GA,Cobb County,62.5
30002,Avondale Estates,GA,Dekalb County,62.5
30805,Blythe,GA,Richmond County,115.5
30622,Bogart,GA,Oconee County,115.5
30518,Buford,GA,Gwinnett County,119.0
30519,Buford,GA,Gwinnett County,119.0
30114,Canton,GA,Cherokee County,62.5
30115,Canton,GA,Cherokee County,62.5
30021,Clarkston,GA,Dekalb County,40.5
30094,Conyers,GA,Rockdale County,54.0
30028,Cumming,GA,Forsyth County,62.5
30040,Cumming,GA,Forsyth County,62.5
30041,Cumming,GA,Forsyth County,62.5
30019,Dacula,GA,Gwinnett County,62.5
30030,Decatur,GA,Dekalb County,62.5
30032,Decatur,GA,Dekalb County,62.5
30033,Decatur,GA,Dekalb County,62.5
30035,Decatur,GA,Dekalb County,40.5
30096,Duluth,GA,Gwinnett County,62.5
30097,Duluth,GA,Fulton County,62.5
30294,Ellenwood,GA,Dekalb County,54.0
30213,Fairburn,GA,Fulton County,54.0
30214,Fayetteville,GA,Fayette County,54.0
30215,Fayetteville,GA,Fayette County,54.0
30812,Gracewood,GA,Richmond County,115.5
30017,Grayson,GA,Gwinnett County,40.5
30228,Hampton,GA,Henry County,54.0
30815,Hephzibah,GA,Richmond County,115.5
30141,Hiram,GA,Paulding County,62.5
30549,Jefferson,GA,Jackson County,115.5
30236,Jonesboro,GA,Clayton County,54.0
30237,Jonesboro,GA,Clayton County,54.0
30238,Jonesboro,GA,Clayton County,54.0
30144,Kennesaw,GA,Cobb County,62.5
30152,Kennesaw,GA,Cobb County,62.5
30043,Lawrenceville,GA,Gwinnett County,62.5
30044,Lawrenceville,GA,Gwinnett County,62.5
30045,Lawrenceville,GA,Gwinnett County,62.5
30046,Lawrenceville,GA,Gwinnett County,62.5
30047,Lilburn,GA,Gwinnett County,62.5
30248,Locust Grove,GA,Henry County,54.0
30250,Lovejoy,GA,Clayton County,54.0
30126,Mableton,GA,Cobb County,62.5
