zip,city,state,county,payout
20606,Abell,MD,St. Mary'S County,115.5
21001,Aberdeen,MD,Harford County,115.5
21009,Abingdon,MD,Harford County,115.5
21520,Accident,MD,Garrett County,115.5
20607,Accokeek,MD,Prince George'S County,115.5
21710,Adamstown,MD,Frederick County,115.5
20762,Andrews Air Force Base,MD,Prince George'S County,66.5
21401,Annapolis,MD,Anne Arundel County,115.5
21402,Annapolis,MD,Anne Arundel County,63.5
21403,Annapolis,MD,Anne Arundel County,115.5
21405,Annapolis,MD,Anne Arundel County,115.5
21409,Annapolis,MD,Anne Arundel County,115.5
20701,Annapolis Junction,MD,Anne Arundel County,66.5
20608,Aquasco,MD,Prince George'S County,115.5
21012,Arnold,MD,Anne Arundel County,115.5
20861,Ashton,MD,Montgomery County,119.5
20609,Avenue,MD,St. Mary'S County,115.5
21013,Baldwin,MD,Baltimore County,119.0
21206,Baltimore,MD,Baltimore city,63.5
21209,Baltimore,MD,Baltimore County,63.5
21210,Baltimore,MD,Baltimore city,63.5
21212,Baltimore,MD,Baltimore city,63.5
21214,Baltimore,MD,Baltimore city,115.5
21229,Baltimore,MD,Baltimore city,63.5
21239,Baltimore,MD,Baltimore city,63.5
21250,Baltimore,MD,Baltimore County,63.5
21607,Barclay,MD,Queen Anne'S County,115.5
20838,Barnesville,MD,Montgomery County,119.5
21521,Barton,MD,Allegany County,115.5
20839,Beallsville,MD,Montgomery County,119.5
21014,Bel Air,MD,Harford County,115.5
21015,Bel Air,MD,Harford County,115.5
20611,Bel Alton,MD,Charles County,115.5
20705,Beltsville,MD,Prince George'S County,115.5
20810,Bethesda,MD,Montgomery County,66.5
20814,Bethesda,MD,Montgomery County,119.5
20816,Bethesda,MD,Montgomery County,119.5
20817,Bethesda,MD,Montgomery County,119.5
20889,Bethesda,MD,Montgomery County,66.5
20892,Bethesda,MD,Montgomery County,66.5
21610,Betterton,MD,Kent County,115.5
20710,Bladensburg,MD,Prince George'S County,115.5
21523,Bloomington,MD,Garrett County,115.5
21713,Boonsboro,MD,Washington County,115.5
20715,Bowie,MD,Prince George'S County,115.5
20716,Bowie,MD,Prince George'S County,115.5
20720,Bowie,MD,Prince George'S County,115.5
20721,Bowie,MD,Prince George'S County,115.5
20841,Boyds,MD,Montgomery County,119.5
