zip,city,state,county,payout
55001,Afton,MN,Washington County,115.5
55304,Andover,MN,Anoka County,66.5
55303,Anoka,MN,Anoka County,66.5
55003,Bayport,MN,Washington County,115.5
56011,Belle Plaine,MN,Scott County,115.5
55005,Bethel,MN,Anoka County,66.5
55306,Burnsville,MN,Dakota County,115.5
55337,Burnsville,MN,Dakota County,115.5
55315,Carver,MN,Carver County,66.5
55010,Castle Rock,MN,Dakota County,115.5
55011,Cedar,MN,Anoka County,66.5
55316,Champlin,MN,Hennepin County,118.0
55317,Chanhassen,MN,Carver County,66.5
55318,Chaska,MN,Carver County,66.5
55014,Circle Pines,MN,Anoka County,66.5
55322,Cologne,MN,Carver County,66.5
55016,Cottage Grove,MN,Washington County,115.5
55323,Crystal Bay,MN,Hennepin County,118.0
55327,Dayton,MN,Hennepin County,118.0
55344,Eden Prairie,MN,Hennepin County,118.0
55346,Eden Prairie,MN,Hennepin County,118.0
55347,Eden Prairie,MN,Hennepin County,118.0
55020,Elko New Market,MN,Scott County,115.5
55054,Elko New Market,MN,Scott County,115.5
55331,Excelsior,MN,Hennepin County,118.0
55024,Farmington,MN,Dakota County,115.5
55025,Forest Lake,MN,Washington County,115.5
55339,Hamburg,MN,Carver County,66.5
55340,Hamel,MN,Hennepin County,118.0
55031,Hampton,MN,Dakota County,115.5
55033,Hastings,MN,Dakota County,115.5
55305,Hopkins,MN,Hennepin County,118.0
55343,Hopkins,MN,Hennepin County,118.0
55575,Howard Lake,MN,Wright County,118.0
55038,Hugo,MN,Washington County,115.5
55076,Inver Grove Heights,MN,Dakota County,115.5
55077,Inver Grove Heights,MN,Dakota County,115.5
55352,Jordan,MN,Scott County,115.5
55042,Lake Elmo,MN,Washington County,115.5
55043,Lakeland,MN,Washington County,115.5
55044,Lakeville,MN,Dakota County,115.5
55356,Long Lake,MN,Hennepin County,118.0
55357,Loretto,MN,Hennepin County,118.0
55595,Loretto,MN,Hennepin County,118.0
55596,Loretto,MN,Hennepin County,118.0
55597,Loretto,MN,Hennepin County,118.0
55598,Loretto,MN,Hennepin County,118.0
55599,Loretto,MN,Hennepin County,118.0
55311,Maple Grove,MN,Hennepin County,118.0
55348,Maple Plain,MN,Hennepin County,118.0
55359,Maple Plain,MN,Hennepin County,118.0
55570,Maple Plain,MN,Hennepin County,118.0
55571,Maple Plain,MN,Hennepin County,118.0
55574,Maple Plain,MN,Hennepin County,118.0
55576,Maple Plain,MN,Hennepin County,118.0
55578,Maple Plain,MN,Hennepin County,118.0
55579,Maple Plain,MN,Hennepin County,118.0
55593,Maple Plain,MN,Hennepin County,118.0
55047,Marine On Saint Croix,MN,Washington County,115.5
55360,Mayer,MN,Carver County,66.5
55150,Mendota,MN,Dakota County,115.5
55401,Minneapolis,MN,Hennepin County,118.0
55402,Minneapolis,MN,Hennepin County,118.0
55403,Minneapolis,MN,Hennepin County,118.0
55404,Minneapolis,MN,Hennepin County,118.0
55405,Minneapolis,MN,Hennepin County,118.0
55406,Minneapolis,MN,Hennepin County,118.0
55407,Minneapolis,MN,Hennepin County,118.0
55408,Minneapolis,MN,Hennepin County,118.0
55409,Minneapolis,MN,Hennepin County,118.0
55410,Minneapolis,MN,Hennepin County,118.0
55411,Minneapolis,MN,Hennepin County,118.0
55412,Minneapolis,MN,Hennepin County,118.0
55413,Minneapolis,MN,Hennepin County,118.0
55414,Minneapolis,MN,Hennepin County,118.0
55415,Minneapolis,MN,Hennepin County,118.0
55416,Minneapolis,MN,Hennepin County,118.0
55417,Minneapolis,MN,Hennepin County,118.0
55418,Minneapolis,MN,Hennepin County,118.0
55419,Minneapolis,MN,Hennepin County,118.0
55420,Minneapolis,MN,Hennepin County,118.0
55421,Minneapolis,MN,Anoka County,66.5
55422,Minneapolis,MN,Hennepin County,118.0
55423,Minneapolis,MN,Hennepin County,118.0
55424,Minneapolis,MN,Hennepin County,118.0
55425,Minneapolis,MN,Hennepin County,118.0
55426,Minneapolis,MN,Hennepin County,118.0
55427,Minneapolis,MN,Hennepin County,118.0
55428,Minneapolis,MN,Hennepin County,118.0
55429,Minneapolis,MN,Hennepin County,118.0
55430,Minneapolis,MN,Hennepin County,118.0
55431,Minneapolis,MN,Hennepin County,118.0
55432,Minneapolis,MN,Anoka County,66.5
55433,Minneapolis,MN,Anoka County,66.5
55434,Minneapolis,MN,Anoka County,66.5
55435,Minneapolis,MN,Hennepin County,118.0
55436,Minneapolis,MN,Hennepin County,118.0
55437,Minneapolis,MN,Hennepin County,118.0
55438,Minneapolis,MN,Hennepin County,118.0
55439,Minneapolis,MN,Hennepin County,118.0
55440,Minneapolis,MN,Hennepin County,118.0
55441,Minneapolis,MN,Hennepin County,118.0
55442,Minneapolis,MN,Hennepin County,118.0
55443,Minneapolis,MN,Hennepin County,118.0
55444,Minneapolis,MN,Hennepin County,118.0
55445,Minneapolis,MN,Hennepin County,118.0
55446,Minneapolis,MN,Hennepin County,118.0
55447,Minneapolis,MN,Hennepin County,118.0
55448,Minneapolis,MN,Anoka County,66.5
55449,Minneapolis,MN,Anoka County,66.5
55450,Minneapolis,MN,Hennepin County,118.0
55454,Minneapolis,MN,Hennepin County,118.0
55455,Minneapolis,MN,Hennepin County,118.0
55458,Minneapolis,MN,Hennepin County,118.0
55459,Minneapolis,MN,Hennepin County,118.0
55460,Minneapolis,MN,Hennepin County,118.0
55467,Minneapolis,MN,Hennepin County,118.0
55470,Minneapolis,MN,Hennepin County,118.0
55472,Minneapolis,MN,Hennepin County,118.0
55474,Minneapolis,MN,Hennepin County,118.0
55478,Minneapolis,MN,Hennepin County,118.0
55479,Minneapolis,MN,Hennepin County,118.0
55480,Minneapolis,MN,Hennepin County,118.0
55483,Minneapolis,MN,Hennepin County,118.0
55484,Minneapolis,MN,Hennepin County,118.0
55485,Minneapolis,MN,Hennepin County,118.0
55486,Minneapolis,MN,Hennepin County,118.0
55487,Minneapolis,MN,Hennepin County,118.0
55488,Minneapolis,MN,Hennepin County,118.0
55345,Minnetonka,MN,Hennepin County,118.0
55361,Minnetonka Beach,MN,Hennepin County,118.0
55364,Mound,MN,Hennepin County,118.0
55392,Navarre,MN,Hennepin County,118.0
55367,New Germany,MN,Carver County,66.5
56071,New Prague,MN,Scott County,66.5
55055,Newport,MN,Washington County,115.5
55368,Norwood Young America,MN,Carver County,66.5
