zip,city,state,county,payout
28315,Aberdeen,NC,Moore County,115.5
27006,Advance,NC,Davie County,115.5
27910,Ahoskie,NC,Hertford County,115.5
27201,Alamance,NC,Alamance County,115.5
28001,Albemarle,NC,Stanly County,115.5
28701,Alexander,NC,Buncombe County,115.5
28006,Alexis,NC,Gaston County,115.5
27202,Altamahaw,NC,Alamance County,115.5
27501,Angier,NC,Harnett County,115.5
27502,Apex,NC,Wake County,115.5
27523,Apex,NC,Wake County,115.5
27539,Apex,NC,Wake County,115.5
27007,Ararat,NC,Surry County,115.5
28704,Arden,NC,Buncombe County,115.5
27203,Asheboro,NC,Randolph County,115.5
27205,Asheboro,NC,Randolph County,115.5
28801,Asheville,NC,Buncombe County,115.5
28803,Asheville,NC,Buncombe County,115.5
28804,Asheville,NC,Buncombe County,115.5
28805,Asheville,NC,Buncombe County,115.5
28806,Asheville,NC,Buncombe County,115.5
28513,Ayden,NC,Pitt County,115.5
27916,Aydlett,NC,Currituck County,115.5
27503,Bahama,NC,Durham County,115.5
27807,Bailey,NC,Nash County,115.5
28708,Balsam Grove,NC,Transylvania County,115.5
27917,Barco,NC,Currituck County,115.5
28709,Barnardsville,NC,Buncombe County,115.5
27207,Bear Creek,NC,Chatham County,115.5
27009,Belews Creek,NC,Forsyth County,115.5
27811,Bellarthur,NC,Pitt County,115.5
28012,Belmont,NC,Gaston County,115.5
27919,Belvidere,NC,Perquimans County,115.5
27208,Bennett,NC,Chatham County,115.5
27504,Benson,NC,Johnston County,115.5
28016,Bessemer City,NC,Gaston County,115.5
27812,Bethel,NC,Pitt County,115.5
27209,Biscoe,NC,Montgomery County,115.5
27813,Black Creek,NC,Wilson County,115.5
28711,Black Mountain,NC,Buncombe County,115.5
27212,Blanch,NC,Caswell County,115.5
27213,Bonlee,NC,Chatham County,115.5
28606,Boomer,NC,Wilkes County,115.5
27011,Boonville,NC,Yadkin County,115.5
28018,Bostic,NC,Rutherford County,115.5
28712,Brevard,NC,Transylvania County,115.5
27505,Broadway,NC,Harnett County,115.5
27214,Browns Summit,NC,Guilford County,115.5
27506,Buies Creek,NC,Harnett County,115.5
27507,Bullock,NC,Granville County,115.5
27508,Bunn,NC,Franklin County,115.5
28323,Bunnlevel,NC,Harnett County,115.5
27215,Burlington,NC,Alamance County,115.5
27216,Burlington,NC,Alamance County,115.5
27217,Burlington,NC,Alamance County,115.5
27509,Butner,NC,Granville County,115.5
27228,Bynum,NC,Chatham County,115.5
27921,Camden,NC,Camden County,115.5
28326,Cameron,NC,Harnett County,115.5
28715,Candler,NC,Buncombe County,115.5
27229,Candor,NC,Montgomery County,115.5
27510,Carrboro,NC,Orange County,115.5
28327,Carthage,NC,Moore County,115.5
27511,Cary,NC,Wake County,115.5
27512,Cary,NC,Wake County,115.5
27513,Cary,NC,Wake County,115.5
27518,Cary,NC,Wake County,115.5
27519,Cary,NC,Wake County,115.5
27816,Castalia,NC,Nash County,115.5
28609,Catawba,NC,Catawba County,115.5
27231,Cedar Grove,NC,Orange County,115.5
28718,Cedar Mountain,NC,Transylvania County,115.5
27514,Chapel Hill,NC,Orange County,115.5
27515,Chapel Hill,NC,Orange County,115.5
27516,Chapel Hill,NC,Orange County,115.5
27517,Chapel Hill,NC,Orange County,115.5
27599,Chapel Hill,NC,Orange County,115.5
28202,Charlotte,NC,Mecklenburg County,115.5
28203,Charlotte,NC,Mecklenburg County,115.5
28204,Charlotte,NC,Mecklenburg County,115.5
28205,Charlotte,NC,Mecklenburg County,115.5
28206,Charlotte,NC,Mecklenburg County,115.5
28207,Charlotte,NC,Mecklenburg County,115.5
28209,Charlotte,NC,Mecklenburg County,115.5
28210,Charlotte,NC,Mecklenburg County,115.5
28211,Charlotte,NC,Mecklenburg County,115.5
28212,Charlotte,NC,Mecklenburg County,115.5
28213,Charlotte,NC,Mecklenburg County,115.5
28214,Charlotte,NC,Mecklenburg County,115.5
28215,Charlotte,NC,Mecklenburg County,115.5
28216,Charlotte,NC,Mecklenburg County,115.5
28217,Charlotte,NC,Mecklenburg County,115.5
28226,Charlotte,NC,Mecklenburg County,115.5
28227,Charlotte,NC,Mecklenburg County,115.5
28262,Charlotte,NC,Mecklenburg County,115.5
28269,Charlotte,NC,Mecklenburg County,115.5
28270,Charlotte,NC,Mecklenburg County,115.5
28273,Charlotte,NC,Mecklenburg County,115.5
28277,Charlotte,NC,Mecklenburg County,115.5
28278,Charlotte,NC,Mecklenburg County,115.5
28021,Cherryville,NC,Gaston County,115.5
28023,China Grove,NC,Rowan County,115.5
28610,Claremont,NC,Catawba County,115.5
27520,Clayton,NC,Johnston County,115.5
27527,Clayton,NC,Johnston County,115.5
27528,Clayton,NC,Johnston County,115.5
27012,Clemmons,NC,Forsyth County,115.5
27013,Cleveland,NC,Rowan County,115.5
27233,Climax,NC,Randolph County,115.5
27521,Coats,NC,Harnett County,115.5
27922,Cofield,NC,Hertford County,115.5
27923,Coinjock,NC,Currituck County,115.5
27235,Colfax,NC,Guilford County,115.5
28611,Collettsville,NC,Caldwell County,115.5
28722,Columbus,NC,Polk County,115.5
28025,Concord,NC,Cabarrus County,115.5
28027,Concord,NC,Cabarrus County,115.5
28613,Conover,NC,Catawba County,115.5
27926,Corapeake,NC,Gates County,115.5
28031,Cornelius,NC,Mecklenburg County,115.5
27927,Corolla,NC,Currituck County,115.5
28032,Cramerton,NC,Gaston County,115.5
27522,Creedmoor,NC,Granville County,115.5
28033,Crouse,NC,Lincoln County,115.5
28331,Cumberland,NC,Cumberland County,115.5
27929,Currituck,NC,Currituck County,115.5
28034,Dallas,NC,Gaston County,115.5
27016,Danbury,NC,Stokes County,115.5
28036,Davidson,NC,Mecklenburg County,115.5
27239,Denton,NC,Davidson County,115.5
28037,Denver,NC,Lincoln County,115.5
27017,Dobson,NC,Surry County,115.5
28334,Dunn,NC,Harnett County,115.5
28335,Dunn,NC,Harnett County,115.5
27701,Durham,NC,Durham County,115.5
27702,Durham,NC,Durham County,115.5
27703,Durham,NC,Durham County,115.5
27704,Durham,NC,Durham County,115.5
27705,Durham,NC,Durham County,115.5
27706,Durham,NC,Durham County,115.5
27707,Durham,NC,Durham County,115.5
27708,Durham,NC,Durham County,115.5
27709,Durham,NC,Durham County,115.5
27710,Durham,NC,Durham County,115.5
27711,Durham,NC,Durham County,115.5
27712,Durham,NC,Durham County,115.5
27713,Durham,NC,Durham County,115.5
27715,Durham,NC,Durham County,115.5
27717,Durham,NC,Durham County,115.5
27722,Durham,NC,Durham County,115.5
27018,East Bend,NC,Yadkin County,115.5
28726,East Flat Rock,NC,Henderson County,115.5
27932,Edenton,NC,Chowan County,115.5
27243,Efland,NC,Orange County,115.5
27909,Elizabeth City,NC,Pasquotank County,115.5
28621,Elkin,NC,Surry County,115.5
28040,Ellenboro,NC,Rutherford County,115.5
27822,Elm City,NC,Wilson County,115.5
27244,Elon,NC,Alamance County,115.5
28339,Erwin,NC,Harnett County,115.5
28729,Etowah,NC,Henderson County,115.5
27935,Eure,NC,Gates County,115.5
28730,Fairview,NC,Buncombe County,115.5
28342,Falcon,NC,Cumberland County,115.5
27827,Falkland,NC,Pitt County,115.5
27828,Farmville,NC,Pitt County,115.5
28301,Fayetteville,NC,Cumberland County,115.5
28302,Fayetteville,NC,Cumberland County,115.5
28303,Fayetteville,NC,Cumberland County,115.5
28304,Fayetteville,NC,Cumberland County,115.5
28305,Fayetteville,NC,Cumberland County,115.5
28306,Fayetteville,NC,Cumberland County,115.5
28309,Fayetteville,NC,Cumberland County,115.5
28311,Fayetteville,NC,Cumberland County,115.5
28312,Fayetteville,NC,Cumberland County,115.5
28314,Fayetteville,NC,Cumberland County,115.5
28624,Ferguson,NC,Wilkes County,115.5
28731,Flat Rock,NC,Henderson County,115.5
28732,Fletcher,NC,Henderson County,115.5
28043,Forest City,NC,Rutherford County,115.5
28307,Fort Bragg,NC,Cumberland County,115.5
28310,Fort Bragg,NC,Cumberland County,115.5
27829,Fountain,NC,Pitt County,115.5
27524,Four Oaks,NC,Johnston County,115.5
27525,Franklinton,NC,Franklin County,115.5
27248,Franklinville,NC,Randolph County,115.5
27526,Fuquay Varina,NC,Wake County,115.5
27529,Garner,NC,Wake County,115.5
27831,Garysburg,NC,Northampton County,115.5
27832,Gaston,NC,Northampton County,115.5
28054,Gastonia,NC,Gaston County,115.5
28056,Gastonia,NC,Gaston County,115.5
27937,Gates,NC,Gates County,115.5
27019,Germanton,NC,Stokes County,115.5
28735,Gerton,NC,Henderson County,115.5
27249,Gibsonville,NC,Guilford County,115.5
28071,Gold Hill,NC,Rowan County,115.5
27252,Goldston,NC,Chatham County,115.5
27253,Graham,NC,Alamance County,115.5
27939,Grandy,NC,Currituck County,115.5
28630,Granite Falls,NC,Caldwell County,115.5
27403,Greensboro,NC,Guilford County,115.5
27406,Greensboro,NC,Guilford County,115.5
27407,Greensboro,NC,Guilford County,115.5
27408,Greensboro,NC,Guilford County,115.5
27409,Greensboro,NC,Guilford County,115.5
27410,Greensboro,NC,Guilford County,115.5
27455,Greensboro,NC,Guilford County,115.5
27833,Greenville,NC,Pitt County,115.5
27834,Greenville,NC,Pitt County,115.5
27835,Greenville,NC,Pitt County,115.5
27836,Greenville,NC,Pitt County,115.5
27858,Greenville,NC,Pitt County,115.5
28530,Grifton,NC,Pitt County,115.5
27837,Grimesland,NC,Pitt County,115.5
27256,Gulf,NC,Chatham County,115.5
27839,Halifax,NC,Halifax County,115.5
27020,Hamptonville,NC,Yadkin County,115.5
28634,Harmony,NC,Iredell County,115.5
27942,Harrellsville,NC,Hertford County,115.5
28075,Harrisburg,NC,Cabarrus County,115.5
27258,Haw River,NC,Alamance County,115.5
28635,Hays,NC,Wilkes County,115.5
28739,Hendersonville,NC,Henderson County,115.5
28791,Hendersonville,NC,Henderson County,115.5
28792,Hendersonville,NC,Henderson County,115.5
27842,Henrico,NC,Northampton County,115.5
27944,Hertford,NC,Perquimans County,115.5
28601,Hickory,NC,Catawba County,115.5
28602,Hickory,NC,Catawba County,115.5
28636,Hiddenite,NC,Alexander County,115.5
27262,High Point,NC,Guilford County,115.5
27263,High Point,NC,Randolph County,115.5
27265,High Point,NC,Guilford County,115.5
28637,Hildebran,NC,Burke County,115.5
27278,Hillsborough,NC,Orange County,115.5
