zip,city,state,county,payout
45101,Aberdeen,OH,Brown County,115.5
45810,Ada,OH,Hardin County,115.5
43802,Adamsville,OH,Muskingum County,115.5
43901,Adena,OH,Jefferson County,115.5
44301,Akron,OH,Summit County,118.0
44302,Akron,OH,Summit County,118.0
44303,Akron,OH,Summit County,118.0
44304,Akron,OH,Summit County,48.5
44305,Akron,OH,Summit County,118.0
44306,Akron,OH,Summit County,118.0
44307,Akron,OH,Summit County,118.0
44308,Akron,OH,Summit County,48.5
44310,Akron,OH,Summit County,118.0
44311,Akron,OH,Summit County,118.0
44312,Akron,OH,Summit County,118.0
44313,Akron,OH,Summit County,118.0
44314,Akron,OH,Summit County,118.0
44315,Akron,OH,Summit County,48.5
44316,Akron,OH,Summit County,48.5
44317,Akron,OH,Summit County,48.5
44319,Akron,OH,Summit County,118.0
44320,Akron,OH,Summit County,118.0
44321,Akron,OH,Summit County,118.0
44325,Akron,OH,Summit County,48.5
44326,Akron,OH,Summit County,48.5
44328,Akron,OH,Summit County,48.5
44333,Akron,OH,Summit County,118.0
43001,Alexandria,OH,Licking County,118.0
45812,Alger,OH,Hardin County,115.5
43902,Alledonia,OH,Belmont County,115.5
44601,Alliance,OH,Stark County,115.5
43102,Amanda,OH,Fairfield County,115.5
45102,Amelia,OH,Clermont County,115.5
44001,Amherst,OH,Lorain County,115.5
43903,Amsterdam,OH,Jefferson County,115.5
44003,Andover,OH,Ashtabula County,128.0
45302,Anna,OH,Shelby County,115.5
44606,Apple Creek,OH,Wayne County,115.5
44805,Ashland,OH,Ashland County,115.5
43003,Ashley,OH,Delaware County,115.5
44004,Ashtabula,OH,Ashtabula County,128.0
43103,Ashville,OH,Pickaway County,115.5
44201,Atwater,OH,Portage County,115.5
44607,Augusta,OH,Carroll County,115.5
44202,Aurora,OH,Portage County,115.5
44010,Austinburg,OH,Ashtabula County,128.0
44011,Avon,OH,Lorain County,115.5
44012,Avon Lake,OH,Lorain County,115.5
45612,Bainbridge,OH,Ross County,115.5
43804,Baltic,OH,Holmes County,115.5
43105,Baltimore,OH,Fairfield County,115.5
43972,Bannock,OH,Belmont County,115.5
44203,Barberton,OH,Summit County,118.0
43713,Barnesville,OH,Belmont County,115.5
43905,Barton,OH,Belmont County,115.5
45103,Batavia,OH,Clermont County,115.5
44140,Bay Village,OH,Cuyahoga County,135.0
44608,Beach City,OH,Stark County,115.5
44122,Beachwood,OH,Cuyahoga County,135.0
43716,Beallsville,OH,Monroe County,115.5
44146,Bedford,OH,Cuyahoga County,135.0
43906,Bellaire,OH,Belmont County,115.5
45305,Bellbrook,OH,Greene County,115.5
43310,Belle Center,OH,Logan County,115.5
43311,Bellefontaine,OH,Logan County,115.5
44813,Bellville,OH,Richland County,115.5
43718,Belmont,OH,Belmont County,115.5
44609,Beloit,OH,Mahoning County,115.5
44017,Berea,OH,Cuyahoga County,135.0
43908,Bergholz,OH,Jefferson County,115.5
44610,Berlin,OH,Holmes County,115.5
44401,Berlin Center,OH,Mahoning County,115.5
44814,Berlin Heights,OH,Erie County,115.5
45106,Bethel,OH,Clermont County,115.5
43719,Bethesda,OH,Belmont County,115.5
44611,Big Prairie,OH,Holmes County,115.5
43004,Blacklick,OH,Franklin County,115.5
43909,Blaine,OH,Belmont County,115.5
45107,Blanchester,OH,Clinton County,115.5
43106,Bloomingburg,OH,Fayette County,115.5
43910,Bloomingdale,OH,Jefferson County,115.5
43720,Blue Rock,OH,Muskingum County,115.5
44612,Bolivar,OH,Tuscarawas County,115.5
45306,Botkins,OH,Shelby County,115.5
44141,Brecksville,OH,Cuyahoga County,135.0
43107,Bremen,OH,Fairfield County,115.5
44613,Brewster,OH,Stark County,115.5
43912,Bridgeport,OH,Belmont County,115.5
43913,Brilliant,OH,Jefferson County,115.5
44147,Broadview Heights,OH,Cuyahoga County,135.0
44403,Brookfield,OH,Trumbull County,132.5
44142,Brookpark,OH,Cuyahoga County,135.0
45309,Brookville,OH,Montgomery County,115.5
44212,Brunswick,OH,Medina County,128.0
44820,Bucyrus,OH,Crawford County,115.5
44214,Burbank,OH,Wayne County,115.5
44021,Burton,OH,Geauga County,115.5
44822,Butler,OH,Richland County,115.5
43009,Cable,OH,Champaign County,115.5
43314,Caledonia,OH,Marion County,115.5
45311,Camden,OH,Preble County,115.5
43914,Cameron,OH,Monroe County,115.5
45111,Camp Dennison,OH,Hamilton County,115.5
44405,Campbell,OH,Mahoning County,115.5
44614,Canal Fulton,OH,Stark County,115.5
43110,Canal Winchester,OH,Franklin County,115.5
44406,Canfield,OH,Mahoning County,115.5
44703,Canton,OH,Stark County,115.5
44704,Canton,OH,Stark County,115.5
44705,Canton,OH,Stark County,115.5
44706,Canton,OH,Stark County,115.5
44707,Canton,OH,Stark County,115.5
44708,Canton,OH,Stark County,115.5
44709,Canton,OH,Stark County,115.5
44710,Canton,OH,Stark County,115.5
44714,Canton,OH,Stark County,115.5
44718,Canton,OH,Stark County,115.5
44721,Canton,OH,Stark County,115.5
43315,Cardington,OH,Morrow County,115.5
43316,Carey,OH,Wyandot County,115.5
43112,Carroll,OH,Fairfield County,115.5
44615,Carrollton,OH,Carroll County,115.5
45312,Casstown,OH,Miami County,115.5
44824,Castalia,OH,Erie County,115.5
45314,Cedarville,OH,Greene County,115.5
43011,Centerburg,OH,Knox County,115.5
44022,Chagrin Falls,OH,Cuyahoga County,135.0
44023,Chagrin Falls,OH,Geauga County,115.5
43727,Chandlersville,OH,Muskingum County,115.5
44024,Chardon,OH,Geauga County,115.5
44617,Charm,OH,Holmes County,115.5
44026,Chesterland,OH,Geauga County,115.5
45601,Chillicothe,OH,Ross County,115.5
45202,Cincinnati,OH,Hamilton County,115.5
45203,Cincinnati,OH,Hamilton County,115.5
45204,Cincinnati,OH,Hamilton County,115.5
45205,Cincinnati,OH,Hamilton County,115.5
45206,Cincinnati,OH,Hamilton County,115.5
45207,Cincinnati,OH,Hamilton County,115.5
45208,Cincinnati,OH,Hamilton County,115.5
45209,Cincinnati,OH,Hamilton County,115.5
45211,Cincinnati,OH,Hamilton County,115.5
45212,Cincinnati,OH,Hamilton County,115.5
45213,Cincinnati,OH,Hamilton County,115.5
45214,Cincinnati,OH,Hamilton County,115.5
45215,Cincinnati,OH,Hamilton County,115.5
45216,Cincinnati,OH,Hamilton County,115.5
45217,Cincinnati,OH,Hamilton County,115.5
45218,Cincinnati,OH,Hamilton County,115.5
45219,Cincinnati,OH,Hamilton County,115.5
45220,Cincinnati,OH,Hamilton County,115.5
45223,Cincinnati,OH,Hamilton County,115.5
45224,Cincinnati,OH,Hamilton County,115.5
45225,Cincinnati,OH,Hamilton County,115.5
45226,Cincinnati,OH,Hamilton County,115.5
45227,Cincinnati,OH,Hamilton County,115.5
45229,Cincinnati,OH,Hamilton County,115.5
45230,Cincinnati,OH,Hamilton County,115.5
45231,Cincinnati,OH,Hamilton County,115.5
45232,Cincinnati,OH,Hamilton County,115.5
45233,Cincinnati,OH,Hamilton County,115.5
45236,Cincinnati,OH,Hamilton County,115.5
45237,Cincinnati,OH,Hamilton County,115.5
45238,Cincinnati,OH,Hamilton County,115.5
45239,Cincinnati,OH,Hamilton County,115.5
45240,Cincinnati,OH,Hamilton County,115.5
45241,Cincinnati,OH,Hamilton County,115.5
45242,Cincinnati,OH,Hamilton County,115.5
45243,Cincinnati,OH,Hamilton County,115.5
45244,Cincinnati,OH,Hamilton County,115.5
45245,Cincinnati,OH,Clermont County,115.5
45246,Cincinnati,OH,Hamilton County,115.5
45247,Cincinnati,OH,Hamilton County,115.5
45248,Cincinnati,OH,Hamilton County,115.5
45249,Cincinnati,OH,Hamilton County,115.5
45251,Cincinnati,OH,Hamilton County,115.5
45252,Cincinnati,OH,Hamilton County,115.5
45255,Cincinnati,OH,Hamilton County,115.5
43113,Circleville,OH,Pickaway County,115.5
43915,Clarington,OH,Monroe County,115.5
43115,Clarksburg,OH,Ross County,115.5
45113,Clarksville,OH,Clinton County,115.5
45315,Clayton,OH,Montgomery County,115.5
44102,Cleveland,OH,Cuyahoga County,48.5
44103,Cleveland,OH,Cuyahoga County,48.5
44104,Cleveland,OH,Cuyahoga County,48.5
