zip,city,state,county,payout
16820,Aaronsburg,PA,Centre County,115.5
17301,Abbottstown,PA,Adams County,115.5
19001,Abington,PA,Montgomery County,68.5
15410,Adah,PA,Fayette County,115.5
15611,Adamsburg,PA,Westmoreland County,132.5
16110,Adamsville,PA,Crawford County,115.5
15411,Addison,PA,Somerset County,115.5
16210,Adrian,PA,Armstrong County,115.5
17302,Airville,PA,York County,115.5
17501,Akron,PA,Lancaster County,115.5
16401,Albion,PA,Erie County,115.5
15310,Aleppo,PA,Greene County,115.5
16611,Alexandria,PA,Huntingdon County,115.5
15001,Aliquippa,PA,Beaver County,115.5
17002,Allensville,PA,Mifflin County,115.5
17810,Allenwood,PA,Union County,115.5
15101,Allison Park,PA,Allegheny County,115.5
16821,Allport,PA,Clearfield County,115.5
16601,Altoona,PA,Blair County,115.5
16602,Altoona,PA,Blair County,115.5
15521,Alum Bank,PA,Bedford County,115.5
15612,Alverton,PA,Westmoreland County,132.5
19002,Ambler,PA,Montgomery County,68.5
15003,Ambridge,PA,Beaver County,115.5
15311,Amity,PA,Washington County,115.5
17003,Annville,PA,Lebanon County,115.5
15613,Apollo,PA,Westmoreland County,132.5
15615,Ardara,PA,Westmoreland County,54.5
19003,Ardmore,PA,Montgomery County,68.5
17303,Arendtsville,PA,Adams County,54.5
15920,Armagh,PA,Indiana County,115.5
15616,Armbrust,PA,Westmoreland County,54.5
15617,Arona,PA,Westmoreland County,54.5
17211,Artemas,PA,Bedford County,115.5
16613,Ashville,PA,Cambria County,115.5
17304,Aspers,PA,Adams County,115.5
16111,Atlantic,PA,Crawford County,115.5
19407,Audubon,PA,Montgomery County,68.5
15713,Aultman,PA,Indiana County,115.5
15312,Avella,PA,Washington County,115.5
19311,Avondale,PA,Chester County,68.5
15618,Avonmore,PA,Westmoreland County,132.5
15005,Baden,PA,Beaver County,115.5
17502,Bainbridge,PA,Lancaster County,115.5
15006,Bairdford,PA,Allegheny County,54.5
15007,Bakerstown,PA,Allegheny County,115.5
19004,Bala Cynwyd,PA,Montgomery County,68.5
17503,Bart,PA,Lancaster County,54.5
17504,Bausman,PA,Lancaster County,54.5
15009,Beaver,PA,Beaver County,115.5
15010,Beaver Falls,PA,Beaver County,115.5
17812,Beaver Springs,PA,Snyder County,115.5
17813,Beavertown,PA,Snyder County,115.5
16616,Beccaria,PA,Clearfield County,115.5
15522,Bedford,PA,Bedford County,115.5
18910,Bedminster,PA,Bucks County,68.5
16822,Beech Creek,PA,Clinton County,115.5
15012,Belle Vernon,PA,Westmoreland County,115.5
16823,Bellefonte,PA,Centre County,115.5
17004,Belleville,PA,Mifflin County,115.5
16617,Bellwood,PA,Blair County,115.5
17306,Bendersville,PA,Adams County,54.5
15314,Bentleyville,PA,Washington County,115.5
15530,Berlin,PA,Somerset County,115.5
19312,Berwyn,PA,Chester County,68.5
15102,Bethel Park,PA,Allegheny County,115.5
17307,Biglerville,PA,Adams County,115.5
19421,Birchrunville,PA,Chester County,68.5
17505,Bird In Hand,PA,Lancaster County,115.5
17006,Blain,PA,Perry County,115.5
17213,Blairs Mills,PA,Huntingdon County,115.5
15717,Blairsville,PA,Indiana County,115.5
18911,Blooming Glen,PA,Bucks County,68.5
17506,Blue Ball,PA,Lancaster County,54.5
19422,Blue Bell,PA,Montgomery County,68.5
19424,Blue Bell,PA,Montgomery County,68.5
17214,Blue Ridge Summit,PA,Franklin County,115.5
16827,Boalsburg,PA,Centre County,115.5
17007,Boiling Springs,PA,Cumberland County,115.5
15923,Bolivar,PA,Westmoreland County,132.5
15531,Boswell,PA,Somerset County,115.5
15619,Bovard,PA,Westmoreland County,54.5
17507,Bowmansville,PA,Lancaster County,54.5
16020,Boyers,PA,Butler County,115.5
15014,Brackenridge,PA,Allegheny County,115.5
15104,Braddock,PA,Allegheny County,115.5
15620,Bradenville,PA,Westmoreland County,132.5
15015,Bradfordwoods,PA,Allegheny County,115.5
19316,Brandamore,PA,Chester County,68.5
15316,Brave,PA,Greene County,115.5
15533,Breezewood,PA,Bedford County,115.5
19405,Bridgeport,PA,Montgomery County,68.5
15017,Bridgeville,PA,Allegheny County,115.5
16621,Broad Top,PA,Huntingdon County,115.5
17309,Brogue,PA,York County,115.5
19008,Broomall,PA,Delaware County,68.5
17508,Brownstown,PA,Lancaster County,54.5
15417,Brownsville,PA,Fayette County,115.5
19009,Bryn Athyn,PA,Montgomery County,68.5
19010,Bryn Mawr,PA,Delaware County,68.5
18912,Buckingham,PA,Bucks County,68.5
15018,Buena Vista,PA,Allegheny County,54.5
15534,Buffalo Mills,PA,Bedford County,115.5
15019,Bulger,PA,Washington County,115.5
15020,Bunola,PA,Allegheny County,54.5
15021,Burgettstown,PA,Washington County,115.5
17009,Burnham,PA,Mifflin County,115.5
17215,Burnt Cabins,PA,Fulton County,115.5
16001,Butler,PA,Butler County,115.5
