zip,city,state,county,payout
75001,Addison,TX,Dallas County,60.0
75002,Allen,TX,Collin County,60.0
75013,Allen,TX,Collin County,60.0
76226,Argyle,TX,Denton County,60.0
78701,Austin,TX,Travis County,62.0
78702,Austin,TX,Travis County,62.0
78703,Austin,TX,Travis County,62.0
78704,Austin,TX,Travis County,62.0
78705,Austin,TX,Travis County,62.0
78712,Austin,TX,Travis County,62.0
78717,Austin,TX,Williamson County,62.0
78721,Austin,TX,Travis County,62.0
78722,Austin,TX,Travis County,62.0
78723,Austin,TX,Travis County,62.0
78726,Austin,TX,Travis County,62.0
78727,Austin,TX,Travis County,62.0
78728,Austin,TX,Travis County,62.0
78729,Austin,TX,Williamson County,62.0
78730,Austin,TX,Travis County,62.0
78731,Austin,TX,Travis County,62.0
78732,Austin,TX,Travis County,62.0
78733,Austin,TX,Travis County,62.0
78734,Austin,TX,Travis County,62.0
78735,Austin,TX,Travis County,62.0
78736,Austin,TX,Travis County,62.0
78737,Austin,TX,Hays County,62.0
78738,Austin,TX,Travis County,62.0
78739,Austin,TX,Travis County,62.0
78741,Austin,TX,Travis County,62.0
78745,Austin,TX,Travis County,62.0
78746,Austin,TX,Travis County,62.0
78748,Austin,TX,Travis County,62.0
78749,Austin,TX,Travis County,62.0
78750,Austin,TX,Travis County,62.0
78751,Austin,TX,Travis County,62.0
78752,Austin,TX,Travis County,62.0
78753,Austin,TX,Travis County,62.0
78756,Austin,TX,Travis County,62.0
78757,Austin,TX,Travis County,62.0
78758,Austin,TX,Travis County,62.0
78759,Austin,TX,Travis County,62.0
76021,Bedford,TX,Tarrant County,60.0
76022,Bedford,TX,Tarrant County,60.0
77401,Bellaire,TX,Harris County,62.0
75006,Carrollton,TX,Dallas County,60.0
75007,Carrollton,TX,Denton County,60.0
75010,Carrollton,TX,Denton County,60.0
78613,Cedar Park,TX,Williamson County,62.0
76034,Colleyville,TX,Tarrant County,60.0
77302,Conroe,TX,Montgomery County,66.0
77384,Conroe,TX,Montgomery County,62.0
77385,Conroe,TX,Montgomery County,62.0
75019,Coppell,TX,Dallas County,60.0
77429,Cypress,TX,Harris County,62.0
77433,Cypress,TX,Harris County,62.0
75201,Dallas,TX,Dallas County,60.0
75202,Dallas,TX,Dallas County,60.0
75204,Dallas,TX,Dallas County,60.0
75205,Dallas,TX,Dallas County,60.0
75206,Dallas,TX,Dallas County,60.0
75209,Dallas,TX,Dallas County,60.0
75214,Dallas,TX,Dallas County,60.0
75218,Dallas,TX,Dallas County,60.0
75219,Dallas,TX,Dallas County,60.0
75220,Dallas,TX,Dallas County,60.0
75223,Dallas,TX,Dallas County,60.0
75225,Dallas,TX,Dallas County,60.0
75228,Dallas,TX,Dallas County,60.0
75229,Dallas,TX,Dallas County,60.0
75230,Dallas,TX,Dallas County,60.0
75231,Dallas,TX,Dallas County,60.0
75234,Dallas,TX,Dallas County,60.0
75235,Dallas,TX,Dallas County,60.0
75238,Dallas,TX,Dallas County,60.0
75240,Dallas,TX,Dallas County,60.0
75242,Dallas,TX,Dallas County,60.0
75243,Dallas,TX,Dallas County,60.0
75244,Dallas,TX,Dallas County,60.0
75246,Dallas,TX,Dallas County,60.0
75248,Dallas,TX,Dallas County,60.0
75251,Dallas,TX,Dallas County,60.0
75252,Dallas,TX,Collin County,60.0
75254,Dallas,TX,Dallas County,60.0
75261,Dallas,TX,Tarrant County,60.0
75270,Dallas,TX,Dallas County,60.0
75275,Dallas,TX,Dallas County,60.0
75287,Dallas,TX,Denton County,60.0
75367,Dallas,TX,Dallas County,60.0
75390,Dallas,TX,Dallas County,60.0
76210,Denton,TX,Denton County,60.0
76039,Euless,TX,Tarrant County,60.0
76040,Euless,TX,Tarrant County,60.0
75022,Flower Mound,TX,Denton County,60.0
75028,Flower Mound,TX,Denton County,60.0
76118,Fort Worth,TX,Tarrant County,60.0
76148,Fort Worth,TX,Tarrant County,60.0
76155,Fort Worth,TX,Tarrant County,60.0
75033,Frisco,TX,Denton County,60.0
75034,Frisco,TX,Collin County,60.0
75035,Frisco,TX,Collin County,60.0
78626,Georgetown,TX,Williamson County,62.0
78628,Georgetown,TX,Williamson County,62.0
78633,Georgetown,TX,Williamson County,62.0
76051,Grapevine,TX,Tarrant County,60.0
76117,Haltom City,TX,Tarrant County,60.0
77002,Houston,TX,Harris County,62.0
77003,Houston,TX,Harris County,62.0
77004,Houston,TX,Harris County,62.0
77005,Houston,TX,Harris County,62.0
77006,Houston,TX,Harris County,62.0
77007,Houston,TX,Harris County,62.0
77008,Houston,TX,Harris County,62.0
77009,Houston,TX,Harris County,62.0
77010,Houston,TX,Harris County,62.0
77014,Houston,TX,Harris County,62.0
77018,Houston,TX,Harris County,62.0
77019,Houston,TX,Harris County,62.0
77022,Houston,TX,Harris County,62.0
77024,Houston,TX,Harris County,62.0
77025,Houston,TX,Harris County,62.0
77027,Houston,TX,Harris County,62.0
77030,Houston,TX,Harris County,62.0
77031,Houston,TX,Harris County,62.0
77035,Houston,TX,Harris County,62.0
77036,Houston,TX,Harris County,62.0
77037,Houston,TX,Harris County,62.0
77038,Houston,TX,Harris County,62.0
77040,Houston,TX,Harris County,62.0
77041,Houston,TX,Harris County,62.0
77042,Houston,TX,Harris County,62.0
77043,Houston,TX,Harris County,62.0
77045,Houston,TX,Harris County,62.0
77046,Houston,TX,Harris County,62.0
77053,Houston,TX,Fort Bend County,62.0
77054,Houston,TX,Harris County,62.0
77055,Houston,TX,Harris County,62.0
77056,Houston,TX,Harris County,62.0
77057,Houston,TX,Harris County,62.0
77060,Houston,TX,Harris County,62.0
77063,Houston,TX,Harris County,62.0
77064,Houston,TX,Harris County,62.0
77065,Houston,TX,Harris County,62.0
77066,Houston,TX,Harris County,62.0
77067,Houston,TX,Harris County,62.0
77068,Houston,TX,Harris County,62.0
77069,Houston,TX,Harris County,62.0
77070,Houston,TX,Harris County,62.0
77071,Houston,TX,Harris County,62.0
77072,Houston,TX,Harris County,62.0
77073,Houston,TX,Harris County,62.0
77074,Houston,TX,Harris County,62.0
77076,Houston,TX,Harris County,62.0
77077,Houston,TX,Harris County,62.0
77079,Houston,TX,Harris County,62.0
77080,Houston,TX,Harris County,62.0
77081,Houston,TX,Harris County,62.0
77082,Houston,TX,Harris County,62.0
77083,Houston,TX,Harris County,62.0
77084,Houston,TX,Harris County,62.0
77085,Houston,TX,Harris County,62.0
77086,Houston,TX,Harris County,62.0
77088,Houston,TX,Harris County,62.0
77090,Houston,TX,Harris County,62.0
77091,Houston,TX,Harris County,62.0
77092,Houston,TX,Harris County,62.0
77094,Houston,TX,Harris County,62.0
77095,Houston,TX,Harris County,62.0
77096,Houston,TX,Harris County,62.0
77098,Houston,TX,Harris County,62.0
77099,Houston,TX,Harris County,62.0
76053,Hurst,TX,Tarrant County,60.0
76054,Hurst,TX,Tarrant County,60.0
78634,Hutto,TX,Williamson County,62.0
75038,Irving,TX,Dallas County,60.0
75039,Irving,TX,Dallas County,60.0
75060,Irving,TX,Dallas County,60.0
75061,Irving,TX,Dallas County,60.0
75062,Irving,TX,Dallas County,60.0
75063,Irving,TX,Dallas County,60.0
77449,Katy,TX,Harris County,62.0
77450,Katy,TX,Harris County,62.0
77493,Katy,TX,Harris County,62.0
77494,Katy,TX,Fort Bend County,62.0
76244,Keller,TX,Tarrant County,60.0
76248,Keller,TX,Tarrant County,60.0
75065,Lake Dallas,TX,Denton County,60.0
78641,Leander,TX,Williamson County,62.0
78645,Leander,TX,Travis County,62.0
75057,Lewisville,TX,Denton County,60.0
75067,Lewisville,TX,Denton County,60.0
75077,Lewisville,TX,Denton County,60.0
78642,Liberty Hill,TX,Williamson County,62.0
75069,Mckinney,TX,Collin County,60.0
75070,Mckinney,TX,Collin County,60.0
75071,Mckinney,TX,Collin County,60.0
77489,Missouri City,TX,Fort Bend County,62.0
77316,Montgomery,TX,Montgomery County,66.0
77357,New Caney,TX,Montgomery County,66.0
76180,North Richland Hills,TX,Tarrant County,60.0
76182,North Richland Hills,TX,Tarrant County,60.0
78660,Pflugerville,TX,Travis County,62.0
75023,Plano,TX,Collin County,60.0
75024,Plano,TX,Collin County,60.0
75025,Plano,TX,Collin County,60.0
75074,Plano,TX,Collin County,60.0
75075,Plano,TX,Collin County,60.0
75093,Plano,TX,Collin County,60.0
75094,Plano,TX,Collin County,60.0
75078,Prosper,TX,Collin County,60.0
75080,Richardson,TX,Dallas County,60.0
75081,Richardson,TX,Dallas County,60.0
75082,Richardson,TX,Collin County,60.0
75083,Richardson,TX,Dallas County,60.0
77406,Richmond,TX,Fort Bend County,62.0
77407,Richmond,TX,Fort Bend County,62.0
76262,Roanoke,TX,Denton County,60.0
78664,Round Rock,TX,Williamson County,62.0
78665,Round Rock,TX,Williamson County,62.0
78681,Round Rock,TX,Williamson County,62.0
78682,Round Rock,TX,Williamson County,62.0
76092,Southlake,TX,Tarrant County,60.0
78669,Spicewood,TX,Travis County,62.0
77373,Spring,TX,Harris County,62.0
77379,Spring,TX,Harris County,62.0
77380,Spring,TX,Montgomery County,62.0
77381,Spring,TX,Montgomery County,62.0
77382,Spring,TX,Montgomery County,62.0
77386,Spring,TX,Montgomery County,62.0
77388,Spring,TX,Harris County,62.0
77389,Spring,TX,Harris County,62.0
77477,Stafford,TX,Fort Bend County,62.0
77478,Sugar Land,TX,Fort Bend County,62.0
77479,Sugar Land,TX,Fort Bend County,62.0
77498,Sugar Land,TX,Fort Bend County,62.0
75056,The Colony,TX,Denton County,60.0
77375,Tomball,TX,Harris County,62.0
