zip,city,state,county,payout
23821,Alberta,VA,Brunswick County,115.5
20105,Aldie,VA,Loudoun County,115.5
22301,Alexandria,VA,Alexandria city,115.5
22302,Alexandria,VA,Alexandria city,115.5
22303,Alexandria,VA,Fairfax County,115.5
22304,Alexandria,VA,Alexandria city,115.5
22305,Alexandria,VA,Alexandria city,115.5
22306,Alexandria,VA,Fairfax County,115.5
22307,Alexandria,VA,Fairfax County,115.5
22308,Alexandria,VA,Fairfax County,115.5
22309,Alexandria,VA,Fairfax County,115.5
22310,Alexandria,VA,Fairfax County,115.5
22311,Alexandria,VA,Alexandria city,115.5
22312,Alexandria,VA,Fairfax County,115.5
22314,Alexandria,VA,Alexandria city,115.5
22315,Alexandria,VA,Fairfax County,115.5
23002,Amelia Court House,VA,Amelia County,115.5
20106,Amissville,VA,Culpeper County,115.5
22003,Annandale,VA,Fairfax County,115.5
22201,Arlington,VA,Arlington County,115.5
22202,Arlington,VA,Arlington County,115.5
22203,Arlington,VA,Arlington County,115.5
22204,Arlington,VA,Arlington County,115.5
22205,Arlington,VA,Arlington County,115.5
22206,Arlington,VA,Arlington County,115.5
22207,Arlington,VA,Arlington County,115.5
22209,Arlington,VA,Arlington County,115.5
22210,Arlington,VA,Arlington County,115.5
22212,Arlington,VA,Arlington County,115.5
22213,Arlington,VA,Arlington County,115.5
22214,Arlington,VA,Arlington County,115.5
22215,Arlington,VA,Arlington County,115.5
22216,Arlington,VA,Arlington County,115.5
22217,Arlington,VA,Arlington County,115.5
22219,Arlington,VA,Arlington County,115.5
22225,Arlington,VA,Arlington County,115.5
22226,Arlington,VA,Arlington County,115.5
22227,Arlington,VA,Arlington County,115.5
22230,Arlington,VA,Arlington County,115.5
22240,Arlington,VA,Arlington County,115.5
22241,Arlington,VA,Arlington County,115.5
22242,Arlington,VA,Arlington County,115.5
22243,Arlington,VA,Arlington County,115.5
22244,Arlington,VA,Arlington County,115.5
22245,Arlington,VA,Arlington County,115.5
22246,Arlington,VA,Arlington County,115.5
22709,Aroda,VA,Madison County,115.5
23004,Arvonia,VA,Buckingham County,115.5
20146,Ashburn,VA,Loudoun County,115.5
20147,Ashburn,VA,Loudoun County,115.5
20148,Ashburn,VA,Loudoun County,115.5
20149,Ashburn,VA,Loudoun County,115.5
23005,Ashland,VA,Hanover County,115.5
23303,Atlantic,VA,Accomack County,115.5
23009,Aylett,VA,King William County,115.5
22711,Banco,VA,Madison County,115.5
22923,Barboursville,VA,Greene County,115.5
23011,Barhamsville,VA,New Kent County,115.5
22712,Bealeton,VA,Fauquier County,115.5
23015,Beaverdam,VA,Hanover County,115.5
23306,Belle Haven,VA,Accomack County,115.5
22610,Bentonville,VA,Warren County,115.5
22611,Berryville,VA,Clarke County,115.5
23824,Blackstone,VA,Nottoway County,115.5
23308,Bloxom,VA,Accomack County,115.5
20135,Bluemont,VA,Clarke County,115.5
22713,Boston,VA,Culpeper County,115.5
22427,Bowling Green,VA,Caroline County,115.5
22620,Boyce,VA,Clarke County,115.5
23827,Boykins,VA,Southampton County,115.5
23828,Branchville,VA,Southampton County,115.5
22714,Brandy Station,VA,Culpeper County,115.5
23022,Bremo Bluff,VA,Fluvanna County,115.5
22715,Brightwood,VA,Madison County,115.5
20136,Bristow,VA,Prince William County,118.5
20137,Broad Run,VA,Fauquier County,115.5
23920,Brodnax,VA,Brunswick County,115.5
22430,Brooke,VA,Stafford County,115.5
22622,Brucetown,VA,Frederick County,115.5
23023,Bruington,VA,King And Queen County,115.5
23921,Buckingham,VA,Buckingham County,115.5
23024,Bumpass,VA,Louisa County,115.5
22432,Burgess,VA,Northumberland County,115.5
22009,Burke,VA,Fairfax County,115.5
22015,Burke,VA,Fairfax County,115.5
22433,Burr Hill,VA,Orange County,115.5
22435,Callao,VA,Northumberland County,115.5
20138,Calverton,VA,Fauquier County,115.5
23310,Cape Charles,VA,Northampton County,115.5
23829,Capron,VA,Southampton County,115.5
23025,Cardinal,VA,Mathews County,115.5
22436,Caret,VA,Essex County,115.5
23314,Carrollton,VA,Isle Of Wight County,115.5
23315,Carrsville,VA,Isle Of Wight County,115.5
23830,Carson,VA,Prince George County,115.5
23027,Cartersville,VA,Cumberland County,115.5
20139,Casanova,VA,Fauquier County,115.5
22716,Castleton,VA,Rappahannock County,115.5
20143,Catharpin,VA,Prince William County,118.5
20119,Catlett,VA,Fauquier County,115.5
22437,Center Cross,VA,Essex County,115.5
20120,Centreville,VA,Fairfax County,115.5
20121,Centreville,VA,Fairfax County,115.5
20122,Centreville,VA,Fairfax County,115.5
22438,Champlain,VA,Essex County,115.5
20151,Chantilly,VA,Fairfax County,115.5
20152,Chantilly,VA,Loudoun County,115.5
20153,Chantilly,VA,Fairfax County,115.5
23030,Charles City,VA,Charles City County,115.5
22901,Charlottesville,VA,Albemarle County,115.5
22902,Charlottesville,VA,Charlottesville City County,115.5
22903,Charlottesville,VA,Charlottesville City County,115.5
22911,Charlottesville,VA,Albemarle County,115.5
23320,Chesapeake,VA,Chesapeake city,115.5
23321,Chesapeake,VA,Chesapeake city,115.5
23322,Chesapeake,VA,Chesapeake city,115.5
23323,Chesapeake,VA,Chesapeake city,115.5
23324,Chesapeake,VA,Chesapeake city,115.5
23325,Chesapeake,VA,Chesapeake city,115.5
23831,Chester,VA,Chesterfield County,115.5
23836,Chester,VA,Chesterfield County,115.5
22623,Chester Gap,VA,Rappahannock County,115.5
23832,Chesterfield,VA,Chesterfield County,115.5
23838,Chesterfield,VA,Chesterfield County,115.5
23336,Chincoteague Island,VA,Accomack County,115.5
23833,Church Road,VA,Dinwiddie County,115.5
23032,Church View,VA,Middlesex County,115.5
22624,Clear Brook,VA,Frederick County,115.5
20124,Clifton,VA,Fairfax County,115.5
22443,Colonial Beach,VA,Westmoreland County,115.5
23834,Colonial Heights,VA,Colonial Heights City County,115.5
23038,Columbia,VA,Goochland County,115.5
23837,Courtland,VA,Southampton County,115.5
22931,Covesville,VA,Albemarle County,115.5
23930,Crewe,VA,Nottoway County,115.5
22625,Cross Junction,VA,Frederick County,115.5
22932,Crozet,VA,Albemarle County,115.5
23039,Crozier,VA,Goochland County,115.5
23934,Cullen,VA,Charlotte County,115.5
22701,Culpeper,VA,Culpeper County,115.5
23040,Cumberland,VA,Cumberland County,115.5
20144,Delaplane,VA,Fauquier County,115.5
23043,Deltaville,VA,Middlesex County,115.5
23839,Dendron,VA,Surry County,115.5
20598,Dhs,VA,Fairfax County,115.5
23045,Diggs,VA,Mathews County,115.5
23936,Dillwyn,VA,Buckingham County,115.5
23841,Dinwiddie,VA,Dinwiddie County,115.5
23842,Disputanta,VA,Prince George County,115.5
23843,Dolphin,VA,Brunswick County,115.5
23844,Drewryville,VA,Southampton County,115.5
20101,Dulles,VA,Loudoun County,115.5
20102,Dulles,VA,Loudoun County,115.5
20103,Dulles,VA,Loudoun County,115.5
20104,Dulles,VA,Loudoun County,115.5
