zip,city,state,county,payout
26030,Beech Bottom,WV,Brooke County,115.5
26031,Benwood,WV,Marshall County,115.5
26032,Bethany,WV,Brooke County,115.5
26033,Cameron,WV,Marshall County,115.5
26034,Chester,WV,Hancock County,115.5
26035,Colliers,WV,Brooke County,115.5
26036,Dallas,WV,Marshall County,115.5
26037,Follansbee,WV,Brooke County,115.5
26038,Glen Dale,WV,Marshall County,115.5
26039,Glen Easton,WV,Marshall County,115.5
26040,Mcmechen,WV,Marshall County,115.5
26041,Moundsville,WV,Marshall County,115.5
26047,New Cumberland,WV,Hancock County,115.5
26056,New Manchester,WV,Hancock County,115.5
26050,Newell,WV,Hancock County,115.5
26055,Proctor,WV,Marshall County,115.5
26058,Short Creek,WV,Brooke County,115.5
26059,Triadelphia,WV,Ohio County,115.5
26060,Valley Grove,WV,Ohio County,115.5
26062,Weirton,WV,Hancock County,115.5
26070,Wellsburg,WV,Brooke County,115.5
26074,West Liberty,WV,Ohio County,115.5
26003,Wheeling,WV,Ohio County,115.5
26075,Windsor Heights,WV,Brooke County,115.5
