zip,city,state,county,payout
35440,Abernant,AL,Tuscaloosa County,177.0
35005,Adamsville,AL,Jefferson County,213.0
35540,Addison,AL,Winston County,177.0
35006,Adger,AL,Jefferson County,213.0
35007,Alabaster,AL,Shelby County,213.0
35114,Alabaster,AL,Shelby County,213.0
35950,Albertville,AL,Marshall County,177.0
35951,Albertville,AL,Marshall County,177.0
35010,Alexander City,AL,Tallapoosa County,177.0
35011,Alexander City,AL,Tallapoosa County,177.0
36250,Alexandria,AL,Calhoun County,177.0
35442,Aliceville,AL,Pickens County,177.0
35013,Allgood,AL,Blount County,177.0
35014,Alpine,AL,Talladega County,177.0
35015,Alton,AL,Jefferson County,213.0
35952,Altoona,AL,Etowah County,177.0
35610,Anderson,AL,Lauderdale County,177.0
36201,Anniston,AL,Calhoun County,177.0
36202,Anniston,AL,Calhoun County,177.0
36204,Anniston,AL,Calhoun County,177.0
36205,Anniston,AL,Calhoun County,177.0
36206,Anniston,AL,Calhoun County,177.0
36207,Anniston,AL,Calhoun County,177.0
35016,Arab,AL,Marshall County,177.0
35739,Ardmore,AL,Limestone County,177.0
35541,Arley,AL,Winston County,177.0
36251,Ashland,AL,Clay County,177.0
35953,Ashville,AL,St. Clair County,189.0
35611,Athens,AL,Limestone County,177.0
35612,Athens,AL,Limestone County,177.0
35613,Athens,AL,Limestone County,177.0
35614,Athens,AL,Limestone County,177.0
35954,Attalla,AL,Etowah County,177.0
36830,Auburn,AL,Lee County,177.0
36831,Auburn,AL,Lee County,177.0
36832,Auburn,AL,Lee County,177.0
36849,Auburn University,AL,Lee County,177.0
35019,Baileyton,AL,Cullman County,177.0
35542,Bankston,AL,Fayette County,177.0
36507,Bay Minette,AL,Baldwin County,177.0
35543,Bear Creek,AL,Marion County,177.0
35544,Beaverton,AL,Lamar County,174.0
35545,Belk,AL,Fayette County,177.0
35615,Belle Mina,AL,Limestone County,177.0
35546,Berry,AL,Fayette County,177.0
35020,Bessemer,AL,Jefferson County,213.0
35021,Bessemer,AL,Jefferson County,213.0
35022,Bessemer,AL,Jefferson County,213.0
35023,Bessemer,AL,Jefferson County,213.0
35201,Birmingham,AL,Jefferson County,213.0
35202,Birmingham,AL,Jefferson County,213.0
35203,Birmingham,AL,Jefferson County,213.0
35204,Birmingham,AL,Jefferson County,213.0
35205,Birmingham,AL,Jefferson County,213.0
35206,Birmingham,AL,Jefferson County,213.0
35207,Birmingham,AL,Jefferson County,213.0
35208,Birmingham,AL,Jefferson County,213.0
35209,Birmingham,AL,Jefferson County,213.0
35210,Birmingham,AL,Jefferson County,213.0
35211,Birmingham,AL,Jefferson County,213.0
35212,Birmingham,AL,Jefferson County,213.0
35213,Birmingham,AL,Jefferson County,213.0
35214,Birmingham,AL,Jefferson County,213.0
35215,Birmingham,AL,Jefferson County,213.0
35216,Birmingham,AL,Jefferson County,213.0
35217,Birmingham,AL,Jefferson County,213.0
35218,Birmingham,AL,Jefferson County,213.0
35219,Birmingham,AL,Jefferson County,213.0
35220,Birmingham,AL,Jefferson County,213.0
35221,Birmingham,AL,Jefferson County,213.0
35222,Birmingham,AL,Jefferson County,213.0
35223,Birmingham,AL,Jefferson County,213.0
35224,Birmingham,AL,Jefferson County,213.0
35226,Birmingham,AL,Jefferson County,213.0
35228,Birmingham,AL,Jefferson County,213.0
35229,Birmingham,AL,Jefferson County,213.0
35231,Birmingham,AL,Jefferson County,213.0
35232,Birmingham,AL,Jefferson County,213.0
35233,Birmingham,AL,Jefferson County,213.0
35234,Birmingham,AL,Jefferson County,213.0
35235,Birmingham,AL,Jefferson County,213.0
35236,Birmingham,AL,Jefferson County,213.0
35237,Birmingham,AL,Jefferson County,213.0
35238,Birmingham,AL,Jefferson County,213.0
35242,Birmingham,AL,Shelby County,213.0
35243,Birmingham,AL,Jefferson County,213.0
35244,Birmingham,AL,Jefferson County,213.0
35246,Birmingham,AL,Jefferson County,213.0
35249,Birmingham,AL,Jefferson County,213.0
35253,Birmingham,AL,Jefferson County,213.0
35254,Birmingham,AL,Jefferson County,213.0
35255,Birmingham,AL,Jefferson County,213.0
35259,Birmingham,AL,Jefferson County,213.0
35260,Birmingham,AL,Jefferson County,213.0
35261,Birmingham,AL,Jefferson County,213.0
35266,Birmingham,AL,Jefferson County,213.0
35270,Birmingham,AL,Alabama Statewide,213.0
35282,Birmingham,AL,Jefferson County,213.0
35283,Birmingham,AL,Jefferson County,213.0
35285,Birmingham,AL,Jefferson County,213.0
35287,Birmingham,AL,Jefferson County,213.0
35288,Birmingham,AL,Jefferson County,213.0
35290,Birmingham,AL,Jefferson County,213.0
35291,Birmingham,AL,Jefferson County,213.0
35292,Birmingham,AL,Jefferson County,213.0
35293,Birmingham,AL,Jefferson County,213.0
35294,Birmingham,AL,Jefferson County,213.0
35295,Birmingham,AL,Jefferson County,213.0
35296,Birmingham,AL,Jefferson County,213.0
35297,Birmingham,AL,Jefferson County,213.0
35298,Birmingham,AL,Jefferson County,213.0
35031,Blountsville,AL,Blount County,177.0
35956,Boaz,AL,Etowah County,177.0
35957,Boaz,AL,Marshall County,177.0
35032,Bon Air,AL,Talladega County,177.0
36511,Bon Secour,AL,Baldwin County,177.0
35033,Bremen,AL,Cullman County,177.0
35034,Brent,AL,Bibb County,177.0
35740,Bridgeport,AL,Jackson County,177.0
35035,Brierfield,AL,Bibb County,177.0
35548,Brilliant,AL,Marion County,177.0
35036,Brookside,AL,Jefferson County,213.0
35444,Brookwood,AL,Tuscaloosa County,177.0
35741,Brownsboro,AL,Madison County,180.5
35958,Bryant,AL,Jackson County,177.0
35446,Buhl,AL,Tuscaloosa County,177.0
35038,Burnwell,AL,Walker County,177.0
36253,Bynum,AL,Calhoun County,177.0
35040,Calera,AL,Shelby County,213.0
