zip,city,state,county,payout
32701,Altamonte Springs,FL,Seminole County,189.5
32714,Altamonte Springs,FL,Seminole County,189.5
32715,Altamonte Springs,FL,Seminole County,189.5
32716,Altamonte Springs,FL,Seminole County,189.5
33820,Alturas,FL,Polk County,239.0
33920,Alva,FL,Lee County,293.5
34216,Anna Maria,FL,Manatee County,239.0
33572,Apollo Beach,FL,Hillsborough County,239.0
32703,Apopka,FL,Orange County,189.5
32704,Apopka,FL,Orange County,189.5
32712,Apopka,FL,Orange County,189.5
32422,Argyle,FL,Walton County,177.0
34679,Aripeka,FL,Pasco County,239.0
32233,Atlantic Beach,FL,Duval County,181.0
33823,Auburndale,FL,Polk County,239.0
33825,Avon Park,FL,Highlands County,165.5
33826,Avon Park,FL,Highlands County,165.5
33827,Babson Park,FL,Polk County,239.0
32530,Bagdad,FL,Santa Rosa County,177.0
32531,Baker,FL,Okaloosa County,196.5
33503,Balm,FL,Hillsborough County,239.0
32105,Barberville,FL,Volusia County,236.5
33830,Bartow,FL,Polk County,239.0
33831,Bartow,FL,Polk County,239.0
33744,Bay Pines,FL,Pinellas County,267.5
33430,Belle Glade,FL,Palm Beach County,398.0
33786,Belleair Beach,FL,Pinellas County,267.5
33921,Boca Grande,FL,Lee County,293.5
33427,Boca Raton,FL,Palm Beach County,398.0
33428,Boca Raton,FL,Palm Beach County,398.0
33429,Boca Raton,FL,Palm Beach County,398.0
33431,Boca Raton,FL,Palm Beach County,398.0
33432,Boca Raton,FL,Palm Beach County,398.0
33433,Boca Raton,FL,Palm Beach County,398.0
33434,Boca Raton,FL,Palm Beach County,398.0
33464,Boca Raton,FL,Palm Beach County,398.0
33481,Boca Raton,FL,Palm Beach County,398.0
33486,Boca Raton,FL,Palm Beach County,398.0
33487,Boca Raton,FL,Palm Beach County,398.0
33488,Boca Raton,FL,Palm Beach County,398.0
33496,Boca Raton,FL,Palm Beach County,398.0
33497,Boca Raton,FL,Palm Beach County,398.0
33498,Boca Raton,FL,Palm Beach County,398.0
33499,Boca Raton,FL,Palm Beach County,398.0
33922,Bokeelia,FL,Lee County,293.5
34133,Bonita Springs,FL,Lee County,293.5
34134,Bonita Springs,FL,Lee County,293.5
34135,Bonita Springs,FL,Lee County,293.5
34136,Bonita Springs,FL,Lee County,293.5
33424,Boynton Beach,FL,Palm Beach County,398.0
33425,Boynton Beach,FL,Palm Beach County,398.0
33426,Boynton Beach,FL,Palm Beach County,398.0
33435,Boynton Beach,FL,Palm Beach County,398.0
33436,Boynton Beach,FL,Palm Beach County,398.0
33437,Boynton Beach,FL,Palm Beach County,398.0
33472,Boynton Beach,FL,Palm Beach County,398.0
33473,Boynton Beach,FL,Palm Beach County,398.0
33474,Boynton Beach,FL,Palm Beach County,398.0
34201,Bradenton,FL,Manatee County,239.0
34202,Bradenton,FL,Manatee County,239.0
34203,Bradenton,FL,Manatee County,239.0
34204,Bradenton,FL,Manatee County,239.0
34205,Bradenton,FL,Manatee County,239.0
34206,Bradenton,FL,Manatee County,239.0
34207,Bradenton,FL,Manatee County,239.0
34208,Bradenton,FL,Manatee County,239.0
34209,Bradenton,FL,Manatee County,239.0
34210,Bradenton,FL,Manatee County,239.0
34211,Bradenton,FL,Manatee County,239.0
34212,Bradenton,FL,Manatee County,239.0
34280,Bradenton,FL,Manatee County,239.0
34281,Bradenton,FL,Manatee County,239.0
34282,Bradenton,FL,Manatee County,239.0
34217,Bradenton Beach,FL,Manatee County,239.0
33835,Bradley,FL,Polk County,239.0
33508,Brandon,FL,Hillsborough County,239.0
33509,Brandon,FL,Hillsborough County,239.0
33510,Brandon,FL,Hillsborough County,239.0
33511,Brandon,FL,Hillsborough County,239.0
34601,Brooksville,FL,Hernando County,213.0
34602,Brooksville,FL,Hernando County,213.0
34603,Brooksville,FL,Hernando County,213.0
34604,Brooksville,FL,Hernando County,213.0
34605,Brooksville,FL,Hernando County,213.0
34613,Brooksville,FL,Hernando County,213.0
34614,Brooksville,FL,Hernando County,213.0
33438,Canal Point,FL,Palm Beach County,398.0
32533,Cantonment,FL,Escambia County,236.5
32920,Cape Canaveral,FL,Brevard County,338.5
33904,Cape Coral,FL,Lee County,293.5
