zip,city,state,county,payout
50003,Adel,IA,Dallas County,165.5
51001,Akron,IA,Plymouth County,165.5
50007,Alleman,IA,Polk County,165.5
51003,Alton,IA,Sioux County,165.5
50009,Altoona,IA,Polk County,165.5
51230,Alvord,IA,Lyon County,162.5
50010,Ames,IA,Story County,177.0
50011,Ames,IA,Story County,177.0
50012,Ames,IA,Story County,177.0
50013,Ames,IA,Story County,177.0
50014,Ames,IA,Story County,177.0
50021,Ankeny,IA,Polk County,165.5
50023,Ankeny,IA,Polk County,165.5
51231,Archer,IA,O'Brien County,165.5
51232,Ashton,IA,Osceola County,162.5
51521,Avoca,IA,Pottawattamie County,165.5
50516,Badger,IA,Webster County,165.5
50026,Bagley,IA,Guthrie County,162.5
50518,Barnum,IA,Webster County,165.5
50029,Bayard,IA,Guthrie County,162.5
50031,Beaver,IA,Boone County,177.0
50032,Berwick,IA,Polk County,165.5
50034,Blairsburg,IA,Hamilton County,165.5
50035,Bondurant,IA,Polk County,165.5
50036,Boone,IA,Boone County,177.0
50037,Boone,IA,Boone County,177.0
50099,Boone,IA,Boone County,177.0
50950,Boone,IA,Polk County,165.5
50038,Booneville,IA,Dallas County,165.5
50039,Bouton,IA,Dallas County,165.5
50040,Boxholm,IA,Boone County,177.0
51234,Boyden,IA,Sioux County,165.5
50520,Bradgate,IA,Humboldt County,162.5
51008,Brunsville,IA,Plymouth County,165.5
50521,Burnside,IA,Webster County,165.5
50523,Callender,IA,Webster County,165.5
50046,Cambridge,IA,Story County,177.0
51525,Carson,IA,Pottawattamie County,165.5
51510,Carter Lake,IA,Pottawattamie County,165.5
50048,Casey,IA,Guthrie County,162.5
51011,Chatsworth,IA,Sioux County,165.5
50050,Churdan,IA,Greene County,162.5
50524,Clare,IA,Webster County,165.5
50525,Clarion,IA,Wright County,162.5
50325,Clive,IA,Polk County,165.5
50055,Collins,IA,Story County,177.0
50056,Colo,IA,Story County,177.0
50059,Cooper,IA,Greene County,162.5
51501,Council Bluffs,IA,Pottawattamie County,165.5
51502,Council Bluffs,IA,Pottawattamie County,165.5
51503,Council Bluffs,IA,Pottawattamie County,165.5
51526,Crescent,IA,Pottawattamie County,165.5
50529,Dakota City,IA,Humboldt County,162.5
50063,Dallas Center,IA,Dallas County,165.5
50064,Dana,IA,Greene County,162.5
50066,Dawson,IA,Dallas County,165.5
50530,Dayton,IA,Webster County,165.5
50069,De Soto,IA,Dallas County,165.5
51527,Defiance,IA,Shelby County,162.5
50301,Des Moines,IA,Polk County,165.5
50302,Des Moines,IA,Polk County,165.5
50303,Des Moines,IA,Polk County,165.5
50304,Des Moines,IA,Polk County,165.5
50305,Des Moines,IA,Polk County,165.5
50306,Des Moines,IA,Polk County,165.5
50307,Des Moines,IA,Polk County,165.5
50308,Des Moines,IA,Polk County,165.5
50309,Des Moines,IA,Polk County,165.5
50310,Des Moines,IA,Polk County,165.5
50311,Des Moines,IA,Polk County,165.5
50312,Des Moines,IA,Polk County,165.5
50313,Des Moines,IA,Polk County,165.5
50314,Des Moines,IA,Polk County,165.5
50315,Des Moines,IA,Polk County,165.5
50316,Des Moines,IA,Polk County,165.5
50317,Des Moines,IA,Polk County,165.5
50318,Des Moines,IA,Polk County,165.5
50319,Des Moines,IA,Polk County,165.5
50320,Des Moines,IA,Polk County,165.5
50321,Des Moines,IA,Polk County,165.5
50328,Des Moines,IA,Polk County,165.5
50329,Des Moines,IA,Polk County,165.5
50330,Des Moines,IA,Polk County,165.5
50331,Des Moines,IA,Polk County,165.5
50332,Des Moines,IA,Polk County,165.5
50333,Des Moines,IA,Polk County,165.5
50334,Des Moines,IA,Polk County,165.5
