zip,city,state,county,payout
83801,Athol,ID,Kootenai County,177.0
83802,Avery,ID,Shoshone County,165.5
83602,Banks,ID,Boise County,174.0
83803,Bayview,ID,Kootenai County,177.0
83804,Blanchard,ID,Bonner County,165.5
83805,Bonners Ferry,ID,Boundary County,165.5
83806,Bovill,ID,Latah County,165.5
83808,Calder,ID,Shoshone County,165.5
83809,Careywood,ID,Bonner County,165.5
83810,Cataldo,ID,Kootenai County,177.0
83811,Clark Fork,ID,Bonner County,165.5
83812,Clarkia,ID,Shoshone County,165.5
83813,Cocolalla,ID,Bonner County,165.5
83814,Coeur D Alene,ID,Kootenai County,177.0
83815,Coeur D Alene,ID,Kootenai County,177.0
83816,Coeur D Alene,ID,Kootenai County,177.0
83865,Colburn,ID,Bonner County,165.5
83821,Coolin,ID,Bonner County,165.5
83823,Deary,ID,Latah County,165.5
83824,Desmet,ID,Benewah County,162.5
83825,Dover,ID,Bonner County,165.5
83826,Eastport,ID,Boundary County,165.5
83617,Emmett,ID,Gem County,177.0
83830,Fernwood,ID,Benewah County,162.5
83619,Fruitland,ID,Payette County,162.5
83622,Garden Valley,ID,Boise County,174.0
83832,Genesee,ID,Latah County,165.5
83623,Glenns Ferry,ID,Elmore County,162.5
83624,Grand View,ID,Owyhee County,162.5
83627,Hammett,ID,Elmore County,162.5
83833,Harrison,ID,Kootenai County,177.0
83834,Harvard,ID,Latah County,165.5
83835,Hayden,ID,Kootenai County,177.0
83628,Homedale,ID,Owyhee County,162.5
83836,Hope,ID,Bonner County,165.5
83629,Horseshoe Bend,ID,Boise County,174.0
83631,Idaho City,ID,Boise County,174.0
83535,Juliaetta,ID,Latah County,165.5
83837,Kellogg,ID,Shoshone County,165.5
83537,Kendrick,ID,Latah County,165.5
83839,Kingston,ID,Shoshone County,165.5
83840,Kootenai,ID,Bonner County,165.5
83841,Laclede,ID,Bonner County,165.5
83636,Letha,ID,Gem County,177.0
83637,Lowman,ID,Boise County,174.0
83639,Marsing,ID,Owyhee County,162.5
83842,Medimont,ID,Kootenai County,177.0
83645,Midvale,ID,Washington County,162.5
83843,Moscow,ID,Latah County,165.5
83844,Moscow,ID,Latah County,165.5
83647,Mountain Home,ID,Elmore County,162.5
83648,Mountain Home Afb,ID,Elmore County,162.5
83845,Moyie Springs,ID,Boundary County,165.5
83846,Mullan,ID,Shoshone County,165.5
83650,Murphy,ID,Owyhee County,162.5
83874,Murray,ID,Shoshone County,165.5
83847,Naples,ID,Boundary County,165.5
83655,New Plymouth,ID,Payette County,162.5
83848,Nordman,ID,Bonner County,165.5
83657,Ola,ID,Gem County,177.0
83822,Oldtown,ID,Bonner County,165.5
83849,Osburn,ID,Shoshone County,165.5
83661,Payette,ID,Payette County,162.5
83850,Pinehurst,ID,Shoshone County,165.5
83666,Placerville,ID,Boise County,174.0
83851,Plummer,ID,Benewah County,162.5
83852,Ponderay,ID,Bonner County,165.5
83853,Porthill,ID,Boundary County,165.5
83854,Post Falls,ID,Kootenai County,177.0
83877,Post Falls,ID,Kootenai County,177.0
83855,Potlatch,ID,Latah County,165.5
83856,Priest River,ID,Bonner County,165.5
83857,Princeton,ID,Latah County,165.5
83858,Rathdrum,ID,Kootenai County,177.0
83860,Sagle,ID,Bonner County,165.5
83861,Saint Maries,ID,Benewah County,162.5
83864,Sandpoint,ID,Bonner County,165.5
83866,Santa,ID,Benewah County,162.5
83867,Silverton,ID,Shoshone County,165.5
83868,Smelterville,ID,Shoshone County,165.5
83869,Spirit Lake,ID,Kootenai County,177.0
83670,Sweet,ID,Gem County,177.0
83870,Tensed,ID,Benewah County,162.5
83871,Troy,ID,Latah County,165.5
83872,Viola,ID,Latah County,165.5
83873,Wallace,ID,Shoshone County,165.5
83876,Worley,ID,Kootenai County,177.0
