zip,city,state,county,payout
67001,Andale,KS,Sedgwick County,172.5
66006,Baldwin City,KS,Douglas County,211.0
66007,Basehor,KS,Leavenworth County,165.5
67016,Bentley,KS,Sedgwick County,172.5
66012,Bonner Springs,KS,Wyandotte County,213.0
66013,Bucyrus,KS,Johnson County,165.5
67025,Cheney,KS,Sedgwick County,172.5
67026,Clearwater,KS,Sedgwick County,172.5
67030,Colwich,KS,Sedgwick County,172.5
66018,De Soto,KS,Johnson County,218.0
67037,Derby,KS,Sedgwick County,172.5
66020,Easton,KS,Leavenworth County,165.5
66021,Edgerton,KS,Johnson County,218.0
66113,Edwardsville,KS,Wyandotte County,213.0
66025,Eudora,KS,Douglas County,211.0
66026,Fontana,KS,Miami County,165.5
66027,Fort Leavenworth,KS,Leavenworth County,165.5
67050,Garden Plain,KS,Sedgwick County,172.5
66030,Gardner,KS,Johnson County,218.0
67052,Goddard,KS,Sedgwick County,172.5
66033,Greeley,KS,Anderson County,165.5
67055,Greenwich,KS,Sedgwick County,172.5
67060,Haysville,KS,Sedgwick County,172.5
66036,Hillsdale,KS,Miami County,165.5
66101,Kansas City,KS,Wyandotte County,213.0
66102,Kansas City,KS,Wyandotte County,213.0
66103,Kansas City,KS,Wyandotte County,213.0
66104,Kansas City,KS,Wyandotte County,213.0
66105,Kansas City,KS,Wyandotte County,213.0
66106,Kansas City,KS,Wyandotte County,213.0
66109,Kansas City,KS,Wyandotte County,213.0
66110,Kansas City,KS,Wyandotte County,213.0
66111,Kansas City,KS,Wyandotte County,213.0
66112,Kansas City,KS,Wyandotte County,213.0
66115,Kansas City,KS,Wyandotte County,213.0
66117,Kansas City,KS,Wyandotte County,213.0
66118,Kansas City,KS,Wyandotte County,213.0
66119,Kansas City,KS,Wyandotte County,213.0
66160,Kansas City,KS,Wyandotte County,213.0
67067,Kechi,KS,Sedgwick County,172.5
66040,La Cygne,KS,Linn County,165.5
66042,Lane,KS,Franklin County,162.5
66043,Lansing,KS,Leavenworth County,165.5
66044,Lawrence,KS,Douglas County,211.0
66045,Lawrence,KS,Douglas County,211.0
66046,Lawrence,KS,Douglas County,211.0
66047,Lawrence,KS,Douglas County,211.0
66049,Lawrence,KS,Douglas County,211.0
66048,Leavenworth,KS,Leavenworth County,165.5
66206,Leawood,KS,Johnson County,218.0
66209,Leawood,KS,Johnson County,218.0
66211,Leawood,KS,Johnson County,218.0
66050,Lecompton,KS,Douglas County,211.0
66215,Lenexa,KS,Johnson County,218.0
66219,Lenexa,KS,Johnson County,218.0
66220,Lenexa,KS,Johnson County,218.0
66227,Lenexa,KS,Johnson County,218.0
66250,Lenexa,KS,Johnson County,218.0
66276,Lenexa,KS,Johnson County,218.0
66285,Lenexa,KS,Johnson County,218.0
66052,Linwood,KS,Leavenworth County,165.5
66053,Louisburg,KS,Miami County,165.5
67101,Maize,KS,Sedgwick County,172.5
66054,McLouth,KS,Jefferson County,165.5
67221,Mcconnell Afb,KS,Sedgwick County,172.5
66201,Mission,KS,Johnson County,218.0
66202,Mission,KS,Johnson County,218.0
66205,Mission,KS,Johnson County,218.0
66222,Mission,KS,Johnson County,218.0
67108,Mount Hope,KS,Sedgwick County,172.5
67110,Mulvane,KS,Sedgwick County,172.5
66031,New Century,KS,Johnson County,218.0
