zip,city,state,county,payout
20607,Accokeek,MD,Prince George'S County,348.5
20762,Andrews Air Force Base,MD,Prince George'S County,348.5
21401,Annapolis,MD,Anne Arundel County,348.5
21402,Annapolis,MD,Anne Arundel County,348.5
21403,Annapolis,MD,Anne Arundel County,348.5
21404,Annapolis,MD,Anne Arundel County,348.5
21405,Annapolis,MD,Anne Arundel County,348.5
21409,Annapolis,MD,Anne Arundel County,348.5
21411,Annapolis,MD,Anne Arundel County,348.5
21412,Annapolis,MD,Anne Arundel County,348.5
20701,Annapolis Junction,MD,Anne Arundel County,348.5
20608,Aquasco,MD,Prince George'S County,348.5
21012,Arnold,MD,Anne Arundel County,348.5
20861,Ashton,MD,Montgomery County,236.5
21240,Baltimore,MD,Anne Arundel County,348.5
21607,Barclay,MD,Queen Anne'S County,177.0
20838,Barnesville,MD,Montgomery County,236.5
20839,Beallsville,MD,Montgomery County,236.5
20704,Beltsville,MD,Prince George'S County,348.5
20705,Beltsville,MD,Prince George'S County,348.5
20810,Bethesda,MD,Montgomery County,236.5
20811,Bethesda,MD,Montgomery County,236.5
20813,Bethesda,MD,Montgomery County,236.5
20814,Bethesda,MD,Montgomery County,236.5
20816,Bethesda,MD,Montgomery County,236.5
20817,Bethesda,MD,Montgomery County,236.5
20824,Bethesda,MD,Montgomery County,236.5
20827,Bethesda,MD,Montgomery County,236.5
20889,Bethesda,MD,Montgomery County,236.5
20892,Bethesda,MD,Montgomery County,236.5
20894,Bethesda,MD,Montgomery County,236.5
20710,Bladensburg,MD,Prince George'S County,348.5
20715,Bowie,MD,Prince George'S County,348.5
20716,Bowie,MD,Prince George'S County,348.5
20717,Bowie,MD,Prince George'S County,348.5
20718,Bowie,MD,Prince George'S County,348.5
20719,Bowie,MD,Prince George'S County,348.5
20720,Bowie,MD,Prince George'S County,348.5
20721,Bowie,MD,Prince George'S County,348.5
20841,Boyds,MD,Montgomery County,236.5
21714,Braddock Heights,MD,Frederick County,348.5
20613,Brandywine,MD,Prince George'S County,348.5
20722,Brentwood,MD,Prince George'S County,348.5
20862,Brinklow,MD,Montgomery County,236.5
20833,Brookeville,MD,Montgomery County,236.5
21717,Buckeystown,MD,Frederick County,348.5
21718,Burkittsville,MD,Frederick County,348.5
20866,Burtonsville,MD,Montgomery County,236.5
