zip,city,state,county,payout
04406,Abbot,ME,Piscataquis County,165.5
04001,Acton,ME,York County,165.5
04606,Addison,ME,Washington County,165.5
04910,Albion,ME,Kennebec County,165.5
04002,Alfred,ME,York County,165.5
04535,Alna,ME,Lincoln County,165.5
04216,Andover,ME,Oxford County,165.5
04911,Anson,ME,Somerset County,165.5
04912,Athens,ME,Somerset County,165.5
04210,Auburn,ME,Androscoggin County,165.5
04211,Auburn,ME,Androscoggin County,165.5
04212,Auburn,ME,Androscoggin County,165.5
04330,Augusta,ME,Kennebec County,165.5
04332,Augusta,ME,Kennebec County,165.5
04333,Augusta,ME,Kennebec County,165.5
04336,Augusta,ME,Kennebec County,165.5
04338,Augusta,ME,Kennebec County,165.5
04408,Aurora,ME,Hancock County,165.5
04003,Bailey Island,ME,Cumberland County,165.5
04694,Baileyville,ME,Washington County,165.5
04401,Bangor,ME,Penobscot County,165.5
04402,Bangor,ME,Penobscot County,165.5
04609,Bar Harbor,ME,Hancock County,165.5
04004,Bar Mills,ME,York County,165.5
04653,Bass Harbor,ME,Hancock County,165.5
04530,Bath,ME,Sagadahoc County,165.5
04611,Beals,ME,Washington County,165.5
04915,Belfast,ME,Waldo County,165.5
04917,Belgrade,ME,Kennebec County,165.5
04918,Belgrade Lakes,ME,Kennebec County,165.5
04612,Bernard,ME,Hancock County,165.5
03901,Berwick,ME,York County,165.5
04217,Bethel,ME,Oxford County,165.5
04005,Biddeford,ME,York County,165.5
04007,Biddeford,ME,York County,165.5
04006,Biddeford Pool,ME,York County,165.5
04920,Bingham,ME,Somerset County,165.5
04613,Birch Harbor,ME,Hancock County,165.5
04614,Blue Hill,ME,Hancock County,165.5
04537,Boothbay,ME,Lincoln County,165.5
04538,Boothbay Harbor,ME,Lincoln County,165.5
04287,Bowdoin,ME,Sagadahoc County,165.5
04008,Bowdoinham,ME,Sagadahoc County,165.5
04410,Bradford,ME,Penobscot County,165.5
04411,Bradley,ME,Penobscot County,165.5
04551,Bremen,ME,Lincoln County,165.5
04412,Brewer,ME,Penobscot County,165.5
04009,Bridgton,ME,Cumberland County,165.5
04539,Bristol,ME,Lincoln County,165.5
04616,Brooklin,ME,Hancock County,165.5
04921,Brooks,ME,Waldo County,165.5
04617,Brooksville,ME,Hancock County,165.5
04413,Brookton,ME,Washington County,165.5
04010,Brownfield,ME,Oxford County,165.5
04414,Brownville,ME,Piscataquis County,165.5
04415,Brownville Junction,ME,Piscataquis County,165.5
04011,Brunswick,ME,Cumberland County,165.5
04219,Bryant Pond,ME,Oxford County,165.5
04220,Buckfield,ME,Oxford County,165.5
04416,Bucksport,ME,Hancock County,165.5
04417,Burlington,ME,Penobscot County,165.5
04922,Burnham,ME,Waldo County,165.5
04013,Bustins Island,ME,Cumberland County,165.5
04093,Buxton,ME,York County,165.5
04619,Calais,ME,Washington County,165.5
04923,Cambridge,ME,Somerset County,165.5
04843,Camden,ME,Knox County,165.5
04924,Canaan,ME,Somerset County,165.5
04221,Canton,ME,Oxford County,165.5
04107,Cape Elizabeth,ME,Cumberland County,165.5
03902,Cape Neddick,ME,York County,165.5
04014,Cape Porpoise,ME,York County,165.5
04925,Caratunk,ME,Somerset County,165.5
04419,Carmel,ME,Penobscot County,165.5
04015,Casco,ME,Cumberland County,165.5
04420,Castine,ME,Hancock County,165.5
04421,Castine,ME,Hancock County,165.5
04016,Center Lovell,ME,Oxford County,165.5
04541,Chamberlain,ME,Lincoln County,165.5
04422,Charleston,ME,Penobscot County,165.5
04017,Chebeague Island,ME,Cumberland County,165.5
04622,Cherryfield,ME,Washington County,165.5
04926,China Village,ME,Kennebec County,165.5
04019,Cliff Island,ME,Cumberland County,165.5
04927,Clinton,ME,Kennebec County,165.5
04623,Columbia Falls,ME,Washington County,165.5
04341,Coopers Mills,ME,Lincoln County,165.5
04624,Corea,ME,Hancock County,165.5
04928,Corinna,ME,Penobscot County,165.5
04427,Corinth,ME,Penobscot County,165.5
04020,Cornish,ME,York County,165.5
04625,Cranberry Isles,ME,Hancock County,165.5
04021,Cumberland Center,ME,Cumberland County,165.5
04110,Cumberland Foreside,ME,Cumberland County,165.5
04563,Cushing,ME,Knox County,165.5
04626,Cutler,ME,Washington County,165.5
04543,Damariscotta,ME,Lincoln County,165.5
04424,Danforth,ME,Washington County,165.5
04223,Danville,ME,Androscoggin County,165.5
04627,Deer Isle,ME,Hancock County,165.5
04022,Denmark,ME,Oxford County,165.5
04628,Dennysville,ME,Washington County,165.5
04929,Detroit,ME,Somerset County,165.5
04930,Dexter,ME,Penobscot County,165.5
04224,Dixfield,ME,Oxford County,165.5
04932,Dixmont,ME,Penobscot County,165.5
04426,Dover Foxcroft,ME,Piscataquis County,165.5
