zip,city,state,county,payout
49610,Acme,MI,Grand Traverse County,177.0
49301,Ada,MI,Kent County,249.0
49355,Ada,MI,Kent County,249.0
49356,Ada,MI,Kent County,249.0
49357,Ada,MI,Kent County,249.0
48701,Akron,MI,Tuscola County,177.0
48001,Algonac,MI,St. Clair County,189.0
49010,Allegan,MI,Allegan County,177.0
49227,Allen,MI,Hillsdale County,177.0
48101,Allen Park,MI,Wayne County,219.5
49401,Allendale,MI,Ottawa County,259.0
48002,Allenton,MI,St. Clair County,189.0
48801,Alma,MI,Gratiot County,162.5
48003,Almont,MI,Lapeer County,213.0
49302,Alto,MI,Kent County,249.0
48004,Anchorville,MI,St. Clair County,189.0
48103,Ann Arbor,MI,Washtenaw County,279.0
48104,Ann Arbor,MI,Washtenaw County,279.0
48105,Ann Arbor,MI,Washtenaw County,279.0
48106,Ann Arbor,MI,Washtenaw County,279.0
48107,Ann Arbor,MI,Washtenaw County,279.0
48108,Ann Arbor,MI,Washtenaw County,279.0
48109,Ann Arbor,MI,Washtenaw County,279.0
48113,Ann Arbor,MI,Washtenaw County,279.0
48401,Applegate,MI,Sanilac County,177.0
49613,Arcadia,MI,Manistee County,165.5
48410,Argyle,MI,Sanilac County,177.0
48005,Armada,MI,Macomb County,260.0
48806,Ashley,MI,Gratiot County,162.5
48411,Atlas,MI,Genesee County,264.0
48412,Attica,MI,Lapeer County,213.0
48611,Auburn,MI,Bay County,259.0
48321,Auburn Hills,MI,Oakland County,260.0
48326,Auburn Hills,MI,Oakland County,260.0
49012,Augusta,MI,Kalamazoo County,177.0
48006,Avoca,MI,St. Clair County,189.0
48110,Azalia,MI,Monroe County,189.0
48413,Bad Axe,MI,Huron County,177.0
49303,Bailey,MI,Muskegon County,165.5
49304,Baldwin,MI,Lake County,165.5
48414,Bancroft,MI,Shiawassee County,177.0
48807,Bannister,MI,Gratiot County,162.5
49305,Barryton,MI,Mecosta County,162.5
48808,Bath,MI,Clinton County,165.5
48706,Bay City,MI,Bay County,259.0
48707,Bay City,MI,Bay County,259.0
48708,Bay City,MI,Bay County,259.0
48720,Bay Port,MI,Huron County,177.0
49614,Bear Lake,MI,Manistee County,165.5
48809,Belding,MI,Ionia County,201.0
48111,Belleville,MI,Wayne County,219.5
48112,Belleville,MI,Wayne County,219.5
49021,Bellevue,MI,Eaton County,201.0
49306,Belmont,MI,Kent County,249.0
48613,Bentley,MI,Bay County,259.0
49616,Benzonia,MI,Benzie County,162.5
48072,Berkley,MI,Oakland County,260.0
49617,Beulah,MI,Benzie County,162.5
49307,Big Rapids,MI,Mecosta County,162.5
48415,Birch Run,MI,Saginaw County,189.0
48009,Birmingham,MI,Oakland County,260.0
48012,Birmingham,MI,Oakland County,260.0
49309,Bitely,MI,Newaygo County,165.5
49310,Blanchard,MI,Isabella County,162.5
48301,Bloomfield Hills,MI,Oakland County,260.0
48302,Bloomfield Hills,MI,Oakland County,260.0
48303,Bloomfield Hills,MI,Oakland County,260.0
48304,Bloomfield Hills,MI,Oakland County,260.0
49618,Boon,MI,Wexford County,165.5
49311,Bradley,MI,Allegan County,177.0
49402,Branch,MI,Mason County,162.5
48614,Brant,MI,Saginaw County,189.0
48615,Breckenridge,MI,Gratiot County,162.5
49619,Brethren,MI,Manistee County,165.5
48722,Bridgeport,MI,Saginaw County,189.0
48115,Bridgewater,MI,Washtenaw County,279.0
48114,Brighton,MI,Livingston County,248.5
48116,Brighton,MI,Livingston County,248.5
49229,Britton,MI,Lenawee County,201.0
49312,Brohman,MI,Newaygo County,165.5
49230,Brooklyn,MI,Jackson County,213.0
48416,Brown City,MI,Sanilac County,177.0
49620,Buckley,MI,Wexford County,165.5
49314,Burnips,MI,Allegan County,177.0
48417,Burt,MI,Saginaw County,189.0
48509,Burton,MI,Genesee County,264.0
48519,Burton,MI,Genesee County,264.0
48529,Burton,MI,Genesee County,264.0
48418,Byron,MI,Shiawassee County,177.0
49315,Byron Center,MI,Kent County,249.0
49601,Cadillac,MI,Wexford County,165.5
49316,Caledonia,MI,Kent County,249.0
49232,Camden,MI,Hillsdale County,177.0
49317,Cannonsburg,MI,Kent County,249.0
48187,Canton,MI,Wayne County,219.5
48188,Canton,MI,Wayne County,219.5
48014,Capac,MI,St. Clair County,189.0
48117,Carleton,MI,Monroe County,189.0
48723,Caro,MI,Tuscola County,177.0
48724,Carrollton,MI,Saginaw County,189.0
48811,Carson City,MI,Montcalm County,174.0
48419,Carsonville,MI,Sanilac County,177.0
48064,Casco,MI,St. Clair County,189.0
48725,Caseville,MI,Huron County,177.0
49318,Casnovia,MI,Muskegon County,165.5
48726,Cass City,MI,Tuscola County,177.0
48812,Cedar Lake,MI,Montcalm County,174.0
49319,Cedar Springs,MI,Kent County,249.0
49233,Cement City,MI,Hillsdale County,201.0
48015,Center Line,MI,Macomb County,260.0
48813,Charlotte,MI,Eaton County,201.0
49623,Chase,MI,Lake County,165.5
48118,Chelsea,MI,Washtenaw County,279.0
48616,Chesaning,MI,Saginaw County,189.0
49320,Chippewa Lake,MI,Mecosta County,162.5
48617,Clare,MI,Clare County,165.5
48346,Clarkston,MI,Oakland County,260.0
48347,Clarkston,MI,Oakland County,260.0
48348,Clarkston,MI,Oakland County,260.0
48815,Clarksville,MI,Ionia County,201.0
48017,Clawson,MI,Oakland County,260.0
48727,Clifford,MI,Lapeer County,213.0
49034,Climax,MI,Kalamazoo County,177.0
49236,Clinton,MI,Lenawee County,201.0
48035,Clinton Township,MI,Macomb County,260.0
48036,Clinton Township,MI,Macomb County,260.0
48038,Clinton Township,MI,Macomb County,260.0
48420,Clio,MI,Genesee County,264.0
49035,Cloverdale,MI,Barry County,177.0
48816,Cohoctah,MI,Livingston County,248.5
48618,Coleman,MI,Midland County,259.0
48421,Columbiaville,MI,Lapeer County,213.0
48063,Columbus,MI,St. Clair County,189.0
48382,Commerce Township,MI,Oakland County,260.0
49041,Comstock,MI,Kalamazoo County,177.0
49321,Comstock Park,MI,Kent County,249.0
49403,Conklin,MI,Ottawa County,259.0
49404,Coopersville,MI,Ottawa County,259.0
49625,Copemish,MI,Manistee County,165.5
49322,Coral,MI,Montcalm County,174.0
48817,Corunna,MI,Shiawassee County,177.0
48422,Croswell,MI,Sanilac County,177.0
48818,Crystal,MI,Montcalm County,174.0
49405,Custer,MI,Mason County,162.5
48819,Dansville,MI,Ingham County,205.0
48350,Davisburg,MI,Oakland County,260.0
48423,Davison,MI,Genesee County,264.0
48120,Dearborn,MI,Wayne County,219.5
48121,Dearborn,MI,Wayne County,219.5
48123,Dearborn,MI,Wayne County,219.5
48124,Dearborn,MI,Wayne County,219.5
48126,Dearborn,MI,Wayne County,219.5
48128,Dearborn,MI,Wayne County,219.5
48125,Dearborn Heights,MI,Wayne County,219.5
48127,Dearborn Heights,MI,Wayne County,219.5
48426,Decker,MI,Sanilac County,177.0
48427,Deckerville,MI,Sanilac County,177.0
48729,Deford,MI,Tuscola County,177.0
49046,Delton,MI,Barry County,177.0
48201,Detroit,MI,Wayne County,219.5
48222,Detroit,MI,Wayne County,219.5
48226,Detroit,MI,Wayne County,219.5
48231,Detroit,MI,Wayne County,219.5
48232,Detroit,MI,Wayne County,219.5
48242,Detroit,MI,Wayne County,219.5
48244,Detroit,MI,Wayne County,219.5
48255,Detroit,MI,Wayne County,219.5
48260,Detroit,MI,Wayne County,219.5
48264,Detroit,MI,Wayne County,219.5
48265,Detroit,MI,Wayne County,219.5
48266,Detroit,MI,Wayne County,219.5
48267,Detroit,MI,Wayne County,219.5
48268,Detroit,MI,Wayne County,219.5
48269,Detroit,MI,Wayne County,219.5
48272,Detroit,MI,Wayne County,219.5
48275,Detroit,MI,Wayne County,219.5
48277,Detroit,MI,Wayne County,219.5
48278,Detroit,MI,Wayne County,219.5
48279,Detroit,MI,Wayne County,219.5
48288,Detroit,MI,Wayne County,219.5
48820,Dewitt,MI,Clinton County,165.5
48130,Dexter,MI,Washtenaw County,279.0
48821,Dimondale,MI,Eaton County,201.0
49323,Dorr,MI,Allegan County,177.0
49406,Douglas,MI,Allegan County,177.0
49050,Dowling,MI,Barry County,177.0
48330,Drayton Plains,MI,Oakland County,260.0
48428,Dryden,MI,Lapeer County,213.0
48131,Dundee,MI,Monroe County,189.0
48429,Durand,MI,Shiawassee County,177.0
48822,Eagle,MI,Clinton County,165.5
48054,East China,MI,St. Clair County,189.0
48823,East Lansing,MI,Ingham County,205.0
48824,East Lansing,MI,Ingham County,205.0
48825,East Lansing,MI,Ingham County,205.0
48826,East Lansing,MI,Ingham County,205.0
49626,Eastlake,MI,Manistee County,165.5
48021,Eastpointe,MI,Macomb County,260.0
48827,Eaton Rapids,MI,Eaton County,201.0
48229,Ecorse,MI,Wayne County,219.5
48620,Edenville,MI,Midland County,259.0
48829,Edmore,MI,Montcalm County,174.0
49628,Elberta,MI,Benzie County,162.5
48731,Elkton,MI,Huron County,177.0
48830,Elm Hall,MI,Gratiot County,162.5
48831,Elsie,MI,Clinton County,165.5
48832,Elwell,MI,Gratiot County,162.5
48022,Emmett,MI,St. Clair County,189.0
48133,Erie,MI,Monroe County,189.0
48732,Essexville,MI,Bay County,259.0
48833,Eureka,MI,Clinton County,165.5
48023,Fair Haven,MI,St. Clair County,189.0
48733,Fairgrove,MI,Tuscola County,177.0
48331,Farmington,MI,Oakland County,260.0
48332,Farmington,MI,Oakland County,260.0
48333,Farmington,MI,Oakland County,260.0
48334,Farmington,MI,Oakland County,260.0
48335,Farmington,MI,Oakland County,260.0
48336,Farmington,MI,Oakland County,260.0
48622,Farwell,MI,Clare County,165.5
49408,Fennville,MI,Allegan County,177.0
48430,Fenton,MI,Genesee County,264.0
48834,Fenwick,MI,Montcalm County,174.0
48220,Ferndale,MI,Oakland County,260.0
49409,Ferrysburg,MI,Ottawa County,259.0
49633,Fife Lake,MI,Kalkaska County,174.0
49634,Filer City,MI,Manistee County,165.5
48432,Filion,MI,Huron County,177.0
48134,Flat Rock,MI,Wayne County,219.5
48501,Flint,MI,Genesee County,264.0
48502,Flint,MI,Genesee County,264.0
48503,Flint,MI,Genesee County,264.0
48504,Flint,MI,Genesee County,264.0
48505,Flint,MI,Genesee County,264.0
48506,Flint,MI,Genesee County,264.0
48507,Flint,MI,Genesee County,264.0
48531,Flint,MI,Genesee County,264.0
48532,Flint,MI,Genesee County,264.0
48550,Flint,MI,Genesee County,264.0
48551,Flint,MI,Genesee County,264.0
48552,Flint,MI,Genesee County,264.0
48553,Flint,MI,Genesee County,264.0
48554,Flint,MI,Genesee County,264.0
48555,Flint,MI,Genesee County,264.0
48556,Flint,MI,Genesee County,264.0
48557,Flint,MI,Genesee County,264.0
48433,Flushing,MI,Genesee County,264.0
48434,Forestville,MI,Sanilac County,177.0
48059,Fort Gratiot,MI,St. Clair County,189.0
48435,Fostoria,MI,Tuscola County,177.0
49410,Fountain,MI,Mason County,162.5
48835,Fowler,MI,Clinton County,165.5
48836,Fowlerville,MI,Livingston County,248.5
48734,Frankenmuth,MI,Saginaw County,189.0
48787,Frankenmuth,MI,Saginaw County,189.0
49635,Frankfort,MI,Benzie County,162.5
48025,Franklin,MI,Oakland County,260.0
48026,Fraser,MI,Macomb County,260.0
49733,Frederic,MI,Crawford County,165.5
49411,Free Soil,MI,Mason County,162.5
48623,Freeland,MI,Saginaw County,189.0
49325,Freeport,MI,Barry County,177.0
49412,Fremont,MI,Newaygo County,165.5
49413,Fremont,MI,Newaygo County,165.5
49239,Frontier,MI,Hillsdale County,177.0
49415,Fruitport,MI,Muskegon County,165.5
49052,Fulton,MI,Kalamazoo County,177.0
48735,Gagetown,MI,Tuscola County,177.0
48436,Gaines,MI,Genesee County,264.0
49053,Galesburg,MI,Kalamazoo County,177.0
48135,Garden City,MI,Wayne County,219.5
