zip,city,state,county,payout
64401,Agency,MO,Buchanan County,165.5
64001,Alma,MO,Lafayette County,165.5
64725,Archie,MO,Cass County,286.5
65230,Armstrong,MO,Howard County,156.0
63010,Arnold,MO,Jefferson County,213.0
65320,Arrow Rock,MO,Saline County,156.0
65010,Ashland,MO,Boone County,156.0
63332,Augusta,MO,St. Charles County,213.0
65231,Auxvasse,MO,Callaway County,156.0
63011,Ballwin,MO,St. Louis County,213.0
63021,Ballwin,MO,St. Louis County,213.0
63022,Ballwin,MO,St. Louis County,213.0
63024,Ballwin,MO,St. Louis County,213.0
63012,Barnhart,MO,Jefferson County,213.0
64011,Bates City,MO,Lafayette County,165.5
63013,Beaufort,MO,Franklin County,189.0
63622,Belgrade,MO,Washington County,162.5
63333,Bellflower,MO,Montgomery County,165.5
64012,Belton,MO,Cass County,286.5
65232,Benton City,MO,Audrain County,156.0
63014,Berger,MO,Franklin County,189.0
64424,Bethany,MO,Harrison County,151.0
65321,Blackburn,MO,Saline County,156.0
65322,Blackwater,MO,Cooper County,156.0
63626,Blackwell,MO,Washington County,162.5
64013,Blue Springs,MO,Jackson County,215.0
64014,Blue Springs,MO,Jackson County,215.0
64015,Blue Springs,MO,Jackson County,215.0
65233,Boonville,MO,Cooper County,156.0
64625,Breckenridge,MO,Caldwell County,162.5
63044,Bridgeton,MO,St. Louis County,213.0
65017,Brumley,MO,Miller County,156.0
64016,Buckner,MO,Jackson County,215.0
65237,Bunceton,MO,Cooper County,156.0
63630,Cadet,MO,Washington County,162.5
65239,Cairo,MO,Randolph County,156.0
63631,Caledonia,MO,Washington County,162.5
65018,California,MO,Moniteau County,156.0
64017,Camden,MO,Ray County,162.5
64018,Camden Point,MO,Platte County,213.0
65020,Camdenton,MO,Camden County,156.0
64429,Cameron,MO,Clinton County,162.5
63015,Catawissa,MO,Franklin County,189.0
63016,Cedar Hill,MO,Jefferson County,213.0
65023,Centertown,MO,Cole County,156.0
64019,Centerview,MO,Johnson County,165.5
65240,Centralia,MO,Boone County,156.0
63005,Chesterfield,MO,St. Louis County,213.0
63006,Chesterfield,MO,St. Louis County,213.0
63017,Chesterfield,MO,St. Louis County,213.0
64733,Chilhowee,MO,Johnson County,165.5
64601,Chillicothe,MO,Livingston County,64.0
65243,Clark,MO,Randolph County,156.0
65025,Clarksburg,MO,Moniteau County,156.0
64734,Cleveland,MO,Cass County,286.5
65244,Clifton Hill,MO,Randolph County,156.0
65324,Climax Springs,MO,Camden County,156.0
65201,Columbia,MO,Boone County,156.0
65202,Columbia,MO,Boone County,156.0
65203,Columbia,MO,Boone County,156.0
65205,Columbia,MO,Boone County,156.0
65211,Columbia,MO,Boone County,156.0
65212,Columbia,MO,Boone County,156.0
65215,Columbia,MO,Boone County,156.0
65216,Columbia,MO,Boone County,156.0
65217,Columbia,MO,Boone County,156.0
65218,Columbia,MO,Boone County,156.0
65299,Columbia,MO,Boone County,156.0
64020,Concordia,MO,Lafayette County,165.5
64021,Corder,MO,Lafayette County,165.5
63338,Cottleville,MO,St. Charles County,213.0
64739,Creighton,MO,Cass County,286.5
63019,Crystal City,MO,Jefferson County,213.0
64440,De Kalb,MO,Buchanan County,165.5
63020,De Soto,MO,Jefferson County,213.0
64439,Dearborn,MO,Platte County,213.0
63341,Defiance,MO,St. Charles County,213.0
63023,Dittmer,MO,Jefferson County,213.0
64022,Dover,MO,Lafayette County,165.5
64742,Drexel,MO,Cass County,286.5
63342,Dutzow,MO,Warren County,165.5
63045,Earth City,MO,St. Louis County,213.0
64743,East Lynne,MO,Cass County,286.5
64443,Easton,MO,Buchanan County,165.5
64444,Edgerton,MO,Platte County,213.0
65026,Eldon,MO,Miller County,156.0
63343,Elsberry,MO,Lincoln County,165.5
65032,Eugene,MO,Miller County,156.0
63025,Eureka,MO,St. Louis County,213.0
64024,Excelsior Springs,MO,Clay County,213.0
63345,Farber,MO,Audrain County,156.0
64028,Farley,MO,Platte County,213.0
64448,Faucett,MO,Buchanan County,165.5
65248,Fayette,MO,Howard County,156.0
63026,Fenton,MO,St. Louis County,213.0
63099,Fenton,MO,St. Louis County,213.0
63028,Festus,MO,Jefferson County,213.0
63030,Fletcher,MO,Washington County,162.5
63346,Flinthill,MO,St. Charles County,213.0
63031,Florissant,MO,St. Louis County,213.0
63032,Florissant,MO,St. Louis County,213.0
63033,Florissant,MO,St. Louis County,213.0
63034,Florissant,MO,St. Louis County,213.0
63347,Foley,MO,Lincoln County,165.5
63348,Foristell,MO,St. Charles County,213.0
65250,Franklin,MO,Howard County,156.0
64746,Freeman,MO,Cass County,286.5
65251,Fulton,MO,Callaway County,156.0
64747,Garden City,MO,Cass County,286.5
63037,Gerald,MO,Franklin County,189.0
65330,Gilliam,MO,Saline County,156.0
65254,Glasgow,MO,Howard County,156.0
64454,Gower,MO,Clinton County,162.5
64029,Grain Valley,MO,Jackson County,215.0
64030,Grandview,MO,Jackson County,215.0
63039,Gray Summit,MO,Franklin County,189.0
65332,Green Ridge,MO,Pettis County,165.5
64034,Greenwood,MO,Jackson County,215.0
63041,Grubville,MO,Franklin County,189.0
65255,Hallsville,MO,Boone County,156.0
64644,Hamilton,MO,Caldwell County,162.5
64035,Hardin,MO,Ray County,162.5
65256,Harrisburg,MO,Boone County,156.0
64701,Harrisonville,MO,Cass County,286.5
65039,Hartsburg,MO,Boone County,156.0
63349,Hawk Point,MO,Lincoln County,165.5
63042,Hazelwood,MO,St. Louis County,213.0
63047,Hematite,MO,Jefferson County,213.0
65040,Henley,MO,Cole County,156.0
64036,Henrietta,MO,Ray County,162.5
63048,Herculaneum,MO,Jefferson County,213.0
65257,Higbee,MO,Randolph County,156.0
64037,Higginsville,MO,Lafayette County,165.5
63350,High Hill,MO,Montgomery County,165.5
65042,High Point,MO,Moniteau County,156.0
63049,High Ridge,MO,Jefferson County,213.0
63050,Hillsboro,MO,Jefferson County,213.0
64040,Holden,MO,Johnson County,165.5
64048,Holt,MO,Clay County,213.0
65043,Holts Summit,MO,Callaway County,156.0
63051,House Springs,MO,Jefferson County,213.0
65333,Houstonia,MO,Pettis County,165.5
65334,Hughesville,MO,Pettis County,165.5
65259,Huntsville,MO,Randolph County,156.0
65486,Iberia,MO,Miller County,156.0
63052,Imperial,MO,Jefferson County,213.0
64050,Independence,MO,Jackson County,215.0
64051,Independence,MO,Jackson County,215.0
64052,Independence,MO,Jackson County,215.0
64053,Independence,MO,Jackson County,215.0
64054,Independence,MO,Jackson County,215.0
64055,Independence,MO,Jackson County,215.0
64056,Independence,MO,Jackson County,215.0
64057,Independence,MO,Jackson County,215.0
64058,Independence,MO,Jackson County,215.0
63648,Irondale,MO,Washington County,162.5
65260,Jacksonville,MO,Randolph County,156.0
65046,Jamestown,MO,Moniteau County,156.0
65101,Jefferson City,MO,Cole County,156.0
65102,Jefferson City,MO,Cole County,156.0
65103,Jefferson City,MO,Cole County,156.0
65104,Jefferson City,MO,Cole County,156.0
65105,Jefferson City,MO,Cole County,156.0
65106,Jefferson City,MO,Cole County,156.0
65107,Jefferson City,MO,Cole County,156.0
65108,Jefferson City,MO,Cole County,156.0
65109,Jefferson City,MO,Cole County,156.0
65110,Jefferson City,MO,Cole County,156.0
65111,Jefferson City,MO,Cole County,156.0
63351,Jonesburg,MO,Montgomery County,165.5
65047,Kaiser,MO,Miller County,156.0
64101,Kansas City,MO,Jackson County,215.0
64102,Kansas City,MO,Jackson County,215.0
64105,Kansas City,MO,Jackson County,215.0
64106,Kansas City,MO,Jackson County,215.0
64108,Kansas City,MO,Jackson County,215.0
64109,Kansas City,MO,Jackson County,215.0
64110,Kansas City,MO,Jackson County,215.0
64111,Kansas City,MO,Jackson County,215.0
64112,Kansas City,MO,Jackson County,215.0
64113,Kansas City,MO,Jackson County,215.0
64114,Kansas City,MO,Jackson County,215.0
64116,Kansas City,MO,Clay County,213.0
64117,Kansas City,MO,Clay County,213.0
64118,Kansas City,MO,Clay County,213.0
64119,Kansas City,MO,Clay County,213.0
64120,Kansas City,MO,Jackson County,215.0
64121,Kansas City,MO,Jackson County,215.0
64123,Kansas City,MO,Jackson County,215.0
64124,Kansas City,MO,Jackson County,215.0
64125,Kansas City,MO,Jackson County,215.0
64126,Kansas City,MO,Jackson County,215.0
64127,Kansas City,MO,Jackson County,215.0
64128,Kansas City,MO,Jackson County,215.0
64129,Kansas City,MO,Jackson County,215.0
64130,Kansas City,MO,Jackson County,215.0
64131,Kansas City,MO,Jackson County,215.0
64132,Kansas City,MO,Jackson County,215.0
64133,Kansas City,MO,Jackson County,215.0
64134,Kansas City,MO,Jackson County,215.0
64136,Kansas City,MO,Jackson County,215.0
64137,Kansas City,MO,Jackson County,215.0
64138,Kansas City,MO,Jackson County,215.0
64139,Kansas City,MO,Jackson County,215.0
64141,Kansas City,MO,Jackson County,215.0
64144,Kansas City,MO,Jackson County,213.0
64145,Kansas City,MO,Jackson County,215.0
64146,Kansas City,MO,Jackson County,215.0
64147,Kansas City,MO,Jackson County,215.0
64148,Kansas City,MO,Jackson County,215.0
64149,Kansas City,MO,Jackson County,215.0
64151,Kansas City,MO,Platte County,213.0
64152,Kansas City,MO,Platte County,213.0
64153,Kansas City,MO,Platte County,213.0
64154,Kansas City,MO,Platte County,213.0
64155,Kansas City,MO,Clay County,213.0
64156,Kansas City,MO,Clay County,213.0
64157,Kansas City,MO,Clay County,213.0
64158,Kansas City,MO,Clay County,213.0
64161,Kansas City,MO,Clay County,213.0
64162,Kansas City,MO,Missouri Statewide,213.0
64163,Kansas City,MO,Platte County,213.0
64164,Kansas City,MO,Platte County,213.0
64165,Kansas City,MO,Clay County,213.0
64166,Kansas City,MO,Clay County,213.0
64167,Kansas City,MO,Clay County,213.0
64168,Kansas City,MO,Jackson County,213.0
64170,Kansas City,MO,Jackson County,215.0
64171,Kansas City,MO,Jackson County,215.0
64179,Kansas City,MO,Jackson County,215.0
64180,Kansas City,MO,Jackson County,215.0
64184,Kansas City,MO,Jackson County,215.0
64187,Kansas City,MO,Jackson County,215.0
64188,Kansas City,MO,Jackson County,213.0
64190,Kansas City,MO,Jackson County,213.0
64191,Kansas City,MO,Jackson County,215.0
64195,Kansas City,MO,Jackson County,213.0
64196,Kansas City,MO,Jackson County,215.0
64197,Kansas City,MO,Jackson County,215.0
64198,Kansas City,MO,Jackson County,215.0
64199,Kansas City,MO,Jackson County,215.0
64999,Kansas City,MO,Jackson County,215.0
64060,Kearney,MO,Clay County,213.0
64649,Kidder,MO,Caldwell County,162.5
63053,Kimmswick,MO,Jefferson County,213.0
65262,Kingdom City,MO,Callaway County,156.0
64650,Kingston,MO,Caldwell County,162.5
64061,Kingsville,MO,Johnson County,165.5
65336,Knob Noster,MO,Johnson County,165.5
65337,La Monte,MO,Pettis County,165.5
63055,Labadie,MO,Franklin County,189.0
63352,Laddonia,MO,Audrain County,156.0
65049,Lake Ozark,MO,Camden County,156.0
63367,Lake Saint Louis,MO,St. Charles County,213.0
65050,Latham,MO,Moniteau County,156.0
64465,Lathrop,MO,Clinton County,162.5
64062,Lawson,MO,Ray County,162.5
64002,Lees Summit,MO,Jackson County,215.0
64063,Lees Summit,MO,Jackson County,215.0
64064,Lees Summit,MO,Jackson County,215.0
64065,Lees Summit,MO,Jackson County,215.0
64081,Lees Summit,MO,Jackson County,215.0
64082,Lees Summit,MO,Jackson County,215.0
64086,Lees Summit,MO,Jackson County,215.0
64761,Leeton,MO,Johnson County,165.5
63056,Leslie,MO,Franklin County,189.0
64066,Levasy,MO,Jackson County,215.0
64067,Lexington,MO,Lafayette County,165.5
64068,Liberty,MO,Clay County,213.0
64069,Liberty,MO,Clay County,213.0
63057,Liguori,MO,Jefferson County,213.0
65052,Linn Creek,MO,Camden County,156.0
65053,Lohman,MO,Cole County,156.0
64070,Lone Jack,MO,Jackson County,215.0
63060,Lonedell,MO,Franklin County,189.0
63061,Luebbering,MO,Franklin County,189.0
65786,Macks Creek,MO,Camden County,156.0
65339,Malta Bend,MO,Saline County,156.0
63065,Mapaville,MO,Jefferson County,213.0
65340,Marshall,MO,Saline County,156.0
63357,Marthasville,MO,Warren County,165.5
65264,Martinsburg,MO,Audrain County,156.0
63043,Maryland Heights,MO,St. Louis County,213.0
64071,Mayview,MO,Lafayette County,165.5
65055,Mc Girk,MO,Moniteau County,156.0
65265,Mexico,MO,Audrain County,156.0
65344,Miami,MO,Saline County,156.0
63359,Middletown,MO,Montgomery County,165.5
63660,Mineral Point,MO,Washington County,162.5
64072,Missouri City,MO,Clay County,213.0
65270,Moberly,MO,Randolph County,156.0
65059,Mokane,MO,Callaway County,156.0
63361,Montgomery City,MO,Montgomery County,165.5
65591,Montreal,MO,Camden County,156.0
64664,Mooresville,MO,Livingston County,64.0
65345,Mora,MO,Pettis County,165.5
63066,Morse Mill,MO,Jefferson County,213.0
64073,Mosby,MO,Clay County,213.0
63362,Moscow Mills,MO,Lincoln County,165.5
64074,Napoleon,MO,Lafayette County,165.5
65347,Nelson,MO,Saline County,156.0
65063,New Bloomfield,MO,Callaway County,156.0
63363,New Florence,MO,Montgomery County,165.5
65274,New Franklin,MO,Howard County,156.0
