zip,city,state,county,payout
27006,Advance,NC,Davie County,165.5
27201,Alamance,NC,Alamance County,185.0
28001,Albemarle,NC,Stanly County,165.5
28002,Albemarle,NC,Stanly County,165.5
28508,Albertson,NC,Duplin County,165.5
28701,Alexander,NC,Buncombe County,189.0
28006,Alexis,NC,Gaston County,325.0
27202,Altamahaw,NC,Alamance County,185.0
27501,Angier,NC,Harnett County,177.0
27502,Apex,NC,Wake County,361.5
27523,Apex,NC,Wake County,177.0
27539,Apex,NC,Wake County,361.5
28510,Arapahoe,NC,Pamlico County,165.5
27007,Ararat,NC,Surry County,165.5
28704,Arden,NC,Buncombe County,189.0
28420,Ash,NC,Brunswick County,199.0
27203,Asheboro,NC,Randolph County,177.0
27204,Asheboro,NC,Randolph County,177.0
27205,Asheboro,NC,Randolph County,177.0
28801,Asheville,NC,Buncombe County,189.0
28802,Asheville,NC,Buncombe County,189.0
28803,Asheville,NC,Buncombe County,189.0
28804,Asheville,NC,Buncombe County,189.0
28805,Asheville,NC,Buncombe County,189.0
28806,Asheville,NC,Buncombe County,189.0
28810,Asheville,NC,Buncombe County,189.0
28813,Asheville,NC,Buncombe County,189.0
28814,Asheville,NC,Buncombe County,189.0
28815,Asheville,NC,Buncombe County,189.0
28816,Asheville,NC,Buncombe County,189.0
28421,Atkinson,NC,Pender County,177.0
28511,Atlantic,NC,Carteret County,165.5
28512,Atlantic Beach,NC,Carteret County,165.5
27806,Aurora,NC,Beaufort County,165.5
27915,Avon,NC,Dare County,165.5
28513,Ayden,NC,Pitt County,165.5
28009,Badin,NC,Stanly County,165.5
27503,Bahama,NC,Durham County,338.5
27807,Bailey,NC,Nash County,165.5
28708,Balsam Grove,NC,Transylvania County,174.0
28010,Barium Springs,NC,Iredell County,177.0
28709,Barnardsville,NC,Buncombe County,189.0
28710,Bat Cave,NC,Henderson County,177.0
27808,Bath,NC,Beaufort County,165.5
28515,Bayboro,NC,Pamlico County,165.5
27207,Bear Creek,NC,Chatham County,177.0
28516,Beaufort,NC,Carteret County,165.5
27009,Belews Creek,NC,Forsyth County,177.0
27810,Belhaven,NC,Beaufort County,165.5
27811,Bellarthur,NC,Pitt County,165.5
28012,Belmont,NC,Gaston County,325.0
27208,Bennett,NC,Chatham County,177.0
27504,Benson,NC,Johnston County,177.0
28016,Bessemer City,NC,Gaston County,325.0
27010,Bethania,NC,Forsyth County,177.0
27812,Bethel,NC,Pitt County,165.5
28518,Beulaville,NC,Duplin County,165.5
27813,Black Creek,NC,Wilson County,165.5
28711,Black Mountain,NC,Buncombe County,189.0
27814,Blounts Creek,NC,Beaufort County,165.5
28017,Boiling Springs,NC,Cleveland County,189.0
28422,Bolivia,NC,Brunswick County,199.0
27213,Bonlee,NC,Chatham County,177.0
27011,Boonville,NC,Yadkin County,165.5
28712,Brevard,NC,Transylvania County,174.0
28519,Bridgeton,NC,Craven County,165.5
27505,Broadway,NC,Harnett County,177.0
27214,Browns Summit,NC,Guilford County,177.0
27506,Buies Creek,NC,Harnett County,177.0
27507,Bullock,NC,Granville County,268.0
27508,Bunn,NC,Franklin County,165.5
28323,Bunnlevel,NC,Harnett County,177.0
28425,Burgaw,NC,Pender County,177.0
27215,Burlington,NC,Alamance County,185.0
27216,Burlington,NC,Alamance County,185.0
27217,Burlington,NC,Alamance County,185.0
27509,Butner,NC,Granville County,268.0
27920,Buxton,NC,Dare County,165.5
