zip,city,state,county,payout
03601,Acworth,NH,Sullivan County,162.5
03602,Alstead,NH,Cheshire County,165.5
03031,Amherst,NH,Hillsborough County,284.5
03216,Andover,NH,Merrimack County,165.5
03440,Antrim,NH,Hillsborough County,284.5
03217,Ashland,NH,Grafton County,165.5
03441,Ashuelot,NH,Cheshire County,165.5
03811,Atkinson,NH,Rockingham County,177.0
03032,Auburn,NH,Rockingham County,177.0
03825,Barrington,NH,Strafford County,177.0
03812,Bartlett,NH,Carroll County,165.5
03740,Bath,NH,Grafton County,165.5
03110,Bedford,NH,Hillsborough County,284.5
03442,Bennington,NH,Hillsborough County,284.5
03570,Berlin,NH,Coos County,165.5
03574,Bethlehem,NH,Grafton County,165.5
03304,Bow,NH,Merrimack County,165.5
03221,Bradford,NH,Merrimack County,165.5
03575,Bretton Woods,NH,Coos County,165.5
03222,Bristol,NH,Grafton County,165.5
03033,Brookline,NH,Hillsborough County,284.5
03223,Campton,NH,Grafton County,165.5
03741,Canaan,NH,Grafton County,165.5
03034,Candia,NH,Rockingham County,177.0
03224,Canterbury,NH,Merrimack County,165.5
03813,Center Conway,NH,Carroll County,165.5
03814,Center Ossipee,NH,Carroll County,165.5
03227,Center Sandwich,NH,Carroll County,165.5
03815,Center Strafford,NH,Strafford County,177.0
03816,Center Tuftonboro,NH,Carroll County,165.5
03603,Charlestown,NH,Sullivan County,162.5
03036,Chester,NH,Rockingham County,177.0
03443,Chesterfield,NH,Cheshire County,165.5
03258,Chichester,NH,Merrimack County,165.5
03817,Chocorua,NH,Carroll County,165.5
03743,Claremont,NH,Sullivan County,162.5
03576,Colebrook,NH,Coos County,165.5
03301,Concord,NH,Merrimack County,165.5
03302,Concord,NH,Merrimack County,165.5
03303,Concord,NH,Merrimack County,165.5
03305,Concord,NH,Merrimack County,165.5
03229,Contoocook,NH,Merrimack County,165.5
03818,Conway,NH,Carroll County,165.5
03745,Cornish,NH,Sullivan County,162.5
03746,Cornish Flat,NH,Sullivan County,162.5
03230,Danbury,NH,Merrimack County,165.5
03819,Danville,NH,Rockingham County,177.0
03037,Deerfield,NH,Rockingham County,177.0
03038,Derry,NH,Rockingham County,177.0
03820,Dover,NH,Strafford County,177.0
03821,Dover,NH,Strafford County,177.0
03822,Dover,NH,Strafford County,177.0
03604,Drewsville,NH,Cheshire County,165.5
03444,Dublin,NH,Cheshire County,165.5
03046,Dunbarton,NH,Merrimack County,165.5
03824,Durham,NH,Strafford County,177.0
03231,East Andover,NH,Merrimack County,165.5
03040,East Candia,NH,Rockingham County,177.0
03041,East Derry,NH,Rockingham County,177.0
03826,East Hampstead,NH,Rockingham County,177.0
03827,East Kingston,NH,Rockingham County,177.0
03830,East Wakefield,NH,Carroll County,165.5
03832,Eaton Center,NH,Carroll County,165.5
03882,Effingham,NH,Carroll County,165.5
03233,Elkins,NH,Merrimack County,165.5
03748,Enfield,NH,Grafton County,165.5
03749,Enfield Center,NH,Grafton County,165.5
03042,Epping,NH,Rockingham County,177.0
03234,Epsom,NH,Merrimack County,165.5
03579,Errol,NH,Coos County,165.5
03750,Etna,NH,Grafton County,165.5
03833,Exeter,NH,Rockingham County,177.0
03835,Farmington,NH,Strafford County,177.0
03447,Fitzwilliam,NH,Cheshire County,165.5
03043,Francestown,NH,Hillsborough County,284.5
03580,Franconia,NH,Grafton County,165.5
03235,Franklin,NH,Merrimack County,165.5
03836,Freedom,NH,Carroll County,165.5
03044,Fremont,NH,Rockingham County,177.0
03751,Georges Mills,NH,Sullivan County,162.5
03448,Gilsum,NH,Cheshire County,165.5
03838,Glen,NH,Carroll County,165.5
03238,Glencliff,NH,Grafton County,165.5
03045,Goffstown,NH,Hillsborough County,284.5
03581,Gorham,NH,Coos County,165.5
03752,Goshen,NH,Sullivan County,162.5
03240,Grafton,NH,Grafton County,165.5
03753,Grantham,NH,Sullivan County,162.5
03047,Greenfield,NH,Hillsborough County,284.5
03840,Greenland,NH,Rockingham County,177.0
03048,Greenville,NH,Hillsborough County,284.5
03582,Groveton,NH,Coos County,165.5
03754,Guild,NH,Sullivan County,162.5
03841,Hampstead,NH,Rockingham County,177.0
03842,Hampton,NH,Rockingham County,177.0
03843,Hampton,NH,Rockingham County,177.0
03844,Hampton Falls,NH,Rockingham County,177.0
03449,Hancock,NH,Hillsborough County,284.5
03755,Hanover,NH,Grafton County,165.5
03450,Harrisville,NH,Cheshire County,165.5
03765,Haverhill,NH,Grafton County,165.5
03241,Hebron,NH,Grafton County,165.5
03242,Henniker,NH,Merrimack County,165.5
03243,Hill,NH,Merrimack County,165.5
03244,Hillsborough,NH,Hillsborough County,284.5
03451,Hinsdale,NH,Cheshire County,165.5
03245,Holderness,NH,Grafton County,165.5
03049,Hollis,NH,Hillsborough County,284.5
03106,Hooksett,NH,Merrimack County,165.5
03051,Hudson,NH,Hillsborough County,284.5
03845,Intervale,NH,Carroll County,165.5
03846,Jackson,NH,Carroll County,165.5
03452,Jaffrey,NH,Cheshire County,165.5
03583,Jefferson,NH,Coos County,165.5
03847,Kearsarge,NH,Carroll County,165.5
03431,Keene,NH,Cheshire County,165.5
03435,Keene,NH,Cheshire County,165.5
03848,Kingston,NH,Rockingham County,177.0
03584,Lancaster,NH,Coos County,165.5
03756,Lebanon,NH,Grafton County,165.5
03766,Lebanon,NH,Grafton County,165.5
03861,Lee,NH,Strafford County,177.0
03605,Lempster,NH,Sullivan County,162.5
03251,Lincoln,NH,Grafton County,165.5
03585,Lisbon,NH,Grafton County,165.5
03052,Litchfield,NH,Hillsborough County,284.5
03561,Littleton,NH,Grafton County,165.5
03053,Londonderry,NH,Rockingham County,177.0
03307,Loudon,NH,Merrimack County,165.5
03768,Lyme,NH,Grafton County,165.5
03769,Lyme Center,NH,Grafton County,165.5
03082,Lyndeborough,NH,Hillsborough County,284.5
03823,Madbury,NH,Strafford County,177.0
