zip,city,state,county,payout
87101,Albuquerque,NM,Bernalillo County,201.0
87102,Albuquerque,NM,Bernalillo County,201.0
87103,Albuquerque,NM,Bernalillo County,201.0
87104,Albuquerque,NM,Bernalillo County,201.0
87105,Albuquerque,NM,Bernalillo County,201.0
87106,Albuquerque,NM,Bernalillo County,201.0
87107,Albuquerque,NM,Bernalillo County,201.0
87108,Albuquerque,NM,Bernalillo County,201.0
87109,Albuquerque,NM,Bernalillo County,201.0
87110,Albuquerque,NM,Bernalillo County,201.0
87111,Albuquerque,NM,Bernalillo County,201.0
87112,Albuquerque,NM,Bernalillo County,201.0
87113,Albuquerque,NM,Bernalillo County,201.0
87114,Albuquerque,NM,Bernalillo County,201.0
87115,Albuquerque,NM,Bernalillo County,201.0
87116,Albuquerque,NM,Bernalillo County,201.0
87119,Albuquerque,NM,Bernalillo County,201.0
87120,Albuquerque,NM,Bernalillo County,201.0
87121,Albuquerque,NM,Bernalillo County,201.0
87122,Albuquerque,NM,Bernalillo County,201.0
87123,Albuquerque,NM,Bernalillo County,201.0
87125,Albuquerque,NM,Bernalillo County,201.0
87131,Albuquerque,NM,Bernalillo County,201.0
87151,Albuquerque,NM,Bernalillo County,201.0
87153,Albuquerque,NM,Bernalillo County,201.0
87154,Albuquerque,NM,Bernalillo County,201.0
87158,Albuquerque,NM,Bernalillo County,201.0
87176,Albuquerque,NM,Bernalillo County,201.0
87181,Albuquerque,NM,Bernalillo County,201.0
87184,Albuquerque,NM,Bernalillo County,201.0
87185,Albuquerque,NM,Bernalillo County,201.0
87187,Albuquerque,NM,Bernalillo County,201.0
87190,Albuquerque,NM,Bernalillo County,201.0
87191,Albuquerque,NM,Bernalillo County,201.0
87192,Albuquerque,NM,Bernalillo County,201.0
87193,Albuquerque,NM,Bernalillo County,201.0
87194,Albuquerque,NM,Bernalillo County,201.0
87195,Albuquerque,NM,Bernalillo County,201.0
87196,Albuquerque,NM,Bernalillo County,201.0
87197,Albuquerque,NM,Bernalillo County,201.0
87198,Albuquerque,NM,Bernalillo County,201.0
87199,Albuquerque,NM,Bernalillo County,201.0
87001,Algodones,NM,Sandoval County,201.0
88312,Alto,NM,Lincoln County,165.5
88021,Anthony,NM,Dona Ana County,165.5
88210,Artesia,NM,Eddy County,165.5
88211,Artesia,NM,Eddy County,165.5
88024,Berino,NM,Dona Ana County,165.5
87004,Bernalillo,NM,Sandoval County,201.0
88316,Capitan,NM,Lincoln County,165.5
88220,Carlsbad,NM,Eddy County,165.5
88221,Carlsbad,NM,Eddy County,165.5
88301,Carrizozo,NM,Lincoln County,165.5
87008,Cedar Crest,NM,Bernalillo County,201.0
87010,Cerrillos,NM,Santa Fe County,201.0
88027,Chamberino,NM,Dona Ana County,165.5
87011,Claunch,NM,Lincoln County,162.5
87083,Cochiti Lake,NM,Sandoval County,201.0
87072,Cochiti Pueblo,NM,Sandoval County,201.0
88318,Corona,NM,Lincoln County,165.5
87048,Corrales,NM,Sandoval County,201.0
87018,Counselor,NM,Sandoval County,201.0
87013,Cuba,NM,Sandoval County,201.0
88230,Dexter,NM,Chaves County,165.5
88032,Dona Ana,NM,Dona Ana County,165.5
87015,Edgewood,NM,Santa Fe County,201.0
88033,Fairacres,NM,Dona Ana County,165.5
88323,Fort Stanton,NM,Lincoln County,165.5
87936,Garfield,NM,Dona Ana County,165.5
88324,Glencoe,NM,Lincoln County,165.5
87535,Glorieta,NM,Santa Fe County,201.0
88232,Hagerman,NM,Chaves County,165.5
87937,Hatch,NM,Dona Ana County,165.5
88336,Hondo,NM,Lincoln County,165.5
88250,Hope,NM,Eddy County,165.5
87022,Isleta,NM,Bernalillo County,201.0
87024,Jemez Pueblo,NM,Sandoval County,201.0
87025,Jemez Springs,NM,Sandoval County,201.0
87117,Kirtland Afb,NM,Bernalillo County,201.0
87027,La Jara,NM,Sandoval County,201.0
88044,La Mesa,NM,Dona Ana County,165.5
88253,Lake Arthur,NM,Chaves County,165.5
88254,Lakewood,NM,Eddy County,165.5
87540,Lamy,NM,Santa Fe County,201.0
88001,Las Cruces,NM,Dona Ana County,165.5
88003,Las Cruces,NM,Dona Ana County,165.5
88004,Las Cruces,NM,Dona Ana County,165.5
88005,Las Cruces,NM,Dona Ana County,165.5
88006,Las Cruces,NM,Dona Ana County,165.5
88007,Las Cruces,NM,Dona Ana County,165.5
88011,Las Cruces,NM,Dona Ana County,165.5
88012,Las Cruces,NM,Dona Ana County,165.5
88013,Las Cruces,NM,Dona Ana County,165.5
88338,Lincoln,NM,Lincoln County,165.5
88255,Loco Hills,NM,Eddy County,165.5
88256,Loving,NM,Eddy County,165.5
88263,Malaga,NM,Eddy County,165.5
88046,Mesilla,NM,Dona Ana County,165.5
88047,Mesilla Park,NM,Dona Ana County,165.5
88048,Mesquite,NM,Dona Ana County,165.5
88341,Nogal,NM,Lincoln County,165.5
88052,Organ,NM,Dona Ana County,165.5
87041,Pena Blanca,NM,Sandoval County,201.0
88343,Picacho,NM,Lincoln County,165.5
87043,Placitas,NM,Sandoval County,201.0
87044,Ponderosa,NM,Sandoval County,201.0
88054,Radium Springs,NM,Dona Ana County,165.5
87046,Regina,NM,Sandoval County,201.0
87940,Rincon,NM,Dona Ana County,165.5
87124,Rio Rancho,NM,Sandoval County,201.0
87144,Rio Rancho,NM,Sandoval County,201.0
87174,Rio Rancho,NM,Sandoval County,201.0
88201,Roswell,NM,Chaves County,165.5
88202,Roswell,NM,Chaves County,165.5
88203,Roswell,NM,Chaves County,165.5
88345,Ruidoso,NM,Lincoln County,165.5
88355,Ruidoso,NM,Lincoln County,165.5
88346,Ruidoso Downs,NM,Lincoln County,165.5
87941,Salem,NM,Dona Ana County,165.5
88058,San Miguel,NM,Dona Ana County,165.5
88348,San Patricio,NM,Lincoln County,165.5
87053,San Ysidro,NM,Sandoval County,201.0
87047,Sandia Park,NM,Bernalillo County,201.0
87567,Santa Cruz,NM,Santa Fe County,201.0
87501,Santa Fe,NM,Santa Fe County,201.0
87502,Santa Fe,NM,Santa Fe County,201.0
87503,Santa Fe,NM,Santa Fe County,201.0
