zip,city,state,county,payout
45101,Aberdeen,OH,Brown County,165.5
45810,Ada,OH,Hardin County,165.5
43802,Adamsville,OH,Muskingum County,165.5
45001,Addyston,OH,Hamilton County,224.0
43101,Adelphi,OH,Ross County,165.5
43901,Adena,OH,Jefferson County,165.5
44301,Akron,OH,Summit County,213.0
44302,Akron,OH,Summit County,213.0
44303,Akron,OH,Summit County,213.0
44304,Akron,OH,Summit County,213.0
44305,Akron,OH,Summit County,213.0
44306,Akron,OH,Summit County,213.0
44307,Akron,OH,Summit County,213.0
44308,Akron,OH,Summit County,213.0
44309,Akron,OH,Summit County,213.0
44310,Akron,OH,Summit County,213.0
44311,Akron,OH,Summit County,213.0
44312,Akron,OH,Summit County,213.0
44313,Akron,OH,Summit County,213.0
44314,Akron,OH,Summit County,213.0
44315,Akron,OH,Summit County,213.0
44316,Akron,OH,Summit County,213.0
44317,Akron,OH,Summit County,213.0
44319,Akron,OH,Summit County,213.0
44320,Akron,OH,Summit County,213.0
44321,Akron,OH,Summit County,213.0
44325,Akron,OH,Summit County,213.0
44326,Akron,OH,Summit County,213.0
44328,Akron,OH,Summit County,213.0
44333,Akron,OH,Summit County,213.0
44372,Akron,OH,Summit County,213.0
44396,Akron,OH,Summit County,213.0
44398,Akron,OH,Summit County,213.0
45710,Albany,OH,Athens County,165.5
43001,Alexandria,OH,Licking County,189.0
45812,Alger,OH,Hardin County,165.5
43902,Alledonia,OH,Belmont County,165.5
44601,Alliance,OH,Stark County,189.0
45301,Alpha,OH,Greene County,165.5
44802,Alvada,OH,Seneca County,165.5
43501,Alvordton,OH,Williams County,165.5
43102,Amanda,OH,Fairfield County,201.0
45102,Amelia,OH,Clermont County,224.0
45711,Amesville,OH,Athens County,165.5
44001,Amherst,OH,Lorain County,201.0
43002,Amlin,OH,Franklin County,292.0
43903,Amsterdam,OH,Jefferson County,174.0
44003,Andover,OH,Ashtabula County,177.0
45302,Anna,OH,Shelby County,177.0
45303,Ansonia,OH,Darke County,165.5
45813,Antwerp,OH,Paulding County,165.5
44606,Apple Creek,OH,Wayne County,177.0
44804,Arcadia,OH,Hancock County,165.5
45304,Arcanum,OH,Darke County,165.5
43502,Archbold,OH,Fulton County,165.5
45814,Arlington,OH,Hancock County,165.5
44805,Ashland,OH,Ashland County,189.0
43003,Ashley,OH,Delaware County,309.0
44004,Ashtabula,OH,Ashtabula County,177.0
44005,Ashtabula,OH,Ashtabula County,177.0
43103,Ashville,OH,Pickaway County,189.0
45701,Athens,OH,Athens County,165.5
44807,Attica,OH,Seneca County,165.5
