zip,city,state,county,payout
23001,Achilles,VA,Gloucester County,162.5
20105,Aldie,VA,Loudoun County,358.5
22301,Alexandria,VA,Alexandria city,213.0
22302,Alexandria,VA,Alexandria city,213.0
22303,Alexandria,VA,Fairfax County,347.5
22304,Alexandria,VA,Alexandria city,213.0
22305,Alexandria,VA,Alexandria city,213.0
22306,Alexandria,VA,Fairfax County,347.5
22307,Alexandria,VA,Fairfax County,347.5
22308,Alexandria,VA,Fairfax County,347.5
22309,Alexandria,VA,Fairfax County,347.5
22310,Alexandria,VA,Fairfax County,347.5
22311,Alexandria,VA,Alexandria city,213.0
22312,Alexandria,VA,Fairfax County,347.5
22313,Alexandria,VA,Alexandria city,213.0
22314,Alexandria,VA,Alexandria city,213.0
22315,Alexandria,VA,Fairfax County,347.5
22320,Alexandria,VA,Alexandria city,213.0
22331,Alexandria,VA,Alexandria city,213.0
22332,Alexandria,VA,Alexandria city,213.0
22333,Alexandria,VA,Alexandria city,213.0
22334,Alexandria,VA,Alexandria city,213.0
22350,Alexandria,VA,Virginia Statewide,213.0
20106,Amissville,VA,Culpeper County,177.0
22003,Annandale,VA,Fairfax County,347.5
24053,Ararat,VA,Patrick County,162.5
23003,Ark,VA,Gloucester County,162.5
22201,Arlington,VA,Arlington County,348.5
22202,Arlington,VA,Arlington County,348.5
22203,Arlington,VA,Arlington County,348.5
22204,Arlington,VA,Arlington County,348.5
22205,Arlington,VA,Arlington County,348.5
22206,Arlington,VA,Arlington County,348.5
22207,Arlington,VA,Arlington County,348.5
22209,Arlington,VA,Arlington County,348.5
22210,Arlington,VA,Arlington County,348.5
22212,Arlington,VA,Arlington County,348.5
22213,Arlington,VA,Arlington County,348.5
22214,Arlington,VA,Arlington County,348.5
22215,Arlington,VA,Arlington County,348.5
22216,Arlington,VA,Arlington County,348.5
22217,Arlington,VA,Arlington County,348.5
22219,Arlington,VA,Arlington County,348.5
22225,Arlington,VA,Arlington County,348.5
22226,Arlington,VA,Arlington County,348.5
22227,Arlington,VA,Arlington County,348.5
22230,Arlington,VA,Arlington County,348.5
22240,Arlington,VA,Arlington County,348.5
22241,Arlington,VA,Arlington County,348.5
22242,Arlington,VA,Arlington County,348.5
22243,Arlington,VA,Arlington County,348.5
22244,Arlington,VA,Arlington County,348.5
22245,Arlington,VA,Arlington County,348.5
22246,Arlington,VA,Arlington County,348.5
22709,Aroda,VA,Madison County,162.5
20146,Ashburn,VA,Loudoun County,358.5
20147,Ashburn,VA,Loudoun County,358.5
20148,Ashburn,VA,Loudoun County,358.5
20149,Ashburn,VA,Loudoun County,358.5
23005,Ashland,VA,Hanover County,177.0
24054,Axton,VA,Henry County,165.5
22711,Banco,VA,Madison County,162.5
24055,Bassett,VA,Henry County,165.5
23304,Battery Park,VA,Isle Of Wight County,165.5
22712,Bealeton,VA,Fauquier County,253.5
23014,Beaumont,VA,Powhatan County,177.0
23018,Bena,VA,Gloucester County,162.5
23021,Bohannon,VA,Mathews County,165.5
22713,Boston,VA,Culpeper County,177.0
22714,Brandy Station,VA,Culpeper County,177.0
22715,Brightwood,VA,Madison County,162.5
20136,Bristow,VA,Prince William County,342.0
20137,Broad Run,VA,Fauquier County,253.5
23024,Bumpass,VA,Louisa County,165.5
22009,Burke,VA,Fairfax County,347.5
22015,Burke,VA,Fairfax County,347.5
22433,Burr Hill,VA,Orange County,225.0
20138,Calverton,VA,Fauquier County,253.5
23025,Cardinal,VA,Mathews County,165.5
23314,Carrollton,VA,Isle Of Wight County,165.5
23315,Carrsville,VA,Isle Of Wight County,165.5
23830,Carson,VA,Prince George County,177.0
20139,Casanova,VA,Fauquier County,253.5
22716,Castleton,VA,Rappahannock County,162.5
20143,Catharpin,VA,Prince William County,342.0
20119,Catlett,VA,Fauquier County,253.5
20120,Centreville,VA,Fairfax County,347.5
20121,Centreville,VA,Fairfax County,347.5
20122,Centreville,VA,Fairfax County,347.5
20151,Chantilly,VA,Fairfax County,347.5
20152,Chantilly,VA,Loudoun County,358.5
20153,Chantilly,VA,Fairfax County,347.5
23320,Chesapeake,VA,Chesapeake city,165.5
23321,Chesapeake,VA,Chesapeake city,165.5
23322,Chesapeake,VA,Chesapeake city,165.5
23323,Chesapeake,VA,Chesapeake city,165.5
23324,Chesapeake,VA,Chesapeake city,165.5
23325,Chesapeake,VA,Chesapeake city,165.5
23326,Chesapeake,VA,Chesapeake city,165.5
23327,Chesapeake,VA,Chesapeake city,165.5
23328,Chesapeake,VA,Chesapeake city,165.5
22623,Chester Gap,VA,Rappahannock County,162.5
23031,Christchurch,VA,Middlesex County,165.5
23032,Church View,VA,Middlesex County,165.5
23899,Claremont,VA,Surry County,162.5
24076,Claudville,VA,Patrick County,162.5
20124,Clifton,VA,Fairfax County,347.5
23035,Cobbs Creek,VA,Mathews County,165.5
24078,Collinsville,VA,Henry County,165.5
23834,Colonial Heights,VA,Colonial Heights City County,165.5
23038,Columbia,VA,Goochland County,177.0
24082,Critz,VA,Patrick County,162.5
23039,Crozier,VA,Goochland County,177.0
22701,Culpeper,VA,Culpeper County,177.0
20144,Delaplane,VA,Fauquier County,253.5
23043,Deltaville,VA,Middlesex County,165.5
23839,Dendron,VA,Surry County,162.5
20598,Dhs,VA,Fairfax County,358.5
23045,Diggs,VA,Mathews County,165.5
23842,Disputanta,VA,Prince George County,162.5
23047,Doswell,VA,Hanover County,177.0
20101,Dulles,VA,Loudoun County,358.5
20102,Dulles,VA,Loudoun County,358.5
20103,Dulles,VA,Loudoun County,358.5
20104,Dulles,VA,Loudoun County,358.5
20189,Dulles,VA,Loudoun County,358.5
22025,Dumfries,VA,Prince William County,342.0
22026,Dumfries,VA,Prince William County,342.0
22027,Dunn Loring,VA,Fairfax County,347.5
23050,Dutton,VA,Mathews County,165.5
23846,Elberon,VA,Surry County,162.5
22718,Elkwood,VA,Culpeper County,177.0
22719,Etlan,VA,Madison County,162.5
22030,Fairfax,VA,Fairfax County,347.5
22031,Fairfax,VA,Fairfax County,347.5
22032,Fairfax,VA,Fairfax County,347.5
22033,Fairfax,VA,Fairfax County,347.5
22034,Fairfax,VA,Fairfax City County,347.5
22035,Fairfax,VA,Fairfax County,347.5
22036,Fairfax,VA,Fairfax City County,347.5
22037,Fairfax,VA,Fairfax City County,347.5
22038,Fairfax,VA,Fairfax City County,219.5
22039,Fairfax Station,VA,Fairfax County,347.5
22040,Falls Church,VA,Falls Church City County,213.0
22041,Falls Church,VA,Fairfax County,347.5
22042,Falls Church,VA,Fairfax County,347.5
22043,Falls Church,VA,Fairfax County,347.5
22044,Falls Church,VA,Fairfax County,347.5
22046,Falls Church,VA,Falls Church City County,213.0
22460,Farnham,VA,Richmond County,165.5
24089,Fieldale,VA,Henry County,165.5
22627,Flint Hill,VA,Rappahannock County,162.5
22060,Fort Belvoir,VA,Fairfax County,347.5
23604,Fort Eustis,VA,Newport News city,165.5
23801,Fort Lee,VA,Prince George County,162.5
23651,Fort Monroe,VA,Hampton city,165.5
22211,Fort Myer,VA,Arlington County,348.5
23056,Foster,VA,Mathews County,165.5
22403,Fredericksburg,VA,Fredericksburg City County,286.5
22412,Fredericksburg,VA,Fredericksburg City County,286.5
20155,Gainesville,VA,Prince William County,342.0
20156,Gainesville,VA,Prince William County,342.0
22463,Garrisonville,VA,Stafford County,286.5
23061,Gloucester,VA,Gloucester County,162.5
23062,Gloucester Point,VA,Gloucester County,162.5
22720,Goldvein,VA,Fauquier County,253.5
23063,Goochland,VA,Goochland County,177.0
22066,Great Falls,VA,Fairfax County,347.5
22067,Greenway,VA,Fairfax County,347.5
23064,Grimstead,VA,Mathews County,165.5
23065,Gum Spring,VA,Goochland County,177.0
23066,Gwynn,VA,Mathews County,165.5
23067,Hadensville,VA,Goochland County,177.0
23068,Hallieford,VA,Mathews County,165.5
20158,Hamilton,VA,Loudoun County,358.5
20159,Hamilton,VA,Loudoun County,358.5
23630,Hampton,VA,Hampton city,165.5
23661,Hampton,VA,Hampton city,165.5
23663,Hampton,VA,Hampton city,165.5
23664,Hampton,VA,Hampton city,165.5
23665,Hampton,VA,York County,165.5
23666,Hampton,VA,Hampton city,165.5
23667,Hampton,VA,Hampton city,165.5
23668,Hampton,VA,Hampton city,165.5
23669,Hampton,VA,Hampton city,165.5
23670,Hampton,VA,Hampton city,165.5
23681,Hampton,VA,Hampton city,165.5
23069,Hanover,VA,Hanover County,177.0
23070,Hardyville,VA,Middlesex County,165.5
23071,Hartfield,VA,Middlesex County,165.5
22471,Hartwood,VA,Stafford County,286.5
23072,Hayes,VA,Gloucester County,162.5
20168,Haymarket,VA,Prince William County,342.0
20169,Haymarket,VA,Prince William County,342.0
22472,Haynesville,VA,Richmond County,165.5
22722,Haywood,VA,Madison County,162.5
23273,Henrico,VA,Henrico County,177.0
20170,Herndon,VA,Fairfax County,347.5
20171,Herndon,VA,Fairfax County,347.5
20172,Herndon,VA,Fairfax County,347.5
20192,Herndon,VA,Fairfax County,347.5
22095,Herndon,VA,Fairfax County,347.5
22723,Hood,VA,Madison County,162.5
23076,Hudgins,VA,Mathews County,165.5
22639,Hume,VA,Fauquier County,253.5
22640,Huntly,VA,Rappahannock County,162.5
22480,Irvington,VA,Lancaster County,165.5
23397,Isle Of Wight,VA,Isle Of Wight County,165.5
23079,Jamaica,VA,Middlesex County,165.5
23081,Jamestown,VA,James City County,165.5
22724,Jeffersonton,VA,Culpeper County,177.0
23694,Lackey,VA,York County,165.5
22503,Lancaster,VA,Lancaster County,165.5
20175,Leesburg,VA,Loudoun County,358.5
20176,Leesburg,VA,Loudoun County,358.5
20177,Leesburg,VA,Loudoun County,358.5
20178,Leesburg,VA,Loudoun County,358.5
22725,Leon,VA,Madison County,162.5
23090,Lightfoot,VA,James City County,165.5
22726,Lignum,VA,Culpeper County,177.0
20160,Lincoln,VA,Loudoun County,358.5
22507,Lively,VA,Lancaster County,165.5
22948,Locust Dale,VA,Madison County,162.5
22508,Locust Grove,VA,Orange County,225.0
23092,Locust Hill,VA,Middlesex County,165.5
22079,Lorton,VA,Fairfax County,347.5
22199,Lorton,VA,Fairfax County,347.5
23093,Louisa,VA,Louisa County,165.5
20180,Lovettsville,VA,Loudoun County,358.5
22727,Madison,VA,Madison County,162.5
23102,Maidens,VA,Goochland County,177.0
23103,Manakin Sabot,VA,Goochland County,177.0
20108,Manassas,VA,Manassas City County,213.0
20109,Manassas,VA,Prince William County,213.0
20110,Manassas,VA,Manassas City County,213.0
20111,Manassas,VA,Prince William County,209.0
20112,Manassas,VA,Prince William County,342.0
20113,Manassas,VA,Manassas City County,209.0
22643,Markham,VA,Fauquier County,253.5
20115,Marshall,VA,Fauquier County,253.5
20116,Marshall,VA,Fauquier County,253.5
24112,Martinsville,VA,Henry County,165.5
23107,Maryus,VA,Gloucester County,162.5
23109,Mathews,VA,Mathews County,165.5
22106,Mc Lean,VA,Fairfax County,347.5
22107,Mc Lean,VA,Fairfax County,347.5
22108,Mc Lean,VA,Fairfax County,347.5
22109,Mc Lean,VA,Fairfax County,347.5
22101,McLean,VA,Fairfax County,347.5
22102,McLean,VA,Fairfax County,347.5
24120,Meadows Of Dan,VA,Patrick County,162.5
23111,Mechanicsville,VA,Hanover County,177.0
23116,Mechanicsville,VA,Hanover County,177.0
22081,Merrifield,VA,Fairfax County,347.5
22082,Merrifield,VA,Fairfax County,347.5
22116,Merrifield,VA,Fairfax County,347.5
22118,Merrifield,VA,Fairfax County,347.5
22119,Merrifield,VA,Fairfax County,347.5
22513,Merry Point,VA,Lancaster County,165.5
20117,Middleburg,VA,Loudoun County,358.5
20118,Middleburg,VA,Loudoun County,358.5
22728,Midland,VA,Fauquier County,253.5
23117,Mineral,VA,Louisa County,165.5
22729,Mitchells,VA,Culpeper County,177.0
22517,Mollusk,VA,Lancaster County,165.5
23192,Montpelier,VA,Hanover County,177.0
22957,Montpelier Station,VA,Orange County,225.0
23119,Moon,VA,Mathews County,165.5
22523,Morattico,VA,Lancaster County,165.5
22121,Mount Vernon,VA,Fairfax County,347.5
23125,New Point,VA,Mathews County,165.5
22122,Newington,VA,Fairfax County,347.5
23601,Newport News,VA,Newport News city,165.5
23602,Newport News,VA,Newport News city,165.5
23603,Newport News,VA,Newport News city,165.5
23605,Newport News,VA,Newport News city,165.5
23606,Newport News,VA,Newport News city,165.5
23607,Newport News,VA,Newport News city,165.5
23608,Newport News,VA,Newport News city,165.5
23609,Newport News,VA,Newport News city,165.5
23612,Newport News,VA,Newport News city,165.5
23628,Newport News,VA,Newport News city,165.5
20181,Nokesville,VA,Prince William County,342.0
20182,Nokesville,VA,Prince William County,342.0
23501,Norfolk,VA,Norfolk city,165.5
23502,Norfolk,VA,Norfolk city,165.5
23503,Norfolk,VA,Norfolk city,165.5
23504,Norfolk,VA,Norfolk city,165.5
23505,Norfolk,VA,Norfolk city,165.5
23506,Norfolk,VA,Norfolk city,165.5
23507,Norfolk,VA,Norfolk city,165.5
23508,Norfolk,VA,Norfolk city,165.5
23509,Norfolk,VA,Norfolk city,165.5
23510,Norfolk,VA,Norfolk city,165.5
23511,Norfolk,VA,Norfolk city,165.5
23513,Norfolk,VA,Norfolk city,165.5
23514,Norfolk,VA,Norfolk city,165.5
23515,Norfolk,VA,Norfolk city,165.5
23517,Norfolk,VA,Norfolk city,165.5
23518,Norfolk,VA,Norfolk city,165.5
23519,Norfolk,VA,Norfolk city,165.5
23523,Norfolk,VA,Norfolk city,165.5
23529,Norfolk,VA,Norfolk city,165.5
23541,Norfolk,VA,Norfolk city,165.5
23551,Norfolk,VA,Norfolk city,165.5
23127,Norge,VA,James City County,165.5
23128,North,VA,Mathews County,165.5
22528,Nuttsville,VA,Lancaster County,165.5
22730,Oakpark,VA,Madison County,162.5
22124,Oakton,VA,Fairfax County,347.5
22125,Occoquan,VA,Prince William County,342.0
23129,Oilville,VA,Goochland County,177.0
23130,Onemo,VA,Mathews County,165.5
23131,Ordinary,VA,Gloucester County,162.5
20128,Orlean,VA,Fauquier County,253.5
20129,Paeonian Springs,VA,Loudoun County,358.5
24133,Patrick Springs,VA,Patrick County,162.5
20131,Philomont,VA,Loudoun County,358.5
23662,Poquoson,VA,Poquoson City County,162.5
23138,Port Haywood,VA,Mathews County,165.5
23701,Portsmouth,VA,Portsmouth city,165.5
23702,Portsmouth,VA,Portsmouth city,165.5
23703,Portsmouth,VA,Portsmouth city,165.5
23704,Portsmouth,VA,Portsmouth city,165.5
23705,Portsmouth,VA,Portsmouth city,165.5
23707,Portsmouth,VA,Portsmouth city,165.5
23708,Portsmouth,VA,Portsmouth city,165.5
23709,Portsmouth,VA,Portsmouth city,165.5
23139,Powhatan,VA,Powhatan County,165.5
22731,Pratts,VA,Madison County,162.5
23875,Prince George,VA,Prince George County,162.5
20132,Purcellville,VA,Loudoun County,358.5
20134,Purcellville,VA,Loudoun County,358.5
22134,Quantico,VA,Prince William County,342.0
22135,Quantico,VA,Prince William County,286.5
22732,Radiant,VA,Madison County,162.5
22733,Rapidan,VA,Culpeper County,177.0
20140,Rectortown,VA,Fauquier County,253.5
22734,Remington,VA,Fauquier County,253.5
23424,Rescue,VA,Isle Of Wight County,165.5
20190,Reston,VA,Fairfax County,347.5
20191,Reston,VA,Fairfax County,347.5
20194,Reston,VA,Fairfax County,347.5
20195,Reston,VA,Fairfax County,347.5
20196,Reston,VA,Fairfax County,347.5
22096,Reston,VA,Fairfax County,347.5
22735,Reva,VA,Culpeper County,177.0
22542,Rhoadesville,VA,Orange County,225.0
22736,Richardsville,VA,Culpeper County,177.0
23218,Richmond,VA,Richmond city,177.0
23232,Richmond,VA,Richmond city,177.0
23241,Richmond,VA,Richmond city,177.0
23249,Richmond,VA,Richmond city,177.0
23260,Richmond,VA,Richmond city,177.0
23261,Richmond,VA,Richmond city,177.0
23269,Richmond,VA,Richmond city,177.0
23274,Richmond,VA,Richmond city,177.0
23276,Richmond,VA,Richmond city,177.0
23278,Richmond,VA,Richmond city,177.0
23279,Richmond,VA,Richmond city,177.0
23282,Richmond,VA,Richmond city,177.0
23284,Richmond,VA,Richmond city,177.0
23285,Richmond,VA,Richmond city,177.0
23286,Richmond,VA,Richmond city,177.0
23290,Richmond,VA,Richmond city,177.0
23291,Richmond,VA,Richmond city,177.0
23292,Richmond,VA,Richmond city,177.0
23293,Richmond,VA,Richmond city,177.0
23295,Richmond,VA,Richmond city,177.0
23298,Richmond,VA,Richmond city,177.0
24148,Ridgeway,VA,Henry County,165.5
22737,Rixeyville,VA,Culpeper County,177.0
22738,Rochelle,VA,Madison County,162.5
23146,Rockville,VA,Hanover County,177.0
20141,Round Hill,VA,Loudoun County,358.5
20142,Round Hill,VA,Loudoun County,358.5
22545,Ruby,VA,Stafford County,286.5
23149,Saluda,VA,Middlesex County,165.5
23153,Sandy Hook,VA,Goochland County,177.0
23154,Schley,VA,Gloucester County,162.5
23696,Seaford,VA,York County,165.5
23155,Severn,VA,Gloucester County,162.5
22548,Sharps,VA,Richmond County,165.5
23430,Smithfield,VA,Isle Of Wight County,165.5
23431,Smithfield,VA,Isle Of Wight County,165.5
22972,Somerset,VA,Orange County,225.0
22739,Somerville,VA,Fauquier County,253.5
24165,Spencer,VA,Henry County,165.5
22740,Sperryville,VA,Rappahannock County,162.5
23881,Spring Grove,VA,Surry County,162.5
22150,Springfield,VA,Fairfax County,347.5
22151,Springfield,VA,Fairfax County,347.5
22152,Springfield,VA,Fairfax County,347.5
22153,Springfield,VA,Fairfax County,347.5
22156,Springfield,VA,Fairfax County,347.5
22158,Springfield,VA,Fairfax County,347.5
22159,Springfield,VA,Fairfax County,347.5
22160,Springfield,VA,Fairfax County,347.5
22161,Springfield,VA,Fairfax County,347.5
22554,Stafford,VA,Stafford County,286.5
22555,Stafford,VA,Stafford County,286.5
22556,Stafford,VA,Stafford County,286.5
24168,Stanleytown,VA,Henry County,165.5
23160,State Farm,VA,Powhatan County,165.5
20163,Sterling,VA,Loudoun County,358.5
20164,Sterling,VA,Loudoun County,358.5
20165,Sterling,VA,Loudoun County,358.5
20166,Sterling,VA,Loudoun County,358.5
20167,Sterling,VA,Loudoun County,358.5
22741,Stevensburg,VA,Culpeper County,177.0
24171,Stuart,VA,Patrick County,162.5
23162,Studley,VA,Hanover County,177.0
22742,Sumerduck,VA,Fauquier County,253.5
23883,Surry,VA,Surry County,162.5
23163,Susan,VA,Mathews County,165.5
22743,Syria,VA,Madison County,162.5
20198,The Plains,VA,Fauquier County,253.5
23168,Toano,VA,James City County,165.5
23169,Topping,VA,Middlesex County,165.5
23170,Trevilians,VA,Louisa County,165.5
22172,Triangle,VA,Prince William County,342.0
22567,Unionville,VA,Orange County,225.0
20184,Upperville,VA,Fauquier County,253.5
20185,Upperville,VA,Fauquier County,253.5
23175,Urbanna,VA,Middlesex County,165.5
24177,Vesta,VA,Patrick County,162.5
22180,Vienna,VA,Fairfax County,347.5
22181,Vienna,VA,Fairfax County,347.5
22182,Vienna,VA,Fairfax County,347.5
22183,Vienna,VA,Fairfax County,347.5
22185,Vienna,VA,Fairfax County,347.5
22746,Viewtown,VA,Culpeper County,162.5
22570,Village,VA,Richmond County,165.5
23450,Virginia Beach,VA,Virginia Beach city,177.0
23451,Virginia Beach,VA,Virginia Beach city,177.0
23452,Virginia Beach,VA,Virginia Beach city,177.0
23453,Virginia Beach,VA,Virginia Beach city,177.0
23454,Virginia Beach,VA,Virginia Beach city,177.0
23455,Virginia Beach,VA,Virginia Beach city,177.0
23456,Virginia Beach,VA,Virginia Beach city,177.0
23457,Virginia Beach,VA,Virginia Beach city,177.0
23458,Virginia Beach,VA,Virginia Beach city,177.0
23459,Virginia Beach,VA,Virginia Beach city,177.0
23460,Virginia Beach,VA,Virginia Beach city,177.0
23461,Virginia Beach,VA,Virginia Beach city,177.0
23462,Virginia Beach,VA,Virginia Beach city,177.0
23463,Virginia Beach,VA,Virginia Beach city,177.0
23464,Virginia Beach,VA,Virginia Beach city,177.0
23465,Virginia Beach,VA,Virginia Beach city,177.0
