zip,city,state,county,payout
25606,Accoville,WV,Logan County,165.5
26519,Albright,WV,Preston County,165.5
25002,Alloy,WV,Fayette County,165.5
25003,Alum Creek,WV,Lincoln County,143.0
25607,Amherstdale,WV,Logan County,165.5
25812,Ansted,WV,Fayette County,165.5
25007,Arnett,WV,Raleigh County,165.5
26520,Arthurdale,WV,Preston County,165.5
25008,Artie,WV,Raleigh County,165.5
25009,Ashford,WV,Boone County,165.5
26705,Aurora,WV,Preston County,165.5
25011,Bancroft,WV,Putnam County,143.0
25504,Barboursville,WV,Cabell County,165.5
25813,Beaver,WV,Raleigh County,165.5
25801,Beckley,WV,Raleigh County,165.5
25802,Beckley,WV,Raleigh County,165.5
25015,Belle,WV,Kanawha County,143.0
26031,Benwood,WV,Marshall County,165.5
25505,Big Creek,WV,Logan County,165.5
26561,Big Run,WV,Wetzel County,162.5
25021,Bim,WV,Boone County,165.5
26521,Blacksville,WV,Monongalia County,165.5
25022,Blair,WV,Logan County,165.5
25024,Bloomingrose,WV,Boone County,165.5
25025,Blount,WV,Kanawha County,143.0
25026,Blue Creek,WV,Kanawha County,143.0
25028,Bob White,WV,Boone County,165.5
25817,Bolt,WV,Raleigh County,165.5
25031,Boomer,WV,Fayette County,165.5
25818,Bradley,WV,Raleigh County,165.5
26524,Bretz,WV,Preston County,165.5
26525,Bruceton Mills,WV,Preston County,165.5
25611,Bruno,WV,Logan County,165.5
25033,Buffalo,WV,Putnam County,143.0
26562,Burton,WV,Wetzel County,162.5
25035,Cabin Creek,WV,Kanawha County,143.0
26033,Cameron,WV,Marshall County,165.5
25036,Cannelton,WV,Fayette County,165.5
26527,Cassville,WV,Monongalia County,165.5
25039,Cedar Grove,WV,Kanawha County,143.0
25508,Chapmanville,WV,Logan County,165.5
25301,Charleston,WV,Kanawha County,143.0
25302,Charleston,WV,Kanawha County,143.0
25304,Charleston,WV,Kanawha County,143.0
25305,Charleston,WV,Kanawha County,143.0
25306,Charleston,WV,Kanawha County,143.0
25311,Charleston,WV,Kanawha County,143.0
25312,Charleston,WV,Kanawha County,143.0
25313,Charleston,WV,Kanawha County,143.0
25314,Charleston,WV,Kanawha County,143.0
25315,Charleston,WV,Kanawha County,143.0
25317,Charleston,WV,Kanawha County,143.0
25320,Charleston,WV,Kanawha County,143.0
25321,Charleston,WV,Kanawha County,143.0
25322,Charleston,WV,Kanawha County,143.0
25323,Charleston,WV,Kanawha County,143.0
25324,Charleston,WV,Kanawha County,143.0
25325,Charleston,WV,Kanawha County,143.0
25326,Charleston,WV,Kanawha County,143.0
