zip,city,state,county,payout
35440,Abernant,AL,Tuscaloosa County,41.5
35005,Adamsville,AL,Jefferson County,41.5
35006,Adger,AL,Jefferson County,41.5
35441,Akron,AL,Hale County,41.5
35007,Alabaster,AL,Shelby County,41.5
35114,Alabaster,AL,Shelby County,41.5
35950,Albertville,AL,Marshall County,41.5
35951,Albertville,AL,Marshall County,41.5
35010,Alexander City,AL,Tallapoosa County,41.5
35011,Alexander City,AL,Tallapoosa County,41.5
36250,Alexandria,AL,Calhoun County,41.5
35013,Allgood,AL,Blount County,41.5
35014,Alpine,AL,Talladega County,41.5
35015,Alton,AL,Jefferson County,41.5
35952,Altoona,AL,Etowah County,41.5
36201,Anniston,AL,Calhoun County,41.5
36202,Anniston,AL,Calhoun County,41.5
36204,Anniston,AL,Calhoun County,41.5
36205,Anniston,AL,Calhoun County,41.5
36206,Anniston,AL,Calhoun County,41.5
36207,Anniston,AL,Calhoun County,41.5
35016,Arab,AL,Marshall County,41.5
35739,Ardmore,AL,Limestone County,41.5
35953,Ashville,AL,St. Clair County,41.5
36502,Atmore,AL,Escambia County,41.5
35954,Attalla,AL,Etowah County,41.5
36830,Auburn,AL,Lee County,41.5
36831,Auburn,AL,Lee County,41.5
36832,Auburn,AL,Lee County,41.5
36849,Auburn University,AL,Lee County,41.5
36505,Axis,AL,Mobile County,41.5
35019,Baileyton,AL,Cullman County,41.5
36507,Bay Minette,AL,Baldwin County,41.5
36509,Bayou La Batre,AL,Mobile County,41.5
35546,Berry,AL,Fayette County,41.5
35020,Bessemer,AL,Jefferson County,41.5
35021,Bessemer,AL,Jefferson County,41.5
35022,Bessemer,AL,Jefferson County,41.5
35023,Bessemer,AL,Jefferson County,41.5
36006,Billingsley,AL,Autauga County,41.5
35201,Birmingham,AL,Jefferson County,41.5
35202,Birmingham,AL,Jefferson County,41.5
35203,Birmingham,AL,Jefferson County,41.5
35204,Birmingham,AL,Jefferson County,41.5
35205,Birmingham,AL,Jefferson County,41.5
35206,Birmingham,AL,Jefferson County,41.5
35207,Birmingham,AL,Jefferson County,41.5
35208,Birmingham,AL,Jefferson County,41.5
35209,Birmingham,AL,Jefferson County,41.5
35210,Birmingham,AL,Jefferson County,41.5
35211,Birmingham,AL,Jefferson County,41.5
35212,Birmingham,AL,Jefferson County,41.5
35213,Birmingham,AL,Jefferson County,41.5
35214,Birmingham,AL,Jefferson County,41.5
35215,Birmingham,AL,Jefferson County,41.5
35216,Birmingham,AL,Jefferson County,41.5
35217,Birmingham,AL,Jefferson County,41.5
35218,Birmingham,AL,Jefferson County,41.5
35219,Birmingham,AL,Jefferson County,41.5
35220,Birmingham,AL,Jefferson County,41.5
35221,Birmingham,AL,Jefferson County,41.5
35222,Birmingham,AL,Jefferson County,41.5
35223,Birmingham,AL,Jefferson County,41.5
35224,Birmingham,AL,Jefferson County,41.5
35226,Birmingham,AL,Jefferson County,41.5
35228,Birmingham,AL,Jefferson County,41.5
35229,Birmingham,AL,Jefferson County,41.5
35231,Birmingham,AL,Jefferson County,41.5
35232,Birmingham,AL,Jefferson County,41.5
35233,Birmingham,AL,Jefferson County,41.5
35234,Birmingham,AL,Jefferson County,41.5
35235,Birmingham,AL,Jefferson County,41.5
35236,Birmingham,AL,Jefferson County,41.5
35237,Birmingham,AL,Jefferson County,41.5
35238,Birmingham,AL,Jefferson County,41.5
35242,Birmingham,AL,Shelby County,41.5
35243,Birmingham,AL,Jefferson County,41.5
35244,Birmingham,AL,Jefferson County,41.5
35246,Birmingham,AL,Jefferson County,41.5
35249,Birmingham,AL,Jefferson County,41.5
35253,Birmingham,AL,Jefferson County,41.5
35254,Birmingham,AL,Jefferson County,41.5
35255,Birmingham,AL,Jefferson County,41.5
35259,Birmingham,AL,Jefferson County,41.5
35260,Birmingham,AL,Jefferson County,41.5
35261,Birmingham,AL,Jefferson County,41.5
35266,Birmingham,AL,Jefferson County,41.5
35270,Birmingham,AL,Alabama Statewide,41.5
35282,Birmingham,AL,Jefferson County,41.5
35283,Birmingham,AL,Jefferson County,41.5
35285,Birmingham,AL,Jefferson County,41.5
35287,Birmingham,AL,Jefferson County,41.5
35288,Birmingham,AL,Jefferson County,41.5
35290,Birmingham,AL,Jefferson County,41.5
35291,Birmingham,AL,Jefferson County,41.5
35292,Birmingham,AL,Jefferson County,41.5
