zip,city,state,county,payout
19001,Abington,PA,Montgomery County,123.0
19002,Ambler,PA,Montgomery County,123.0
18320,Analomink,PA,Monroe County,115.0
18403,Archbald,PA,Lackawanna County,120.5
19003,Ardmore,PA,Montgomery County,123.0
19014,Aston,PA,Delaware County,114.5
19310,Atglen,PA,Chester County,121.0
19407,Audubon,PA,Montgomery County,123.0
19311,Avondale,PA,Chester County,121.0
19004,Bala Cynwyd,PA,Montgomery County,123.0
18321,Bartonsville,PA,Monroe County,115.0
18405,Beach Lake,PA,Wayne County,115.0
18910,Bedminster,PA,Bucks County,125.5
19020,Bensalem,PA,Bucks County,125.5
19312,Berwyn,PA,Chester County,121.0
19421,Birchrunville,PA,Chester County,121.0
18610,Blakeslee,PA,Monroe County,115.0
18911,Blooming Glen,PA,Bucks County,125.5
19422,Blue Bell,PA,Montgomery County,123.0
19424,Blue Bell,PA,Montgomery County,123.0
19316,Brandamore,PA,Chester County,121.0
19405,Bridgeport,PA,Montgomery County,123.0
19007,Bristol,PA,Bucks County,125.5
18322,Brodheadsville,PA,Monroe County,115.0
19015,Brookhaven,PA,Delaware County,114.5
19008,Broomall,PA,Delaware County,114.5
19009,Bryn Athyn,PA,Montgomery County,123.0
19010,Bryn Mawr,PA,Delaware County,114.5
18323,Buck Hill Falls,PA,Monroe County,115.0
18912,Buckingham,PA,Bucks County,125.5
18324,Bushkill,PA,Pike County,109.5
18325,Canadensis,PA,Monroe County,115.0
18407,Carbondale,PA,Lackawanna County,120.5
18913,Carversville,PA,Bucks County,125.5
19423,Cedars,PA,Montgomery County,123.0
19317,Chadds Ford,PA,Delaware County,114.5
18914,Chalfont,PA,Bucks County,125.5
19318,Chatham,PA,Chester County,121.0
19012,Cheltenham,PA,Montgomery County,123.0
19013,Chester,PA,Delaware County,114.5
19016,Chester,PA,Delaware County,114.5
19017,Chester Heights,PA,Delaware County,114.5
19425,Chester Springs,PA,Chester County,121.0
19319,Cheyney,PA,Delaware County,114.5
18410,Chinchilla,PA,Lackawanna County,120.5
18411,Clarks Summit,PA,Lackawanna County,120.5
19018,Clifton Heights,PA,Delaware County,114.5
19320,Coatesville,PA,Chester County,121.0
19330,Cochranville,PA,Chester County,121.0
19426,Collegeville,PA,Montgomery County,123.0
18915,Colmar,PA,Montgomery County,123.0
19331,Concordville,PA,Delaware County,114.5
19339,Concordville,PA,Delaware County,114.5
19340,Concordville,PA,Delaware County,114.5
19428,Conshohocken,PA,Montgomery County,123.0
19429,Conshohocken,PA,Montgomery County,123.0
18036,Coopersburg,PA,Lehigh County,125.5
19430,Creamery,PA,Montgomery County,123.0
18326,Cresco,PA,Monroe County,115.0
19021,Croydon,PA,Bucks County,125.5
19022,Crum Lynne,PA,Delaware County,114.5
18414,Dalton,PA,Lackawanna County,120.5
18415,Damascus,PA,Wayne County,115.0
18916,Danboro,PA,Bucks County,125.5
19023,Darby,PA,Delaware County,114.5
18327,Delaware Water Gap,PA,Monroe County,115.0
19432,Devault,PA,Chester County,121.0
19333,Devon,PA,Chester County,121.0
18328,Dingmans Ferry,PA,Pike County,109.5
19335,Downingtown,PA,Chester County,121.0
18901,Doylestown,PA,Bucks County,125.5
18902,Doylestown,PA,Bucks County,125.5
19025,Dresher,PA,Montgomery County,123.0
19026,Drexel Hill,PA,Delaware County,114.5
18917,Dublin,PA,Bucks County,125.5
18039,Durham,PA,Bucks County,125.5
19408,Eagleville,PA,Montgomery County,123.0
19415,Eagleville,PA,Montgomery County,123.0
18918,Earlington,PA,Montgomery County,123.0
18041,East Greenville,PA,Montgomery County,123.0
18301,East Stroudsburg,PA,Monroe County,115.0
18302,East Stroudsburg,PA,Monroe County,115.0
19028,Edgemont,PA,Delaware County,114.5
18330,Effort,PA,Monroe County,115.0
19027,Elkins Park,PA,Montgomery County,123.0
18416,Elmhurst,PA,Lackawanna County,120.5
19520,Elverson,PA,Chester County,121.0
18417,Equinunk,PA,Wayne County,115.0
18920,Erwinna,PA,Bucks County,125.5
19029,Essington,PA,Delaware County,114.5
19341,Exton,PA,Chester County,121.0
19030,Fairless Hills,PA,Bucks County,125.5
19409,Fairview Village,PA,Montgomery County,123.0
19053,Feasterville Trevose,PA,Bucks County,125.5
18921,Ferndale,PA,Bucks County,125.5
18420,Fleetville,PA,Lackawanna County,120.5
19031,Flourtown,PA,Montgomery County,123.0
19032,Folcroft,PA,Delaware County,114.5
19033,Folsom,PA,Delaware County,114.5
18922,Forest Grove,PA,Bucks County,125.5
19034,Fort Washington,PA,Montgomery County,123.0
19048,Fort Washington,PA,Montgomery County,125.5
19049,Fort Washington,PA,Montgomery County,125.5
18923,Fountainville,PA,Bucks County,125.5
18924,Franconia,PA,Montgomery County,123.0
19435,Frederick,PA,Montgomery County,123.0
18925,Furlong,PA,Bucks County,125.5
19060,Garnet Valley,PA,Delaware County,114.5
18331,Gilbert,PA,Monroe County,115.0
19525,Gilbertsville,PA,Montgomery County,123.0
19035,Gladwyne,PA,Montgomery County,123.0
19342,Glen Mills,PA,Delaware County,114.5
19037,Glen Riddle Lima,PA,Delaware County,114.5
19343,Glenmoore,PA,Chester County,121.0
19036,Glenolden,PA,Delaware County,114.5
19038,Glenside,PA,Montgomery County,123.0
18424,Gouldsboro,PA,Lackawanna County,115.0
19039,Gradyville,PA,Delaware County,114.5
18425,Greeley,PA,Pike County,109.5
18054,Green Lane,PA,Montgomery County,123.0
18426,Greentown,PA,Pike County,109.5
19436,Gwynedd,PA,Montgomery County,123.0
19437,Gwynedd Valley,PA,Montgomery County,123.0
18427,Hamlin,PA,Wayne County,115.0
19438,Harleysville,PA,Montgomery County,123.0
19441,Harleysville,PA,Montgomery County,123.0
19040,Hatboro,PA,Montgomery County,123.0
19440,Hatfield,PA,Montgomery County,123.0
19041,Haverford,PA,Delaware County,123.0
19083,Havertown,PA,Delaware County,114.5
18428,Hawley,PA,Pike County,115.0
18055,Hellertown,PA,Northampton County,109.5
18332,Henryville,PA,Monroe County,115.0
18927,Hilltown,PA,Bucks County,125.5
18928,Holicong,PA,Bucks County,125.5
