zip,city,state,county,payout
37010,Adams,TN,Montgomery County,50.5
37616,Afton,TN,Greene County,41.5
37701,Alcoa,TN,Blount County,41.5
37012,Alexandria,TN,Dekalb County,50.5
38504,Allardt,TN,Fentress County,41.5
38541,Allons,TN,Overton County,50.5
38542,Allred,TN,Overton County,50.5
38543,Alpine,TN,Overton County,50.5
37301,Altamont,TN,Grundy County,41.5
37705,Andersonville,TN,Anderson County,41.5
37011,Antioch,TN,Davidson County,50.5
37013,Antioch,TN,Davidson County,50.5
37302,Apison,TN,Hamilton County,41.5
38449,Ardmore,TN,Giles County,50.5
37014,Arrington,TN,Williamson County,50.5
37707,Arthur,TN,Claiborne County,41.5
37015,Ashland City,TN,Cheatham County,50.5
37303,Athens,TN,Mcminn County,41.5
37371,Athens,TN,Mcminn County,41.5
37016,Auburntown,TN,Cannon County,50.5
37304,Bakewell,TN,Hamilton County,41.5
38544,Baxter,TN,Putnam County,50.5
37708,Bean Station,TN,Grainger County,41.5
37305,Beersheba Springs,TN,Grundy County,41.5
37019,Belfast,TN,Marshall County,50.5
37020,Bell Buckle,TN,Bedford County,50.5
37307,Benton,TN,Polk County,41.5
37022,Bethpage,TN,Sumner County,50.5
37023,Big Rock,TN,Stewart County,50.5
37308,Birchwood,TN,Hamilton County,41.5
37709,Blaine,TN,Grainger County,41.5
38545,Bloomington Springs,TN,Jackson County,50.5
37617,Blountville,TN,Sullivan County,41.5
37618,Bluff City,TN,Sullivan County,41.5
37025,Bon Aqua,TN,Hickman County,50.5
37026,Bradyville,TN,Cannon County,50.5
37024,Brentwood,TN,Williamson County,50.5
37027,Brentwood,TN,Williamson County,50.5
37710,Briceville,TN,Anderson County,41.5
37620,Bristol,TN,Sullivan County,41.5
37621,Bristol,TN,Sullivan County,41.5
37625,Bristol,TN,Sullivan County,41.5
38547,Brush Creek,TN,Smith County,50.5
38548,Buffalo Valley,TN,Putnam County,50.5
37711,Bulls Gap,TN,Hawkins County,41.5
37028,Bumpus Mills,TN,Stewart County,50.5
37029,Burns,TN,Dickson County,50.5
37640,Butler,TN,Johnson County,41.5
37713,Bybee,TN,Cocke County,41.5
38549,Byrdstown,TN,Pickett County,50.5
37309,Calhoun,TN,Mcminn County,41.5
37030,Carthage,TN,Smith County,50.5
37714,Caryville,TN,Campbell County,41.5
37031,Castalian Springs,TN,Sumner County,50.5
37032,Cedar Hill,TN,Robertson County,50.5
38551,Celina,TN,Clay County,50.5
37033,Centerville,TN,Hickman County,50.5
37034,Chapel Hill,TN,Marshall County,50.5
37035,Chapmansboro,TN,Cheatham County,50.5
37310,Charleston,TN,Bradley County,41.5
37036,Charlotte,TN,Dickson County,50.5
37401,Chattanooga,TN,Hamilton County,41.5
37402,Chattanooga,TN,Hamilton County,41.5
37403,Chattanooga,TN,Hamilton County,41.5
37404,Chattanooga,TN,Hamilton County,41.5
37405,Chattanooga,TN,Hamilton County,41.5
37406,Chattanooga,TN,Hamilton County,41.5
37407,Chattanooga,TN,Hamilton County,41.5
37408,Chattanooga,TN,Hamilton County,41.5
37409,Chattanooga,TN,Hamilton County,41.5
37410,Chattanooga,TN,Hamilton County,41.5
37411,Chattanooga,TN,Hamilton County,41.5
37412,Chattanooga,TN,Hamilton County,41.5
37414,Chattanooga,TN,Hamilton County,41.5
37415,Chattanooga,TN,Hamilton County,41.5
37416,Chattanooga,TN,Hamilton County,41.5
37419,Chattanooga,TN,Hamilton County,41.5
37421,Chattanooga,TN,Hamilton County,41.5
37422,Chattanooga,TN,Hamilton County,41.5
37424,Chattanooga,TN,Hamilton County,41.5
37450,Chattanooga,TN,Hamilton County,41.5
38552,Chestnut Mound,TN,Smith County,50.5
37037,Christiana,TN,Rutherford County,50.5
37641,Chuckey,TN,Greene County,41.5
37642,Church Hill,TN,Hawkins County,41.5
37715,Clairfield,TN,Claiborne County,41.5
38553,Clarkrange,TN,Fentress County,41.5
37040,Clarksville,TN,Montgomery County,50.5
37042,Clarksville,TN,Montgomery County,50.5
37043,Clarksville,TN,Montgomery County,50.5
37311,Cleveland,TN,Bradley County,41.5
37312,Cleveland,TN,Bradley County,41.5
37320,Cleveland,TN,Bradley County,41.5
37323,Cleveland,TN,Bradley County,41.5
37364,Cleveland,TN,Bradley County,41.5
38425,Clifton,TN,Wayne County,50.5
37716,Clinton,TN,Anderson County,41.5
37717,Clinton,TN,Anderson County,41.5
37719,Coalfield,TN,Morgan County,41.5
37313,Coalmont,TN,Grundy County,41.5
37314,Coker Creek,TN,Monroe County,41.5
37046,College Grove,TN,Williamson County,50.5
37315,Collegedale,TN,Hamilton County,41.5
38450,Collinwood,TN,Wayne County,50.5
38401,Columbia,TN,Maury County,50.5
38402,Columbia,TN,Maury County,50.5
37316,Conasauga,TN,Polk County,41.5
38501,Cookeville,TN,Putnam County,50.5
38502,Cookeville,TN,Putnam County,50.5
38503,Cookeville,TN,Putnam County,50.5
38505,Cookeville,TN,Putnam County,50.5
38506,Cookeville,TN,Putnam County,50.5
37317,Copperhill,TN,Polk County,41.5
37047,Cornersville,TN,Marshall County,50.5
37721,Corryton,TN,Knox County,41.5
37722,Cosby,TN,Cocke County,41.5
37048,Cottontown,TN,Sumner County,50.5
37723,Crab Orchard,TN,Cumberland County,41.5
38554,Crawford,TN,Overton County,50.5
37049,Cross Plains,TN,Robertson County,50.5
38555,Crossville,TN,Cumberland County,41.5
38557,Crossville,TN,Cumberland County,41.5
38558,Crossville,TN,Cumberland County,41.5
38571,Crossville,TN,Cumberland County,41.5
38572,Crossville,TN,Cumberland County,41.5
38451,Culleoka,TN,Maury County,50.5
37050,Cumberland City,TN,Stewart County,50.5
37051,Cumberland Furnace,TN,Dickson County,50.5
37724,Cumberland Gap,TN,Claiborne County,41.5
38452,Cypress Inn,TN,Wayne County,50.5
37321,Dayton,TN,Rhea County,41.5
37322,Decatur,TN,Meigs County,41.5
37726,Deer Lodge,TN,Morgan County,41.5
37727,Del Rio,TN,Cocke County,41.5
37325,Delano,TN,Polk County,41.5
37055,Dickson,TN,Dickson County,50.5
37056,Dickson,TN,Dickson County,50.5
37057,Dixon Springs,TN,Macon County,50.5
37058,Dover,TN,Stewart County,50.5
37059,Dowelltown,TN,Dekalb County,50.5
38559,Doyle,TN,White County,41.5
38454,Duck River,TN,Hickman County,50.5
37326,Ducktown,TN,Polk County,41.5
37729,Duff,TN,Campbell County,41.5
37327,Dunlap,TN,Sequatchie County,41.5
37730,Eagan,TN,Claiborne County,41.5
37060,Eagleville,TN,Rutherford County,50.5
37731,Eidson,TN,Hawkins County,41.5
37732,Elgin,TN,Scott County,41.5
37643,Elizabethton,TN,Carter County,41.5
37644,Elizabethton,TN,Carter County,41.5
38455,Elkton,TN,Giles County,50.5
38560,Elmwood,TN,Smith County,50.5
37328,Elora,TN,Lincoln County,50.5
37329,Englewood,TN,Mcminn County,41.5
37061,Erin,TN,Houston County,50.5
37650,Erwin,TN,Unicoi County,41.5
38456,Ethridge,TN,Lawrence County,50.5
37331,Etowah,TN,Mcminn County,41.5
37332,Evensville,TN,Rhea County,41.5
37062,Fairview,TN,Williamson County,50.5
37656,Fall Branch,TN,Washington County,41.5
37333,Farner,TN,Polk County,41.5
37934,Farragut,TN,Knox County,41.5
37334,Fayetteville,TN,Lincoln County,50.5
38457,Five Points,TN,Lawrence County,50.5
37657,Flag Pond,TN,Unicoi County,41.5
37335,Flintville,TN,Lincoln County,50.5
37063,Fosterville,TN,Rutherford County,50.5
38459,Frankewing,TN,Lincoln County,50.5
37064,Franklin,TN,Williamson County,50.5
37065,Franklin,TN,Williamson County,50.5
37067,Franklin,TN,Williamson County,50.5
37068,Franklin,TN,Williamson County,50.5
37069,Franklin,TN,Williamson County,50.5
37737,Friendsville,TN,Blount County,41.5
38562,Gainesboro,TN,Jackson County,50.5
37066,Gallatin,TN,Sumner County,50.5
37738,Gatlinburg,TN,Sevier County,41.5
37336,Georgetown,TN,Bradley County,41.5
37071,Gladeville,TN,Wilson County,50.5
37070,Goodlettsville,TN,Davidson County,50.5
37072,Goodlettsville,TN,Davidson County,50.5
38460,Goodspring,TN,Giles County,50.5
38563,Gordonsville,TN,Smith County,50.5
37337,Grandview,TN,Rhea County,41.5
38564,Granville,TN,Jackson County,50.5
37338,Graysville,TN,Rhea County,41.5
37742,Greenback,TN,Loudon County,41.5
37073,Greenbrier,TN,Robertson County,50.5
37743,Greeneville,TN,Greene County,41.5
37744,Greeneville,TN,Greene County,41.5
37745,Greeneville,TN,Greene County,41.5
38565,Grimsley,TN,Fentress County,41.5
37339,Gruetli Laager,TN,Grundy County,41.5
37340,Guild,TN,Marion County,41.5
38461,Hampshire,TN,Maury County,50.5
37658,Hampton,TN,Carter County,41.5
37748,Harriman,TN,Roane County,41.5
37341,Harrison,TN,Hamilton County,41.5
37752,Harrogate,TN,Claiborne County,41.5
37753,Hartford,TN,Cocke County,41.5
37074,Hartsville,TN,Trousdale County,50.5
37754,Heiskell,TN,Anderson County,41.5
37755,Helenwood,TN,Scott County,41.5
37075,Hendersonville,TN,Sumner County,50.5
37077,Hendersonville,TN,Sumner County,50.5
37076,Hermitage,TN,Davidson County,50.5
38567,Hickman,TN,Smith County,50.5
38568,Hilham,TN,Overton County,50.5
37343,Hixson,TN,Hamilton County,41.5
38462,Hohenwald,TN,Lewis County,50.5
37756,Huntsville,TN,Scott County,41.5
37078,Hurricane Mills,TN,Humphreys County,50.5
37079,Indian Mound,TN,Stewart County,50.5
38463,Iron City,TN,Wayne County,50.5
37757,Jacksboro,TN,Campbell County,41.5
38556,Jamestown,TN,Fentress County,50.5
37347,Jasper,TN,Marion County,41.5
37760,Jefferson City,TN,Jefferson County,41.5
37762,Jellico,TN,Campbell County,41.5
37080,Joelton,TN,Davidson County,50.5
37601,Johnson City,TN,Washington County,41.5
37602,Johnson City,TN,Washington County,41.5
37604,Johnson City,TN,Washington County,41.5
37605,Johnson City,TN,Washington County,41.5
37614,Johnson City,TN,Washington County,41.5
37615,Johnson City,TN,Washington County,41.5
37659,Jonesborough,TN,Washington County,41.5
37348,Kelso,TN,Lincoln County,50.5
37660,Kingsport,TN,Sullivan County,41.5
37662,Kingsport,TN,Sullivan County,41.5
37663,Kingsport,TN,Sullivan County,41.5
37664,Kingsport,TN,Sullivan County,41.5
37665,Kingsport,TN,Sullivan County,41.5
37669,Kingsport,TN,Sullivan County,41.5
37763,Kingston,TN,Roane County,41.5
37082,Kingston Springs,TN,Cheatham County,50.5
37901,Knoxville,TN,Knox County,41.5
37902,Knoxville,TN,Knox County,41.5
37909,Knoxville,TN,Knox County,41.5
37912,Knoxville,TN,Knox County,41.5
37914,Knoxville,TN,Knox County,41.5
37915,Knoxville,TN,Knox County,41.5
37916,Knoxville,TN,Knox County,41.5
37917,Knoxville,TN,Knox County,41.5
37918,Knoxville,TN,Knox County,41.5
37919,Knoxville,TN,Knox County,41.5
37920,Knoxville,TN,Knox County,41.5
37921,Knoxville,TN,Knox County,41.5
37922,Knoxville,TN,Knox County,41.5
37923,Knoxville,TN,Knox County,41.5
37924,Knoxville,TN,Knox County,41.5
37927,Knoxville,TN,Knox County,41.5
37928,Knoxville,TN,Knox County,41.5
37929,Knoxville,TN,Knox County,41.5
37930,Knoxville,TN,Knox County,41.5
37931,Knoxville,TN,Knox County,41.5
37932,Knoxville,TN,Knox County,41.5
37933,Knoxville,TN,Knox County,41.5
37938,Knoxville,TN,Knox County,41.5
37939,Knoxville,TN,Knox County,41.5
37940,Knoxville,TN,Knox County,41.5
37950,Knoxville,TN,Knox County,41.5
37995,Knoxville,TN,Knox County,41.5
37996,Knoxville,TN,Knox County,41.5
37997,Knoxville,TN,Knox County,41.5
37998,Knoxville,TN,Knox County,41.5
37764,Kodak,TN,Sevier County,41.5
37765,Kyles Ford,TN,Hancock County,41.5
37766,La Follette,TN,Campbell County,41.5
37086,La Vergne,TN,Rutherford County,50.5
37089,La Vergne,TN,Rutherford County,50.5
37083,Lafayette,TN,Macon County,50.5
38569,Lancaster,TN,Smith County,50.5
37770,Lancing,TN,Morgan County,41.5
37085,Lascassas,TN,Rutherford County,50.5
38464,Lawrenceburg,TN,Lawrence County,50.5
37087,Lebanon,TN,Wilson County,50.5
37088,Lebanon,TN,Wilson County,50.5
37090,Lebanon,TN,Wilson County,50.5
37771,Lenoir City,TN,Loudon County,41.5
37772,Lenoir City,TN,Loudon County,41.5
38468,Leoma,TN,Lawrence County,50.5
37091,Lewisburg,TN,Marshall County,50.5
37095,Liberty,TN,Dekalb County,50.5
37681,Limestone,TN,Washington County,41.5
37096,Linden,TN,Perry County,50.5
38570,Livingston,TN,Overton County,50.5
37097,Lobelville,TN,Perry County,50.5
37773,Lone Mountain,TN,Claiborne County,41.5
37350,Lookout Mountain,TN,Hamilton County,41.5
38469,Loretto,TN,Lawrence County,50.5
37774,Loudon,TN,Loudon County,41.5
37777,Louisville,TN,Blount County,41.5
37778,Lowland,TN,Hamblen County,41.5
37351,Lupton City,TN,Hamilton County,41.5
37779,Luttrell,TN,Union County,41.5
38471,Lutts,TN,Wayne County,50.5
37098,Lyles,TN,Hickman County,50.5
37352,Lynchburg,TN,Moore County,50.5
38472,Lynnville,TN,Giles County,50.5
37115,Madison,TN,Davidson County,50.5
37116,Madison,TN,Davidson County,50.5
37354,Madisonville,TN,Monroe County,41.5
37801,Maryville,TN,Blount County,41.5
37802,Maryville,TN,Blount County,41.5
37803,Maryville,TN,Blount County,41.5
37804,Maryville,TN,Blount County,41.5
37806,Mascot,TN,Knox County,41.5
37807,Maynardville,TN,Union County,41.5
37353,McDonald,TN,Bradley County,41.5
37101,McEwen,TN,Humphreys County,50.5
37110,Mcminnville,TN,Warren County,41.5
37809,Midway,TN,Greene County,41.5
37682,Milligan College,TN,Carter County,41.5
37118,Milton,TN,Rutherford County,50.5
38473,Minor Hill,TN,Giles County,50.5
