zip,city,state,county,payout
98604,Battle Ground,WA,Clark County,48.0
98606,Brush Prairie,WA,Clark County,48.0
98607,Camas,WA,Clark County,48.0
98629,La Center,WA,Clark County,48.0
98642,Ridgefield,WA,Clark County,48.0
98660,Vancouver,WA,Clark County,48.0
98661,Vancouver,WA,Clark County,48.0
98662,Vancouver,WA,Clark County,48.0
98663,Vancouver,WA,Clark County,48.0
98664,Vancouver,WA,Clark County,48.0
98665,Vancouver,WA,Clark County,48.0
98682,Vancouver,WA,Clark County,48.0
98683,Vancouver,WA,Clark County,48.0
98684,Vancouver,WA,Clark County,48.0
98685,Vancouver,WA,Clark County,48.0
98686,Vancouver,WA,Clark County,48.0
98671,Washougal,WA,Clark County,48.0
98675,Yacolt,WA,Clark County,48.0
