zip,city,state,county,payout
85323,Avondale,AZ,Maricopa County,57.5
85392,Avondale,AZ,Maricopa County,57.5
85377,Carefree,AZ,Maricopa County,57.5
85331,Cave Creek,AZ,Maricopa County,57.5
85224,Chandler,AZ,Maricopa County,57.5
85225,Chandler,AZ,Maricopa County,57.5
85226,Chandler,AZ,Maricopa County,57.5
85248,Chandler,AZ,Maricopa County,57.5
85249,Chandler,AZ,Maricopa County,57.5
85286,Chandler,AZ,Maricopa County,57.5
85335,El Mirage,AZ,Maricopa County,57.5
85268,Fountain Hills,AZ,Maricopa County,57.5
85233,Gilbert,AZ,Maricopa County,57.5
85234,Gilbert,AZ,Maricopa County,57.5
85295,Gilbert,AZ,Maricopa County,57.5
85296,Gilbert,AZ,Maricopa County,57.5
85297,Gilbert,AZ,Maricopa County,57.5
85298,Gilbert,AZ,Maricopa County,57.5
85301,Glendale,AZ,Maricopa County,57.5
85302,Glendale,AZ,Maricopa County,57.5
85303,Glendale,AZ,Maricopa County,57.5
85304,Glendale,AZ,Maricopa County,57.5
85305,Glendale,AZ,Maricopa County,57.5
85306,Glendale,AZ,Maricopa County,57.5
85307,Glendale,AZ,Maricopa County,57.5
85308,Glendale,AZ,Maricopa County,57.5
85310,Glendale,AZ,Maricopa County,57.5
85338,Goodyear,AZ,Maricopa County,57.5
85395,Goodyear,AZ,Maricopa County,57.5
85339,Laveen,AZ,Maricopa County,57.5
85340,Litchfield Park,AZ,Maricopa County,57.5
85309,Luke Air Force Base,AZ,Maricopa County,57.5
85201,Mesa,AZ,Maricopa County,57.5
85202,Mesa,AZ,Maricopa County,57.5
85203,Mesa,AZ,Maricopa County,57.5
85204,Mesa,AZ,Maricopa County,57.5
85205,Mesa,AZ,Maricopa County,57.5
85206,Mesa,AZ,Maricopa County,57.5
85207,Mesa,AZ,Maricopa County,57.5
85208,Mesa,AZ,Maricopa County,57.5
85209,Mesa,AZ,Maricopa County,57.5
85210,Mesa,AZ,Maricopa County,57.5
85212,Mesa,AZ,Maricopa County,57.5
85213,Mesa,AZ,Maricopa County,57.5
85215,Mesa,AZ,Maricopa County,57.5
85253,Paradise Valley,AZ,Maricopa County,57.5
85345,Peoria,AZ,Maricopa County,57.5
85381,Peoria,AZ,Maricopa County,57.5
85382,Peoria,AZ,Maricopa County,57.5
85383,Peoria,AZ,Maricopa County,57.5
85003,Phoenix,AZ,Maricopa County,57.5
85004,Phoenix,AZ,Maricopa County,57.5
85006,Phoenix,AZ,Maricopa County,57.5
85007,Phoenix,AZ,Maricopa County,57.5
85008,Phoenix,AZ,Maricopa County,57.5
85009,Phoenix,AZ,Maricopa County,57.5
85012,Phoenix,AZ,Maricopa County,57.5
85013,Phoenix,AZ,Maricopa County,57.5
85014,Phoenix,AZ,Maricopa County,57.5
85015,Phoenix,AZ,Maricopa County,57.5
85016,Phoenix,AZ,Maricopa County,57.5
85017,Phoenix,AZ,Maricopa County,57.5
85018,Phoenix,AZ,Maricopa County,57.5
85019,Phoenix,AZ,Maricopa County,57.5
85020,Phoenix,AZ,Maricopa County,57.5
85021,Phoenix,AZ,Maricopa County,57.5
85022,Phoenix,AZ,Maricopa County,57.5
85023,Phoenix,AZ,Maricopa County,57.5
85024,Phoenix,AZ,Maricopa County,57.5
85027,Phoenix,AZ,Maricopa County,57.5
85028,Phoenix,AZ,Maricopa County,57.5
85029,Phoenix,AZ,Maricopa County,57.5
85031,Phoenix,AZ,Maricopa County,57.5
85032,Phoenix,AZ,Maricopa County,57.5
85033,Phoenix,AZ,Maricopa County,57.5
85034,Phoenix,AZ,Maricopa County,57.5
85035,Phoenix,AZ,Maricopa County,57.5
85037,Phoenix,AZ,Maricopa County,57.5
85040,Phoenix,AZ,Maricopa County,57.5
85041,Phoenix,AZ,Maricopa County,57.5
85042,Phoenix,AZ,Maricopa County,57.5
85043,Phoenix,AZ,Maricopa County,57.5
85044,Phoenix,AZ,Maricopa County,57.5
85045,Phoenix,AZ,Maricopa County,57.5
85048,Phoenix,AZ,Maricopa County,57.5
85050,Phoenix,AZ,Maricopa County,57.5
85051,Phoenix,AZ,Maricopa County,57.5
85053,Phoenix,AZ,Maricopa County,57.5
85054,Phoenix,AZ,Maricopa County,57.5
85083,Phoenix,AZ,Maricopa County,57.5
85085,Phoenix,AZ,Maricopa County,57.5
85086,Phoenix,AZ,Maricopa County,57.5
85142,Queen Creek,AZ,Maricopa County,57.5
85250,Scottsdale,AZ,Maricopa County,57.5
85251,Scottsdale,AZ,Maricopa County,57.5
85254,Scottsdale,AZ,Maricopa County,57.5
85255,Scottsdale,AZ,Maricopa County,57.5
85256,Scottsdale,AZ,Maricopa County,57.5
85257,Scottsdale,AZ,Maricopa County,57.5
85258,Scottsdale,AZ,Maricopa County,57.5
85259,Scottsdale,AZ,Maricopa County,57.5
85260,Scottsdale,AZ,Maricopa County,57.5
85266,Scottsdale,AZ,Maricopa County,57.5
85351,Sun City,AZ,Maricopa County,57.5
85373,Sun City,AZ,Maricopa County,57.5
85374,Surprise,AZ,Maricopa County,57.5
85378,Surprise,AZ,Maricopa County,57.5
85379,Surprise,AZ,Maricopa County,57.5
85388,Surprise,AZ,Maricopa County,57.5
85281,Tempe,AZ,Maricopa County,57.5
85282,Tempe,AZ,Maricopa County,57.5
85283,Tempe,AZ,Maricopa County,57.5
85284,Tempe,AZ,Maricopa County,57.5
85287,Tempe,AZ,Maricopa County,57.5
85353,Tolleson,AZ,Maricopa County,57.5
85355,Waddell,AZ,Maricopa County,57.5
85363,Youngtown,AZ,Maricopa County,57.5
