zip,city,state,county,payout
32701,Altamonte Springs,FL,Seminole County,61.5
32714,Altamonte Springs,FL,Seminole County,61.5
33920,Alva,FL,Lee County,140.0
34216,Anna Maria,FL,Manatee County,54.0
33572,Apollo Beach,FL,Hillsborough County,47.0
32703,Apopka,FL,Orange County,61.5
32712,Apopka,FL,Orange County,61.5
32233,Atlantic Beach,FL,Duval County,102.5
33503,Balm,FL,Hillsborough County,47.0
33744,Bay Pines,FL,Pinellas County,55.5
33786,Belleair Beach,FL,Pinellas County,55.5
33921,Boca Grande,FL,Lee County,140.0
33428,Boca Raton,FL,Palm Beach County,61.5
33431,Boca Raton,FL,Palm Beach County,61.5
33432,Boca Raton,FL,Palm Beach County,61.5
33433,Boca Raton,FL,Palm Beach County,61.5
33434,Boca Raton,FL,Palm Beach County,61.5
33486,Boca Raton,FL,Palm Beach County,61.5
33487,Boca Raton,FL,Palm Beach County,61.5
33496,Boca Raton,FL,Palm Beach County,61.5
33498,Boca Raton,FL,Palm Beach County,61.5
33922,Bokeelia,FL,Lee County,140.0
34133,Bonita Springs,FL,Lee County,140.0
34134,Bonita Springs,FL,Lee County,140.0
34135,Bonita Springs,FL,Lee County,140.0
34136,Bonita Springs,FL,Lee County,140.0
32007,Bostwick,FL,Putnam County,102.5
33426,Boynton Beach,FL,Palm Beach County,61.5
33435,Boynton Beach,FL,Palm Beach County,61.5
33436,Boynton Beach,FL,Palm Beach County,61.5
33437,Boynton Beach,FL,Palm Beach County,61.5
33472,Boynton Beach,FL,Palm Beach County,61.5
33473,Boynton Beach,FL,Palm Beach County,61.5
34201,Bradenton,FL,Manatee County,54.0
34202,Bradenton,FL,Manatee County,54.0
34203,Bradenton,FL,Manatee County,54.0
34205,Bradenton,FL,Manatee County,54.0
34207,Bradenton,FL,Manatee County,54.0
34208,Bradenton,FL,Manatee County,54.0
34209,Bradenton,FL,Manatee County,54.0
34210,Bradenton,FL,Manatee County,54.0
34211,Bradenton,FL,Manatee County,54.0
34212,Bradenton,FL,Manatee County,54.0
34217,Bradenton Beach,FL,Manatee County,54.0
33510,Brandon,FL,Hillsborough County,47.0
33511,Brandon,FL,Hillsborough County,47.0
32009,Bryceville,FL,Nassau County,102.5
32011,Callahan,FL,Nassau County,102.5
33904,Cape Coral,FL,Lee County,140.0
33909,Cape Coral,FL,Lee County,140.0
33910,Cape Coral,FL,Lee County,140.0
33914,Cape Coral,FL,Lee County,140.0
33915,Cape Coral,FL,Lee County,140.0
33990,Cape Coral,FL,Lee County,140.0
33991,Cape Coral,FL,Lee County,140.0
33993,Cape Coral,FL,Lee County,140.0
33924,Captiva,FL,Lee County,140.0
32707,Casselberry,FL,Seminole County,61.5
32730,Casselberry,FL,Seminole County,61.5
34138,Chokoloskee,FL,Collier County,127.0
32709,Christmas,FL,Orange County,61.5
33755,Clearwater,FL,Pinellas County,163.0
33756,Clearwater,FL,Pinellas County,163.0
33759,Clearwater,FL,Pinellas County,163.0
33760,Clearwater,FL,Pinellas County,163.0
33761,Clearwater,FL,Pinellas County,163.0
33762,Clearwater,FL,Pinellas County,163.0
33763,Clearwater,FL,Pinellas County,163.0
33764,Clearwater,FL,Pinellas County,163.0
33765,Clearwater,FL,Pinellas County,163.0
33767,Clearwater Beach,FL,Pinellas County,55.5
34137,Copeland,FL,Collier County,127.0
33065,Coral Springs,FL,Broward County,64.0
33071,Coral Springs,FL,Broward County,64.0
34215,Cortez,FL,Manatee County,54.0
32112,Crescent City,FL,Putnam County,102.5
