zip,city,state,county,payout
51001,Akron,IA,Plymouth County,90.5
50510,Albert City,IA,Buena Vista County,90.5
51002,Alta,IA,Buena Vista County,90.5
51003,Alton,IA,Sioux County,90.5
51230,Alvord,IA,Lyon County,90.5
51004,Anthon,IA,Woodbury County,90.5
51431,Arthur,IA,Ida County,90.5
51232,Ashton,IA,Osceola County,90.5
51005,Aurelia,IA,Cherokee County,90.5
51006,Battle Creek,IA,Ida County,90.5
51523,Blencoe,IA,Monona County,90.5
51234,Boyden,IA,Sioux County,90.5
51007,Bronson,IA,Woodbury County,90.5
51008,Brunsville,IA,Plymouth County,90.5
52132,Calmar,IA,Winneshiek County,102.5
51009,Calumet,IA,O'Brien County,90.5
52133,Castalia,IA,Winneshiek County,102.5
51011,Chatsworth,IA,Sioux County,90.5
51012,Cherokee,IA,Cherokee County,90.5
51014,Cleghorn,IA,Cherokee County,90.5
51016,Correctionville,IA,Woodbury County,90.5
51018,Cushing,IA,Woodbury County,90.5
51019,Danbury,IA,Woodbury County,90.5
52101,Decorah,IA,Winneshiek County,102.5
51235,Doon,IA,Lyon County,90.5
52140,Dorchester,IA,Allamakee County,102.5
50536,Emmetsburg,IA,Palo Alto County,90.5
51338,Everly,IA,Clay County,90.5
52144,Fort Atkinson,IA,Winneshiek County,102.5
51020,Galva,IA,Ida County,90.5
51022,Granville,IA,Sioux County,90.5
52146,Harpers Ferry,IA,Allamakee County,102.5
51023,Hawarden,IA,Sioux County,90.5
52149,Highlandville,IA,Winneshiek County,102.5
51024,Hinton,IA,Plymouth County,90.5
51025,Holstein,IA,Ida County,90.5
51026,Hornick,IA,Woodbury County,90.5
51238,Hospers,IA,Sioux County,90.5
51239,Hull,IA,Sioux County,90.5
51445,Ida Grove,IA,Ida County,90.5
51240,Inwood,IA,Lyon County,90.5
51027,Ireton,IA,Sioux County,90.5
51028,Kingsley,IA,Plymouth County,90.5
51450,Lake View,IA,Sac County,90.5
52151,Lansing,IA,Allamakee County,102.5
51029,Larrabee,IA,Cherokee County,90.5
51030,Lawton,IA,Woodbury County,90.5
51031,Le Mars,IA,Plymouth County,90.5
51034,Mapleton,IA,Monona County,90.5
51035,Marcus,IA,Cherokee County,90.5
51037,Meriden,IA,Cherokee County,90.5
51038,Merrill,IA,Plymouth County,90.5
51558,Moorhead,IA,Monona County,90.5
51039,Moville,IA,Woodbury County,90.5
52160,New Albin,IA,Allamakee County,102.5
50568,Newell,IA,Buena Vista County,90.5
51354,Ocheyedan,IA,Osceola County,90.5
51040,Onawa,IA,Monona County,90.5
51041,Orange City,IA,Sioux County,90.5
52161,Ossian,IA,Winneshiek County,102.5
51044,Oto,IA,Woodbury County,90.5
51045,Oyens,IA,Plymouth County,90.5
51046,Paullina,IA,O'Brien County,90.5
51048,Pierson,IA,Woodbury County,90.5
51245,Primghar,IA,O'Brien County,90.5
51049,Quimby,IA,Cherokee County,90.5
51050,Remsen,IA,Plymouth County,90.5
52165,Ridgeway,IA,Winneshiek County,102.5
51247,Rock Valley,IA,Sioux County,90.5
51051,Rodney,IA,Monona County,90.5
50583,Sac City,IA,Sac County,90.5
51052,Salix,IA,Woodbury County,90.5
51053,Schaller,IA,Sac County,90.5
51054,Sergeant Bluff,IA,Woodbury County,90.5
51201,Sheldon,IA,O'Brien County,90.5
51250,Sioux Center,IA,Sioux County,90.5
51101,Sioux City,IA,Woodbury County,90.5
51102,Sioux City,IA,Woodbury County,90.5
51103,Sioux City,IA,Woodbury County,90.5
51104,Sioux City,IA,Woodbury County,90.5
51105,Sioux City,IA,Woodbury County,90.5
51106,Sioux City,IA,Woodbury County,90.5
51108,Sioux City,IA,Woodbury County,90.5
51109,Sioux City,IA,Woodbury County,90.5
51111,Sioux City,IA,Woodbury County,90.5
51055,Sloan,IA,Woodbury County,90.5
51056,Smithland,IA,Woodbury County,90.5
51572,Soldier,IA,Monona County,90.5
51301,Spencer,IA,Clay County,90.5
52168,Spillville,IA,Winneshiek County,102.5
50588,Storm Lake,IA,Buena Vista County,90.5
51058,Sutherland,IA,O'Brien County,90.5
51060,Ute,IA,Monona County,90.5
51061,Washta,IA,Cherokee County,90.5
52170,Waterville,IA,Allamakee County,102.5
52172,Waukon,IA,Allamakee County,102.5
51062,Westfield,IA,Plymouth County,90.5
51063,Whiting,IA,Monona County,90.5
