zip,city,state,county,payout
61410,Abingdon,IL,Knox County,97.0
61411,Adair,IL,Mcdonough County,97.0
60101,Addison,IL,Dupage County,61.0
62601,Alexander,IL,Morgan County,97.0
60102,Algonquin,IL,Mchenry County,64.0
61810,Allerton,IL,Vermilion County,97.0
62610,Alsey,IL,Scott County,97.0
62411,Altamont,IL,Effingham County,97.0
61414,Altona,IL,Knox County,97.0
61811,Alvin,IL,Vermilion County,97.0
61720,Anchor,IL,Mclean County,97.0
61311,Ancona,IL,Livingston County,97.0
61910,Arcola,IL,Douglas County,97.0
62611,Arenzville,IL,Cass County,97.0
62501,Argenta,IL,Macon County,97.0
60004,Arlington Heights,IL,Cook County,64.0
60005,Arlington Heights,IL,Cook County,64.0
61721,Armington,IL,Tazewell County,97.0
61812,Armstrong,IL,Vermilion County,97.0
60910,Aroma Park,IL,Kankakee County,97.0
61722,Arrowsmith,IL,Mclean County,97.0
61911,Arthur,IL,Douglas County,97.0
60911,Ashkum,IL,Iroquois County,97.0
62612,Ashland,IL,Cass County,97.0
61912,Ashmore,IL,Coles County,97.0
62510,Assumption,IL,Christian County,97.0
61501,Astoria,IL,Fulton County,97.0
62613,Athens,IL,Menard County,97.0
61723,Atlanta,IL,Logan County,97.0
61913,Atwood,IL,Douglas County,97.0
62615,Auburn,IL,Sangamon County,97.0
62311,Augusta,IL,Hancock County,97.0
60504,Aurora,IL,Dupage County,61.0
61415,Avon,IL,Fulton County,97.0
61416,Bardolph,IL,Mcdonough County,97.0
60010,Barrington,IL,Lake County,64.0
62312,Barry,IL,Pike County,97.0
60103,Bartlett,IL,Dupage County,64.0
62313,Basco,IL,Hancock County,97.0
60510,Batavia,IL,Kane County,61.0
62617,Bath,IL,Mason County,97.0
62314,Baylis,IL,Pike County,97.0
62618,Beardstown,IL,Cass County,97.0
62512,Beason,IL,Logan County,97.0
60912,Beaverville,IL,Iroquois County,97.0
62414,Beecher City,IL,Effingham County,97.0
61724,Bellflower,IL,Mclean County,97.0
60104,Bellwood,IL,Cook County,61.0
61813,Bement,IL,Piatt County,97.0
60106,Bensenville,IL,Dupage County,61.0
61516,Benson,IL,Woodford County,97.0
60163,Berkeley,IL,Cook County,61.0
60402,Berwyn,IL,Cook County,61.0
61914,Bethany,IL,Moultrie County,97.0
61814,Bismarck,IL,Vermilion County,97.0
61313,Blackstone,IL,Livingston County,97.0
61420,Blandinsville,IL,Mcdonough County,97.0
60108,Bloomingdale,IL,Dupage County,61.0
61701,Bloomington,IL,Mclean County,97.0
61702,Bloomington,IL,Mclean County,97.0
61704,Bloomington,IL,Mclean County,97.0
61705,Bloomington,IL,Mclean County,97.0
61709,Bloomington,IL,Mclean County,97.0
61710,Bloomington,IL,Mclean County,97.0
61791,Bloomington,IL,Mclean County,97.0
61799,Bloomington,IL,Mclean County,97.0
62513,Blue Mound,IL,Macon County,97.0
62622,Bluff Springs,IL,Cass County,97.0
62621,Bluffs,IL,Scott County,97.0
60440,Bolingbrook,IL,Will County,61.0
60490,Bolingbrook,IL,Will County,61.0
61815,Bondville,IL,Champaign County,97.0
60913,Bonfield,IL,Kankakee County,97.0
62514,Boody,IL,Macon County,97.0
60914,Bourbonnais,IL,Kankakee County,97.0
62316,Bowen,IL,Hancock County,97.0
60407,Braceville,IL,Grundy County,97.0
61421,Bradford,IL,Stark County,97.0
60915,Bradley,IL,Kankakee County,97.0
60408,Braidwood,IL,Will County,97.0
61517,Brimfield,IL,Peoria County,97.0
61816,Broadlands,IL,Champaign County,97.0
60155,Broadview,IL,Cook County,61.0
61917,Brocton,IL,Edgar County,97.0
60513,Brookfield,IL,Cook County,61.0
62624,Browning,IL,Schuyler County,97.0
61519,Bryant,IL,Fulton County,97.0
60917,Buckingham,IL,Kankakee County,97.0
60918,Buckley,IL,Iroquois County,97.0
62515,Buffalo,IL,Sangamon County,97.0
60089,Buffalo Grove,IL,Lake County,64.0
62517,Bulpitt,IL,Christian County,97.0
61422,Bushnell,IL,Mcdonough County,97.0
60919,Cabery,IL,Ford County,97.0
61919,Camargo,IL,Douglas County,97.0
62319,Camden,IL,Schuyler County,97.0
61424,Camp Grove,IL,Marshall County,97.0
62320,Camp Point,IL,Adams County,97.0
60920,Campus,IL,Livingston County,97.0
61520,Canton,IL,Fulton County,97.0
62625,Cantrall,IL,Sangamon County,97.0
61725,Carlock,IL,Mclean County,97.0
60188,Carol Stream,IL,Dupage County,61.0
60199,Carol Stream,IL,Dupage County,61.0
62321,Carthage,IL,Hancock County,97.0
61426,Castleton,IL,Stark County,97.0
61817,Catlin,IL,Vermilion County,97.0
61316,Cedar Point,IL,Lasalle County,97.0
61818,Cerro Gordo,IL,Piatt County,97.0
62323,Chambersburg,IL,Pike County,97.0
61820,Champaign,IL,Champaign County,97.0
61821,Champaign,IL,Champaign County,97.0
61822,Champaign,IL,Champaign County,97.0
61824,Champaign,IL,Champaign County,97.0
61825,Champaign,IL,Champaign County,97.0
61826,Champaign,IL,Champaign County,97.0
62627,Chandlerville,IL,Cass County,97.0
62628,Chapin,IL,Morgan County,97.0
61920,Charleston,IL,Coles County,97.0
62629,Chatham,IL,Sangamon County,97.0
60921,Chatsworth,IL,Livingston County,97.0
60922,Chebanse,IL,Kankakee County,97.0
61726,Chenoa,IL,Mclean County,97.0
62518,Chestnut,IL,Logan County,97.0
60610,Chicago,IL,Cook County,46.0
60611,Chicago,IL,Cook County,46.0
60613,Chicago,IL,Cook County,46.0
60614,Chicago,IL,Cook County,46.0
60618,Chicago,IL,Cook County,46.0
60625,Chicago,IL,Cook County,64.0
60626,Chicago,IL,Cook County,46.0
60630,Chicago,IL,Cook County,46.0
60631,Chicago,IL,Cook County,46.0
60640,Chicago,IL,Cook County,46.0
60645,Chicago,IL,Cook County,46.0
60646,Chicago,IL,Cook County,46.0
60657,Chicago,IL,Cook County,46.0
60659,Chicago,IL,Cook County,46.0
60660,Chicago,IL,Cook County,46.0
60666,Chicago,IL,Cook County,64.0
60701,Chicago,IL,Cook County,64.0
61523,Chillicothe,IL,Peoria County,97.0
61924,Chrisman,IL,Edgar County,97.0
61830,Cisco,IL,Piatt County,97.0
60924,Cissna Park,IL,Iroquois County,97.0
60514,Clarendon Hills,IL,Dupage County,61.0
62324,Clayton,IL,Adams County,97.0
60926,Claytonville,IL,Iroquois County,97.0
60927,Clifton,IL,Iroquois County,97.0
61727,Clinton,IL,De Witt County,97.0
60416,Coal City,IL,Grundy County,97.0
62325,Coatsburg,IL,Adams County,97.0
62326,Colchester,IL,Mcdonough County,97.0
61728,Colfax,IL,Mclean County,97.0
61831,Collison,IL,Vermilion County,97.0
62329,Colusa,IL,Hancock County,97.0
62631,Concord,IL,Morgan County,97.0
61729,Congerville,IL,Woodford County,97.0
61730,Cooksville,IL,Mclean County,97.0
61319,Cornell,IL,Livingston County,97.0
62519,Cornland,IL,Logan County,97.0
62422,Cowden,IL,Shelby County,97.0
60928,Crescent City,IL,Iroquois County,97.0
61610,Creve Coeur,IL,Tazewell County,97.0
61731,Cropsey,IL,Mclean County,97.0
