zip,city,state,county,payout
46104,Arlington,IN,Rush County,102.5
47001,Aurora,IN,Dearborn County,102.5
47006,Batesville,IN,Ripley County,102.5
47010,Bath,IN,Franklin County,102.5
47011,Bennington,IN,Switzerland County,102.5
47322,Bentonville,IN,Fayette County,102.5
47324,Boston,IN,Wayne County,102.5
47012,Brookville,IN,Franklin County,102.5
47325,Brownsville,IN,Union County,102.5
47326,Bryant,IN,Jay County,102.5
47223,Butlerville,IN,Jennings County,102.5
47327,Cambridge City,IN,Wayne County,102.5
47224,Canaan,IN,Switzerland County,102.5
46115,Carthage,IN,Rush County,102.5
47016,Cedar Grove,IN,Franklin County,102.5
47330,Centerville,IN,Wayne County,102.5
47225,Clarksburg,IN,Decatur County,102.5
47227,Commiskey,IN,Jennings County,102.5
47331,Connersville,IN,Fayette County,102.5
47017,Cross Plains,IN,Ripley County,102.5
47230,Deputy,IN,Jefferson County,102.5
47018,Dillsboro,IN,Dearborn County,102.5
47335,Dublin,IN,Wayne County,102.5
47336,Dunkirk,IN,Jay County,102.5
47337,Dunreith,IN,Henry County,102.5
47231,Dupont,IN,Jefferson County,102.5
47019,East Enterprise,IN,Switzerland County,102.5
47339,Economy,IN,Wayne County,102.5
46127,Falmouth,IN,Rush County,102.5
47340,Farmland,IN,Randolph County,102.5
47020,Florence,IN,Switzerland County,102.5
47341,Fountain City,IN,Wayne County,102.5
47021,Friendship,IN,Ripley County,102.5
46133,Glenwood,IN,Fayette County,102.5
47345,Greens Fork,IN,Wayne County,102.5
47344,Greensboro,IN,Henry County,102.5
47240,Greensburg,IN,Decatur County,102.5
47022,Guilford,IN,Dearborn County,102.5
47346,Hagerstown,IN,Wayne County,102.5
47243,Hanover,IN,Jefferson County,102.5
47245,Hayden,IN,Jennings County,102.5
47023,Holton,IN,Ripley County,102.5
46146,Homer,IN,Rush County,102.5
47351,Kennard,IN,Henry County,102.5
46148,Knightstown,IN,Henry County,102.5
47024,Laurel,IN,Franklin County,102.5
47025,Lawrenceburg,IN,Dearborn County,102.5
47352,Lewisville,IN,Henry County,102.5
47353,Liberty,IN,Union County,102.5
47354,Losantville,IN,Randolph County,102.5
47355,Lynn,IN,Randolph County,102.5
47250,Madison,IN,Jefferson County,102.5
46150,Manilla,IN,Rush County,102.5
46155,Mays,IN,Rush County,102.5
47030,Metamora,IN,Franklin County,102.5
47356,Middletown,IN,Henry County,102.5
47031,Milan,IN,Ripley County,102.5
47261,Millhousen,IN,Ripley County,102.5
46156,Milroy,IN,Rush County,102.5
47357,Milton,IN,Wayne County,102.5
47358,Modoc,IN,Randolph County,102.5
47360,Mooreland,IN,Henry County,102.5
47032,Moores Hill,IN,Dearborn County,102.5
47033,Morris,IN,Ripley County,102.5
47361,Mount Summit,IN,Henry County,102.5
47034,Napoleon,IN,Ripley County,102.5
47362,New Castle,IN,Henry County,102.5
47366,New Lisbon,IN,Henry County,102.5
47263,New Point,IN,Decatur County,102.5
47035,New Trenton,IN,Franklin County,102.5
47265,North Vernon,IN,Jennings County,102.5
47036,Oldenburg,IN,Franklin County,102.5
47037,Osgood,IN,Ripley County,102.5
47270,Paris Crossing,IN,Jennings County,102.5
47368,Parker City,IN,Randolph County,102.5
47038,Patriot,IN,Switzerland County,102.5
47369,Pennville,IN,Jay County,102.5
47370,Pershing,IN,Wayne County,102.5
47039,Pierceville,IN,Ripley County,102.5
47371,Portland,IN,Jay County,102.5
47373,Redkey,IN,Jay County,102.5
47374,Richmond,IN,Wayne County,102.5
47375,Richmond,IN,Wayne County,102.5
47380,Ridgeville,IN,Randolph County,102.5
47040,Rising Sun,IN,Ohio County,102.5
46173,Rushville,IN,Rush County,102.5
47272,Saint Paul,IN,Decatur County,102.5
47381,Salamonia,IN,Jay County,102.5
47382,Saratoga,IN,Randolph County,102.5
47273,Scipio,IN,Jennings County,102.5
47384,Shirley,IN,Henry County,102.5
47385,Spiceland,IN,Henry County,102.5
47386,Springport,IN,Henry County,102.5
47387,Straughn,IN,Henry County,102.5
47388,Sulphur Springs,IN,Henry County,102.5
47041,Sunman,IN,Ripley County,102.5
47390,Union City,IN,Randolph County,102.5
47282,Vernon,IN,Jennings County,102.5
47042,Versailles,IN,Ripley County,102.5
47043,Vevay,IN,Switzerland County,102.5
47392,Webster,IN,Wayne County,102.5
47003,West College Corner,IN,Union County,102.5
47060,West Harrison,IN,Dearborn County,102.5
47283,Westport,IN,Decatur County,102.5
47393,Williamsburg,IN,Wayne County,102.5
47394,Winchester,IN,Randolph County,102.5
