zip,city,state,county,payout
01718,Acton,MA,Middlesex County,61.5
01720,Acton,MA,Middlesex County,61.5
02134,Allston,MA,Suffolk County,61.5
01810,Andover,MA,Essex County,61.5
02474,Arlington,MA,Middlesex County,61.5
02476,Arlington,MA,Middlesex County,61.5
01721,Ashland,MA,Middlesex County,61.5
02466,Auburndale,MA,Middlesex County,61.5
02457,Babson Park,MA,Norfolk County,61.5
01730,Bedford,MA,Middlesex County,61.5
02478,Belmont,MA,Middlesex County,61.5
01915,Beverly,MA,Essex County,61.5
01821,Billerica,MA,Middlesex County,61.5
02108,Boston,MA,Suffolk County,61.5
02109,Boston,MA,Suffolk County,61.5
02110,Boston,MA,Suffolk County,61.5
02111,Boston,MA,Suffolk County,61.5
02113,Boston,MA,Suffolk County,61.5
02114,Boston,MA,Suffolk County,61.5
02115,Boston,MA,Suffolk County,61.5
02116,Boston,MA,Suffolk County,61.5
02118,Boston,MA,Suffolk County,61.5
02133,Boston,MA,Suffolk County,61.5
02163,Boston,MA,Suffolk County,61.5
02199,Boston,MA,Suffolk County,61.5
02203,Boston,MA,Suffolk County,61.5
02210,Boston,MA,Suffolk County,61.5
02215,Boston,MA,Suffolk County,61.5
02217,Boston,MA,Suffolk County,61.5
02222,Boston,MA,Suffolk County,61.5
01719,Boxborough,MA,Middlesex County,61.5
01921,Boxford,MA,Essex County,61.5
02184,Braintree,MA,Norfolk County,61.5
02135,Brighton,MA,Suffolk County,61.5
02445,Brookline,MA,Norfolk County,61.5
02446,Brookline,MA,Norfolk County,61.5
01803,Burlington,MA,Middlesex County,61.5
01805,Burlington,MA,Middlesex County,61.5
02138,Cambridge,MA,Middlesex County,61.5
02139,Cambridge,MA,Middlesex County,61.5
02140,Cambridge,MA,Middlesex County,61.5
02141,Cambridge,MA,Middlesex County,61.5
02142,Cambridge,MA,Middlesex County,61.5
02021,Canton,MA,Norfolk County,61.5
01741,Carlisle,MA,Middlesex County,61.5
02129,Charlestown,MA,Suffolk County,61.5
02150,Chelsea,MA,Suffolk County,61.5
02467,Chestnut Hill,MA,Middlesex County,61.5
01742,Concord,MA,Middlesex County,61.5
01923,Danvers,MA,Essex County,61.5
02026,Dedham,MA,Norfolk County,61.5
02121,Dorchester,MA,Suffolk County,61.5
02122,Dorchester,MA,Suffolk County,61.5
02125,Dorchester,MA,Suffolk County,61.5
02124,Dorchester Center,MA,Suffolk County,61.5
02030,Dover,MA,Norfolk County,61.5
02128,East Boston,MA,Suffolk County,61.5
02032,East Walpole,MA,Norfolk County,61.5
02149,Everett,MA,Middlesex County,61.5
01745,Fayville,MA,Worcester County,61.5
01701,Framingham,MA,Middlesex County,61.5
01702,Framingham,MA,Middlesex County,61.5
01833,Georgetown,MA,Essex County,61.5
01834,Groveland,MA,Essex County,61.5
01731,Hanscom Afb,MA,Middlesex County,61.5
01937,Hathorne,MA,Essex County,61.5
01746,Holliston,MA,Middlesex County,61.5
01748,Hopkinton,MA,Middlesex County,61.5
01749,Hudson,MA,Middlesex County,61.5
02136,Hyde Park,MA,Suffolk County,61.5
02130,Jamaica Plain,MA,Suffolk County,61.5
01843,Lawrence,MA,Essex County,61.5
02420,Lexington,MA,Middlesex County,61.5
02421,Lexington,MA,Middlesex County,61.5
01773,Lincoln,MA,Middlesex County,61.5
01901,Lynn,MA,Essex County,61.5
01902,Lynn,MA,Essex County,61.5
01904,Lynn,MA,Essex County,61.5
01905,Lynn,MA,Essex County,61.5
01940,Lynnfield,MA,Essex County,61.5
02148,Malden,MA,Middlesex County,61.5
01945,Marblehead,MA,Essex County,61.5
01752,Marlborough,MA,Middlesex County,61.5
02126,Mattapan,MA,Suffolk County,61.5
01754,Maynard,MA,Middlesex County,61.5
02052,Medfield,MA,Norfolk County,61.5
02153,Medford,MA,Middlesex County,61.5
02155,Medford,MA,Middlesex County,61.5
02176,Melrose,MA,Middlesex County,61.5
01949,Middleton,MA,Essex County,61.5
02054,Millis,MA,Norfolk County,61.5
02186,Milton,MA,Norfolk County,61.5
01908,Nahant,MA,Essex County,61.5
01760,Natick,MA,Middlesex County,61.5
