zip,city,state,county,payout
58002,Absaraka,ND,Cass County,102.5
58004,Amenia,ND,Cass County,102.5
58005,Argusville,ND,Cass County,102.5
58006,Arthur,ND,Cass County,102.5
58214,Arvilla,ND,Grand Forks County,102.5
58007,Ayr,ND,Cass County,102.5
58009,Blanchard,ND,Traill County,102.5
58011,Buffalo,ND,Cass County,102.5
58218,Buxton,ND,Traill County,102.5
58219,Caledonia,ND,Traill County,102.5
58012,Casselton,ND,Cass County,102.5
58016,Clifford,ND,Traill County,102.5
58223,Cummings,ND,Traill County,102.5
58021,Davenport,ND,Cass County,102.5
58436,Ellendale,ND,Dickey County,102.5
58228,Emerado,ND,Grand Forks County,102.5
58029,Erie,ND,Cass County,102.5
58102,Fargo,ND,Cass County,102.5
58103,Fargo,ND,Cass County,102.5
58104,Fargo,ND,Cass County,102.5
58105,Fargo,ND,Cass County,102.5
58106,Fargo,ND,Cass County,102.5
58107,Fargo,ND,Cass County,102.5
58108,Fargo,ND,Cass County,102.5
58109,Fargo,ND,Cass County,102.5
58121,Fargo,ND,Cass County,102.5
58122,Fargo,ND,Cass County,102.5
58124,Fargo,ND,Cass County,102.5
58125,Fargo,ND,Cass County,102.5
58126,Fargo,ND,Cass County,102.5
58439,Forbes,ND,Mcpherson County,102.5
58441,Fullerton,ND,Dickey County,102.5
58035,Galesburg,ND,Traill County,102.5
58036,Gardner,ND,Cass County,102.5
58235,Gilby,ND,Grand Forks County,102.5
58201,Grand Forks,ND,Grand Forks County,102.5
58202,Grand Forks,ND,Grand Forks County,102.5
58203,Grand Forks,ND,Grand Forks County,102.5
58206,Grand Forks,ND,Grand Forks County,102.5
58207,Grand Forks,ND,Grand Forks County,102.5
58208,Grand Forks,ND,Grand Forks County,102.5
58204,Grand Forks Afb,ND,Grand Forks County,102.5
58205,Grand Forks Afb,ND,Grand Forks County,102.5
58038,Grandin,ND,Cass County,102.5
58042,Harwood,ND,Cass County,102.5
58240,Hatton,ND,Traill County,102.5
58045,Hillsboro,ND,Traill County,102.5
58047,Horace,ND,Cass County,102.5
58048,Hunter,ND,Cass County,102.5
58244,Inkster,ND,Grand Forks County,102.5
58051,Kindred,ND,Cass County,102.5
58251,Larimore,ND,Grand Forks County,102.5
58052,Leonard,ND,Cass County,102.5
58256,Manvel,ND,Grand Forks County,102.5
58059,Mapleton,ND,Cass County,102.5
58257,Mayville,ND,Traill County,102.5
58258,Mekinock,ND,Grand Forks County,102.5
58266,Niagara,ND,Grand Forks County,102.5
58267,Northwood,ND,Grand Forks County,102.5
58474,Oakes,ND,Dickey County,102.5
58064,Page,ND,Cass County,102.5
58274,Portland,ND,Traill County,102.5
58275,Reynolds,ND,Grand Forks County,102.5
58278,Thompson,ND,Grand Forks County,102.5
58071,Tower City,ND,Cass County,102.5
58078,West Fargo,ND,Cass County,102.5
58079,Wheatland,ND,Cass County,102.5
